Canadian	canadian	Canadian
Prime	prime	Prime
Minister	minist	Minister
Justin	justin	Justin
Trudeau	trudeau	Trudeau
just	just	just
demonstrated	demonstr	demonstrated
that	that	that
he	he	he
s	s	s
the	the	the
adult	adult	adult
in	in	in
the	the	the
room	room	room
when	when	when
it	it	it
comes	come	come
to	to	to
dealing	deal	dealing
with	with	with
Donald	donald	Donald
Trump	trump	Trump
.	.	.
In	in	In
remarks	remark	remark
from	from	from
the	the	the
Oval	oval	Oval
Office	offic	Office
on	on	on
Thursday	thursday	Thursday
,	,	,
Trump	trump	Trump
launched	launch	launched
a	a	a
childish	childish	childish
attack	attack	attack
on	on	on
our	our	our
northern	northern	northern
neighbor	neighbor	neighbor
and	and	and
longtime	longtim	longtime
ally	alli	ally
over	over	over
the	the	the
dairy	dairi	dairy
industry	industri	industry
in	in	in
yet	yet	yet
another	anoth	another
overall	overal	overall
assault	assault	assault
on	on	on
the	the	the
North	north	North
American	american	American
Free	free	Free
Trade	trade	Trade
Agreement	agreement	Agreement
NAFTA	nafta	NAFTA
.	.	.

I	i	I
want	want	want
to	to	to
end	end	end
and	and	and
add	add	add
by	by	by
saying	say	saying
that	that	that
Canada	canada	Canada
what	what	what
they	they	they
ve	ve	ve
done	done	done
to	to	to
our	our	our
dairy	dairi	dairy
farm	farm	farm
workers	worker	worker
is	is	is
a	a	a
disgrace	disgrac	disgrace
,	,	,
Trump	trump	Trump
began	began	began
.	.	.

It	it	It
s	s	s
a	a	a
disgrace	disgrac	disgrace
.	.	.

I	i	I
spent	spent	spent
time	time	time
with	with	with
some	some	some
of	of	of
the	the	the
farmers	farmer	farmer
in	in	in
Wisconsin	wisconsin	Wisconsin
and	and	and
as	as	a
you	you	you
know	know	know
,	,	,
rules	rule	rule
,	,	,
regulations	regul	regulation
,	,	,
different	differ	different
things	thing	thing
,	,	,
have	have	have
changed	chang	changed
;	;	;
and	and	and
our	our	our
farmers	farmer	farmer
in	in	in
Wisconsin	wisconsin	Wisconsin
and	and	and
New	new	New
York	york	York
State	state	State
are	are	are
being	be	being
put	put	put
out	out	out
of	of	of
business	busi	business
our	our	our
dairy	dairi	dairy
farmers	farmer	farmer
.	.	.

The	the	The
fact	fact	fact
is	is	is
,	,	,
NAFTA	nafta	NAFTA
whether	whether	whether
it	it	it
s	s	s
Mexico	mexico	Mexico
or	or	or
Canada	canada	Canada
is	is	is
a	a	a
disaster	disast	disaster
for	for	for
our	our	our
country	countri	country
.	.	.

It	it	It
s	s	s
a	a	a
disaster	disast	disaster
.	.	.

It	it	It
s	s	s
a	a	a
trading	trade	trading
disaster	disast	disaster
,	,	,
Trump	trump	Trump
continued	continu	continued
.	.	.

We	we	We
can	can	can
t	t	t
let	let	let
Canada	canada	Canada
or	or	or
anybody	anybodi	anybody
else	els	else
take	take	take
advantage	advantag	advantage
,	,	,
and	and	and
do	do	do
what	what	what
they	they	they
do	do	do
to	to	to
our	our	our
workers	worker	worker
and	and	and
to	to	to
our	our	our
farmers	farmer	farmer
.	.	.

We	we	We
re	re	re
going	go	going
to	to	to
have	have	have
to	to	to
get	get	get
to	to	to
the	the	the
negotiating	negoti	negotiating
table	tabl	table
with	with	with
Canada	canada	Canada
very	veri	very
,	,	,
very	veri	very
quickly	quick	quickly
this	this	this
is	is	is
another	anoth	another
NAFTA	nafta	NAFTA
disaster	disast	disaster
,	,	,
and	and	and
we	we	we
re	re	re
not	not	not
going	go	going
to	to	to
let	let	let
it	it	it
continue	continu	continue
onward	onward	onward
.	.	.

Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
Trump	trump	Trump
s	s	s
tantrum	tantrum	tantrum
drew	drew	drew
a	a	a
sharp	sharp	sharp
but	but	but
very	veri	very
adult	adult	adult
response	respons	response
from	from	from
Prime	prime	Prime
Minister	minist	Minister
Justin	justin	Justin
Trudeau	trudeau	Trudeau
,	,	,
who	who	who
told	told	told
Bloomberg	bloomberg	Bloomberg
that	that	that
he	he	he
understands	understand	understands
that	that	that
governors	governor	governor
in	in	in
the	the	the
border	border	border
states	state	state
are	are	are
playing	play	playing
politics	polit	politics
with	with	with
the	the	the
dairy	dairi	dairy
issue	issu	issue
,	,	,
but	but	but
then	then	then
he	he	he
pointed	point	pointed
out	out	out
that	that	that
America	america	America
has	has	ha
a	a	a
400	400	400
million	million	million
dairy	dairi	dairy
surplus	surplus	surplus
with	with	with
Canada	canada	Canada
.	.	.

In	in	In
other	other	other
words	word	word
,	,	,
the	the	the
supply	suppli	supply
of	of	of
milk	milk	milk
in	in	in
the	the	the
United	unit	United
States	state	States
has	has	ha
surpassed	surpass	surpassed
demand	demand	demand
,	,	,
which	which	which
means	mean	mean
farmers	farmer	farmer
can	can	can
t	t	t
sell	sell	sell
any	ani	any
more	more	more
because	becaus	because
there	there	there
is	is	is
already	alreadi	already
too	too	too
much	much	much
milk	milk	milk
on	on	on
the	the	the
market	market	market
.	.	.

So	so	So
it	it	it
s	s	s
not	not	not
Canada	canada	Canada
that	that	that
is	is	is
the	the	the
challenge	challeng	challenge
here	here	here
,	,	,
Trudeau	trudeau	Trudeau
continued	continu	continued
,	,	,
adding	ad	adding
that	that	that
we	we	we
need	need	need
to	to	to
base	base	base
our	our	our
trading	trade	trading
relationships	relationship	relationship
on	on	on
the	the	the
facts	fact	fact
so	so	so
that	that	that
people	peopl	people
in	in	in
both	both	both
countries	countri	country
can	can	can
succeed	succeed	succeed
.	.	.
Trudeau	trudeau	Trudeau
further	further	further
pointed	point	pointed
out	out	out
that	that	that
the	the	the
United	unit	United
States	state	States
subsidizes	subsid	subsidizes
much	much	much
of	of	of
the	the	the
agriculture	agricultur	agriculture
industry	industri	industry
and	and	and
that	that	that
we	we	we
should	should	should
not	not	not
pretend	pretend	pretend
we	we	we
re	re	re
in	in	in
a	a	a
global	global	global
free	free	free
market	market	market
when	when	when
it	it	it
comes	come	come
to	to	to
agriculture	agricultur	agriculture
.	.	.

Every	everi	Every
country	countri	country
protects	protect	protects
,	,	,
for	for	for
good	good	good
reason	reason	reason
,	,	,
its	it	it
agricultural	agricultur	agricultural
industries	industri	industry
.	.	.

Trudeau	trudeau	Trudeau
went	went	went
on	on	on
to	to	to
say	say	say
that	that	that
Canada	canada	Canada
is	is	is
not	not	not
going	go	going
to	to	to
overreact	overreact	overreact
,	,	,
but	but	but
will	will	will
instead	instead	instead
lay	lay	lay
out	out	out
the	the	the
facts	fact	fact
and	and	and
hold	hold	hold
substantive	substant	substantive
talks	talk	talk
about	about	about
how	how	how
Canada	canada	Canada
,	,	,
Mexico	mexico	Mexico
,	,	,
and	and	and
the	the	the
United	unit	United
States	state	States
can	can	can
fix	fix	fix
some	some	some
of	of	of
the	the	the
issues	issu	issue
with	with	with
NAFTA	nafta	NAFTA
that	that	that
need	need	need
tweaking	tweak	tweaking
.	.	.

Trudeau	trudeau	Trudeau
even	even	even
addressed	address	addressed
Trump	trump	Trump
directly	direct	directly
by	by	by
stating	state	stating
that	that	that
once	onc	once
Trump	trump	Trump
is	is	is
presented	present	presented
the	the	the
facts	fact	fact
he	he	he
ll	ll	ll
take	take	take
a	a	a
different	differ	different
position	posit	position
.	.	.

He	he	He
has	has	ha
shown	shown	shown
if	if	if
he	he	he
says	say	say
one	one	one
thing	thing	thing
and	and	and
actually	actual	actually
hears	hear	hears
good	good	good
counter	counter	counter
arguments	argument	argument
or	or	or
good	good	good
reasons	reason	reason
why	whi	why
he	he	he
should	should	should
shift	shift	shift
his	his	his
position	posit	position
,	,	,
he	he	he
will	will	will
take	take	take
a	a	a
different	differ	different
position	posit	position
if	if	if
it	it	it
s	s	s
a	a	a
better	better	better
one	one	one
,	,	,
if	if	if
the	the	the
arguments	argument	argument
win	win	win
him	him	him
over	over	over
,	,	,
Trudeau	trudeau	Trudeau
said	said	said
.	.	.
Here	here	Here
s	s	s
the	the	the
video	video	video
via	via	via
YouTube	youtub	YouTube
