#MerkelLegacy	#merkellegaci	#MerkelLegacy
pic.twitter.com/wBh5Cjj2IW	pic.twitter.com/wbh5cjj2iw	pic.twitter.com/wBh5Cjj2IW
James	jame	James
Woods	wood	Woods
@RealJamesWoods	@realjameswood	@RealJamesWoods
February	februari	February
24	24	24
,	,	,
2017In	2017in	2017In
August	august	August
2016	2016	2016
,	,	,
Angela	angela	Angela
Merkel	merkel	Merkel
defended	defend	defended
her	her	her
open	open	open
-borders	-border	-borders
policy	polici	policy
Aug	aug	Aug
.	.	.

23	23	23
,	,	,
2016	2016	2016
ANGELA	angela	ANGELA
Merkel	merkel	Merkel
has	has	ha
defended	defend	defended
her	her	her
open	open	open
-door	-door	-door
immigration	immigr	immigration
policy	polici	policy
claiming	claim	claiming
it	it	it
was	was	wa
a	a	a
humanitarian	humanitarian	humanitarian
duty	duti	duty
to	to	to
let	let	let
in	in	in
almost	almost	almost
two	two	two
million	million	million
migrants	migrant	migrant
last	last	last
year	year	year
.	.	.
However	howev	However
,	,	,
the	the	the
German	german	German
Chancellor	chancellor	Chancellor
admitted	admit	admitted
some	some	some
areas	area	area
of	of	of
her	her	her
immigration	immigr	immigration
stance	stanc	stance
could	could	could
be	be	be
improved	improv	improved
following	follow	following
a	a	a
U	u	U
-turn	-turn	-turn
in	in	in
public	public	public
opinion	opinion	opinion
against	against	against
refugees	refuge	refugee
.	.	.
This	this	This
was	was	wa
sparked	spark	sparked
in	in	in
part	part	part
by	by	by
the	the	the
Cologne	cologn	Cologne
sex	sex	sex
attack	attack	attack
,	,	,
carried	carri	carried
out	out	out
by	by	by
migrant	migrant	migrant
gangs	gang	gang
on	on	on
thousands	thousand	thousand
of	of	of
women	women	woman
,	,	,
and	and	and
a	a	a
string	string	string
of	of	of
recent	recent	recent
terror	terror	terror
attacks	attack	attack
where	where	where
the	the	the
attacker	attack	attacker
was	was	wa
an	an	an
asylum	asylum	asylum
seeker	seeker	seeker
.	.	.
Nearly	near	Nearly
a	a	a
year	year	year
on	on	on
from	from	from
when	when	when
Germany	germani	Germany
s	s	s
borders	border	border
were	were	were
opened	open	opened
,	,	,
Mrs	mrs	Mrs
Merkel	merkel	Merkel
still	still	still
defended	defend	defended
the	the	the
controversial	controversi	controversial
decision	decis	decision
but	but	but
identified	identifi	identified
certain	certain	certain
areas	area	area
where	where	where
change	chang	change
was	was	wa
needed	need	needed
.	.	.
Faced	face	Faced
with	with	with
international	intern	international
criticism	critic	criticism
,	,	,
she	she	she
claimed	claim	claimed
the	the	the
open	open	open
-door	-door	-door
policy	polici	policy
was	was	wa
necessary	necessari	necessary
and	and	and
right	right	right
.	.	.
On	on	On
September	septemb	September
4	4	4
,	,	,
2016	2016	2016
Angela	angela	Angela
Merkel	merkel	Merkel
s	s	s
party	parti	party
CDU	cdu	CDU
party	parti	party
was	was	wa
soundly	sound	soundly
defeated	defeat	defeated
by	by	by
the	the	the
anti	anti	anti
-migrant	-migrant	-migrant
AfD	afd	AfD
party	parti	party
in	in	in
the	the	the
German	german	German
state	state	state
election	elect	election
.	.	.

Merkel	merkel	Merkel
assumed	assum	assumed
some	some	some
of	of	of
the	the	the
blame	blame	blame
for	for	for
her	her	her
reckless	reckless	reckless
immigration	immigr	immigration
policy	polici	policy
,	,	,
but	but	but
still	still	still
defended	defend	defended
her	her	her
position	posit	position
.	.	.
On	on	On
September	septemb	September
19	19	19
,	,	,
2016	2016	2016
,	,	,
Merkel	merkel	Merkel
admitted	admit	admitted
for	for	for
first	first	first
time	time	time
she	she	she
may	may	may
have	have	have
blundered	blunder	blundered
over	over	over
the	the	the
migration	migrat	migration
crisis	crisi	crisis
in	in	in
the	the	the
wake	wake	wake
of	of	of
another	anoth	another
bitter	bitter	bitter
poll	poll	poll
drubbing	drub	drubbing
.	.	.
The	the	The
German	german	German
Chancellor	chancellor	Chancellor
admitted	admit	admitted
she	she	she
was	was	wa
unprepared	unprepar	unprepared
for	for	for
last	last	last
year	year	year
s	s	s
one	one	one
million	million	million
strong	strong	strong
migrant	migrant	migrant
influx	influx	influx
.	.	.

If	if	If
I	i	I
could	could	could
,	,	,
I	i	I
would	would	would
go	go	go
back	back	back
in	in	in
time	time	time
to	to	to
be	be	be
better	better	better
prepared	prepar	prepared
for	for	for
the	the	the
refugee	refuge	refugee
crisis	crisi	crisis
in	in	in
2015	2015	2015
,	,	,
for	for	for
which	which	which
we	we	we
were	were	were
rather	rather	rather
unprepared	unprepar	unprepared
.	.	.

So	so	So
why	whi	why
are	are	are
the	the	the
mainstream	mainstream	mainstream
media	media	medium
sources	sourc	source
ignoring	ignor	ignoring
what	what	what
is	is	is
really	realli	really
happening	happen	happening
to	to	to
countries	countri	country
like	like	like
Germany	germani	Germany
,	,	,
Sweden	sweden	Sweden
,	,	,
Austria	austria	Austria
,	,	,
Italy	itali	Italy
,	,	,
Hungary	hungari	Hungary
,	,	,
Greece	greec	Greece
,	,	,
France	franc	France
and	and	and
the	the	the
UK	uk	UK
?	?	?

Why	whi	Why
are	are	are
they	they	they
not	not	not
reporting	report	reporting
the	the	the
truth	truth	truth
about	about	about
the	the	the
damage	damag	damage
this	this	this
invasion	invas	invasion
of	of	of
refugees	refuge	refugee
has	has	ha
done	done	done
to	to	to
their	their	their
culture	cultur	culture
,	,	,
to	to	to
crime	crime	crime
rates	rate	rate
specifically	specif	specifically
rape	rape	rape
and	and	and
sexual	sexual	sexual
assaults	assault	assault
in	in	in
their	their	their
communities	communiti	community
and	and	and
to	to	to
their	their	their
welfare	welfar	welfare
systems	system	system
?	?	?
Watch	watch	Watch
this	this	this
eye	eye	eye
-opening	-open	-opening
interview	interview	interview
with	with	with
filmmaker	filmmak	filmmaker
Ami	ami	Ami
Horowitz	horowitz	Horowitz
as	as	a
he	he	he
explains	explain	explains
to	to	to
FOX	fox	FOX
News	news	News
Tucker	tucker	Tucker
Carlson	carlson	Carlson
what	what	what
he	he	he
found	found	found
when	when	when
he	he	he
traveled	travel	traveled
to	to	to
open	open	open
-borders	-border	-borders
Sweden	sweden	Sweden
to	to	to
make	make	make
a	a	a
documentary	documentari	documentary
on	on	on
the	the	the
effects	effect	effect
of	of	of
the	the	the
invasion	invas	invasion
of	of	of
refugees	refuge	refugee
https://www.youtube.com/watch?v=-aVs2u-R1Mk	https://www.youtube.com/watch?v=-avs2u-r1mk	https://www.youtube.com/watch?v=-aVs2u-R1Mk

