Make	make	Make
it	it	it
STOP	stop	STOP
!	!	!

Every	everi	Every
day	day	day
another	anoth	another
truth	truth	truth
is	is	is
revealed	reveal	revealed
about	about	about
something	someth	something
Obama	obama	Obama
or	or	or
the	the	the
Obama	obama	Obama
administration	administr	administration
has	has	ha
done	done	done
to	to	to
put	put	put
the	the	the
citizens	citizen	citizen
of	of	of
the	the	the
United	unit	United
States	state	States
in	in	in
danger	danger	danger
.	.	.

These	these	These
stories	stori	story
are	are	are
so	so	so
incredible	incred	incredible
it	it	it
makes	make	make
every	everi	every
thinking	think	thinking
American	american	American
wonder	wonder	wonder
how	how	how
they	they	they
can	can	can
be	be	be
true	true	true
.	.	.

More	more	More
importantly	import	importantly
,	,	,
how	how	how
can	can	can
this	this	this
be	be	be
happening	happen	happening
and	and	and
no	no	no
one	one	one
in	in	in
America	america	America
is	is	is
able	abl	able
to	to	to
stop	stop	stop
it	it	it
?	?	?

This	this	This
is	is	is
one	one	one
of	of	of
those	those	those
stories	stori	story
The	the	The
Obama	obama	Obama
administration	administr	administration
is	is	is
withholding	withhold	withholding
from	from	from
Congress	congress	Congress
and	and	and
the	the	the
American	american	American
people	peopl	people
detailed	detail	detailed
information	inform	information
about	about	about
more	more	more
than	than	than
86	86	86
,	,	,
000	000	000
illegal	illeg	illegal
aliens	alien	alien
who	who	who
have	have	have
committed	commit	committed
serious	serious	serious
crimes	crime	crime
and	and	and
continue	continu	continue
to	to	to
walk	walk	walk
the	the	the
streets	street	street
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
according	accord	according
to	to	to
conversations	convers	conversation
with	with	with
a	a	a
member	member	member
of	of	of
Congress	congress	Congress
,	,	,
who	who	who
disclosed	disclos	disclosed
to	to	to
the	the	the
Washington	washington	Washington
Free	free	Free
Beacon	beacon	Beacon
that	that	that
if	if	if
the	the	the
public	public	public
knew	knew	knew
about	about	about
this	this	this
there	there	there
would	would	would
be	be	be
total	total	total
absolute	absolut	absolute
outrage	outrag	outrage
over	over	over
the	the	the
matter	matter	matter
.	.	.
Rep	rep	Rep
.	.	.

Brian	brian	Brian
Babin	babin	Babin
R	r	R
.	.	.
,	,	,
Texas	texa	Texas
told	told	told
the	the	the
Free	free	Free
Beacon	beacon	Beacon
that	that	that
the	the	the
administration	administr	administration
is	is	is
trying	tri	trying
to	to	to
suppress	suppress	suppress
information	inform	information
about	about	about
the	the	the
release	releas	release
of	of	of
some	some	some
86	86	86
,	,	,
000	000	000
criminal	crimin	criminal
illegal	illeg	illegal
immigrants	immigr	immigrant
who	who	who
have	have	have
committed	commit	committed
231	231	231
,	,	,
000	000	000
crimes	crime	crime
in	in	in
just	just	just
the	the	the
past	past	past
two	two	two
and	and	and
a	a	a
half	half	half
years	year	year
.	.	.
Babin	babin	Babin
,	,	,
who	who	who
is	is	is
spearheading	spearhead	spearheading
new	new	new
legislation	legisl	legislation
to	to	to
boost	boost	boost
the	the	the
deportation	deport	deportation
rate	rate	rate
of	of	of
these	these	these
criminals	crimin	criminal
,	,	,
many	mani	many
of	of	of
whom	whom	whom
continue	continu	continue
to	to	to
walk	walk	walk
free	free	free
across	across	across
America	america	America
,	,	,
warned	warn	warned
that	that	that
the	the	the
administration	administr	administration
is	is	is
not	not	not
taking	take	taking
action	action	action
to	to	to
deport	deport	deport
these	these	these
criminal	crimin	criminal
illegal	illeg	illegal
immigrants	immigr	immigrant
once	onc	once
they	they	they
are	are	are
freed	freed	freed
from	from	from
U	u	U
.	.	.
S	s	S
.	.	.
prisons	prison	prison
.	.	.

All	all	All
I	i	I
can	can	can
think	think	think
of	of	of
is	is	is
they	they	they
don	don	don
t	t	t
want	want	want
the	the	the
general	general	general
public	public	public
to	to	to
know	know	know
what	what	what
s	s	s
going	go	going
on	on	on
,	,	,
Babin	babin	Babin
said	said	said
in	in	in
an	an	an
interview	interview	interview
.	.	.

When	when	When
you	you	you
have	have	have
86	86	86
,	,	,
000	000	000
criminal	crimin	criminal
aliens	alien	alien
committing	commit	committing
231	231	231
,	,	,
000	000	000
crimes	crime	crime
just	just	just
over	over	over
the	the	the
last	last	last
two	two	two
and	and	and
half	half	half
years	year	year
,	,	,
I	i	I
don	don	don
t	t	t
think	think	think
they	they	they
want	want	want
the	the	the
public	public	public
to	to	to
know	know	know
what	what	what
s	s	s
going	go	going
on	on	on
.	.	.

I	i	I
think	think	think
if	if	if
the	the	the
public	public	public
knew	knew	knew
about	about	about
this	this	this
there	there	there
would	would	would
be	be	be
total	total	total
absolute	absolut	absolute
outrage	outrag	outrage
,	,	,
Babin	babin	Babin
said	said	said
.	.	.

I	i	I
talk	talk	talk
to	to	to
some	some	some
of	of	of
these	these	these
victims	victim	victim
families	famili	family
,	,	,
it	it	it
s	s	s
just	just	just
incredible	incred	incredible
to	to	to
see	see	see
what	what	what
has	has	ha
happened	happen	happened
and	and	and
the	the	the
fact	fact	fact
these	these	these
people	peopl	people
served	serv	served
time	time	time
for	for	for
felonies	feloni	felony
,	,	,
they	they	they
re	re	re
released	releas	released
from	from	from
prison	prison	prison
,	,	,
they	they	they
re	re	re
illegally	illeg	illegally
here	here	here
,	,	,
and	and	and
then	then	then
not	not	not
being	be	being
deported	deport	deported
,	,	,
so	so	so
they	they	they
go	go	go
back	back	back
to	to	to
their	their	their
life	life	life
of	of	of
crime	crime	crime
.	.	.

Babin	babin	Babin
said	said	said
that	that	that
he	he	he
has	has	ha
not	not	not
had	had	had
any	ani	any
briefings	brief	briefing
by	by	by
the	the	the
administration	administr	administration
on	on	on
the	the	the
matter	matter	matter
.	.	.

My	my	My
briefings	brief	briefing
are	are	are
coming	come	coming
from	from	from
the	the	the
victims	victim	victim
families	famili	family
or	or	or
the	the	the
victims	victim	victim
themselves	themselv	themselves
of	of	of
these	these	these
people	peopl	people
who	who	who
are	are	are
being	be	being
released	releas	released
and	and	and
are	are	are
criminal	crimin	criminal
aliens	alien	alien
here	here	here
,	,	,
he	he	he
said	said	said
.	.	.

Some	some	Some
of	of	of
these	these	these
stories	stori	story
are	are	are
absolutely	absolut	absolutely
tragic	tragic	tragic
.	.	.

Babin	babin	Babin
is	is	is
the	the	the
author	author	author
of	of	of
legislation	legisl	legislation
that	that	that
would	would	would
halt	halt	halt
travel	travel	travel
visas	visa	visa
and	and	and
U	u	U
.	.	.
S	s	S
.	.	.
foreign	foreign	foreign
aid	aid	aid
to	to	to
any	ani	any
country	countri	country
that	that	that
refuses	refus	refuse
to	to	to
take	take	take
back	back	back
its	it	it
citizens	citizen	citizen
.	.	.
The	the	The
bill	bill	bill
comes	come	come
as	as	a
the	the	the
Obama	obama	Obama
administration	administr	administration
has	has	ha
deported	deport	deported
a	a	a
very	veri	very
small	small	small
number	number	number
of	of	of
illegal	illeg	illegal
immigrants	immigr	immigrant
from	from	from
the	the	the
United	unit	United
States	state	States
.	.	.
The	the	The
Immigration	immigr	Immigration
and	and	and
Customs	custom	Customs
Enforcement	enforc	Enforcement
bureau	bureau	bureau
deported	deport	deported
nearly	near	nearly
410	410	410
,	,	,
000	000	000
aliens	alien	alien
in	in	in
2012	2012	2012
when	when	when
it	it	it
received	receiv	received
roughly	rough	roughly
2	2	2
.	.	.
8	8	8
billion	billion	billion
in	in	in
taxpayer	taxpay	taxpayer
funds	fund	fund
.	.	.

The	the	The
agency	agenc	agency
expelled	expel	expelled
just	just	just
235	235	235
,	,	,
413	413	413
aliens	alien	alien
in	in	in
2015	2015	2015
but	but	but
received	receiv	received
around	around	around
3	3	3
.	.	.
5	5	5
billion	billion	billion
to	to	to
fund	fund	fund
its	it	it
deportation	deport	deportation
programs	program	program
,	,	,
according	accord	according
to	to	to
the	the	the
DHS	dhs	DHS
statistics	statist	statistic
.	.	.
Deportations	deport	Deportations
have	have	have
dropped	drop	dropped
by	by	by
174	174	174
,	,	,
436	436	436
over	over	over
the	the	the
past	past	past
three	three	three
years	year	year
despite	despit	despite
an	an	an
increase	increas	increase
in	in	in
funding	fund	funding
totaling	total	totaling
more	more	more
than	than	than
680	680	680
million	million	million
,	,	,
according	accord	according
to	to	to
the	the	the
statistics	statist	statistic
.	.	.
Separate	separ	Separate
statistics	statist	statistic
issued	issu	issued
by	by	by
the	the	the
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
reveal	reveal	reveal
that	that	that
the	the	the
administration	administr	administration
