Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
was	was	wa
absolutely	absolut	absolutely
grilled	grill	grilled
by	by	by
Chuck	chuck	Chuck
Todd	todd	Todd
on	on	on
Friday	friday	Friday
because	becaus	because
Donald	donald	Donald
Trump	trump	Trump
has	has	ha
been	been	been
picking	pick	picking
Goldman	goldman	Goldman
Sachs	sach	Sachs
executives	execut	executive
for	for	for
his	his	his
cabinet	cabinet	cabinet
.	.	.
Donald	donald	Donald
Trump	trump	Trump
spent	spent	spent
a	a	a
good	good	good
part	part	part
of	of	of
his	his	his
campaign	campaign	campaign
trashing	trash	trashing
Hillary	hillari	Hillary
Clinton	clinton	Clinton
for	for	for
having	have	having
mere	mere	mere
connections	connect	connection
to	to	to
Goldman	goldman	Goldman
Sachs	sach	Sachs
.	.	.

Now	now	Now
he	he	he
has	has	ha
picked	pick	picked
three	three	three
Goldman	goldman	Goldman
Sachs	sach	Sachs
alums	alum	alum
,	,	,
including	includ	including
Steve	steve	Steve
Bannon	bannon	Bannon
as	as	a
his	his	his
chief	chief	chief
policy	polici	policy
strategist	strategist	strategist
,	,	,
Steven	steven	Steven
Mnuchin	mnuchin	Mnuchin
as	as	a
Treasury	treasuri	Treasury
Secretary	secretari	Secretary
,	,	,
and	and	and
Gary	gari	Gary
Cohn	cohn	Cohn
as	as	a
the	the	the
head	head	head
of	of	of
the	the	the
National	nation	National
Economic	econom	Economic
Council	council	Council
.	.	.
Chuck	chuck	Chuck
Todd	todd	Todd
began	began	began
by	by	by
playing	play	playing
video	video	video
of	of	of
Trump	trump	Trump
demonizing	demon	demonizing
Ted	ted	Ted
Cruz	cruz	Cruz
and	and	and
Hillary	hillari	Hillary
Clinton	clinton	Clinton
for	for	for
taking	take	taking
donations	donat	donation
from	from	from
Goldman	goldman	Goldman
Sachs	sach	Sachs
.	.	.

They	they	They
have	have	have
total	total	total
control	control	control
over	over	over
him	him	him
just	just	just
like	like	like
they	they	they
have	have	have
total	total	total
control	control	control
over	over	over
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
Trump	trump	Trump
said	said	said
,	,	,
claiming	claim	claiming
that	that	that
he	he	he
doesn	doesn	doesn
t	t	t
need	need	need
money	money	money
from	from	from
Goldman	goldman	Goldman
Sachs	sach	Sachs
and	and	and
that	that	that
doesn	doesn	doesn
t	t	t
want	want	want
it	it	it
,	,	,
therefore	therefor	therefore
,	,	,
Goldman	goldman	Goldman
Sachs	sach	Sachs
has	has	ha
no	no	no
control	control	control
over	over	over
him	him	him
.	.	.

He	he	He
railed	rail	railed
against	against	against
Goldman	goldman	Goldman
Sachs	sach	Sachs
,	,	,
Todd	todd	Todd
told	told	told
Conway	conway	Conway
.	.	.

Three	three	Three
Goldman	goldman	Goldman
Sachs	sach	Sachs
alums	alum	alum
.	.	.

Fairly	fair	Fairly
prominent	promin	prominent
positions	posit	position
.	.	.

How	how	How
is	is	is
that	that	that
not	not	not
hypocritical	hypocrit	hypocritical
?	?	?

Of	of	Of
course	cours	course
,	,	,
Conway	conway	Conway
tried	tri	tried
to	to	to
spin	spin	spin
in	in	in
defense	defens	defense
of	of	of
Trump	trump	Trump
.	.	.

He	he	He
railed	rail	railed
against	against	against
their	their	their
political	polit	political
influence	influenc	influence
,	,	,
Conway	conway	Conway
said	said	said
,	,	,
which	which	which
doesn	doesn	doesn
t	t	t
really	realli	really
make	make	make
sense	sens	sense
since	sinc	since
Trump	trump	Trump
literally	liter	literally
just	just	just
gave	gave	gave
three	three	three
Goldman	goldman	Goldman
Sachs	sach	Sachs
executives	execut	executive
tremendous	tremend	tremendous
political	polit	political
influence	influenc	influence
.	.	.
Nevertheless	nevertheless	Nevertheless
,	,	,
Conway	conway	Conway
claimed	claim	claimed
that	that	that
they	they	they
don	don	don
t	t	t
have	have	have
influence	influenc	influence
over	over	over
him	him	him
politically	polit	politically
and	and	and
they	they	they
will	will	will
not	not	not
have	have	have
influence	influenc	influence
over	over	over
him	him	him
politically	polit	politically
in	in	in
the	the	the
White	white	White
House	hous	House
.	.	.

However	howev	However
,	,	,
Trump	trump	Trump
has	has	ha
said	said	said
that	that	that
Goldman	goldman	Goldman
Sachs	sach	Sachs
owns	own	owns
Ted	ted	Ted
Cruz	cruz	Cruz
because	becaus	because
he	he	he
took	took	took
loans	loan	loan
from	from	from
them	them	them
.	.	.

But	but	But
that	that	that
logic	logic	logic
backfired	backfir	backfired
because	becaus	because
it	it	it
turns	turn	turn
out	out	out
Trump	trump	Trump
has	has	ha
also	also	also
taken	taken	taken
loans	loan	loan
from	from	from
Goldman	goldman	Goldman
Sachs	sach	Sachs
,	,	,
which	which	which
according	accord	according
to	to	to
Trump	trump	Trump
means	mean	mean
they	they	they
own	own	own
him	him	him
.	.	.

And	and	And
now	now	now
three	three	three
of	of	of
them	them	them
are	are	are
in	in	in
