Donald	donald	Donald
Trump	trump	Trump
gave	gave	gave
his	his	his
first	first	first
press	press	press
conference	confer	conference
since	sinc	since
being	be	being
elected	elect	elected
today	today	today
.	.	.
He	he	He
stood	stood	stood
on	on	on
that	that	that
stage	stage	stage
and	and	and
told	told	told
the	the	the
American	american	American
people	peopl	people
yet	yet	yet
again	again	again
that	that	that
Mexico	mexico	Mexico
was	was	wa
going	go	going
to	to	to
pay	pay	pay
for	for	for
the	the	the
wall	wall	wall
he	he	he
wants	want	want
to	to	to
build	build	build
along	along	along
our	our	our
southern	southern	southern
border	border	border
.	.	.
But	but	But
at	at	at
the	the	the
same	same	same
time	time	time
,	,	,
the	the	the
president	presid	president
of	of	of
Mexico	mexico	Mexico
was	was	wa
insisting	insist	insisting
once	onc	once
more	more	more
that	that	that
they	they	they
aren	aren	aren
t	t	t
paying	pay	paying
for	for	for
Trump	trump	Trump
s	s	s
stupid	stupid	stupid
wall	wall	wall
.	.	.
Speaking	speak	Speaking
to	to	to
a	a	a
group	group	group
of	of	of
Mexico	mexico	Mexico
s	s	s
ambassadors	ambassador	ambassador
and	and	and
consuls	consul	consul
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
Mexican	mexican	Mexican
President	presid	President
Enrique	enriqu	Enrique
Pe	pe	Pe
a	a	a
Nieto	nieto	Nieto
said	said	said
that	that	that
Mexico	mexico	Mexico
has	has	ha
some	some	some
differences	differ	difference
with	with	with
the	the	the
next	next	next
government	govern	government
of	of	of
the	the	the
United	unit	United
States	state	States
,	,	,
like	like	like
the	the	the
topic	topic	topic
of	of	of
the	the	the
wall	wall	wall
that	that	that
Mexico	mexico	Mexico
of	of	of
course	cours	course
will	will	will
not	not	not
pay	pay	pay
for	for	for
.	.	.
Pe	pe	Pe
a	a	a
Nieto	nieto	Nieto
said	said	said
that	that	that
no	no	no
matter	matter	matter
what	what	what
Trump	trump	Trump
may	may	may
say	say	say
,	,	,
Mexico	mexico	Mexico
isn	isn	isn
t	t	t
going	go	going
to	to	to
foot	foot	foot
the	the	the
bill	bill	bill
for	for	for
the	the	the
wall	wall	wall
.	.	.
He	he	He
also	also	also
said	said	said
in	in	in
no	no	no
uncertain	uncertain	uncertain
terms	term	term
that	that	that
Mexico	mexico	Mexico
