Did	did	Did
you	you	you
know	know	know
that	that	that
government	govern	government
regulations	regul	regulation
would	would	would
keep	keep	keep
Bernie	berni	Bernie
Marcus	marcus	Marcus
from	from	from
starting	start	starting
Home	home	Home
Depot	depot	Depot
today	today	today
?	?	?
New	new	New
businesses	busi	business
across	across	across
America	america	America
are	are	are
being	be	being
strangled	strangl	strangled
by	by	by
faceless	faceless	faceless
bureaucrats	bureaucrat	bureaucrat
and	and	and
politicians	politician	politician
who	who	who
erroneously	erron	erroneously
believe	believ	believe
that	that	that
government	govern	government
can	can	can
do	do	do
it	it	it
better	better	better
.	.	.
Bernie	berni	Bernie
MarcusHome	marcushom	MarcusHome
Depot	depot	Depot
founder	founder	founder
and	and	and
former	former	former
Jeb	jeb	Jeb
Bush	bush	Bush
-backer	-backer	-backer
Bernie	berni	Bernie
Marcus	marcus	Marcus
has	has	ha
endorsed	endors	endorsed
Republican	republican	Republican
presidential	presidenti	presidential
candidate	candid	candidate
Donald	donald	Donald
Trump	trump	Trump
,	,	,
saying	say	saying
the	the	the
fate	fate	fate
of	of	of
the	the	the
nation	nation	nation
hangs	hang	hang
on	on	on
sending	send	sending
him	him	him
to	to	to
the	the	the
White	white	White
House	hous	House
over	over	over
Hillary	hillari	Hillary
Clinton	clinton	Clinton
.	.	.
Writing	write	Writing
for	for	for
Real	real	Real
Clear	clear	Clear
Politics	polit	Politics
,	,	,
the	the	the
leading	lead	leading
businessman	businessman	businessman
said	said	said
new	new	new
businesses	busi	business
across	across	across
America	america	America
were	were	were
being	be	being
strangled	strangl	strangled
by	by	by
faceless	faceless	faceless
bureaucrats	bureaucrat	bureaucrat
and	and	and
politicians	politician	politician
who	who	who
erroneously	erron	erroneously
believe	believ	believe
that	that	that
government	govern	government
can	can	can
do	do	do
it	it	it
better	better	better
.	.	.
I	i	I
genuinely	genuin	genuinely
believe	believ	believe
that	that	that
if	if	if
we	we	we
to	to	to
started	start	started
The	the	The
Home	home	Home
Depot	depot	Depot
today	today	today
,	,	,
we	we	we
would	would	would
fail	fail	fail
because	becaus	because
of	of	of
the	the	the
hurdles	hurdl	hurdle
government	govern	government
,	,	,
especially	especi	especially
the	the	the
current	current	current
administration	administr	administration
,	,	,
places	place	place
in	in	in
front	front	front
of	of	of
small	small	small
business	busi	business
owners	owner	owner
,	,	,
he	he	he
writes	write	writes
.	.	.
Obama	obama	Obama
-style	-style	-style
government	govern	government
,	,	,
he	he	he
adds	add	add
,	,	,
is	is	is
driving	drive	driving
over	over	over
-regulation	-regul	-regulation
,	,	,
over	over	over
-taxation	-taxat	-taxation
,	,	,
over	over	over
-litigation	-litig	-litigation
,	,	,
and	and	and
over	over	over
-spending	-spend	-spending
and	and	and
thus	thus	thus
killing	kill	killing
small	small	small
businesses	busi	business
,	,	,
which	which	which
create	creat	create
the	the	the
majority	major	majority
of	of	of
new	new	new
jobs	job	job
in	in	in
America	america	America
.	.	.
Politicians	politician	Politicians
like	like	like
Obama	obama	Obama
and	and	and
Clinton	clinton	Clinton
,	,	,
aided	aid	aided
by	by	by
the	the	the
media	media	medium
and	and	and
academia	academia	academia
,	,	,
have	have	have
peddled	peddl	peddled
a	a	a
dangerous	danger	dangerous
sentiment	sentiment	sentiment
that	that	that
government	govern	government
can	can	can
provide	provid	provide
for	for	for
Americans	american	Americans
better	better	better
than	than	than
the	the	the
private	privat	private
sector	sector	sector
.	.	.
That	that	That
s	s	s
not	not	not
just	just	just
false	fals	false
,	,	,
it	it	it
s	s	s
likely	like	likely
the	the	the
nexus	nexus	nexus
of	of	of
Trump	trump	Trump
s	s	s
massively	massiv	massively
popular	popular	popular
slogan	slogan	slogan
,	,	,
Make	make	Make
America	america	America
Great	great	Great
Again	again	Again
.	.	.
We	we	We
saw	saw	saw
it	it	it
first	first	first
hand	hand	hand
.	.	.
Donald	donald	Donald
Trump	trump	Trump
,	,	,
he	he	he
says	say	say
,	,	,
is	is	is
the	the	the
only	onli	only
man	man	man
who	who	who
can	can	can
make	make	make
America	america	America
great	great	great
again	again	again
by	by	by
cutting	cut	cutting
red	red	red
tape	tape	tape
and	and	and
changing	chang	changing
the	the	the
course	cours	course
of	of	of
the	the	the
country	countri	country
.	.	.
As	as	As
Americans	american	Americans
,	,	,
the	the	the
choice	choic	choice
is	is	is
abundantly	abund	abundantly
clear	clear	clear
If	if	If
you	you	you
want	want	want
four	four	four
more	more	more
years	year	year
of	of	of
President	presid	President
Obama	obama	Obama
,	,	,
vote	vote	vote
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
;	;	;
if	if	if
you	you	you
want	want	want
to	to	to
take	take	take
the	the	the
country	countri	country
in	in	in
a	a	a
new	new	new
direction	direct	direction
,	,	,
vote	vote	vote
for	for	for
Donald	donald	Donald
Trump	trump	Trump
.	.	.
He	he	He
also	also	also
issued	issu	issued
a	a	a
