One	one	One
Party	parti	Party
Favors	favor	Favors
Open	open	Open
Borders	border	Borders
,	,	,
The	the	The
Other	other	Other
Party	parti	Party
Favors	favor	Favors
Law	law	Law
And	and	And
Order	order	Order
A	a	A
priest	priest	priest
is	is	is
not	not	not
only	onli	only
protected	protect	protected
by	by	by
the	the	the
First	first	First
Amendment	amend	Amendment
,	,	,
at	at	at
least	least	least
for	for	for
now	now	now
,	,	,
he	he	he
is	is	is
also	also	also
bound	bound	bound
by	by	by
the	the	the
5th	5th	5th
Commandment	command	Commandment
,	,	,
Thou	thou	Thou
shalt	shalt	shalt
not	not	not
kill	kill	kill
.	.	.

If	if	If
a	a	a
priest	priest	priest
doesn	doesn	doesn
t	t	t
speak	speak	speak
up	up	up
for	for	for
the	the	the
most	most	most
vulnerable	vulner	vulnerable
in	in	in
our	our	our
society	societi	society
and	and	and
if	if	if
the	the	the
Catholic	cathol	Catholic
faithful	faith	faithful
don	don	don
t	t	t
actively	activ	actively
protect	protect	protect
the	the	the
most	most	most
vulnerable	vulner	vulnerable
in	in	in
our	our	our
society	societi	society
by	by	by
refusing	refus	refusing
to	to	to
enable	enabl	enable
their	their	their
deliberate	deliber	deliberate
destruction	destruct	destruction
with	with	with
their	their	their
vote	vote	vote
,	,	,
then	then	then
such	such	such
Catholics	cathol	Catholics
,	,	,
the	the	the
priest	priest	priest
and	and	and
the	the	the
laity	laiti	laity
are	are	are
condoning	condon	condoning
their	their	their
acts	act	act
with	with	with
their	their	their
cowardice	cowardic	cowardice
.	.	.

Part	part	Part
of	of	of
every	everi	every
Catholic	cathol	Catholic
s	s	s
share	share	share
in	in	in
the	the	the
hardship	hardship	hardship
of	of	of
the	the	the
gospel	gospel	gospel
,	,	,
including	includ	including
your	your	your
priests	priest	priest
,	,	,
is	is	is
that	that	that
we	we	we
must	must	must
repent	repent	repent
of	of	of
our	our	our
actions	action	action
that	that	that
are	are	are
offensive	offens	offensive
to	to	to
God	god	God
and	and	and
destructive	destruct	destructive
to	to	to
our	our	our
brothers	brother	brother
and	and	and
sisters	sister	sister
.	.	.

We	we	We
must	must	must
oppose	oppos	oppose
the	the	the
threats	threat	threat
to	to	to
innocent	innoc	innocent
life	life	life
that	that	that
are	are	are
the	the	the
most	most	most
real	real	real
and	and	and
the	the	the
most	most	most
urgent	urgent	urgent
.	.	.

Make	make	Make
no	no	no
mistake	mistak	mistake
,	,	,
there	there	there
is	is	is
no	no	no
single	singl	single
issue	issu	issue
that	that	that
threatens	threaten	threatens
innocent	innoc	innocent
human	human	human
life	life	life
more	more	more
directly	direct	directly
,	,	,
consistently	consist	consistently
,	,	,
imminently	immin	imminently
and	and	and
urgently	urgent	urgently
than	than	than
the	the	the
deliberate	deliber	deliberate
killing	kill	killing
of	of	of
baby	babi	baby
girls	girl	girl
and	and	and
baby	babi	baby
boys	boy	boy
in	in	in
their	their	their
mother	mother	mother
s	s	s
womb	womb	womb
No	no	No
issue	issu	issue
!	!	!

We	we	We
have	have	have
a	a	a
serious	serious	serious
obligation	oblig	obligation
to	to	to
protect	protect	protect
human	human	human
life	life	life
,	,	,
and	and	and
especially	especi	especially
the	the	the
lives	live	life
of	of	of
the	the	the
most	most	most
innocent	innoc	innocent
and	and	and
vulnerable	vulner	vulnerable
among	among	among
us	us	u
.	.	.

Whoever	whoever	Whoever
fails	fail	fails
to	to	to
do	do	do
this	this	this
,	,	,
whenever	whenev	whenever
otherwise	otherwis	otherwise
able	abl	able
to	to	to
do	do	do
so	so	so
,	,	,
commits	commit	commits
a	a	a
serious	serious	serious
sin	sin	sin
of	of	of
omission	omiss	omission
.	.	.

They	they	They
jeopardize	jeopard	jeopardize
their	their	their
own	own	own
spiritual	spiritu	spiritual
well	well	well
being	be	being
and	and	and
are	are	are
a	a	a
source	sourc	source
of	of	of
scandal	scandal	scandal
for	for	for
others	other	others
.	.	.

Should	should	Should
they	they	they
be	be	be
Catholics	cathol	Catholics
they	they	they
should	should	should
NOT	not	NOT
receive	receiv	receive
holy	holi	holy
communion	communion	communion
.	.	.

Now	now	Now
I	i	I
hope	hope	hope
you	you	you
realize	realiz	realize
that	that	that
it	it	it
takes	take	take
a	a	a
lot	lot	lot
of	of	of
courage	courag	courage
for	for	for
a	a	a
priest	priest	priest
to	to	to
communicate	communic	communicate
such	such	such
challenging	challeng	challenging
words	word	word
as	as	a
these	these	these
,	,	,
reminding	remind	reminding
his	his	his
people	peopl	people
that	that	that
some	some	some
actions	action	action
are	are	are
so	so	so
greatly	great	greatly
sinful	sin	sinful
,	,	,
that	that	that
they	they	they
render	render	render
a	a	a
Catholic	cathol	Catholic
unworthy	unworthi	unworthy
of	of	of
holy	holi	holy
communion	communion	communion
until	until	until
there	there	there
is	is	is
complete	complet	complete
repentance	repent	repentance
.	.	.

A	a	A
priest	priest	priest
who	who	who
is	is	is
more	more	more
concerned	concern	concerned
about	about	about
the	the	the
state	state	state
of	of	of
his	his	his
peoples	peopl	people
souls	soul	soul
than	than	than
they	they	they
are	are	are
themselves	themselv	themselves
,	,	,
deserves	deserv	deserves
the	the	the
esteem	esteem	esteem
of	of	of
his	his	his
people	peopl	people
for	for	for
his	his	his
willingness	willing	willingness
to	to	to
speak	speak	speak
such	such	such
difficult	difficult	difficult
truth	truth	truth
with	with	with
genuine	genuin	genuine
love	love	love
.	.	.

To	to	To
put	put	put
the	the	the
welfare	welfar	welfare
of	of	of
his	his	his
people	peopl	people
s	s	s
souls	soul	soul
ahead	ahead	ahead
of	of	of
his	his	his
own	own	own
reputation	reput	reputation
,	,	,
popularity	popular	popularity
or	or	or
comfort	comfort	comfort
.	.	.

Such	such	Such
a	a	a
priest	priest	priest
should	should	should
receive	receiv	receive
respect	respect	respect
,	,	,
admiration	admir	admiration
and	and	and
support	support	support
,	,	,
rather	rather	rather
than	than	than
resistance	resist	resistance
or	or	or
criticism	critic	criticism
.	.	.

So	so	So
please	pleas	please
pray	pray	pray
for	for	for
,	,	,
thank	thank	thank
and	and	and
encourage	encourag	encourage
the	the	the
spiritual	spiritu	spiritual
Father	father	Father
that	that	that
God	god	God
has	has	ha
appointed	appoint	appointed
for	for	for
you	you	you
,	,	,
and	and	and
who	who	who
loves	love	love
you	you	you
enough	enough	enough
to	to	to
tell	tell	tell
you	you	you
the	the	the
truth	truth	truth
with	with	with
those	those	those
challenging	challeng	challenging
words	word	word
.	.	.

Because	becaus	Because
the	the	the
priest	priest	priest
who	who	who
said	said	said
those	those	those
particular	particular	particular
words	word	word
is	is	is
your	your	your
Bishop	bishop	Bishop
and	and	and
my	my	my
Bishop	bishop	Bishop
.	.	.

