Coming	come	Coming
into	into	into
Tuesday	tuesday	Tuesday
s	s	s
Republican	republican	Republican
primary	primari	primary
in	in	in
Indiana	indiana	Indiana
it	it	it
was	was	wa
pretty	pretti	pretty
much	much	much
do	do	do
or	or	or
die	die	die
for	for	for
Ted	ted	Ted
Cruz	cruz	Cruz
.	.	.

He	he	He
had	had	had
to	to	to
win	win	win
or	or	or
his	his	his
campaign	campaign	campaign
for	for	for
the	the	the
presidency	presid	presidency
was	was	wa
effectively	effect	effectively
over	over	over
.	.	.

And	and	And
boy	boy	boy
did	did	did
he	he	he
try	tri	try
.	.	.

He	he	He
put	put	put
all	all	all
he	he	he
could	could	could
into	into	into
trying	tri	trying
to	to	to
win	win	win
over	over	over
the	the	the
Hoosier	hoosier	Hoosier
state	state	state
,	,	,
but	but	but
try	tri	try
as	as	a
he	he	he
might	might	might
,	,	,
he	he	he
failed	fail	failed
miserably	miser	miserably
.	.	.

Donald	donald	Donald
Trump	trump	Trump
won	won	won
with	with	with
over	over	over
50	50	50
percent	percent	percent
of	of	of
the	the	the
vote	vote	vote
and	and	and
Ted	ted	Ted
Cruz	cruz	Cruz
was	was	wa
left	left	left
with	with	with
a	a	a
tough	tough	tough
decision	decis	decision
to	to	to
make	make	make
.	.	.
By	by	By
the	the	the
end	end	end
of	of	of
Cruz	cruz	Cruz
s	s	s
speech	speech	speech
after	after	after
his	his	his
Indiana	indiana	Indiana
loss	loss	loss
it	it	it
was	was	wa
pretty	pretti	pretty
damn	damn	damn
clear	clear	clear
that	that	that
he	he	he
was	was	wa
about	about	about
to	to	to
suspend	suspend	suspend
his	his	his
campaign	campaign	campaign
.	.	.

He	he	He
spoke	spoke	spoke
in	in	in
broad	broad	broad
,	,	,
sweeping	sweep	sweeping
conservative	conserv	conservative
analogies	analog	analogy
that	that	that
had	had	had
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
becoming	becom	becoming
president	presid	president
.	.	.

And	and	And
what	what	what
seemed	seem	seemed
obvious	obvious	obvious
became	becam	became
reality	realiti	reality
when	when	when
he	he	he
told	told	told
everyone	everyon	everyone
that	that	that
he	he	he
was	was	wa
pulling	pull	pulling
