A	a	A
Super	super	Super
PAC	pac	PAC
representing	repres	representing
white	white	white
nationalists	nationalist	nationalist
is	is	is
robocalling	robocal	robocalling
voters	voter	voter
in	in	in
Vermont	vermont	Vermont
and	and	and
Minnesota	minnesota	Minnesota
,	,	,
urging	urg	urging
them	them	them
to	to	to
vote	vote	vote
for	for	for
Donald	donald	Donald
Trump	trump	Trump
.	.	.
According	accord	According
to	to	to
Minnesota	minnesota	Minnesota
s	s	s
StarTribune	startribun	StarTribune
,	,	,
the	the	the
American	american	American
National	nation	National
Super	super	Super
PAC	pac	PAC
is	is	is
not	not	not
being	be	being
particularly	particular	particularly
discriminate	discrimin	discriminate
with	with	with
the	the	the
calls	call	call
.	.	.
Democratic	democrat	Democratic
voter	voter	voter
Roberta	roberta	Roberta
Maki	maki	Maki
received	receiv	received
what	what	what
she	she	she
described	describ	described
as	as	a
a	a	a
shocking	shock	shocking
call	call	call
from	from	from
the	the	the
group	group	group
.	.	.
The	the	The
group	group	group
also	also	also
called	call	called
Minnesota	minnesota	Minnesota
state	state	state
representative	repres	representative
Carly	car	Carly
Melin	melin	Melin
.	.	.
Rep	rep	Rep
.	.	.
Melin	melin	Melin
said	said	said
on	on	on
Twitter	twitter	Twitter
that	that	that
she	she	she
recorded	record	recorded
the	the	the
call	call	call
on	on	on
her	her	her
home	home	home
answering	answer	answering
machine	machin	machine
.	.	.
image	imag	image
credit	credit	credit
screen	screen	screen
capture	captur	capture
Carly	car	Carly
Melin	melin	Melin
via	via	via
TwitterDuring	twitterdur	TwitterDuring
the	the	the
45	45	45
-second	-second	-second
robocall	robocal	robocall
,	,	,
William	william	William
Johnson	johnson	Johnson
,	,	,
head	head	head
of	of	of
the	the	the
American	american	American
Freedom	freedom	Freedom
Party	parti	Party
,	,	,
urges	urg	urge
voters	voter	voter
to	to	to
support	support	support
Donald	donald	Donald
Trump	trump	Trump
,	,	,
claiming	claim	claiming
the	the	the
white	white	white
race	race	race
is	is	is
dying	die	dying
out	out	out
in	in	in
America	america	America
and	and	and
Europe	europ	Europe
.	.	.
Minnesota	minnesota	Minnesota
s	s	s
StarTribune	startribun	StarTribune
published	publish	published
a	a	a
transcript	transcript	transcript
of	of	of
the	the	the
call	call	call
,	,	,
which	which	which
reads	read	read
,	,	,
The	the	The
American	american	American
Nationalist	nationalist	Nationalist
Super	super	Super
PAC	pac	PAC
makes	make	make
this	this	this
call	call	call
to	to	to
support	support	support
Donald	donald	Donald
Trump	trump	Trump
.	.	.
I	i	I
am	am	am
William	william	William
Johnson	johnson	Johnson
,	,	,
a	a	a
farmer	farmer	farmer
and	and	and
white	white	white
nationalist	nationalist	nationalist
.	.	.
The	the	The
white	white	white
race	race	race
is	is	is
dying	die	dying
out	out	out
in	in	in
America	america	America
and	and	and
Europe	europ	Europe
because	becaus	because
we	we	we
are	are	are
afraid	afraid	afraid
to	to	to
be	be	be
called	call	called
racist	racist	racist
.	.	.
This	this	This
is	is	is
our	our	our
mind	mind	mind
-set	-set	-set
It	it	It
s	s	s
OK	ok	OK
that	that	that
our	our	our
government	govern	government
destroys	destroy	destroys
our	our	our
children	children	child
s	s	s
future	futur	future
,	,	,
but	but	but
don	don	don
t	t	t
call	call	call
me	me	me
racist	racist	racist
.	.	.
I	i	I
m	m	m
afraid	afraid	afraid
to	to	to
be	be	be
called	call	called
racist	racist	racist
.	.	.
It	it	It
s	s	s
OK	ok	OK
to	to	to
give	give	give
away	away	away
our	our	our
country	countri	country
for	for	for
immigration	immigr	immigration
,	,	,
but	but	but
don	don	don
t	t	t
call	call	call
me	me	me
racist	racist	racist
.	.	.
It	it	It
s	s	s
OK	ok	OK
that	that	that
few	few	few
schools	school	school
anymore	anymor	anymore
have	have	have
beautiful	beauti	beautiful
white	white	white
children	children	child
in	in	in
the	the	the
majority	major	majority
,	,	,
but	but	but
don	don	don
t	t	t
call	call	call
me	me	me
racist	racist	racist
.	.	.
Gradual	gradual	Gradual
genocide	genocid	genocide
against	against	against
the	the	the
white	white	white
race	race	race
is	is	is
OK	ok	OK
,	,	,
but	but	but
don	don	don
t	t	t
call	call	call
me	me	me
racist	racist	racist
.	.	.
I	i	I
m	m	m
afraid	afraid	afraid
to	to	to
be	be	be
called	call	called
