You	you	You
ll	ll	ll
never	never	never
guess	guess	guess
which	which	which
mainstream	mainstream	mainstream
TV	tv	TV
network	network	network
is	is	is
right	right	right
around	around	around
the	the	the
corner	corner	corner
from	from	from
this	this	this
operation	oper	operation
!	!	!
Illegal	illeg	Illegal
refugees	refuge	refugee
are	are	are
flooding	flood	flooding
the	the	the
49th	49th	49th
parallel	parallel	parallel
from	from	from
all	all	all
over	over	over
America	america	America
to	to	to
ILLEGALLY	illeg	ILLEGALLY
cross	cross	cross
into	into	into
Canada	canada	Canada
.	.	.
According	accord	According
to	to	to
Rebel	rebel	Rebel
Media	media	Media
s	s	s
report	report	report
,	,	,
this	this	this
is	is	is
a	a	a
well	well	well
-organized	-organ	-organized
effort	effort	effort
with	with	with
an	an	an
American	american	American
cab	cab	cab
company	compani	company
and	and	and
Greyhound	greyhound	Greyhound
as	as	a
well	well	well
as	as	a
US	us	US
and	and	and
Canadian	canadian	Canadian
border	border	border
agents	agent	agent
working	work	working
together	togeth	together
to	to	to
help	help	help
loosely	loos	loosely
vetted	vet	vetted
illegal	illeg	illegal
fake	fake	fake
refugees	refuge	refugee
cross	cross	cross
the	the	the
border	border	border
from	from	from
the	the	the
US	us	US
into	into	into
Canada	canada	Canada
.	.	.
Here	here	Here
s	s	s
how	how	how
it	it	it
works	work	work
A	a	A
Greyhound	greyhound	Greyhound
bus	bus	bus
or	or	or
runners	runner	runner
help	help	help
to	to	to
deliver	deliv	deliver
or	or	or
TRAFFIC	traffic	TRAFFIC
fake	fake	fake
refugees	refuge	refugee
from	from	from
all	all	all
over	over	over
the	the	the
United	unit	United
States	state	States
to	to	to
an	an	an
agreed	agre	agreed
upon	upon	upon
location	locat	location
,	,	,
where	where	where
the	the	the
Town	town	Town
Taxi	taxi	Taxi
cab	cab	cab
company	compani	company
picks	pick	pick
them	them	them
up	up	up
and	and	and
for	for	for
a	a	a
fee	fee	fee
.	.	.
Next	next	Next
,	,	,
the	the	the
illegal	illeg	illegal
refugees	refuge	refugee
are	are	are
taken	taken	taken
to	to	to
the	the	the
Town	town	Town
Taxi	taxi	Taxi
cab	cab	cab
company	compani	company
headquarters	headquart	headquarters
where	where	where
one	one	one
man	man	man
,	,	,
who	who	who
says	say	say
his	his	his
name	name	name
is	is	is
Victor	victor	Victor
,	,	,
does	doe	doe
all	all	all
of	of	of
the	the	the
vetting	vet	vetting
of	of	of
these	these	these
refugees	refuge	refugee
by	by	by
himself	himself	himself
.	.	.
Victor	victor	Victor
was	was	wa
surprisingly	surpris	surprisingly
open	open	open
with	with	with
the	the	the
Rebel	rebel	Rebel
Media	media	Media
reporter	report	reporter
.	.	.
He	he	He
said	said	said
that	that	that
their	their	their
job	job	job
is	is	is
to	to	to
make	make	make
sure	sure	sure
the	the	the
ones	one	one
who	who	who
are	are	are
not	not	not
here	here	here
legally	legal	legally
get	get	get
across	across	across
the	the	the
border	border	border
.	.	.
He	he	He
quickly	quick	quickly
corrected	correct	corrected
himself	himself	himself
and	and	and
said	said	said
they	they	they
help	help	help
them	them	them
to	to	to
get	get	get
to	to	to
the	the	the
border	border	border
.	.	.
He	he	He
claims	claim	claim
the	the	the
refugees	refuge	refugee
are	are	are
brought	brought	brought
to	to	to
the	the	the
office	offic	office
to	to	to
be	be	be
interviewed	interview	interviewed
by	by	by
him	him	him
.	.	.
He	he	He
also	also	also
claims	claim	claim
that	that	that
the	the	the
vetting	vet	vetting
process	process	process
actually	actual	actually
starts	start	start
to	to	to
take	take	take
place	place	place
when	when	when
the	the	the
driver	driver	driver
gets	get	get
them	them	them
into	into	into
their	their	their
cabs	cab	cab
,	,	,
Victor	victor	Victor
then	then	then
does	doe	doe
a	a	a
more	more	more
thorough	thorough	thorough
job	job	job
of	of	of
vetting	vet	vetting
them	them	them
once	onc	once
they	they	they
get	get	get
to	to	to
his	his	his
office	offic	office
.	.	.
When	when	When
the	the	the
Rebel	rebel	Rebel
Media	media	Media
reporter	report	reporter
asked	ask	asked
Victor	victor	Victor
how	how	how
he	he	he
can	can	can
be	be	be
sure	sure	sure
that	that	that
he	he	he
s	s	s
properly	proper	properly
vetting	vet	vetting
these	these	these
illegal	illeg	illegal
refugees	refuge	refugee
,	,	,
he	he	he
responded	respond	responded
Well	well	Well
,	,	,
there	there	there
s	s	s
no	no	no
real	real	real
way	way	way
to	to	to
tell	tell	tell
if	if	if
anyone	anyon	anyone
s	s	s
a	a	a
good	good	good
person	person	person
or	or	or
not	not	not
.	.	.
Um	um	Um
,	,	,
we	we	we
just	just	just
go	go	go
off	off	off
what	what	what
our	our	our
gut	gut	gut
tells	tell	tell
us	us	u
.	.	.
Feeling	feel	Feeling
safer	safer	safer
yet	yet	yet
?	?	?
Next	next	Next
,	,	,
the	the	the
cab	cab	cab
company	compani	company
contacts	contact	contact
the	the	the
other	other	other
side	side	side
the	the	the
Canadian	canadian	Canadian
border	border	border
agents	agent	agent
where	where	where
Victor	victor	Victor
claims	claim	claim
they	they	they
have	have	have
a	a	a
direct	direct	direct
line	line	line
with	with	with
the	the	the
border	border	border
agents	agent	agent
to	to	to
let	let	let
them	them	them
know	know	know
they	they	they
the	the	the
refugees	refuge	refugee
are	are	are
coming	come	coming
.	.	.
It	it	It
s	s	s
really	realli	really
quite	quit	quite
stunning	stun	stunning
to	to	to
see	see	see
how	how	how
calm	calm	calm
the	the	the
illegal	illeg	illegal
refugees	refuge	refugee
are	are	are
when	when	when
confronted	confront	confronted
with	with	with
being	be	being
arrested	arrest	arrested
by	by	by
the	the	the
US	us	US
border	border	border
agents	agent	agent
as	as	a
they	they	they
attempt	attempt	attempt
to	to	to
cross	cross	cross
the	the	the
border	border	border
into	into	into
Canada	canada	Canada
.	.	.
As	as	As
the	the	the
story	stori	story
unfolds	unfold	unfolds
,	,	,
Faith	faith	Faith
Goldy	goldi	Goldy
accidentally	accident	accidentally
discovers	discov	discovers
that	that	that
in	in	in
the	the	the
middle	middl	middle
of	of	of
this	this	this
human	human	human
trafficking	traffick	trafficking
ring	ring	ring
is	is	is
a	a	a
NBC	nbc	NBC
satellite	satellit	satellite
station	station	station
.	.	.
Here	here	Here
is	is	is
her	her	her
rant	rant	rant
after	after	after
making	make	making
the	the	the
discovery	discoveri	discovery
So	so	So
,	,	,
a	a	a
flood	flood	flood
of	of	of
fake	fake	fake
refugees	refuge	refugee
,	,	,
the	the	the
vast	vast	vast
majority	major	majority
of	of	of
whom	whom	whom
are	are	are
single	singl	single
men	men	men
from	from	from
the	the	the
middle	middl	middle
east	east	east
,	,	,
illegally	illeg	illegally
entering	enter	entering
Canada	canada	Canada
from	from	from
the	the	the
United	unit	United
States	state	States
.	.	.
A	a	A
country	countri	country
s	s	s
-wide	-wide	-wide
network	network	network
Trafficking	traffick	Trafficking
humans	human	human
to	to	to
Canada	canada	Canada
for	for	for
a	a	a
fee	fee	fee
All	all	All
at	at	at
the	the	the
Prime	prime	Prime
Minister	minist	Minister
s	s	s
invitation	invit	invitation
.	.	.
It	it	It
s	s	s
a	a	a
huge	huge	huge
story	stori	story
,	,	,
a	a	a
wild	wild	wild
story	stori	story
and	and	and
yet	yet	yet
,	,	,
the	the	the
mainstream	mainstream	mainstream
media	media	medium
refuses	refus	refuse
to	to	to
cover	cover	cover
it	it	it
,	,	,
even	even	even
if	if	if
it	it	it
s	s	s
unfolding	unfold	unfolding
in	in	in
their	their	their
own	own	own
backyard	backyard	backyard
literally	liter	literally
!	!	!
Watch	watch	Watch
the	the	the
video	video	video
here	here	here
This	this	This
story	stori	story
is	is	is
absolutely	absolut	absolutely
stunning	stun	stunning
.	.	.
What	what	What
makes	make	make
it	it	it
even	even	even
more	more	more
stunning	stun	stunning
is	is	is
the	the	the
fact	fact	fact
that	that	that
NBC	nbc	NBC
has	has	ha
an	an	an
office	offic	office
in	in	in
the	the	the
center	center	center
of	of	of
this	this	this
trafficking	traffick	trafficking
ring	ring	ring
,	,	,
yet	yet	yet
it	it	it
would	would	would
appear	appear	appear
that	that	that
they	they	they
re	re	re
ignoring	ignor	ignoring
this	this	this
very	veri	very
obvious	obvious	obvious
,	,	,
and	and	and
very	veri	very
serious	serious	serious
crime	crime	crime
that	that	that
is	is	is
being	be	being
committed	commit	committed
in	in	in
their	their	their
own	own	own
backyard	backyard	backyard
.	.	.
It	it	It
s	s	s
horrifying	horrifi	horrifying
to	to	to
imagine	imagin	imagine
what	what	what
would	would	would
have	have	have
happened	happen	happened
to	to	to
these	these	these
illegal	illeg	illegal
refugees	refuge	refugee
,	,	,
who	who	who
are	are	are
desperately	desper	desperately
trying	tri	trying
to	to	to
get	get	get
to	to	to
Canada	canada	Canada
if	if	if
Donald	donald	Donald
Trump	trump	Trump
was	was	wa
not	not	not
elected	elect	elected
.	.	.
If	if	If
Hillary	hillari	Hillary
was	was	wa
our	our	our
president	presid	president
,	,	,
these	these	these
unvetted	unvet	unvetted
ILLEGAL	illeg	ILLEGAL
refugees	refuge	refugee
wouldn	wouldn	wouldn
t	t	t
fear	fear	fear
being	be	being
deported	deport	deported
and	and	and
would	would	would
be	be	be
living	live	living
in	in	in
our	our	our
cities	citi	city
and	and	and
neighborhoods	neighborhood	neighborhood
.	.	.
If	if	If
Hillary	hillari	Hillary
Clinton	clinton	Clinton
was	was	wa
our	our	our
president	presid	president
they	they	they
would	would	would
have	have	have
no	no	no
fear	fear	fear
of	of	of
being	be	being
deported	deport	deported
.	.	.
They	they	They
would	would	would
likely	like	likely
be	be	be
given	given	given
benefits	benefit	benefit
,	,	,
and	and	and
eventually	eventu	eventually
citizenship	citizenship	citizenship
with	with	with
full	full	full
voting	vote	voting
rights	right	right
as	as	a
long	long	long
as	as	a
they	they	they
promised	promis	promised
to	to	to
vote	vote	vote
for	for	for
Democrats	democrat	Democrats
.	.	.
This	this	This
human	human	human
trafficking	traffick	trafficking
operation	oper	operation
is	is	is
just	just	just
one	one	one
of	of	of
how	how	how
many	mani	many
more	more	more
in	in	in
upstate	upstat	upstate
New	new	New
