Christian	christian	Christian
cake	cake	cake
baker	baker	baker
Jack	jack	Jack
Phillips	phillip	Phillips
gained	gain	gained
national	nation	national
infamy	infami	infamy
when	when	when
he	he	he
violated	violat	violated
Colorado	colorado	Colorado
s	s	s
non	non	non
-discrimination	-discrimin	-discrimination
law	law	law
by	by	by
refusing	refus	refusing
to	to	to
bake	bake	bake
a	a	a
cake	cake	cake
for	for	for
a	a	a
gay	gay	gay
couple	coupl	couple
s	s	s
wedding	wed	wedding
.	.	.

He	he	He
was	was	wa
subsequently	subsequ	subsequently
sued	su	sued
,	,	,
and	and	and
now	now	now
his	his	his
case	case	case
is	is	is
headed	head	headed
to	to	to
the	the	the
Supreme	suprem	Supreme
Court	court	Court
.	.	.

Unfortunately	unfortun	Unfortunately
,	,	,
with	with	with
the	the	the
current	current	current
makeup	makeup	makeup
of	of	of
the	the	the
court	court	court
and	and	and
Donald	donald	Donald
Trump	trump	Trump
s	s	s
administration	administr	administration
in	in	in
place	place	place
,	,	,
it	it	it
is	is	is
quite	quit	quite
likely	like	likely
that	that	that
discrimination	discrimin	discrimination
will	will	will
be	be	be
codified	codifi	codified
into	into	into
law	law	law
.	.	.

Nonetheless	nonetheless	Nonetheless
,	,	,
The	the	The
Satanic	satan	Satanic
Temple	templ	Temple
has	has	ha
come	come	come
up	up	up
with	with	with
a	a	a
brilliant	brilliant	brilliant
way	way	way
to	to	to
point	point	point
out	out	out
that	that	that
religious	religi	religious
freedom	freedom	freedom
cuts	cut	cut
both	both	both
ways	way	way
By	by	By
having	have	having
these	these	these
bigoted	bigot	bigoted
bakers	baker	baker
make	make	make
cakes	cake	cake
for	for	for
Satan	satan	Satan
.	.	.
Jack	jack	Jack
Phillips	phillip	Phillips
has	has	ha
already	alreadi	already
had	had	had
his	his	his
first	first	first
request	request	request
via	via	via
email	email	email
from	from	from
a	a	a
Satanist	satanist	Satanist
seeking	seek	seeking
to	to	to
celebrate	celebr	celebrate
Satan	satan	Satan
.	.	.

It	it	It
reads	read	read
Dear	dear	Dear
Mr	mr	Mr
PhillipsI	phillipsi	PhillipsI
would	would	would
like	like	like
to	to	to
get	get	get
a	a	a
quote	quot	quote
on	on	on
a	a	a
birthday	birthday	birthday
cake	cake	cake
,	,	,
for	for	for
a	a	a
special	special	special
event	event	event
.	.	.

It	it	It
is	is	is
a	a	a
cake	cake	cake
that	that	that
is	is	is
religious	religi	religious
in	in	in
theme	theme	theme
,	,	,
and	and	and
since	sinc	since
religion	religion	religion
is	is	is
a	a	a
protected	protect	protected
class	class	class
,	,	,
I	i	I
am	am	am
hoping	hope	hoping
that	that	that
you	you	you
will	will	will
gladly	glad	gladly
bake	bake	bake
this	this	this
cake	cake	cake
.	.	.

As	as	As
you	you	you
see	see	see
the	the	the
birthday	birthday	birthday
cake	cake	cake
in	in	in
question	question	question
is	is	is
to	to	to
celebrate	celebr	celebrate
the	the	the
birthday	birthday	birthday
of	of	of
Lucifer	lucif	Lucifer
,	,	,
or	or	or
as	as	a
they	they	they
are	are	are
also	also	also
known	known	known
Satan	satan	Satan
who	who	who
was	was	wa
born	born	born
as	as	a
Satan	satan	Satan
when	when	when
he	he	he
was	was	wa
cast	cast	cast
from	from	from
heaven	heaven	heaven
by	by	by
God	god	God
.	.	.

The	the	The
cake	cake	cake
only	onli	only
needs	need	need
to	to	to
be	be	be
a	a	a
simple	simpl	simple
9	9	9
13	13	13
single	singl	single
layer	layer	layer
cake	cake	cake
,	,	,
with	with	with
red	red	red
and	and	and
black	black	black
icing	ice	icing
.	.	.

As	as	As
well	well	well
as	as	a
to	to	to
contain	contain	contain
an	an	an
upside	upsid	upside
down	down	down
cross	cross	cross
,	,	,
under	under	under
the	the	the
head	head	head
of	of	of
Lucifer	lucif	Lucifer
.	.	.

And	and	And
I	i	I
thought	thought	thought
I	i	I
would	would	would
seek	seek	seek
you	you	you
out	out	out
,	,	,
to	to	to
bake	bake	bake
this	this	this
cake	cake	cake
since	sinc	since
you	you	you
appear	appear	appear
to	to	to
be	be	be
a	a	a
very	veri	very
moral	moral	moral
person	person	person
since	sinc	since
you	you	you
refused	refus	refused
to	to	to
bake	bake	bake
a	a	a
cake	cake	cake
for	for	for
same	same	same
sex	sex	sex
couples	coupl	couple
.	.	.

And	and	And
since	sinc	since
religion	religion	religion
is	is	is
a	a	a
protected	protect	protected
class	class	class
,	,	,
I	i	I
hope	hope	hope
you	you	you
will	will	will
be	be	be
willing	will	willing
to	to	to
bake	bake	bake
this	this	this
cake	cake	cake
,	,	,
so	so	so
my	my	my
small	small	small
group	group	group
of	of	of
religious	religi	religious
friends	friend	friend
can	can	can
celebrate	celebr	celebrate
the	the	the
birthday	birthday	birthday
of	of	of
Lucifer	lucif	Lucifer
this	this	this
coming	come	coming
November	novemb	November
,	,	,
just	just	just
a	a	a
few	few	few
days	day	day
after	after	after
Halloween	halloween	Halloween
.	.	.
Sincerely	sincer	Sincerely
,	,	,
Name	name	Name
redacted	redact	redacted
Here	here	Here
is	is	is
a	a	a
sample	sampl	sample
cake	cake	cake
posted	post	posted
to	to	to
Twitter	twitter	Twitter
by	by	by
The	the	The
Satanic	satan	Satanic
Temple	templ	Temple
s	s	s
co	co	co
-founder	-founder	-founder
,	,	,
Lucien	lucien	Lucien
Greaves	greav	Greaves
Did	did	Did
you	you	you
know	know	know
bakers	baker	baker
can't	can't	can't
refuse	refus	refuse
service	servic	service
to	to	to
The	the	The
Satanic	satan	Satanic
Temple	templ	Temple
because	becaus	because
religion	religion	religion
is	is	is
a	a	a
protected	protect	protected
class	class	class
?	?	?

#SatanCakes	#satancak	#SatanCakes
pic.twitter.com/9VrVndkbSi	pic.twitter.com/9vrvndkbsi	pic.twitter.com/9VrVndkbSi
Lucien	lucien	Lucien
Greaves	greav	Greaves
@LucienGreaves	@luciengreav	@LucienGreaves
September	septemb	September
26	26	26
,	,	,
2017The	2017the	2017The
whole	whole	whole
point	point	point
here	here	here
is	is	is
not	not	not
to	to	to
torment	torment	torment
bakers	baker	baker
or	or	or
anyone	anyon	anyone
else	els	else
.	.	.

It	it	It
is	is	is
to	to	to
point	point	point
out	out	out
that	that	that
if	if	if
you	you	you
own	own	own
a	a	a
business	busi	business
that	that	that
is	is	is
open	open	open
to	to	to
the	the	the
public	public	public
,	,	,
you	you	you
may	may	may
not	not	not
discriminate	discrimin	discriminate
,	,	,
period	period	period
.	.	.

Now	now	Now
,	,	,
at	at	at
the	the	the
federal	feder	federal
level	level	level
there	there	there
are	are	are
no	no	no
non	non	non
-discrimination	-discrimin	-discrimination
protections	protect	protection
for	for	for
LGBTQ	lgbtq	LGBTQ
people	peopl	people
.	.	.

However	howev	However
,	,	,
religion	religion	religion
EVERY	everi	EVERY
religion	religion	religion
is	is	is
a	a	a
protected	protect	protected
class	class	class
.	.	.

If	if	If
Jack	jack	Jack
Phillips	phillip	Phillips
or	or	or
anyone	anyon	anyone
else	els	else
refuses	refus	refuse
the	the	the
Satanists	satanist	Satanists
their	their	their
cakes	cake	cake
,	,	,
this	this	this
will	will	will
be	be	be
an	an	an
open	open	open
and	and	and
shut	shut	shut
court	court	court
case	case	case
.	.	.
Mr	mr	Mr
.	.	.
Phillips	phillip	Phillips
,	,	,
it	it	it
would	would	would
have	have	have
been	been	been
a	a	a
hell	hell	hell
of	of	of
a	a	a
lot	lot	lot
easier	easier	easier
if	if	if
you	you	you
had	had	had
just	just	just
baked	bake	baked
the	the	the
damn	damn	damn
wedding	wed	wedding
cake	cake	cake
.	.	.
Here	here	Here
is	is	is
video	video	video
of	of	of
the	the	the
Temple	templ	Temple
s	s	s
co	co	co
-founder	-founder	-founder
explaining	explain	explaining
his	his	his
position	posit	position
Featured	featur	Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

