What	what	What
the	the	the
heck	heck	heck
was	was	wa
he	he	he
thinking	think	thinking
?	?	?
At	at	At
7	7	7
44	44	44
pm	pm	pm
EST	est	EST
,	,	,
CNN	cnn	CNN
anchor	anchor	anchor
Jake	jake	Jake
Tapper	tapper	Tapper
tweeted	tweet	tweeted
about	about	about
the	the	the
horrible	horribl	horrible
wildfires	wildfir	wildfire
that	that	that
are	are	are
ravaging	ravag	ravaging
3	3	3
huge	huge	huge
counties	counti	county
in	in	in
California	california	California
.	.	.
Tapper	tapper	Tapper
s	s	s
tweet	tweet	tweet
talked	talk	talked
about	about	about
the	the	the
number	number	number
of	of	of
deaths	death	death
so	so	so
far	far	far
that	that	that
are	are	are
related	relat	related
to	to	to
the	the	the
fires	fire	fire
.	.	.
CNN	cnn	CNN
There	there	There
are	are	are
10	10	10
total	total	total
fire	fire	fire
-related	-relat	-related
deaths	death	death
in	in	in
California	california	California
at	at	at
this	this	this
hour	hour	hour
7	7	7
in	in	in
Sonoma	sonoma	Sonoma
County	counti	County
,	,	,
2	2	2
in	in	in
Napa	napa	Napa
County	counti	County
,	,	,
1	1	1
in	in	in
Mendocino	mendocino	Mendocino
County	counti	County
.	.	.
CNN	cnn	CNN
There	there	There
are	are	are
10	10	10
total	total	total
fire	fire	fire
-related	-relat	-related
deaths	death	death
in	in	in
California	california	California
at	at	at
this	this	this
hour	hour	hour
7	7	7
in	in	in
Sonoma	sonoma	Sonoma
County	counti	County
,	,	,
2	2	2
in	in	in
Napa	napa	Napa
County	counti	County
,	,	,
1	1	1
in	in	in
Mendocino	mendocino	Mendocino
county	counti	county
.	.	.
Jake	jake	Jake
Tapper	tapper	Tapper
@jaketapper	@jaketapp	@jaketapper
October	octob	October
9	9	9
,	,	,
2017The	2017the	2017The
CA	ca	CA
wildfires	wildfir	wildfire
are	are	are
very	veri	very
serious	serious	serious
,	,	,
as	as	a
this	this	this
video	video	video
footage	footag	footage
by	by	by
ABC	abc	ABC
s	s	s
Greg	greg	Greg
Lee	lee	Lee
confirms	confirm	confirms
At	at	At
the	the	the
end	end	end
of	of	of
our	our	our
live	live	live
shot	shot	shot
,	,	,
flames	flame	flame
made	made	made
their	their	their
way	way	way
all	all	all
the	the	the
way	way	way
across	across	across
the	the	the
canyon	canyon	canyon
,	,	,
up	up	up
this	this	this
ridge	ridg	ridge
.	.	.
Moving	move	Moving
to	to	to
safety	safeti	safety
.	.	.
@ABC7	@abc7	@ABC7
#CanyonFire2	#canyonfire2	#CanyonFire2
pic.twitter.com/hgIhoLa8VU	pic.twitter.com/hgihola8vu	pic.twitter.com/hgIhoLa8VU
Greg	greg	Greg
Lee	lee	Lee
@abc7greg	@abc7greg	@abc7greg
October	octob	October
9	9	9
,	,	,
2017Apparently	2017appar	2017Apparently
,	,	,
Tapper	tapper	Tapper
thought	thought	thought
it	it	it
would	would	would
be	be	be
a	a	a
great	great	great
idea	idea	idea
to	to	to
post	post	post
this	this	this
adorable	ador	adorable
little	littl	little
photo	photo	photo
taken	taken	taken
in	in	in
Disneyland	disneyland	Disneyland
,	,	,
only	onli	only
10	10	10
minutes	minut	minute
after	after	after
he	he	he
tweeted	tweet	tweeted
about	about	about
the	the	the
10	10	10
deaths	death	death
caused	caus	caused
by	by	by
the	the	the
wildfires	wildfir	wildfire
.	.	.
Tapper	tapper	Tapper
tweeted	tweet	tweeted
,	,	,
Wildfires	wildfir	Wildfires
in	in	in
Anaheim	anaheim	Anaheim
Hills	hill	Hills
turning	turn	turning
the	the	the
sky	sky	sky
orange	orang	orange
to	to	to
match	match	match
the	the	the
pumpkins	pumpkin	pumpkin
at	at	at
Disneyland	disneyland	Disneyland
Wildfires	wildfir	Wildfires
in	in	in
