During	dure	During
his	his	his
radio	radio	radio
show	show	show
on	on	on
Friday	friday	Friday
,	,	,
Rush	rush	Rush
Limbaugh	limbaugh	Limbaugh
suggested	suggest	suggested
that	that	that
legalizing	legal	legalizing
rape	rape	rape
would	would	would
be	be	be
easy	easi	easy
as	as	a
long	long	long
as	as	a
you	you	you
frame	frame	frame
it	it	it
as	as	a
a	a	a
civil	civil	civil
rights	right	right
issue	issu	issue
like	like	like
same	same	same
-sex	-sex	-sex
marriage	marriag	marriage
and	and	and
transgender	transgend	transgender
protections	protect	protection
.	.	.
The	the	The
media	media	medium
is	is	is
not	not	not
covering	cover	covering
this	this	this
transgender	transgend	transgender
thing	thing	thing
the	the	the
way	way	way
normal	normal	normal
people	peopl	people
,	,	,
or	or	or
sane	sane	sane
people	peopl	people
like	like	like
myself	myself	myself
,	,	,
a	a	a
caller	caller	caller
told	told	told
Limbaugh	limbaugh	Limbaugh
before	befor	before
launching	launch	launching
into	into	into
the	the	the
myth	myth	myth
of	of	of
predators	predat	predator
using	use	using
transgender	transgend	transgender
protections	protect	protection
as	as	a
a	a	a
shield	shield	shield
to	to	to
sexually	sexual	sexually
assault	assault	assault
women	women	woman
and	and	and
children	children	child
in	in	in
bathrooms	bathroom	bathroom
.	.	.
I	i	I
don	don	don
t	t	t
have	have	have
any	ani	any
daughters	daughter	daughter
,	,	,
but	but	but
I	i	I
have	have	have
nieces	niec	niece
,	,	,
I	i	I
have	have	have
teenage	teenag	teenage
nieces	niec	niece
,	,	,
I	i	I
have	have	have
older	older	older
nieces	niec	niece
,	,	,
I	i	I
have	have	have
a	a	a
wife	wife	wife
.	.	.
This	this	This
is	is	is
a	a	a
safety	safeti	safety
issue	issu	issue
,	,	,
this	this	this
is	is	is
about	about	about
a	a	a
predator	predat	predator
,	,	,
like	like	like
the	the	the
story	stori	story
you	you	you
just	just	just
read	read	read
,	,	,
going	go	going
into	into	into
these	these	these
bathrooms	bathroom	bathroom
and	and	and
taking	take	taking
advantage	advantag	advantage
of	of	of
it	it	it
.	.	.
And	and	And
it	it	it
s	s	s
happening	happen	happening
,	,	,
but	but	but
they	they	they
re	re	re
not	not	not
covering	cover	covering
it	it	it
.	.	.
And	and	And
it	it	it
s	s	s
really	realli	really
interesting	interest	interesting
how	how	how
they	they	they
took	took	took
gun	gun	gun
control	control	control
and	and	and
turned	turn	turned
it	it	it
into	into	into
gun	gun	gun
safety	safeti	safety
,	,	,
but	but	but
they	they	they
re	re	re
not	not	not
treating	treat	treating
this	this	this
as	as	a
a	a	a
safety	safeti	safety
issue	issu	issue
.	.	.
And	and	And
the	the	the
sick	sick	sick
mind	mind	mind
of	of	of
Limbaugh	limbaugh	Limbaugh
immediately	immedi	immediately
thought	thought	thought
of	of	of
rape	rape	rape
and	and	and
how	how	how
to	to	to
legalize	legal	legalize
it	it	it
.	.	.
No	no	No
,	,	,
that	that	that
s	s	s
actually	actual	actually
a	a	a
good	good	good
point	point	point
.	.	.
Civil	civil	Civil
rights	right	right
you	you	you
could	could	could
legalize	legal	legalize
rape	rape	rape
if	if	if
you	you	you
called	call	called
it	it	it
the	the	the
Civil	civil	Civil
Rights	right	Rights
Act	act	Act
of	of	of
2016	2016	2016
.	.	.
Limbaugh	limbaugh	Limbaugh
continued	continu	continued
,	,	,
however	howev	however
,	,	,
by	by	by
whining	whine	whining
about	about	about
how	how	how
much	much	much
civil	civil	civil
rights	right	right
have	have	have
been	been	been
extended	extend	extended
over	over	over
the	the	the
last	last	last
few	few	few
decades	decad	decade
,	,	,
especially	especi	especially
lamenting	lament	lamenting
that	that	that
it	it	it
now	now	now
covers	cover	cover
race	race	race
,	,	,
gender	gender	gender
,	,	,
