While	while	While
most	most	most
Americans	american	Americans
did	did	did
not	not	not
know	know	know
about	about	about
Michael	michael	Michael
Flynn	flynn	Flynn
s	s	s
ties	tie	tie
to	to	to
Turkey	turkey	Turkey
,	,	,
Team	team	Team
Trump	trump	Trump
did	did	did
.	.	.
When	when	When
they	they	they
were	were	were
vetting	vet	vetting
the	the	the
former	former	former
general	general	general
,	,	,
they	they	they
did	did	did
learn	learn	learn
of	of	of
Flynn	flynn	Flynn
s	s	s
work	work	work
for	for	for
both	both	both
Turkey	turkey	Turkey
and	and	and
Russia	russia	Russia
.	.	.
They	they	They
knew	knew	knew
he	he	he
had	had	had
violated	violat	violated
the	the	the
law	law	law
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Constitution	constitut	Constitution
and	and	and
they	they	they
hired	hire	hired
him	him	him
to	to	to
be	be	be
the	the	the
National	nation	National
Security	secur	Security
Advisor	advisor	Advisor
anyway	anyway	anyway
.	.	.
MSNBC	msnbc	MSNBC
s	s	s
Rachel	rachel	Rachel
Maddow	maddow	Maddow
said	said	said
this	this	this
on	on	on
her	her	her
show	show	show
on	on	on
Friday	friday	Friday
night	night	night
,	,	,
NBC	nbc	NBC
News	news	News
has	has	ha
learned	learn	learned
from	from	from
sources	sourc	source
close	close	close
to	to	to
the	the	the
Trump	trump	Trump
-Russia	-russia	-Russia
investigation	investig	investigation
that	that	that
both	both	both
the	the	the
Trump	trump	Trump
transition	transit	transition
and	and	and
the	the	the
White	white	White
House	hous	House
did	did	did
do	do	do
a	a	a
background	background	background
check	check	check
on	on	on
Flynn	flynn	Flynn
.	.	.
She	she	She
went	went	went
on	on	on
to	to	to
say	say	say
that	that	that
the	the	the
vetting	vet	vetting
Team	team	Team
Trump	trump	Trump
did	did	did
of	of	of
Flynn	flynn	Flynn
was	was	wa
done	done	done
very	veri	very
casually	casual	casually
.	.	.
The	the	The
new	new	new
reporting	report	reporting
by	by	by
NBC	nbc	NBC
News	news	News
mirrors	mirror	mirror
the	the	the
claims	claim	claim
Flynn	flynn	Flynn
has	has	ha
been	been	been
making	make	making
for	for	for
some	some	some
time	time	time
that	that	that
he	he	he
and	and	and
his	his	his
lawyers	lawyer	lawyer
were	were	were
upfront	upfront	upfront
with	with	with
the	the	the
vetting	vet	vetting
team	team	team
about	about	about
the	the	the
lobbying	lobbi	lobbying
he	he	he
was	was	wa
doing	do	doing
on	on	on
behalf	behalf	behalf
of	of	of
the	the	the
Turkish	turkish	Turkish
government	govern	government
.	.	.
For	for	For
its	it	it
part	part	part
,	,	,
the	the	the
White	white	White
House	hous	House
has	has	ha
taken	taken	taken
to	to	to
blaming	blame	blaming
the	the	the
Obama	obama	Obama
administration	administr	administration
.	.	.
Flynn	flynn	Flynn
worked	work	worked
as	as	a
the	the	the
director	director	director
of	of	of
the	the	the
Defense	defens	Defense
Intelligence	intellig	Intelligence
Agency	agenc	Agency
DIA	dia	DIA
.	.	.
His	his	His
job	job	job
at	at	at
the	the	the
DIA	dia	DIA
did	did	did
require	requir	require
he	he	he
receive	receiv	receive
a	a	a
top	top	top
secret	secret	secret
clearance	clearanc	clearance
but	but	but
it	it	it
is	is	is
important	import	important
to	to	to
note	note	note
that	that	that
he	he	he
was	was	wa
fired	fire	fired
from	from	from
that	that	that
job	job	job
in	in	in
2014	2014	2014
he	he	he
started	start	started
there	there	there
in	in	in
2011	2011	2011
,	,	,
this	this	this
was	was	wa
a	a	a
full	full	full
year	year	year
before	befor	before
he	he	he
was	was	wa
scheduled	schedul	scheduled
to	to	to
retire	retir	retire
.	.	.
This	this	This
week	week	week
,	,	,
Press	press	Press
Secretary	secretari	Secretary
Sean	sean	Sean
Spicer	spicer	Spicer
indicated	indic	indicated
that	that	that
the	the	the
transition	transit	transition
team	team	team
relied	reli	relied
on	on	on
the	the	the
vetting	vet	vetting
that	that	that
had	had	had
been	been	been
done	done	done
by	by	by
the	the	the
Obama	obama	Obama
Administration	administr	Administration
.	.	.
The	the	The
timing	time	timing
of	of	of
this	this	this
is	is	is
important	import	important
to	to	to
note	note	note
because	becaus	because
Flynn	flynn	Flynn
did	did	did
not	not	not
start	start	start
his	his	his
consulting	consult	consulting
work	work	work
until	until	until
after	after	after
he	he	he
left	left	left
the	the	the
DIA	dia	DIA
.	.	.
The	the	The
vetting	vet	vetting
he	he	he
received	receiv	received
prior	prior	prior
to	to	to
that	that	that
role	role	role
,	,	,
which	which	which
is	is	is
what	what	what
gave	gave	gave
him	him	him
his	his	his
clearance	clearanc	clearance
would	would	would
not	not	not
have	have	have
shown	shown	shown
his	his	his
ties	tie	tie
to	to	to
Turkey	turkey	Turkey
or	or	or
Russia	russia	Russia
because	becaus	because
that	that	that
work	work	work
hadn	hadn	hadn
t	t	t
happened	happen	happened
yet	yet	yet
.	.	.
Members	member	Members
of	of	of
the	the	the
military	militari	military
are	are	are
barred	bar	barred
from	from	from
working	work	working
for	for	for
foreign	foreign	foreign
governments	govern	government
for	for	for
life	life	life
,	,	,
unless	unless	unless
they	they	they
receive	receiv	receive
Congressional	congression	Congressional
approval	approv	approval
.	.	.
The	the	The
reason	reason	reason
is	is	is
that	that	that
they	they	they
can	can	can
be	be	be
called	call	called
back	back	back
to	to	to
duty	duti	duty
at	at	at
any	ani	any
time	time	time
and	and	and
