Thanks	thank	Thanks
to	to	to
Frank	frank	Frank
Stephens	stephen	Stephens
for	for	for
this	this	this
moving	move	moving
testimony	testimoni	testimony
on	on	on
living	live	living
with	with	with
Down	down	Down
syndrome	syndrom	syndrome
.	.	.
Stephens	stephen	Stephens
is	is	is
a	a	a
man	man	man
with	with	with
Down	down	Down
syndrome	syndrom	syndrome
and	and	and
an	an	an
advocate	advoc	advocate
for	for	for
those	those	those
with	with	with
the	the	the
genetic	genet	genetic
disorder	disord	disorder
.	.	.
He	he	He
told	told	told
a	a	a
congressional	congression	congressional
committee	committe	committee
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
his	his	his
life	life	life
is	is	is
worth	worth	worth
living	live	living
as	as	a
he	he	he
criticized	critic	criticized
those	those	those
who	who	who
believe	believ	believe
fetuses	fetus	fetus
with	with	with
Down	down	Down
syndrome	syndrom	syndrome
should	should	should
be	be	be
aborted	abort	aborted
.	.	.
Down	down	Down
syndrome	syndrom	syndrome
babies	babi	baby
are	are	are
being	be	being
aborted	abort	aborted
in	in	in
huge	huge	huge
numbers	number	number
since	sinc	since
we	we	we
now	now	now
have	have	have
genetic	genet	genetic
testing	test	testing
to	to	to
detect	detect	detect
if	if	if
a	a	a
baby	babi	baby
will	will	will
be	be	be
born	born	born
with	with	with
Down	down	Down
Syndrome	syndrom	Syndrome
.	.	.
Recently	recent	Recently
,	,	,
this	this	this
topic	topic	topic
was	was	wa
in	in	in
the	the	the
spotlight	spotlight	spotlight
because	becaus	because
Iceland	iceland	Iceland
announced	announc	announced
they	they	they
are	are	are
close	close	close
to	to	to
eliminating	elimin	eliminating
Down	down	Down
syndrome	syndrom	syndrome
births	birth	birth
through	through	through
abortion	abort	abortion
OUR	our	OUR
PREVIOUS	previous	PREVIOUS
REPORT	report	REPORT
ON	on	ON
ICELAND	iceland	ICELAND
S	s	S
ANNOUNCEMENT	announc	ANNOUNCEMENT
THAT	that	THAT
THEY	they	THEY
HAVE	have	HAVE
ELIMINATED	elimin	ELIMINATED
DOWN	down	DOWN
SYNDROME	syndrom	SYNDROME
