Al	al	Al
Gore	gore	Gore
had	had	had
hopes	hope	hope
for	for	for
Donald	donald	Donald
Trump	trump	Trump
at	at	at
one	one	one
time	time	time
.	.	.

He	he	He
even	even	even
met	met	met
with	with	with
him	him	him
at	at	at
Trump	trump	Trump
Tower	tower	Tower
,	,	,
hoping	hope	hoping
he	he	he
could	could	could
influence	influenc	influence
the	the	the
newly	newli	newly
elected	elect	elected
Trump	trump	Trump
to	to	to
stay	stay	stay
in	in	in
the	the	the
Paris	pari	Paris
Climate	climat	Climate
Accord	accord	Accord
.	.	.

It	it	It
failed	fail	failed
,	,	,
and	and	and
Gore	gore	Gore
regrets	regret	regret
the	the	the
whole	whole	whole
thing	thing	thing
.	.	.

I	i	I
went	went	went
to	to	to
Trump	trump	Trump
Tower	tower	Tower
after	after	after
the	the	the
election	elect	election
,	,	,
said	said	said
Gore	gore	Gore
,	,	,
who	who	who
was	was	wa
on	on	on
Colbert	colbert	Colbert
s	s	s
show	show	show
to	to	to
promote	promot	promote
his	his	his
new	new	new
movie	movi	movie
,	,	,
An	an	An
Inconvenient	inconveni	Inconvenient
Sequel	sequel	Sequel
Truth	truth	Truth
to	to	to
Power	power	Power
.	.	.

I	i	I
thought	thought	thought
that	that	that
there	there	there
was	was	wa
a	a	a
chance	chanc	chance
he	he	he
would	would	would
come	come	come
to	to	to
his	his	his
senses	sens	sens
.	.	.

But	but	But
I	i	I
was	was	wa
wrong	wrong	wrong
.	.	.

Source	sourc	Source
Huffington	huffington	Huffington
PostNot	postnot	PostNot
only	onli	only
has	has	ha
Gore	gore	Gore
lost	lost	lost
all	all	all
hope	hope	hope
for	for	for
Trump	trump	Trump
on	on	on
his	his	his
most	most	most
passionate	passion	passionate
issue	issu	issue
,	,	,
climate	climat	climate
change	chang	change
,	,	,
he	he	he
s	s	s
lost	lost	lost
all	all	all
hope	hope	hope
for	for	for
Trump	trump	Trump
altogether	altogeth	altogether
,	,	,
and	and	and
as	as	a
a	a	a
former	former	former
Vice	vice	Vice
President	presid	President
,	,	,
he	he	he
has	has	ha
one	one	one
piece	piec	piece
of	of	of
advice	advic	advice
for	for	for
the	the	the
dumpster	dumpster	dumpster
fire	fire	fire
of	of	of
a	a	a
presidency	presid	presidency
,	,	,
end	end	end
it	it	it
.	.	.

Resign	resign	Resign
.	.	.

The	the	The
interviewer	interview	interviewer
asked	ask	asked
if	if	if
there	there	there
was	was	wa
one	one	one
piece	piec	piece
of	of	of
advice	advic	advice
for	for	for
Trump	trump	Trump
,	,	,
what	what	what
would	would	would
it	it	it
be	be	be
?	?	?

He	he	He
responded	respond	responded
Resign	resign	Resign
.	.	.

Source	sourc	Source
Washington	washington	Washington
ExaminerThis	examinerthi	ExaminerThis
piece	piec	piece
of	of	of
advice	advic	advice
came	came	came
before	befor	before
last	last	last
weekend	weekend	weekend
s	s	s
violent	violent	violent
fascist	fascist	fascist
march	march	march
in	in	in
Charlottesville	charlottesvill	Charlottesville
,	,	,
VA	va	VA
and	and	and
before	befor	before
Trump	trump	Trump
insisted	insist	insisted
on	on	on
siding	side	siding
with	with	with
the	the	the
Nazis	nazi	Nazis
,	,	,
the	the	the
KKK	kkk	KKK
and	and	and
other	other	other
assorted	assort	assorted
heavily	heavili	heavily
armed	arm	armed
white	white	white
supremacists	supremacist	supremacist
.	.	.

It	it	It
was	was	wa
before	befor	before
Gore	gore	Gore
s	s	s
latest	latest	latest
movie	movi	movie
,	,	,
the	the	the
sequel	sequel	sequel
to	to	to
his	his	his
original	origin	original
climate	climat	climate
change	chang	change
documentary	documentari	documentary
An	an	An
Inconvenient	inconveni	Inconvenient
Truth	truth	Truth
,	,	,
called	call	called
An	an	An
Inconvenient	inconveni	Inconvenient
Sequel	sequel	Sequel
Truth	truth	Truth
to	to	to
Power	power	Power
,	,	,
which	which	which
was	was	wa
released	releas	released
earlier	earlier	earlier
in	in	in
the	the	the
month	month	month
.	.	.
A	a	A
number	number	number
of	of	of
people	peopl	people
and	and	and
media	media	medium
outlets	outlet	outlet
have	have	have
been	been	been
calling	call	calling
for	for	for
Trump	trump	Trump
to	to	to
resign	resign	resign
.	.	.
The	the	The
Los	los	Los
Angeles	angel	Angeles
Times	time	Times
said	said	said
If	if	If
Trump	trump	Trump
won	won	won
t	t	t
resign	resign	resign
,	,	,
Congress	congress	Congress
should	should	should
find	find	find
a	a	a
reason	reason	reason
any	ani	any
good	good	good
reason	reason	reason
to	to	to
impeach	impeach	impeach
and	and	and
remove	remov	remove
himRolling	himrol	himRolling
Stone	stone	Stone
says	say	say
,	,	,
Republicans	republican	Republicans
Must	must	Must
Tell	tell	Tell
Trump	trump	Trump
to	to	to
Go	go	Go
Now	now	Now
.	.	.

Sadly	sad	Sadly
,	,	,
they	they	they
aren	aren	aren
t	t	t
.	.	.

While	while	While
many	mani	many
have	have	have
disavowed	disavow	disavowed
Trump	trump	Trump
s	s	s
reaction	reaction	reaction
to	to	to
the	the	the
Charlottesville	charlottesvill	Charlottesville
violence	violenc	violence
and	and	and
his	his	his
support	support	support
of	of	of
the	the	the
fascist	fascist	fascist
fringe	fring	fringe
groups	group	group
that	that	that
make	make	make
up	up	up
a	a	a
good	good	good
portion	portion	portion
of	of	of
Trump	trump	Trump
s	s	s
base	base	base
,	,	,
they	they	they
are	are	are
part	part	part
of	of	of
the	the	the
Republican	republican	Republican
base	base	base
as	as	a
well	well	well
,	,	,
and	and	and
Republicans	republican	Republicans
need	need	need
