Donald	donald	Donald
Trump	trump	Trump
s	s	s
credibility	credibl	credibility
and	and	and
power	power	power
has	has	ha
become	becom	become
such	such	such
a	a	a
joke	joke	joke
that	that	that
not	not	not
even	even	even
members	member	member
of	of	of
his	his	his
own	own	own
party	parti	party
have	have	have
any	ani	any
faith	faith	faith
in	in	in
him	him	him
to	to	to
deal	deal	deal
with	with	with
the	the	the
current	current	current
issues	issu	issue
that	that	that
America	america	America
is	is	is
facing	face	facing
.	.	.
On	on	On
Sunday	sunday	Sunday
,	,	,
Republican	republican	Republican
Sen	sen	Sen
.	.	.
Jeff	jeff	Jeff
Flake	flake	Flake
R	r	R
-AZ	-az	-AZ
unintentionally	unintent	unintentionally
showed	show	showed
everyone	everyon	everyone
just	just	just
how	how	how
little	littl	little
the	the	the
GOP	gop	GOP
believes	believ	belief
in	in	in
Trump	trump	Trump
when	when	when
he	he	he
couldn	couldn	couldn
t	t	t
force	forc	force
himself	himself	himself
to	to	to
say	say	say
that	that	that
Trump	trump	Trump
could	could	could
handle	handl	handle
the	the	the
current	current	current
nuclear	nuclear	nuclear
crisis	crisi	crisis
the	the	the
United	unit	United
States	state	States
is	is	is
facing	face	facing
with	with	with
North	north	North
Korea	korea	Korea
.	.	.
In	in	In
an	an	an
interview	interview	interview
with	with	with
CNN	cnn	CNN
s	s	s
Dana	dana	Dana
Bash	bash	Bash
,	,	,
Flake	flake	Flake
was	was	wa
put	put	put
on	on	on
the	the	the
spot	spot	spot
about	about	about
how	how	how
capable	capabl	capable
Trump	trump	Trump
is	is	is
and	and	and
isn	isn	isn
t	t	t
.	.	.
Bash	bash	Bash
asked	ask	asked
Flake	flake	Flake
Senator	senat	Senator
,	,	,
there	there	there
are	are	are
a	a	a
lot	lot	lot
of	of	of
people	peopl	people
waking	wake	waking
up	up	up
this	this	this
morning	morn	morning
in	in	in
this	this	this
country	countri	country
very	veri	very
concerned	concern	concerned
about	about	about
what	what	what
they	they	they
re	re	re
hearing	hear	hearing
from	from	from
North	north	North
Korea	korea	Korea
