Gallup	gallup	Gallup
Polling	poll	Polling
recently	recent	recently
had	had	had
Donald	donald	Donald
Trump	trump	Trump
s	s	s
approval	approv	approval
rating	rate	rating
at	at	at
a	a	a
dismal	dismal	dismal
45	45	45
percent	percent	percent
the	the	the
lowest	lowest	lowest
for	for	for
any	ani	any
newly	newli	newly
inaugurated	inaugur	inaugurated
president	presid	president
in	in	in
modern	modern	modern
American	american	American
history	histori	history
.	.	.
Similarly	similar	Similarly
,	,	,
the	the	the
poll	poll	poll
also	also	also
had	had	had
Trump	trump	Trump
s	s	s
disapproval	disapprov	disapproval
rating	rate	rating
45	45	45
percent	percent	percent
,	,	,
the	the	the
highest	highest	highest
for	for	for
any	ani	any
newly	newli	newly
inaugurated	inaugur	inaugurated
president	presid	president
in	in	in
modern	modern	modern
American	american	American
history	histori	history
.	.	.
It	it	It
s	s	s
safe	safe	safe
to	to	to
say	say	say
that	that	that
Trump	trump	Trump
is	is	is
not	not	not
off	off	off
to	to	to
a	a	a
good	good	good
start	start	start
.	.	.
And	and	And
his	his	his
ratings	rate	rating
are	are	are
only	onli	only
falling	fall	falling
further	further	further
.	.	.
According	accord	According
to	to	to
a	a	a
new	new	new
Quinnipiac	quinnipiac	Quinnipiac
University	univers	University
poll	poll	poll
,	,	,
Donald	donald	Donald
Trump	trump	Trump
s	s	s
approval	approv	approval
ratings	rate	rating
stand	stand	stand
at	at	at
a	a	a
disastrous	disastr	disastrous
36	36	36
percent	percent	percent
,	,	,
which	which	which
is	is	is
,	,	,
as	as	a
stated	state	stated
above	abov	above
,	,	,
the	the	the
lowest	lowest	lowest
for	for	for
any	ani	any
new	new	new
president	presid	president
in	in	in
modern	modern	modern
history	histori	history
.	.	.
Furthermore	furthermor	Furthermore
,	,	,
44	44	44
percent	percent	percent
of	of	of
Americans	american	Americans
have	have	have
a	a	a
negative	negat	negative
view	view	view
of	of	of
him	him	him
.	.	.
That	that	That
s	s	s
a	a	a
net	net	net
negative	negat	negative
eight	eight	eight
points	point	point
.	.	.
At	at	At
this	this	this
same	same	same
time	time	time
in	in	in
his	his	his
presidency	presid	presidency
in	in	in
2009	2009	2009
,	,	,
Barack	barack	Barack
Obama	obama	Obama
had	had	had
a	a	a
59	59	59
percent	percent	percent
approval	approv	approval
rating	rate	rating
,	,	,
and	and	and
a	a	a
29	29	29
percent	percent	percent
disapproval	disapprov	disapproval
rating	rate	rating
.	.	.
If	if	If
there	there	there
s	s	s
one	one	one
thing	thing	thing
that	that	that
Donald	donald	Donald
Trump	trump	Trump
cannot	cannot	cannot
stand	stand	stand
,	,	,
it	it	it
s	s	s
being	be	being
hated	hate	hated
or	or	or
mocked	mock	mocked
.	.	.
We	we	We
learned	learn	learned
that	that	that
after	after	after
his	his	his
fury	furi	fury
over	over	over
the	the	the
size	size	size
of	of	of
the	the	the
Women	women	Women
s	s	s
Marches	march	Marches
,	,	,
and	and	and
his	his	his
need	need	need
to	to	to
Photoshop	photoshop	Photoshop
the	the	the
size	size	size
of	of	of
his	his	his
hands	hand	hand
.	.	.
The	the	The
poll	poll	poll
also	also	also
found	found	found
that	that	that
the	the	the
majority	major	majority
of	of	of
Americans	american	Americans
do	do	do
not	not	not
think	think	think
he	he	he
has	has	ha
the	the	the
right	right	right
qualities	qualiti	quality
to	to	to
lead	lead	lead
the	the	the
nation	nation	nation
,	,	,
nor	nor	nor
do	do	do
they	they	they
think	think	think
