Republican	republican	Republican
front	front	front
runner	runner	runner
Donald	donald	Donald
Trump	trump	Trump
refused	refus	refused
to	to	to
distance	distanc	distance
himself	himself	himself
from	from	from
the	the	the
Ku	ku	Ku
Klux	klux	Klux
Klan	klan	Klan
and	and	and
former	former	former
KKK	kkk	KKK
Grand	grand	Grand
Dragon	dragon	Dragon
David	david	David
Duke	duke	Duke
,	,	,
who	who	who
has	has	ha
endorsed	endors	endorsed
him	him	him
.	.	.

Trump	trump	Trump
s	s	s
reasoning	reason	reasoning
he	he	he
has	has	ha
to	to	to
do	do	do
research	research	research
on	on	on
them	them	them
before	befor	before
rejecting	reject	rejecting
their	their	their
endorsement	endors	endorsement
.	.	.
youtube	youtub	youtube
https://www.youtube.com/watch?v=HfBAKW54FVs]Trump	https://www.youtube.com/watch?v=hfbakw54fvs]trump	https://www.youtube.com/watch?v=HfBAKW54FVs]Trump
s	s	s
statement	statement	statement
comes	come	come
as	as	a
the	the	the
Anti	anti	Anti
-Defamation	-defam	-Defamation
League	leagu	League
called	call	called
on	on	on
him	him	him
to	to	to
reject	reject	reject
endorsements	endors	endorsement
from	from	from
white	white	white
supremacist	supremacist	supremacist
groups	group	group
.	.	.

CNN	cnn	CNN
s	s	s
Jake	jake	Jake
Tapper	tapper	Tapper
asked	ask	asked
Trump	trump	Trump
if	if	if
he	he	he
was	was	wa
willing	will	willing
to	to	to
disavow	disavow	disavow
white	white	white
supremacist	supremacist	supremacist
endorsements	endors	endorsement
.	.	.

Here	here	Here
is	is	is
part	part	part
of	of	of
the	the	the
interview	interview	interview
below	below	below
.	.	.

Trump	trump	Trump
said	said	said
I	i	I
don	don	don
t	t	t
know	know	know
anything	anyth	anything
about	about	about
David	david	David
Duke	duke	Duke
.	.	.

I	i	I
don	don	don
t	t	t
know	know	know
anything	anyth	anything
about	about	about
what	what	what
you	you	you
are	are	are
even	even	even
talking	talk	talking
about	about	about
with	with	with
white	white	white
supremacy	supremaci	supremacy
or	or	or
white	white	white
supremacists	supremacist	supremacist
.	.	.

So	so	So
,	,	,
I	i	I
don	don	don
t	t	t
know	know	know
.	.	.

I	i	I
mean	mean	mean
,	,	,
did	did	did
he	he	he
endorse	endors	endorse
me	me	me
or	or	or
what	what	what
s	s	s
going	go	going
on	on	on
?	?	?

Because	becaus	Because
I	i	I
know	know	know
nothing	noth	nothing
about	about	about
David	david	David
Duke	duke	Duke
,	,	,
I	i	I
know	know	know
nothing	noth	nothing
about	about	about
white	white	white
supremacists	supremacist	supremacist
.	.	.

And	and	And
so	so	so
,	,	,
you	you	you
are	are	are
asking	ask	asking
me	me	me
a	a	a
question	question	question
that	that	that
I	i	I
m	m	m
supposed	suppos	supposed
to	to	to
be	be	be
talking	talk	talking
about	about	about
people	peopl	people
that	that	that
I	i	I
know	know	know
nothing	noth	nothing
about	about	about
.	.	.

But	but	But
Tapper	tapper	Tapper
wouldn	wouldn	wouldn
t	t	t
let	let	let
him	him	him
off	off	off
the	the	the
hook	hook	hook
so	so	so
quickly	quick	quickly
,	,	,
and	and	and
pressed	press	pressed
on	on	on
Would	would	Would
you	you	you
just	just	just
say	say	say
,	,	,
unequivocally	unequivoc	unequivocally
,	,	,
you	you	you
condemn	condemn	condemn
them	them	them
and	and	and
you	you	you
don	don	don
t	t	t
want	want	want
their	their	their
