According	accord	According
to	to	to
what	what	what
White	white	White
House	hous	House
press	press	press
secretary	secretari	secretary
Sean	sean	Sean
Spicer	spicer	Spicer
said	said	said
,	,	,
Trump	trump	Trump
requested	request	requested
the	the	the
resignation	resign	resignation
of	of	of
former	former	former
National	nation	National
Security	secur	Security
Advisor	advisor	Advisor
Michael	michael	Michael
Flynn	flynn	Flynn
due	due	due
to	to	to
the	the	the
erosion	eros	erosion
of	of	of
trust	trust	trust
.	.	.
Flynn	flynn	Flynn
lied	lie	lied
to	to	to
the	the	the
administration	administr	administration
regarding	regard	regarding
discussions	discuss	discussion
with	with	with
Russian	russian	Russian
ambassador	ambassador	ambassador
Sergey	sergey	Sergey
Kislyak	kislyak	Kislyak
.	.	.
Trump	trump	Trump
literally	liter	literally
fired	fire	fired
Flynn	flynn	Flynn
but	but	but
he	he	he
s	s	s
now	now	now
calling	call	calling
the	the	the
scandal	scandal	scandal
fake	fake	fake
news	news	news
.	.	.
The	the	The
amateur	amateur	amateur
president	presid	president
has	has	ha
been	been	been
lashing	lash	lashing
out	out	out
at	at	at
networks	network	network
reporting	report	reporting
on	on	on
the	the	the
scandal	scandal	scandal
,	,	,
calling	call	calling
them	them	them
fake	fake	fake
news	news	news
,	,	,
too	too	too
.	.	.
Thursday	thursday	Thursday
morning	morn	morning
,	,	,
Trump	trump	Trump
went	went	went
on	on	on
quite	quit	quite
a	a	a
tweet	tweet	tweet
-storm	-storm	-storm
.	.	.
FAKE	fake	FAKE
NEWS	news	NEWS
media	media	medium
,	,	,
which	which	which
makes	make	make
up	up	up
stories	stori	story
and	and	and
sources	sourc	source
,	,	,
is	is	is
far	far	far
more	more	more
effective	effect	effective
than	than	than
the	the	the
discredited	discredit	discredited
Democrats	democrat	Democrats
but	but	but
they	they	they
are	are	are
fading	fade	fading
fast	fast	fast
!	!	!
,	,	,
Trump	trump	Trump
tweeted	tweet	tweeted
.	.	.
FAKE	fake	FAKE
NEWS	news	NEWS
media	media	medium
,	,	,
which	which	which
makes	make	make
up	up	up
stories	stori	story
and	and	and
sources	sourc	source
,	,	,
is	is	is
far	far	far
more	more	more
effective	effect	effective
than	than	than
the	the	the
discredited	discredit	discredited
Democrats	democrat	Democrats
but	but	but
they	they	they
are	are	are
fading	fade	fading
fast	fast	fast
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
16	16	16
,	,	,
2017In	2017in	2017In
the	the	the
following	follow	following
tweet	tweet	tweet
,	,	,
he	he	he
wrote	wrote	wrote
,	,	,
The	the	The
Democrats	democrat	Democrats
had	had	had
to	to	to
come	come	come
up	up	up
with	with	with
a	a	a
story	stori	story
as	as	a
to	to	to
why	whi	why
they	they	they
lost	lost	lost
the	the	the
election	elect	election
,	,	,
and	and	and
so	so	so
badly	bad	badly
306	306	306
,	,	,
so	so	so
they	they	they
made	made	made
up	up	up
a	a	a
story	stori	story
RUSSIA	russia	RUSSIA
.	.	.
Fake	fake	Fake
news	news	news
!	!	!
The	the	The
Democrats	democrat	Democrats
had	had	had
to	to	to
come	come	come
up	up	up
with	with	with
a	a	a
story	stori	story
as	as	a
to	to	to
why	whi	why
they	they	they
lost	lost	lost
the	the	the
election	elect	election
,	,	,
and	and	and
so	so	so
badly	bad	badly
306	306	306
,	,	,
so	so	so
they	they	they
made	made	made
up	up	up
a	a	a
story	stori	story
RUSSIA	russia	RUSSIA
.	.	.
Fake	fake	Fake
news	news	news
!	!	!
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
February	februari	February
16	16	16
,	,	,
2017Trump	2017trump	2017Trump
is	is	is
clearly	clear	clearly
unhinged	unhing	unhinged
.	.	.
Trump	trump	Trump
has	has	ha
previously	previous	previously
admitted	admit	admitted
that	that	that
Russia	russia	Russia
engaged	engag	engaged
in	in	in
cyber	cyber	cyber
attacks	attack	attack
during	dure	during
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
.	.	.
And	and	And
again	again	again
,	,	,
he	he	he
fired	fire	fired
Flynn	flynn	Flynn
for	for	for
lying	lie	lying
to	to	to
the	the	the
administration	administr	administration
about	about	about
talks	talk	talk
with	with	with
the	the	the
Russian	russian	Russian
ambassador	ambassador	ambassador
about	about	about
sanctions	sanction	sanction
.	.	.
Regardless	regardless	Regardless
,	,	,
today	today	today
he	he	he
s	s	s
calling	call	calling
it	it	it
fake	fake	fake
news	news	news
.	.	.
The	the	The
Internet	internet	Internet
pounced	pounc	pounced
after	after	after
Trump	trump	Trump
unleashed	unleash	unleashed
his	his	his
crazy	crazi	crazy
-time	-time	-time
tweets	tweet	tweet
and	and	and
fact	fact	fact
-checked	-check	-checked
him	him	him
.	.	.
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
And	and	And
Russia	russia	Russia
was	was	wa
not	not	not
INVENTED	invent	INVENTED
by	by	by
the	the	the
Dems	dem	Dems
,	,	,
it	it	it
s	s	s
been	been	been
confirmed	confirm	confirmed
by	by	by
the	the	the
FBI	fbi	FBI
that	that	that
your	your	your
aides	aid	aide
had	had	had
contact	contact	contact
w	w	w
Russian	russian	Russian
intelligence	intellig	intelligence
Kristina	kristina	Kristina
Wong	wong	Wong
@mskristinawong	@mskristinawong	@mskristinawong
February	februari	February
16	16	16
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
pic.twitter.com/UvI5RGNyPl	pic.twitter.com/uvi5rgnypl	pic.twitter.com/UvI5RGNyPl
Khary	khari	Khary
Penebaker	penebak	Penebaker
@kharyp	@kharyp	@kharyp
February	februari	February
16	16	16
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
Your	your	Your
PHONE	phone	PHONE
RECORDS	record	RECORDS
show	show	show
your	your	your
campaign	campaign	campaign
had	had	had
contact	contact	contact
with	with	with
Russian	russian	Russian
Intelligence	intellig	Intelligence
.	.	.
Who	who	Who
invented	invent	invented
that	that	that
?	?	?
Kristina	kristina	Kristina
Wong	wong	Wong
@mskristinawong	@mskristinawong	@mskristinawong
February	februari	February
16	16	16
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
It	it	It
s	s	s
not	not	not
fake	fake	fake
news	news	news
when	when	when
three	three	three
of	of	of
your	your	your
advisers	advis	adviser
are	are	are
forced	forc	forced
to	to	to
resign	resign	resign
because	becaus	because
of	of	of
exposed	expos	exposed
Russian	russian	Russian
ties	tie	tie
.	.	.
Ruwayda	ruwayda	Ruwayda
Mustafah	mustafah	Mustafah
@RuwaydaMustafah	@ruwaydamustafah	@RuwaydaMustafah
February	februari	February
16	16	16
,	,	,
2017	2017	2017
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
It	it	It
s	s	s
not	not	not
fake	fake	fake
news	news	news
when	when	when
foreign	foreign	foreign
banks	bank	bank
such	such	such
as	as	a
Deutsche	deutsch	Deutsche
bank	bank	bank
start	start	start
to	to	to
investigate	investig	investigate
your	your	your
account	account	account
for	for	for
Russian	russian	Russian
links	link	link
.	.	.
Ruwayda	ruwayda	Ruwayda
Mustafah	mustafah	Mustafah
@RuwaydaMustafah	@ruwaydamustafah	@RuwaydaMustafah
February	februari	February
16	16	16
,	,	,
2017	2017	2017
