Before	befor	Before
Supreme	suprem	Supreme
Court	court	Court
Justice	justic	Justice
Scalia	scalia	Scalia
s	s	s
body	bodi	body
was	was	wa
even	even	even
cold	cold	cold
the	the	the
Republican	republican	Republican
Party	parti	Party
vowed	vow	vowed
to	to	to
stop	stop	stop
any	ani	any
attempt	attempt	attempt
by	by	by
President	presid	President
Obama	obama	Obama
to	to	to
nominate	nomin	nominate
a	a	a
replacement	replac	replacement
for	for	for
his	his	his
seat	seat	seat
.	.	.
Now	now	Now
,	,	,
the	the	the
Republican	republican	Republican
National	nation	National
Committee	committe	Committee
RNC	rnc	RNC
is	is	is
announcing	announc	announcing
that	that	that
they	they	they
have	have	have
created	creat	created
a	a	a
task	task	task
force	forc	force
to	to	to
do	do	do
just	just	just
that	that	that
.	.	.
According	accord	According
to	to	to
The	the	The
Hill	hill	Hill
the	the	the
RNC	rnc	RNC
has	has	ha
joined	join	joined
forces	forc	force
with	with	with
an	an	an
advocacy	advocaci	advocacy
group	group	group
,	,	,
America	america	America
Rising	rise	Rising
Squared	squar	Squared
,	,	,
to	to	to
attack	attack	attack
Obama	obama	Obama
.	.	.
The	the	The
new	new	new
obstructionist	obstructionist	obstructionist
force	forc	force
is	is	is
apparently	appar	apparently
going	go	going
to	to	to
launch	launch	launch
television	televis	television
and	and	and
radio	radio	radio
ads	ad	ad
,	,	,
media	media	medium
appearances	appear	appearance
and	and	and
petitions	petit	petition
to	to	to
support	support	support
Senate	senat	Senate
Republicans	republican	Republicans
who	who	who
have	have	have
vowed	vow	vowed
to	to	to
not	not	not
hold	hold	hold
hearings	hear	hearing
when	when	when
Obama	obama	Obama
nominates	nomin	nominates
a	a	a
replacement	replac	replacement
for	for	for
Scalia	scalia	Scalia
.	.	.
The	the	The
group	group	group
also	also	also
plans	plan	plan
to	to	to
go	go	go
after	after	after
Democrats	democrat	Democrats
who	who	who
are	are	are
up	up	up
for	for	for
re	re	re
-election	-elect	-election
in	in	in
the	the	the
Senate	senat	Senate
and	and	and
the	the	the
two	two	two
Democratic	democrat	Democratic
candidates	candid	candidate
Bernie	berni	Bernie
Sanders	sander	Sanders
and	and	and
Hillary	hillari	Hillary
Clinton	clinton	Clinton
who	who	who
are	are	are
running	run	running
for	for	for
president	presid	president
.	.	.
RNC	rnc	RNC
Chairman	chairman	Chairman
Reince	reinc	Reince
Priebus	priebus	Priebus
commented	comment	commented
on	on	on
the	the	the
campaign	campaign	campaign
to	to	to
prevent	prevent	prevent
Obama	obama	Obama
from	from	from
carrying	carri	carrying
out	out	out
his	his	his
Constitutional	constitut	Constitutional
duties	duti	duty
,	,	,
calling	call	calling
it	it	it
the	the	the
most	most	most
comprehensive	comprehens	comprehensive
judicial	judici	judicial
response	respons	response
effort	effort	effort
in	in	in
our	our	our
