Yesterday	yesterday	Yesterday
,	,	,
President	presid	President
Trump	trump	Trump
took	took	took
to	to	to
Twitter	twitter	Twitter
to	to	to
honor	honor	honor
the	the	the
62	62	62
-year	-year	-year
anniversary	anniversari	anniversary
of	of	of
civil	civil	civil
rights	right	right
icon	icon	icon
,	,	,
Rosa	rosa	Rosa
Parks	park	Parks
.	.	.
President	presid	President
Trump	trump	Trump
tweeted	tweet	tweeted
,	,	,
62	62	62
years	year	year
ago	ago	ago
this	this	this
week	week	week
,	,	,
a	a	a
brave	brave	brave
seamstress	seamstress	seamstress
in	in	in
Montgomery	montgomeri	Montgomery
,	,	,
Alabama	alabama	Alabama
uttered	utter	uttered
one	one	one
word	word	word
that	that	that
changed	chang	changed
history	histori	history
His	his	His
message	messag	message
was	was	wa
accompanied	accompani	accompanied
by	by	by
a	a	a
beautiful	beauti	beautiful
video	video	video
narrated	narrat	narrated
by	by	by
the	the	the
President	presid	President
that	that	that
featured	featur	featured
the	the	the
courageous	courag	courageous
act	act	act
of	of	of
defiance	defianc	defiance
against	against	against
a	a	a
bigoted	bigot	bigoted
bus	bus	bus
driver	driver	driver
who	who	who
attempted	attempt	attempted
to	to	to
make	make	make
her	her	her
sit	sit	sit
at	at	at
the	the	the
back	back	back
of	of	of
the	the	the
bus	bus	bus
,	,	,
simply	simpli	simply
because	becaus	because
she	she	she
was	was	wa
black	black	black
.	.	.
President	presid	President
Trump	trump	Trump
s	s	s
video	video	video
is	is	is
a	a	a
beautiful	beauti	beautiful
tribute	tribut	tribute
to	to	to
a	a	a
woman	woman	woman
who	who	who
,	,	,
much	much	much
like	like	like
Donald	donald	Donald
Trump	trump	Trump
,	,	,
was	was	wa
a	a	a
fighter	fighter	fighter
.	.	.
She	she	She
wasn	wasn	wasn
t	t	t
looking	look	looking
for	for	for
someone	someon	someone
else	els	else
to	to	to
fight	fight	fight
for	for	for
her	her	her
,	,	,
she	she	she
wasn	wasn	wasn
t	t	t
organizing	organ	organizing
a	a	a
mob	mob	mob
to	to	to
fight	fight	fight
back	back	back
against	against	against
injustice	injustic	injustice
,	,	,
she	she	she
stood	stood	stood
alone	alon	alone
,	,	,
she	she	she
fought	fought	fought
back	back	back
,	,	,
and	and	and
because	becaus	because
of	of	of
her	her	her
,	,	,
America	america	America
won	won	won
.	.	.
Sound	sound	Sound
familiar	familiar	familiar
?	?	?
62	62	62
years	year	year
ago	ago	ago
this	this	this
week	week	week
,	,	,
a	a	a
brave	brave	brave
seamstress	seamstress	seamstress
in	in	in
Montgomery	montgomeri	Montgomery
,	,	,
Alabama	alabama	Alabama
uttered	utter	uttered
one	one	one
word	word	word
that	that	that
changed	chang	changed
history	histori	history
pic.twitter.com/eOvCBcMIKX	pic.twitter.com/eovcbcmikx	pic.twitter.com/eOvCBcMIKX
Donald	donald	Donald
J	j	J
.	.	.
Trump	trump	Trump
@realDonaldTrump	@realdonaldtrump	@realDonaldTrump
December	decemb	December
2	2	2
,	,	,
2017Five	2017five	2017Five
years	year	year
ago	ago	ago
,	,	,
President	presid	President
Obama	obama	Obama
also	also	also
honored	honor	honored
the	the	the
legacy	legaci	legacy
of	of	of
Rosa	rosa	Rosa
Parks	park	Parks
.	.	.
Obama	obama	Obama
,	,	,
however	howev	however
,	,	,
took	took	took
a	a	a
much	much	much
different	differ	different
approach	approach	approach
.	.	.
Instead	instead	Instead
of	of	of
focusing	focus	focusing
on	on	on
Rosa	rosa	Rosa
Parks	park	Parks
,	,	,
and	and	and
her	her	her
contribution	contribut	contribution
to	to	to
the	the	the
civil	civil	civil
rights	right	right
movement	movement	movement
,	,	,
Barack	barack	Barack
Obama	obama	Obama
posted	post	posted
a	a	a
narcissistic	narcissist	narcissistic
photo	photo	photo
of	of	of
himself	himself	himself
sitting	sit	sitting
on	on	on
the	the	the
bus	bus	bus
,	,	,
that	that	that
s	s	s
parked	park	parked
at	at	at
the	the	the
Henry	henri	Henry
Ford	ford	Ford
Museum	museum	Museum
,	,	,
in	in	in
Dearborn	dearborn	Dearborn
,	,	,
MI	mi	MI
.	.	.
Apparently	appar	Apparently
,	,	,
Barack	barack	Barack
Obama	obama	Obama
felt	felt	felt
that	that	that
he	he	he
deserved	deserv	deserved
the	the	the
spotlight	spotlight	spotlight
on	on	on
the	the	the
57th	57th	57th
and	and	and
again	again	again
on	on	on
the	the	the
58th	58th	58th
anniversary	anniversari	anniversary
of	of	of
Rosa	rosa	Rosa
Parks	park	Parks
brave	brave	brave
act	act	act
of	of	of
defiance	defianc	defiance
.	.	.
Here	here	Here
s	s	s
how	how	how
the	the	the
former	former	former
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
honored	honor	honored
Rosa	rosa	Rosa
Parks	park	Parks
on	on	on
her	her	her
57th	57th	57th
anniversary	anniversari	anniversary
Today	today	Today
is	is	is
the	the	the
57th	57th	57th
Anniversary	anniversari	Anniversary
of	of	of
the	the	the
day	day	day
Rosa	rosa	Rosa
Parks	park	Parks
refused	refus	refused
to	to	to
give	give	give
up	up	up
her	her	her
seat	seat	seat
.	.	.
Pic	pic	Pic
President	presid	President
Obama	obama	Obama
on	on	on
Rosa	rosa	Rosa
Parks	park	Parks
bus	bus	bus
pic.twitter.com/cFaKOYDt	pic.twitter.com/cfakoydt	pic.twitter.com/cFaKOYDt
White	white	White
House	hous	House
Archived	archiv	Archived
@ObamaWhiteHouse	@obamawhitehous	@ObamaWhiteHouse
December	decemb	December
1	1	1
,	,	,
2012Here	2012here	2012Here
s	s	s
how	how	how
President	presid	President
Barack	barack	Barack
Obama	obama	Obama
honored	honor	honored
Rosa	rosa	Rosa
Parks	park	Parks
again	again	again
,	,	,
on	on	on
her	her	her
58th	58th	58th
anniversary	anniversari	anniversary
Michelle	michell	Michelle
was	was	wa
so	so	so
impressed	impress	impressed
by	by	by
her	her	her
husband	husband	husband
s	s	s
arrogance	arrog	arrogance
,	,	,
that	that	that
she	she	she
too	too	too
,	,	,
tweeted	tweet	tweeted
a	a	a
picture	pictur	picture
of	of	of
her	her	her
husband	husband	husband
to	to	to
honor	honor	honor
the	the	the
life	life	life
of	of	of
Rosa	rosa	Rosa
Parks	park	Parks
For	for	For
the	the	the
record	record	record
,	,	,
there	there	there
are	are	are
plenty	plenti	plenty
of	of	of
photos	photo	photo
of	of	of
Rosa	rosa	Rosa
Parks	park	Parks
that	that	that
were	were	were
available	avail	available
for	for	for
the	the	the
President	presid	President
and	and	and
First	first	First
Lady	ladi	Lady
to	to	to
use	use	use
in	in	in
their	their	their
tweets	tweet	tweet
.	.	.
But	but	But
somehow	somehow	somehow
,	,	,
the	the	the
Obama	obama	Obama
s	s	s
always	alway	always
seemed	seem	seemed
to	to	to
take	take	take
a	a	a
moment	moment	moment
that	that	that
should	should	should
belong	belong	belong
to	to	to
someone	someon	someone
else	els	else
,	,	,
and	and	and
make	make	make
it	it	it
about	about	about
them	them	them
.	.	.
It	it	It
s	s	s
not	not	not
the	the	the
first	first	first
time	time	time
Barack	barack	Barack
Obama	obama	Obama
honored	honor	honored
himself	himself	himself
instead	instead	instead
of	of	of
the	the	the
person	person	person
he	he	he
claimed	claim	claimed
to	to	to
be	be	be
honoring	honor	honoring
.	.	.
We	we	We
ve	ve	ve
posted	post	posted
several	sever	several
images	imag	image
of	of	of
Barack	barack	Barack
Obama	obama	Obama
honoring	honor	honoring
himself	himself	himself
instead	instead	instead
of	of	of
the	the	the
activist	activist	activist
,	,	,
hero	hero	hero
or	or	or
legend	legend	legend
he	he	he
was	was	wa
supposed	suppos	supposed
to	to	to
honoring	honor	honoring
.	.	.
Here	here	Here
are	are	are
just	just	just
a	a	a
few	few	few
examples	exampl	example
Although	although	Although
he	he	he
never	never	never
mentions	mention	mention
him	him	him
by	by	by
name	name	name
or	or	or
even	even	even
bothers	bother	bother
to	to	to
circle	circl	circle
him	him	him
in	in	in
this	this	this
photo	photo	photo
,	,	,
where	where	where
Barack	barack	Barack
Obama	obama	Obama
is	is	is
clearly	clear	clearly
the	the	the
center	center	center
of	of	of
attention	attent	attention
,	,	,
this	this	this
tweet	tweet	tweet
was	was	wa
supposed	suppos	supposed
to	to	to
be	be	be
honoring	honor	honoring
the	the	the
late	late	late
golf	golf	golf
icon	icon	icon
,	,	,
Arnold	arnold	Arnold
Palmer	palmer	Palmer
Here's	here	Here's
to	to	to
The	the	The
King	king	King
who	who	who
was	was	wa
as	as	a
extraordinary	extraordinari	extraordinary
on	on	on
the	the	the
links	link	link
as	as	a
he	he	he
was	was	wa
generous	generous	generous
to	to	to
others	other	others
.	.	.
Thanks	thank	Thanks
for	for	for
the	the	the
memories	memori	memory
,	,	,
Arnold	arnold	Arnold
.	.	.
pic.twitter.com/UlyfpIBOL2	pic.twitter.com/ulyfpibol2	pic.twitter.com/UlyfpIBOL2
President	presid	President
Obama	obama	Obama
@POTUS44	@potus44	@POTUS44
September	septemb	September
26	26	26
,	,	,
2016In	2016in	2016In
this	this	this
tweet	tweet	tweet
,	,	,
Barack	barack	Barack
Obama	obama	Obama
says	say	say
,	,	,
He	he	He
shook	shook	shook
up	up	up
the	the	the
world	world	world
,	,	,
and	and	and
the	the	the
world	world	world
s	s	s
a	a	a
better	better	better
place	place	place
for	for	for
it	it	it
.	.	.
Fortunately	fortun	Fortunately
,	,	,
he	he	he
added	ad	added
Rest	rest	Rest
in	in	in
Peace	peac	Peace
,	,	,
otherwise	otherwis	otherwise
,	,	,
his	his	his
social	social	social
media	media	medium
followers	follow	follower
would	would	would
have	have	have
no	no	no
reason	reason	reason
to	to	to
believe	believ	believe
that	that	that
this	this	this
tweet	tweet	tweet
was	was	wa
supposed	suppos	supposed
to	to	to
be	be	be
a	a	a
tribute	tribut	tribute
to	to	to
the	the	the
deceased	deceas	deceased
boxing	box	boxing
legend	legend	legend
,	,	,
Muhammad	muhammad	Muhammad
Ali	ali	Ali
,	,	,
as	as	a
once	onc	once
again	again	again
,	,	,
Obama	obama	Obama
appears	appear	appears
to	to	to
be	be	be
the	the	the
focus	focus	focus
of	of	of
the	the	the
image	imag	image
with	with	with
a	a	a
photo	photo	photo
of	of	of
Ali	ali	Ali
in	in	in
the	the	the
background	background	background
.	.	.
He	he	He
shook	shook	shook
up	up	up
the	the	the
world	world	world
,	,	,
and	and	and
the	the	the
world's	world	world's
better	better	better
for	for	for
it	it	it
.	.	.
Rest	rest	Rest
in	in	in
peace	peac	peace
,	,	,
Champ	champ	Champ
.	.	.
pic.twitter.com/z1yM3sSLH3	pic.twitter.com/z1ym3sslh3	pic.twitter.com/z1yM3sSLH3
President	presid	President
Obama	obama	Obama
@POTUS44	@potus44	@POTUS44
June	june	June
4	4	4
,	,	,
2016The	2016the	2016The
former	former	former
President	presid	President
honored	honor	honored
Nelson	nelson	Nelson
Mandela	mandela	Mandela
by	by	by
posting	post	posting
a	a	a
picture	pictur	picture
of	of	of
himself	himself	himself
in	in	in
the	the	the
jail	jail	jail
cell	cell	cell
where	where	where
Mandela	mandela	Mandela
was	was	wa
imprisoned	imprison	imprisoned
Compassion	compass	Compassion
,	,	,
understanding	understand	understanding
,	,	,
and	and	and
reconciliation	reconcili	reconciliation
on	on	on
#MandelaDay,	#mandeladay,	#MandelaDay,
we	we	we
are	are	are
reminded	remind	reminded
of	of	of
the	the	the
promise	promis	promise
for	for	for
a	a	a
better	better	better
world	world	world
.	.	.
pic.twitter.com/vOpRlM4gwf	pic.twitter.com/voprlm4gwf	pic.twitter.com/vOpRlM4gwf
White	white	White
House	hous	House
Archived	archiv	Archived
@ObamaWhiteHouse	@obamawhitehous	@ObamaWhiteHouse
July	juli	July
18	18	18
,	,	,
2016And	2016and	2016And
finally	final	finally
,	,	,
on	on	on
Pearl	pearl	Pearl
Harbor	harbor	Harbor
Day	day	Day
in	in	in
Barack	barack	Barack
Obama	obama	Obama
honored	honor	honored
the	the	the
dead	dead	dead
,	,	,
by	by	by
posting	post	posting
a	a	a
picture	pictur	picture
of	of	of
himself	himself	himself
on	on	on
Facebook	facebook	Facebook
walking	walk	walking
down	down	down
the	the	the
stairs	stair	stair
next	next	next
to	to	to
the	the	the
Pearl	pearl	Pearl
Harbor	harbor	Harbor
Memorial	memori	Memorial
.	.	.
