While	while	While
campaigning	campaign	campaigning
for	for	for
Hillary	hillari	Hillary
Clinton	clinton	Clinton
in	in	in
New	new	New
Hampshire	hampshir	Hampshire
on	on	on
Monday	monday	Monday
,	,	,
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
just	just	just
did	did	did
what	what	what
she	she	she
does	doe	doe
best	best	best
,	,	,
pulverize	pulver	pulverize
Donald	donald	Donald
Trump	trump	Trump
and	and	and
his	his	his
abusive	abus	abusive
rhetoric	rhetor	rhetoric
and	and	and
actions	action	action
.	.	.

She	she	She
went	went	went
directly	direct	directly
for	for	for
the	the	the
jugular	jugular	jugular
and	and	and
attacked	attack	attacked
his	his	his
nasty	nasti	nasty
woman	woman	woman
comment	comment	comment
from	from	from
the	the	the
last	last	last
presidential	presidenti	presidential
debate	debat	debate
,	,	,
as	as	a
well	well	well
as	as	a
his	his	his
clear	clear	clear
disrespect	disrespect	disrespect
for	for	for
women	women	woman
.	.	.
Warren	warren	Warren
lays	lay	lay
it	it	it
all	all	all
out	out	out
there	there	there
and	and	and
tells	tell	tell
the	the	the
crowd	crowd	crowd
Donald	donald	Donald
Trump	trump	Trump
disrespects	disrespect	disrespect
,	,	,
aggressively	aggress	aggressively
disrespects	disrespect	disrespect
,	,	,
more	more	more
than	than	than
half	half	half
the	the	the
human	human	human
beings	be	being
in	in	in
this	this	this
country	countri	country
.	.	.

He	he	He
thinks	think	think
because	becaus	because
he	he	he
has	has	ha
money	money	money
that	that	that
he	he	he
can	can	can
call	call	call
women	women	woman
fat	fat	fat
pigs	pig	pig
and	and	and
bimbos	bimbo	bimbo
.	.	.

He	he	He
thinks	think	think
because	becaus	because
he	he	he
is	is	is
a	a	a
celebrity	celebr	celebrity
he	he	he
can	can	can
rate	rate	rate
women	women	woman
s	s	s
bodies	bodi	body
from	from	from
one	one	one
to	to	to
ten	ten	ten
.	.	.

He	he	He
thinks	think	think
that	that	that
because	becaus	because
he	he	he
has	has	ha
a	a	a
mouth	mouth	mouth
full	full	full
of	of	of
Tic	tic	Tic
Tacs	tac	Tacs
that	that	that
he	he	he
can	can	can
force	forc	force
himself	himself	himself
on	on	on
any	ani	any
woman	woman	woman
within	within	within
groping	grope	groping
distance	distanc	distance
.	.	.
I	i	I
got	got	got
news	news	news
for	for	for
you	you	you
,	,	,
Donald	donald	Donald
Trump	trump	Trump
.	.	.

Women	women	Women
have	have	have
had	had	had
it	it	it
with	with	with
guys	guy	guy
like	like	like
you	you	you
.	.	.

And	and	And
nasty	nasti	nasty
women	women	woman
have	have	have
really	realli	really
had	had	had
it	it	it
with	with	with
guys	guy	guy
like	like	like
you	you	you
.	.	.
Get	get	Get
this	this	this
,	,	,
Donald	donald	Donald
,	,	,
Nasty	nasti	Nasty
women	women	woman
,	,	,
are	are	are
tough	tough	tough
.	.	.

Nasty	nasti	Nasty
women	women	woman
are	are	are
smart	smart	smart
,	,	,
and	and	and
nasty	nasti	nasty
women	women	woman
vote	vote	vote
.	.	.

And	and	And
on	on	on
November	novemb	November
8th	8th	8th
,	,	,
we	we	we
nasty	nasti	nasty
women	women	woman
are	are	are
going	go	going
to	to	to
march	march	march
our	our	our
nasty	nasti	nasty
feet	feet	foot
to	to	to
cast	cast	cast
our	our	our
nasty	nasti	nasty
votes	vote	vote
to	to	to
get	get	get
you	you	you
out	out	out
of	of	of
our	our	our
lives	live	life
forever	forev	forever
.	.	.

This	this	This
received	receiv	received
uproarious	uproari	uproarious
applause	applaus	applause
and	and	and
was	was	wa
a	a	a
sure	sure	sure
sign	sign	sign
nasty	nasti	nasty
women	women	woman
everywhere	everywher	everywhere
are	are	are
about	about	about
to	to	to
make	make	make
sure	sure	sure
Donald	donald	Donald
Trump	trump	Trump
gets	get	get
nowhere	nowher	nowhere
near	near	near
the	the	the
Oval	oval	Oval
Office	offic	Office
.	.	.
Watch	watch	Watch
Warren	warren	Warren
shred	shred	shred
Trump	trump	Trump
and	and	and
ignite	ignit	ignite
nasty	nasti	nasty
women	women	woman
everywhere	everywher	everywhere
to	to	to
get	get	get
out	out	out
and	and	and
vote	vote	vote
Elizabeth	elizabeth	Elizabeth
Warren	warren	Warren
to	to	to
Trump	trump	Trump
We	we	We
nasty	nasti	nasty
women	women	woman
are	are	are
going	go	going
to	to	to
march	march	march
our	our	our
nasty	nasti	nasty
feet	feet	foot
to	to	to
cast	cast	cast
our	our	our
nasty	nasti	nasty
votes	vote	vote
to	to	to
get	get	get
you	you	you
out	out	out
of	of	of
our	our	our
lives	live	life
forever	forev	forever
!	!	!

pic.twitter.com/epCA13EZfo	pic.twitter.com/epca13ezfo	pic.twitter.com/epCA13EZfo
Bradd	bradd	Bradd
Jaffy	jaffi	Jaffy
@BraddJaffy	@braddjaffi	@BraddJaffy
October	octob	October
24	24	24
,	,	,
2016Featured	2016featur	2016Featured
image	imag	image
via	via	via
video	video	video
screen	screen	screen
capture	captur	capture

