There	there	There
must	must	must
be	be	be
something	someth	something
in	in	in
the	the	the
water	water	water
in	in	in
Washington	washington	Washington
how	how	how
idiotic	idiot	idiotic
are	are	are
these	these	these
people	peopl	people
?	?	?

The	the	The
Senate	senat	Senate
Armed	arm	Armed
Services	servic	Services
Committee	committe	Committee
has	has	ha
asked	ask	asked
for	for	for
copies	copi	copy
of	of	of
Defense	defens	Defense
Secretary	secretari	Secretary
Ash	ash	Ash
Carter	carter	Carter
s	s	s
personal	person	personal
emails	email	email
after	after	after
Carter	carter	Carter
acknowledged	acknowledg	acknowledged
in	in	in
a	a	a
statement	statement	statement
that	that	that
he	he	he
had	had	had
used	use	used
a	a	a
personal	person	personal
email	email	email
.	.	.

The	the	The
statement	statement	statement
followed	follow	followed
a	a	a
New	new	New
York	york	York
Times	time	Times
article	articl	article
saying	say	saying
it	it	it
had	had	had
obtained	obtain	obtained
72	72	72
of	of	of
Carter	carter	Carter
s	s	s
work	work	work
-related	-relat	-related
emails	email	email
that	that	that
he	he	he
sent	sent	sent
or	or	or
received	receiv	received
from	from	from
a	a	a
personal	person	personal
email	email	email
account	account	account
.	.	.

The	the	The
Times	time	Times
said	said	said
it	it	it
was	was	wa
given	given	given
the	the	the
emails	email	email
in	in	in
response	respons	response
to	to	to
a	a	a
Freedom	freedom	Freedom
of	of	of
Information	inform	Information
Act	act	Act
request	request	request
.	.	.

After	after	After
reviewing	review	reviewing
his	his	his
email	email	email
practices	practic	practice
earlier	earlier	earlier
this	this	this
year	year	year
,	,	,
the	the	the
secretary	secretari	secretary
believes	believ	belief
that	that	that
his	his	his
previous	previous	previous
,	,	,
occasional	occasion	occasional
use	use	use
of	of	of
personal	person	personal
email	email	email
for	for	for
work	work	work
-related	-relat	-related
business	busi	business
,	,	,
even	even	even
for	for	for
routine	routin	routine
administrative	administr	administrative
issues	issu	issue
and	and	and
backed	back	backed
up	up	up
to	to	to
his	his	his
official	offici	official
account	account	account
,	,	,
was	was	wa
a	a	a
mistake	mistak	mistake
,	,	,
the	the	the
statement	statement	statement
from	from	from
spokesman	spokesman	spokesman
Peter	peter	Peter
Cook	cook	Cook
said	said	said
.	.	.

As	as	As
a	a	a
result	result	result
,	,	,
he	he	he
stopped	stop	stopped
such	such	such
use	use	use
of	of	of
his	his	his
personal	person	personal
email	email	email
and	and	and
further	further	further
limited	limit	limited
his	his	his
use	use	use
of	of	of
email	email	email
altogether	altogeth	altogether
.	.	.

With	with	With
all	all	all
the	the	the
public	public	public
attention	attent	attention
surrounding	surround	surrounding
the	the	the
improper	improp	improper
use	use	use
of	of	of
personal	person	personal
email	email	email
by	by	by
other	other	other
Administration	administr	Administration
officials	offici	official
,	,	,
it	it	it
is	is	is
hard	hard	hard
to	to	to
believe	believ	believe
that	that	that
Secretary	secretari	Secretary
Carter	carter	Carter
would	would	would
exercise	exercis	exercise
the	the	the
same	same	same
error	error	error
in	in	in
judgment	judgment	judgment
,	,	,
Sen	sen	Sen
.	.	.

John	john	John
McCain	mccain	McCain
,	,	,
an	an	an
Arizona	arizona	Arizona
Republican	republican	Republican
and	and	and
committee	committe	committee
chairman	chairman	chairman
,	,	,
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
.	.	.

The	the	The
Senate	senat	Senate
Armed	arm	Armed
Services	servic	Services
Committee	committe	Committee
has	has	ha
requested	request	requested
copies	copi	copy
of	of	of
the	the	the
emails	email	email
and	and	and
will	will	will
be	be	be
conducting	conduct	conducting
a	a	a
review	review	review
to	to	to
ensure	ensur	ensure
that	that	that
sensitive	sensit	sensitive
information	inform	information
was	was	wa
not	not	not
compromised	compromis	compromised
.	.	.

It	it	It
s	s	s
a	a	a
mistake	mistak	mistake
,	,	,
and	and	and
it	it	it
s	s	s
entirely	entir	entirely
my	my	my
own	own	own
,	,	,
Carter	carter	Carter
said	said	said
,	,	,
adding	ad	adding
that	that	that
I	i	I
stopped	stop	stopped
when	when	when
it	it	it
was	was	wa
clear	clear	clear
the	the	the
practice	practic	practice
was	was	wa
against	against	against
policy	polici	policy
.	.	.

Just	just	Just
listen	listen	listen
to	to	to
our	our	our
Defense	defens	Defense
Secretary	secretari	Secretary
apologize	apolog	apologize
for	for	for
using	use	using
his	his	his
personal	person	personal
e	e	e
-mail	-mail	-mail
for	for	for
Defense	defens	Defense
Department	depart	Department
business	busi	business

