Just	just	Just
suppose	suppos	suppose
the	the	the
play	play	play
was	was	wa
cancelled	cancel	cancelled
because	becaus	because
the	the	the
school	school	school
was	was	wa
using	use	using
black	black	black
actors	actor	actor
.	.	.

Would	would	Would
this	this	this
be	be	be
the	the	the
only	onli	only
place	place	place
you	you	you
would	would	would
see	see	see
this	this	this
story	stori	story
?	?	?
A	a	A
small	small	small
,	,	,
state	state	state
college	colleg	college
in	in	in
northern	northern	northern
Pennsylvania	pennsylvania	Pennsylvania
has	has	ha
canceled	cancel	canceled
a	a	a
musical	music	musical
about	about	about
a	a	a
week	week	week
before	befor	before
it	it	it
was	was	wa
scheduled	schedul	scheduled
to	to	to
open	open	open
after	after	after
the	the	the
playwright	playwright	playwright
objected	object	objected
to	to	to
the	the	the
use	use	use
of	of	of
white	white	white
actors	actor	actor
for	for	for
South	south	South
Asian	asian	Asian
characters	charact	character
.	.	.
Clarion	clarion	Clarion
University	univers	University
had	had	had
spent	spent	spent
much	much	much
of	of	of
the	the	the
year	year	year
preparing	prepar	preparing
to	to	to
stage	stage	stage
the	the	the
punk	punk	punk
rock	rock	rock
version	version	version
of	of	of
Jesus	jesus	Jesus
in	in	in
India	india	India
,	,	,
by	by	by
dramatist	dramatist	dramatist
Lloyd	lloyd	Lloyd
Suh	suh	Suh
,	,	,
which	which	which
ran	ran	ran
off	off	off
-Broadway	-broadway	-Broadway
in	in	in
2013	2013	2013
and	and	and
received	receiv	received
favorable	favor	favorable
reviews	review	review
.	.	.
Suh	suh	Suh
,	,	,
who	who	who
owns	own	owns
the	the	the
rights	right	right
to	to	to
the	the	the
musical	music	musical
,	,	,
sent	sent	sent
an	an	an
e	e	e
-mail	-mail	-mail
on	on	on
Monday	monday	Monday
to	to	to
the	the	the
school	school	school
s	s	s
play	play	play
director	director	director
Marilouise	marilouis	Marilouise
Michel	michel	Michel
ordering	order	ordering
her	her	her
to	to	to
either	either	either
replace	replac	replace
the	the	the
non	non	non
-Asian	-asian	-Asian
actors	actor	actor
with	with	with
ethnically	ethnic	ethnically
appropriate	appropri	appropriate
actors	actor	actor
or	or	or
cancel	cancel	cancel
the	the	the
production	product	production
,	,	,
which	which	which
was	was	wa
due	due	due
to	to	to
open	open	open
Nov	nov	Nov
.	.	.

18	18	18
.	.	.

I	i	I
have	have	have
severe	sever	severe
objections	object	objection
to	to	to
your	your	your
use	use	use
of	of	of
Caucasian	caucasian	Caucasian
actors	actor	actor
in	in	in
roles	role	role
clearly	clear	clearly
written	written	written
for	for	for
South	south	South
Asian	asian	Asian
actors	actor	actor
,	,	,
and	and	and
consider	consid	consider
this	this	this
an	an	an
absolutely	absolut	absolutely
unacceptable	unaccept	unacceptable
distortion	distort	distortion
of	of	of
the	the	the
play	play	play
,	,	,
Suh	suh	Suh
wrote	wrote	wrote
in	in	in
the	the	the
e	e	e
-mail	-mail	-mail
provided	provid	provided
to	to	to
Reuters	reuter	Reuters
by	by	by
Michel	michel	Michel
.	.	.
Michel	michel	Michel
told	told	told
Reuters	reuter	Reuters
on	on	on
Thursday	thursday	Thursday
that	that	that
one	one	one
of	of	of
the	the	the
Indian	indian	Indian
roles	role	role
was	was	wa
to	to	to
be	be	be
played	play	played
by	by	by
a	a	a
biracial	biraci	biracial
girl	girl	girl
,	,	,
and	and	and
the	the	the
rest	rest	rest
by	by	by
whites	white	white
.	.	.

They	they	They
were	were	were
not	not	not
doing	do	doing
the	the	the
roles	role	role
in	in	in
brownface	brownfac	brownface
or	or	or
using	use	using
dialects	dialect	dialect
,	,	,
she	she	she
said	said	said
,	,	,
but	but	but
Suh	suh	Suh
rejected	reject	rejected
any	ani	any
solution	solut	solution
other	other	other
than	than	than
removing	remov	removing
them	them	them
.	.	.
Suh	suh	Suh
,	,	,
