As	as	As
crunch	crunch	crunch
time	time	time
nears	near	nears
and	and	and
states	state	state
are	are	are
having	have	having
their	their	their
primary	primari	primary
contests	contest	contest
,	,	,
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
is	is	is
wasting	wast	wasting
no	no	no
time	time	time
in	in	in
getting	get	getting
further	further	further
ahead	ahead	ahead
than	than	than
the	the	the
Republicans	republican	Republicans
.	.	.
In	in	In
a	a	a
new	new	new
report	report	report
detailed	detail	detailed
by	by	by
Politico	politico	Politico
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
and	and	and
her	her	her
campaign	campaign	campaign
are	are	are
setting	set	setting
course	cours	course
to	to	to
raise	rais	raise
over	over	over
1	1	1
billion	billion	billion
to	to	to
unseat	unseat	unseat
vulnerable	vulner	vulnerable
House	hous	House
and	and	and
Senate	senat	Senate
Republicans	republican	Republicans
,	,	,
with	with	with
the	the	the
aim	aim	aim
of	of	of
knocking	knock	knocking
off	off	off
10	10	10
to	to	to
25	25	25
House	hous	House
seats	seat	seat
from	from	from
Republicans	republican	Republicans
and	and	and
taking	take	taking
back	back	back
the	the	the
Senate	senat	Senate
.	.	.
Hillary	hillari	Hillary
Clinton	clinton	Clinton
will	will	will
raise	rais	raise
1	1	1
billion	billion	billion
for	for	for
Democrats	democrat	Democrats
and	and	and
the	the	the
party	parti	party
will	will	will
train	train	train
some	some	some
of	of	of
their	their	their
efforts	effort	effort
and	and	and
that	that	that
money	money	money
on	on	on
defeating	defeat	defeating
House	hous	House
and	and	and
Senate	senat	Senate
Republicans	republican	Republicans
.	.	.

Party	parti	Party
leaders	leader	leader
privately	privat	privately
concede	conced	concede
that	that	that
the	the	the
Senate	senat	Senate
could	could	could
be	be	be
lost	lost	lost
either	either	either
way	way	way
.	.	.

But	but	But
senior	senior	senior
House	hous	House
Republicans	republican	Republicans
say	say	say
they	they	they
re	re	re
in	in	in
good	good	good
shape	shape	shape
across	across	across
the	the	the
country	countri	country
,	,	,
and	and	and
see	see	see
no	no	no
evidence	evid	evidence
that	that	that
the	the	the
control	control	control
of	of	of
the	the	the
chamber	chamber	chamber
is	is	is
in	in	in
playRepublicans	playrepublican	playRepublicans
are	are	are
especially	especi	especially
antsy	antsi	antsy
at	at	at
these	these	these
revelations	revel	revelation
,	,	,
considering	consid	considering
the	the	the
Republican	republican	Republican
National	nation	National
Committee	committe	Committee
fell	fell	fell
almost	almost	almost
10	10	10
million	million	million
short	short	short
in	in	in
their	their	their
July	juli	July
fundraising	fundrais	fundraising
predications	predic	predication
they	they	they
only	onli	only
conjured	conjur	conjured
up	up	up
27	27	27
million	million	million
.	.	.

In	in	In
that	that	that
same	same	same
month	month	month
,	,	,
the	the	the
Democratic	democrat	Democratic
Congressional	congression	Congressional
Campaign	campaign	Campaign
Committee	committe	Committee
,	,	,
the	the	the
fundraising	fundrais	fundraising
arm	arm	arm
of	of	of
the	the	the
Democratic	democrat	Democratic
National	nation	National
Committee	committe	Committee
,	,	,
raised	rais	raised
over	over	over
35	35	35
million	million	million
not	not	not
including	includ	including
the	the	the
total	total	total
90	90	90
million	million	million
in	in	in
joint	joint	joint
fundraising	fundrais	fundraising
with	with	with
Clinton	clinton	Clinton
,	,	,
and	and	and
has	has	ha
raised	rais	raised
almost	almost	almost
20	20	20
million	million	million
more	more	more
than	than	than
the	the	the
RNC	rnc	RNC
for	for	for
the	the	the
2016	2016	2016
fiscal	fiscal	fiscal
year	year	year
so	so	so
far	far	far
.	.	.
In	in	In
contrast	contrast	contrast
,	,	,
Trump	trump	Trump
had	had	had
a	a	a
very	veri	very
good	good	good
month	month	month
for	for	for
fundraising	fundrais	fundraising
.	.	.

Counter	counter	Counter
that	that	that
with	with	with
the	the	the
RNC	rnc	RNC
s	s	s
pathetic	pathet	pathetic
monthly	month	monthly
numbers	number	number
,	,	,
the	the	the
money	money	money
speaks	speak	speaks
for	for	for
itself	itself	itself
the	the	the
GOP	gop	GOP
is	is	is
putting	put	putting
its	it	it
trust	trust	trust
and	and	and
money	money	money
in	in	in
Trump	trump	Trump
and	and	and
Trump	trump	Trump
alone	alon	alone
.	.	.
So	so	So
while	while	while
Trump	trump	Trump
is	is	is
hurting	hurt	hurting
down	down	down
-ballot	-ballot	-ballot
candidates	candid	candidate
and	and	and
their	their	their
efforts	effort	effort
for	for	for
re	re	re
-election	-elect	-election
,	,	,
Clinton	clinton	Clinton
is	is	is
set	set	set
to	to	to
raise	rais	raise
unprecedented	unpreced	unprecedented
amounts	amount	amount
of	of	of
money	money	money
for	for	for
the	the	the
Democrats	democrat	Democrats
,	,	,
all	all	all
while	while	while
having	have	having
her	her	her
own	own	own
campaign	campaign	campaign
to	to	to
fund	fund	fund
.	.	.
Back	back	Back
in	in	in
May	may	May
2015	2015	2015
,	,	,
Politico	politico	Politico
reported	report	reported
that	that	that
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
sought	sought	sought
to	to	to
raise	rais	raise
over	over	over
2	2	2
billion	billion	billion
by	by	by
the	the	the
time	time	time
the	the	the
November	novemb	November
general	general	general
election	elect	election
rolled	roll	rolled
around	around	around
.	.	.

Considering	consid	Considering
the	the	the
Clinton	clinton	Clinton
campaign	campaign	campaign
has	has	ha
raised	rais	raised
,	,	,
per	per	per
OpenSecrets	opensecret	OpenSecrets
,	,	,
375	375	375
million	million	million
for	for	for
her	her	her
own	own	own
personal	person	personal
campaign	campaign	campaign
,	,	,
100	100	100
million	million	million
in	in	in
2015	2015	2015
for	for	for
down	down	down
-ballot	-ballot	-ballot
candidates	candid	candidate
in	in	in
2015	2015	2015
,	,	,
and	and	and
over	over	over
60	60	60
million	million	million
through	through	through
the	the	the
summer	summer	summer
of	of	of
2016	2016	2016
coupled	coupl	coupled
with	with	with
the	the	the
goal	goal	goal
of	of	of
1	1	1
billion	billion	billion
by	by	by
November	novemb	November
,	,	,
that	that	that
leaves	leav	leaf
the	the	the
campaign	campaign	campaign
