Ah	ah	Ah
,	,	,
the	the	the
ultimate	ultim	ultimate
Trump	trump	Trump
fangirl	fangirl	fangirl
,	,	,
with	with	with
the	the	the
exception	except	exception
of	of	of
Sarah	sarah	Sarah
Palin	palin	Palin
gag	gag	gag
.	.	.
Both	both	Both
of	of	of
them	them	them
are	are	are
enamored	enamor	enamored
of	of	of
Trump	trump	Trump
,	,	,
and	and	and
it	it	it
s	s	s
not	not	not
hard	hard	hard
to	to	to
believe	believ	believe
that	that	that
they	they	they
might	might	might
even	even	even
think	think	think
they	they	they
re	re	re
in	in	in
love	love	love
with	with	with
him	him	him
.	.	.
Palin	palin	Palin
s	s	s
just	just	just
an	an	an
idiot	idiot	idiot
about	about	about
it	it	it
,	,	,
though	though	though
.	.	.
Ann	ann	Ann
Coulter	coulter	Coulter
,	,	,
though	though	though
?	?	?
She	she	She
s	s	s
a	a	a
very	veri	very
cunning	cun	cunning
racist	racist	racist
closed	close	closed
-mind	-mind	-mind
who	who	who
wants	want	want
Trump	trump	Trump
to	to	to
win	win	win
so	so	so
badly	bad	badly
that	that	that
she	she	she
would	would	would
make	make	make
voting	vote	voting
rights	right	right
for	for	for
every	everi	every
group	group	group
of	of	of
people	peopl	people
here	here	here
disappear	disappear	disappear
entirely	entir	entirely
.	.	.
Except	except	Except
her	her	her
own	own	own
,	,	,
of	of	of
course	cours	course
.	.	.
Maybe	mayb	Maybe
.	.	.
Last	last	Last
night	night	night
s	s	s
tweet	tweet	tweet
about	about	about
it	it	it
was	was	wa
probably	probabl	probably
one	one	one
of	of	of
the	the	the
most	most	most
egregious	egregi	egregious
of	of	of
ideas	idea	idea
for	for	for
how	how	how
to	to	to
ensure	ensur	ensure
that	that	that
we	we	we
crown	crown	crown
King	king	King
Trump	trump	Trump
If	if	If
only	onli	only
people	peopl	people
with	with	with
at	at	at
least	least	least
4	4	4
grandparents	grandpar	grandparent
born	born	born
in	in	in
America	america	America
were	were	were
voting	vote	voting
,	,	,
Trump	trump	Trump
would	would	would
win	win	win
in	in	in
a	a	a
50	50	50
-state	-state	-state
landslide	landslid	landslide
.	.	.
Ann	ann	Ann
Coulter	coulter	Coulter
@AnnCoulter	@anncoult	@AnnCoulter
November	novemb	November
8	8	8
,	,	,
2016HAHAHAHAHAHAHA	2016hahahahahahaha	2016HAHAHAHAHAHAHA
!	!	!
The	the	The
funny	funni	funny
thing	thing	thing
is	is	is
that	that	that
if	if	if
we	we	we
went	went	went
by	by	by
that	that	that
standard	standard	standard
,	,	,
Trump	trump	Trump
s	s	s
own	own	own
kids	kid	kid
couldn	couldn	couldn
t	t	t
vote	vote	vote
for	for	for
him	him	him
.	.	.
Trump	trump	Trump
himself	himself	himself
couldn	couldn	couldn
t	t	t
even	even	even
vote	vote	vote
all	all	all
his	his	his
grandparents	grandpar	grandparent
came	came	came
from	from	from
Europe	europ	Europe
,	,	,
as	as	a
did	did	did
his	his	his
mother	mother	mother
,	,	,
which	which	which
excludes	exclud	excludes
Tiffany	tiffani	Tiffany
.	.	.
So	so	So
even	even	even
his	his	his
grandkids	grandkid	grandkids
,	,	,
if	if	if
they	they	they
were	were	were
of	of	of
age	age	age
,	,	,
couldn	couldn	couldn
t	t	t
vote	vote	vote
for	for	for
him	him	him
.	.	.
And	and	And
then	then	then
there	there	there
s	s	s
Melania	melania	Melania
,	,	,
who	who	who
worked	work	worked
in	in	in
this	this	this
country	countri	country
illegally	illeg	illegally
.	.	.
For	for	For
all	all	all
we	we	we
know	know	know
,	,	,
she	she	she
stole	stole	stole
a	a	a
modeling	model	modeling
job	job	job
from	from	from
an	an	an
American	american	American
model	model	model
who	who	who
badly	bad	badly
needed	need	needed
the	the	the
work	work	work
.	.	.
Going	go	Going
by	by	by
Coulter	coulter	Coulter
s	s	s
logic	logic	logic
,	,	,
she	she	she
shouldn	shouldn	shouldn
t	t	t
be	be	be
allowed	allow	allowed
to	to	to
cast	cast	cast
a	a	a
vote	vote	vote
for	for	for
her	her	her
husband	husband	husband
.	.	.
But	but	But
then	then	then
again	again	again
,	,	,
Trump	trump	Trump
s	s	s
logic	logic	logic
about	about	about
immigrants	immigr	immigrant
would	would	would
send	send	send
Melania	melania	Melania
back	back	back
to	to	to
Slovenia	slovenia	Slovenia
,	,	,
since	sinc	since
there	there	there
s	s	s
a	a	a
chance	chanc	chance
she	she	she
stole	stole	stole
a	a	a
job	job	job
from	from	from
a	a	a
hardworking	hardwork	hardworking
American	american	American
.	.	.
Then	then	Then
there	there	there
are	are	are
all	all	all
the	the	the
people	peopl	people
with	with	with
four	four	four
grandparents	grandpar	grandparent
that	that	that
were	were	were
born	born	born
here	here	here
who	who	who
still	still	still
think	think	think
Trump	trump	Trump
is	is	is
a	a	a
racist	racist	racist
prick	prick	prick
and	and	and
would	would	would
never	never	never
vote	vote	vote
for	for	for
him	him	him
.	.	.
My	my	My
family	famili	family
history	histori	history
here	here	here
goes	goe	go
all	all	all
the	the	the
way	way	way
back	back	back
to	to	to
before	befor	before
we	we	we
were	were	were
even	even	even
a	a	a
country	countri	country
.	.	.
In	in	In
fact	fact	fact
,	,	,
my	my	my
family	famili	family
was	was	wa
here	here	here
almost	almost	almost
150	150	150
years	year	year
before	befor	before
the	the	the
Declaration	declar	Declaration
of	of	of
Independence	independ	Independence
was	was	wa
signed	sign	signed
.	.	.
Plenty	plenti	Plenty
of	of	of
others	other	others
like	like	like
me	me	me
feel	feel	feel
the	the	the
same	same	same
,	,	,
but	but	but
of	of	of
course	cours	course
a	a	a
racist	racist	racist
like	like	like
Coulter	coulter	Coulter
didn	didn	didn
t	t	t
think	think	think
of	of	of
that	that	that
.	.	.
Actually	actual	Actually
,	,	,
it	it	it
s	s	s
very	veri	very
likely	like	likely
that	that	that
all	all	all
she	she	she
thought	thought	thought
of	of	of
was	was	wa
eliminating	elimin	eliminating
the	the	the
Latino	latino	Latino
vote	vote	vote
,	,	,
because	becaus	because
many	mani	many
Latinos	latino	Latinos
are	are	are
first	first	first
-	-	-
or	or	or
second	second	second
-generation	-gener	-generation
,	,	,
and	and	and
tend	tend	tend
to	to	to
vote	vote	vote
Democratic	democrat	Democratic
.	.	.
She	she	She
didn	didn	didn
t	t	t
think	think	think
of	of	of
all	all	all
the	the	the
members	member	member
of	of	of
her	her	her
kind	kind	kind
who	who	who
are	are	are
likewise	likewis	likewise
first	first	first
-	-	-
and	and	and
second	second	second
-generation	-gener	-generation
,	,	,
who	who	who
couldn	couldn	couldn
t	t	t
vote	vote	vote
at	at	at
all	all	all
if	if	if
her	her	her
idea	idea	idea
became	becam	became
law	law	law
.	.	.
And	and	And
what	what	what
of	of	of
her	her	her
own	own	own
family	famili	family
history	histori	history
?	?	?
She	she	She
considers	consid	considers
herself	herself	herself
,	,	,
and	and	and
her	her	her
family	famili	family
,	,	,
settlers	settler	settler
rather	rather	rather
than	than	than
immigrants	immigr	immigrant
they	they	they
were	were	were
immigrants	immigr	immigrant
.	.	.
She	she	She
would	would	would
qualify	qualifi	qualify
to	to	to
vote	vote	vote
under	under	under
her	her	her
idea	idea	idea
,	,	,
so	so	so
of	of	of
course	cours	course
most	most	most
other	other	other
white	white	white
conservatives	conserv	conservative
would	would	would
.	.	.
She	she	She
didn	didn	didn
t	t	t
think	think	think
this	this	this
through	through	through
at	at	at
all	all	all
.	.	.
Or	or	Or
maybe	mayb	maybe
she	she	she
did	did	did
,	,	,
but	but	but
she	she	she
s	s	s
so	so	so
ignorant	ignor	ignorant
about	about	about
the	the	the
makeup	makeup	makeup
of	of	of
this	this	this
country	countri	country
that	that	that
she	she	she
has	has	ha
no	no	no
idea	idea	idea
what	what	what
she	she	she
just	just	just
said	said	said
.	.	.
She	she	She
s	s	s
gone	gone	gone
from	from	from
being	be	being
an	an	an
annoyance	annoy	annoyance
to	to	to
being	be	being
one	one	one
hell	hell	hell
of	of	of
a	a	a
joke	joke	joke
.	.	.
Featured	featur	Featured
image	imag	image
by	by	by
Chip	chip	Chip
Somodevilla	somodevilla	Somodevilla
via	via	via
Getty	getti	Getty
Images	imag	Images
