Univision	univis	Univision
anchor	anchor	anchor
Jorge	jorg	Jorge
Ramos	ramo	Ramos
made	made	made
Fox	fox	Fox
host	host	host
Sean	sean	Sean
Hannity	hanniti	Hannity
look	look	look
like	like	like
the	the	the
angry	angri	angry
Trump	trump	Trump
puppet	puppet	puppet
that	that	that
we	we	we
all	all	all
know	know	know
him	him	him
to	to	to
be	be	be
.	.	.
Over	over	Over
a	a	a
ten	ten	ten
minute	minut	minute
span	span	span
,	,	,
Hannity	hanniti	Hannity
lost	lost	lost
his	his	his
temper	temper	temper
with	with	with
Ramos	ramo	Ramos
time	time	time
and	and	and
time	time	time
again	again	again
as	as	a
he	he	he
repeatedly	repeat	repeatedly
tried	tri	tried
to	to	to
convince	convinc	convince
Ramos	ramo	Ramos
that	that	that
Republican	republican	Republican
front	front	front
-runner	-runner	-runner
Donald	donald	Donald
Trump	trump	Trump
is	is	is
not	not	not
a	a	a
racist	racist	racist
and	and	and
that	that	that
he	he	he
has	has	ha
confronted	confront	confronted
Trump	trump	Trump
about	about	about
his	his	his
hateful	hate	hateful
and	and	and
bigoted	bigot	bigoted
rhetoric	rhetor	rhetoric
.	.	.
Ramos	ramo	Ramos
relentlessly	relentless	relentlessly
slammed	slam	slammed
Hannity	hanniti	Hannity
for	for	for
coddling	coddl	coddling
Trump	trump	Trump
just	just	just
as	as	a
as	as	a
he	he	he
blasted	blast	blasted
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
for	for	for
doing	do	doing
the	the	the
same	same	same
during	dure	during
an	an	an
interview	interview	interview
last	last	last
week	week	week
.	.	.
Ramo	ramo	Ramo
pointed	point	pointed
out	out	out
that	that	that
Trump	trump	Trump
is	is	is
unfairly	unfair	unfairly
labeling	label	labeling
all	all	all
undocumented	undocu	undocumented
immigrants	immigr	immigrant
as	as	a
horrible	horribl	horrible
criminals	crimin	criminal
who	who	who
rape	rape	rape
and	and	and
murder	murder	murder
.	.	.
Hannity	hanniti	Hannity
defended	defend	defended
Trump	trump	Trump
by	by	by
claiming	claim	claiming
that	that	that
Trump	trump	Trump
only	onli	only
said	said	said
some	some	some
are	are	are
rapists	rapist	rapist
and	and	and
murderers	murder	murderer
.	.	.
However	howev	However
,	,	,
Hannity	hanniti	Hannity
is	is	is
wrong	wrong	wrong
as	as	a
usual	usual	usual
.	.	.
When	when	When
Trump	trump	Trump
delivered	deliv	delivered
his	his	his
announcement	announc	announcement
that	that	that
he	he	he
was	was	wa
running	run	running
for	for	for
president	presid	president
in	in	in
last	last	last
June	june	June
,	,	,
he	he	he
characterized	character	characterized
most	most	most
Mexicans	mexican	Mexicans
as	as	a
rapists	rapist	rapist
and	and	and
criminals	crimin	criminal
.	.	.
Only	onli	Only
some	some	some
,	,	,
he	he	he
assumed	assum	assumed
,	,	,
were	were	were
good	good	good
people	peopl	people
.	.	.
In	in	In
other	other	other
words	word	word
,	,	,
he	he	he
did	did	did
not	not	not
say	say	say
only	onli	only
some	some	some
commit	commit	commit
crimes	crime	crime
.	.	.
He	he	He
said	said	said
only	onli	only
some	some	some
were	were	were
good	good	good
people	peopl	people
and	and	and
he	he	he
only	onli	only
assumed	assum	assumed
that	that	that
.	.	.
When	when	When
Mexico	mexico	Mexico
sends	send	sends
its	it	it
people	peopl	people
,	,	,
they	they	they
re	re	re
not	not	not
sending	send	sending
the	the	the
best	best	best
.	.	.
They	they	They
re	re	re
sending	send	sending
people	peopl	people
that	that	that
have	have	have
lots	lot	lot
of	of	of
problems	problem	problem
and	and	and
they	they	they
re	re	re
bringing	bring	bringing
those	those	those
problems	problem	problem
.	.	.
They	they	They
re	re	re
bringing	bring	bringing
drugs	drug	drug
,	,	,
they	they	they
re	re	re
bringing	bring	bringing
crime	crime	crime
.	.	.
They	they	They
re	re	re
rapists	rapist	rapist
and	and	and
some	some	some
,	,	,
I	i	I
assume	assum	assume
,	,	,
are	are	are
good	good	good
people	peopl	people
,	,	,
but	but	but
I	i	I
speak	speak	speak
to	to	to
border	border	border
guards	guard	guard
and	and	and
they	they	they
re	re	re
telling	tell	telling
us	us	u
what	what	what
we	we	we
re	re	re
getting	get	getting
.	.	.
He	he	He
later	later	later
doubled	doubl	doubled
down	down	down
on	on	on
the	the	the
racist	racist	racist
remark	remark	remark
.	.	.
The	the	The
Mexican	mexican	Mexican
Government	govern	Government
is	is	is
forcing	forc	forcing
their	their	their
most	most	most
unwanted	unwant	unwanted
people	peopl	people
into	into	into
the	the	the
United	unit	United
States	state	States
,	,	,
Trump	trump	Trump
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
They	they	They
are	are	are
,	,	,
in	in	in
many	mani	many
cases	case	case
,	,	,
criminals	crimin	criminal
,	,	,
drug	drug	drug
dealers	dealer	dealer
,	,	,
rapists	rapist	rapist
,	,	,
etc	etc	etc
.	.	.
Armed	arm	Armed
with	with	with
truth	truth	truth
on	on	on
his	his	his
side	side	side
,	,	,
Ramos	ramo	Ramos
refused	refus	refused
to	to	to
back	back	back
down	down	down
and	and	and
continued	continu	continued
criticizing	critic	criticizing
Hannity	hanniti	Hannity
until	until	until
the	the	the
Fox	fox	Fox
News	news	News
blowhard	blowhard	blowhard
shouted	shout	shouted
,	,	,
I	i	I
don	don	don
t	t	t
need	need	need
any	ani	any
lectures	lectur	lecture
from	from	from
you	you	you
,	,	,
Jorge	jorg	Jorge
Ramos	ramo	Ramos
!	!	!
Hannity	hanniti	Hannity
accused	accus	accused
Ramos	ramo	Ramos
of	of	of
not	not	not
reporting	report	reporting
truthfully	truth	truthfully
and	and	and
just	just	just
like	like	like
when	when	when
he	he	he
took	took	took
down	down	down
O	o	O
Reilly	reilli	Reilly
,	,	,
Ramos	ramo	Ramos
smacked	smack	smacked
Hannity	hanniti	Hannity
around	around	around
with	with	with
facts	fact	fact
until	until	until
he	he	he
was	was	wa
forced	forc	forced
to	to	to
end	end	end
the	the	the
interview	interview	interview
as	as	a
Ramos	ramo	Ramos
got	got	got
in	in	in
the	the	the
last	last	last
word	word	word
.	.	.
Here	here	Here
s	s	s
part	part	part
one	one	one
and	and	and
two	two	two
of	of	of
the	the	the
interview	interview	interview
via	via	via
Fox	fox	Fox
.	.	.
Jorge	jorg	Jorge
Ramos	ramo	Ramos
once	onc	once
again	again	again
bested	best	bested
a	a	a
Fox	fox	Fox
News	news	News
host	host	host
in	in	in
their	their	their
own	own	own
house	hous	house
and	and	and
proved	prove	proved
once	onc	once
again	again	again
who	who	who
the	the	the
real	real	real
journalist	journalist	journalist
in	in	in
the	the	the
room	room	room
is	is	is
.	.	.
Now	now	Now
if	if	if
only	onli	only
Trump	trump	Trump
would	would	would
agree	agre	agree
to	to	to
sit	sit	sit
down	down	down
for	for	for
an	an	an
interview	interview	interview
with	with	with
Ramos	ramo	Ramos
.	.	.
We	we	We
would	would	would
really	realli	really
see	see	see
fireworks	firework	firework
then	then	then
.	.	.
Featured	featur	Featured
Image	imag	Image
