During	dure	During
the	the	the
annual	annual	annual
White	white	White
House	hous	House
Easter	easter	Easter
Egg	egg	Egg
Hunt	hunt	Hunt
,	,	,
President	presid	President
Trump	trump	Trump
and	and	and
First	first	First
Lady	ladi	Lady
Melania	melania	Melania
Trump	trump	Trump
stood	stood	stood
with	with	with
their	their	their
son	son	son
Baron	baron	Baron
on	on	on
the	the	the
White	white	White
House	hous	House
balcony	balconi	balcony
and	and	and
addressed	address	addressed
the	the	the
crowd	crowd	crowd
.	.	.
President	presid	President
Trump	trump	Trump
spoke	spoke	spoke
briefly	briefli	briefly
and	and	and
then	then	then
announced	announc	announced
that	that	that
as	as	a
soon	soon	soon
as	as	a
they	they	they
were	were	were
finished	finish	finished
with	with	with
the	the	the
activities	activ	activity
,	,	,
he	he	he
and	and	and
Melania	melania	Melania
,	,	,
and	and	and
their	their	their
son	son	son
Baron	baron	Baron
would	would	would
be	be	be
heading	head	heading
downstairs	downstair	downstairs
to	to	to
sign	sign	sign
cards	card	card
they	they	they
planned	plan	planned
to	to	to
send	send	send
to	to	to
our	our	our
troops	troop	troop
.	.	.
It	it	It
was	was	wa
very	veri	very
touching	touch	touching
to	to	to
see	see	see
Melania	melania	Melania
go	go	go
out	out	out
of	of	of
her	her	her
way	way	way
to	to	to
thank	thank	thank
the	the	the
military	militari	military
band	band	band
and	and	and
all	all	all
of	of	of
the	the	the
staff	staff	staff
and	and	and
volunteers	volunt	volunteer
who	who	who
worked	work	worked
tirelessly	tireless	tirelessly
to	to	to
make	make	make
sure	sure	sure
everyone	everyon	everyone
had	had	had
memorable	memor	memorable
experience	experi	experience
.	.	.
Melania	melania	Melania
then	then	then
delivered	deliv	delivered
a	a	a
sincere	sincer	sincere
and	and	and
heartfelt	heartfelt	heartfelt
message	messag	message
of	of	of
gratitude	gratitud	gratitude
to	to	to
our	our	our
troops	troop	troop
,	,	,
I	i	I
want	want	want
to	to	to
thank	thank	thank
all	all	all
of	of	of
the	the	the
military	militari	military
with	with	with
us	us	u
today	today	today
,	,	,
and	and	and
all	all	all
of	of	of
the	the	the
great	great	great
military	militari	military
in	in	in
this	this	this
nation	nation	nation
and	and	and
service	servic	service
men	men	men
and	and	and
service	servic	service
women	women	woman
all	all	all
around	around	around
the	the	the
world	world	world
who	who	who
is	is	is
keeping	keep	keeping
us	us	u
safe	safe	safe
.	.	.
Compare	compar	Compare
Melania	melania	Melania
s	s	s
speech	speech	speech
to	to	to
this	this	this
video	video	video
of	of	of
Michelle	michell	Michelle
and	and	and
Barack	barack	Barack
s	s	s
final	final	final
speech	speech	speech
at	at	at
the	the	the
Easter	easter	Easter
Egg	egg	Egg
Roll	roll	Roll
in	in	in
2016	2016	2016
Today	today	Today
is	is	is
a	a	a
little	littl	little
bit	bit	bit
bittersweet	bittersweet	bittersweet
for	for	for
us	us	u
,	,	,
because	becaus	because
this	this	this
is	is	is
the	the	the
Obama	obama	Obama
administration	administr	administration
s	s	s
last	last	last
Easter	easter	Easter
Egg	egg	Egg
Roll	roll	Roll
pauses	paus	pause
for	for	for
reaction	reaction	reaction
from	from	from
crowd	crowd	crowd
yeah	yeah	yeah
.	.	.
Michelle	michell	Michelle
continued	continu	continued
,	,	,
And	and	And
if	if	if
we	we	we
think	think	think
about	about	about
what	what	what
we	we	we
ve	ve	ve
accomplished	accomplish	accomplished
over	over	over
the	the	the
past	past	past
7	7	7
years	year	year
,	,	,
it	it	it
s	s	s
pretty	pretti	pretty
incredible	incred	incredible
.	.	.
Because	becaus	Because
when	when	when
Barack	barack	Barack
and	and	and
I	i	I
first	first	first
got	got	got
here	here	here
,	,	,
one	one	one
of	of	of
the	the	the
goals	goal	goal
that	that	that
we	we	we
had	had	had
was	was	wa
to	to	to
open	open	open
up	up	up
the	the	the
White	white	White
House	hous	House
to	to	to
as	as	a
many	mani	many
people	peopl	people
from	from	from
as	as	a
many	mani	many
backgrounds	background	background
as	as	a
possible	possibl	possible
.	.	.
To	to	To
open	open	open
it	it	it
up	up	up
to	to	to
our	our	our
kids	kid	kid
to	to	to
our	our	our
musicians	musician	musician
,	,	,
to	to	to
explore	explor	explore
our	our	our
culture	cultur	culture
,	,	,
to	to	to
expose	expos	expose
families	famili	family
to	to	to
healthy	healthi	healthy
living	live	living
and	and	and
to	to	to
just	just	just
to	to	to
have	have	have
fun	fun	fun
.	.	.
Because	becaus	Because
what	what	what
s	s	s
more	more	more
fun	fun	fun
than	than	than
being	be	being
a	a	a
kid	kid	kid
and	and	and
going	go	going
to	to	to
the	the	the
White	white	White
House	hous	House
for	for	for
an	an	an
Easter	easter	Easter
Egg	egg	Egg
roll	roll	roll
and	and	and
hearing	hear	hearing
the	the	the
First	first	First
Lady	ladi	Lady
drone	drone	drone
on	on	on
about	about	about
healthy	healthi	healthy
living	live	living
?	?	?
After	after	After
several	sever	several
minutes	minut	minute
of	of	of
listening	listen	listening
to	to	to
Michelle	michell	Michelle
drone	drone	drone
on	on	on
about	about	about
all	all	all
of	of	of
her	her	her
and	and	and
Barack	barack	Barack
s	s	s
achievements	achiev	achievement
in	in	in
diversity	divers	diversity
and	and	and
bringing	bring	bringing
their	their	their
culture	cultur	culture
to	to	to
the	the	the
White	white	White
House	hous	House
,	,	,
Barack	barack	Barack
had	had	had
to	to	to
interrupt	interrupt	interrupt
her	her	her
to	to	to
remind	remind	remind
her	her	her
to	to	to
mention	mention	mention
the	the	the
troops	troop	troop
.	.	.
He	he	He
can	can	can
be	be	be
seen	seen	seen
at	at	at
least	least	least
2	2	2
times	time	time
saying	say	saying
,	,	,
military	militari	military
families	famili	family
behind	behind	behind
her	her	her
