When	when	When
approached	approach	approached
by	by	by
countless	countless	countless
people	peopl	people
if	if	if
I	i	I
m	m	m
a	a	a
Hillary	hillari	Hillary
supporter	support	supporter
,	,	,
I	i	I
will	will	will
reply	repli	reply
,	,	,
yes	yes	yes
.	.	.
However	howev	However
,	,	,
this	this	this
is	is	is
usually	usual	usually
followed	follow	followed
up	up	up
with	with	with
,	,	,
is	is	is
it	it	it
because	becaus	because
she	she	she
s	s	s
a	a	a
woman	woman	woman
?	?	?
Which	which	Which
is	is	is
the	the	the
most	most	most
absurd	absurd	absurd
thing	thing	thing
I	i	I
ve	ve	ve
ever	ever	ever
heard	heard	heard
.	.	.
Sure	sure	Sure
,	,	,
I	i	I
m	m	m
excited	excit	excited
for	for	for
the	the	the
possibility	possibl	possibility
of	of	of
the	the	the
first	first	first
-ever	-ever	-ever
female	femal	female
president	presid	president
,	,	,
but	but	but
in	in	in
all	all	all
honesty	honesti	honesty
,	,	,
it	it	it
comes	come	come
down	down	down
to	to	to
experience	experi	experience
and	and	and
ability	abil	ability
to	to	to
get	get	get
the	the	the
job	job	job
done	done	done
,	,	,
which	which	which
she	she	she
has	has	ha
done	done	done
time	time	time
and	and	and
time	time	time
again	again	again
throughout	throughout	throughout
her	her	her
career	career	career
.	.	.
Being	be	Being
tired	tire	tired
of	of	of
this	this	this
question	question	question
being	be	being
posed	pose	posed
,	,	,
and	and	and
having	have	having
a	a	a
decent	decent	decent
size	size	size
Facebook	facebook	Facebook
audience	audienc	audience
to	to	to
deliver	deliv	deliver
my	my	my
message	messag	message
,	,	,
I	i	I
took	took	took
to	to	to
my	my	my
page	page	page
to	to	to
lay	lay	lay
out	out	out
my	my	my
answer	answer	answer
once	onc	once
and	and	and
for	for	for
all	all	all
.	.	.
Here	here	Here
s	s	s
my	my	my
response	respons	response
I	i	I
can	can	can
t	t	t
tell	tell	tell
you	you	you
how	how	how
many	mani	many
times	time	time
I	i	I
ve	ve	ve
been	been	been
asked	ask	asked
,	,	,
are	are	are
you	you	you
voting	vote	voting
for	for	for
Hillary	hillari	Hillary
because	becaus	because
she	she	she
s	s	s
a	a	a
woman	woman	woman
?	?	?
Well	well	Well
,	,	,
to	to	to
that	that	that
I	i	I
have	have	have
to	to	to
say	say	say
,	,	,
no	no	no
,	,	,
but	but	but
if	if	if
you	you	you
re	re	re
going	go	going
ask	ask	ask
,	,	,
with	with	with
that	that	that
criteria	criteria	criterion
,	,	,
if	if	if
I	i	I
m	m	m
voting	vote	voting
for	for	for
Hillary	hillari	Hillary
just	just	just
because	becaus	because
she	she	she
s	s	s
a	a	a
woman	woman	woman
,	,	,
well	well	well
,	,	,
I	i	I
m	m	m
going	go	going
to	to	to
assume	assum	assume
you	you	you
re	re	re
not	not	not
voting	vote	voting
for	for	for
her	her	her
just	just	just
because	becaus	because
she	she	she
s	s	s
a	a	a
woman	woman	woman
.	.	.
And	and	And
if	if	if
you	you	you
use	use	use
the	the	the
same	same	same
attacks	attack	attack
that	that	that
Republicans	republican	Republicans
have	have	have
been	been	been
using	use	using
against	against	against
her	her	her
for	for	for
decades	decad	decade
,	,	,
well	well	well
,	,	,
that	that	that
means	mean	mean
you	you	you
re	re	re
really	realli	really
no	no	no
better	better	better
than	than	than
a	a	a
Republican	republican	Republican
.	.	.
And	and	And
if	if	if
you	you	you
use	use	use
her	her	her
voting	vote	voting
record	record	record
against	against	against
her	her	her
,	,	,
but	but	but
then	then	then
willfully	will	willfully
ignore	ignor	ignore
Bernie	berni	Bernie
s	s	s
anti	anti	anti
-gun	-gun	-gun
reform	reform	reform
votes	vote	vote
well	well	well
,	,	,
sorry	sorri	sorry
,	,	,
you	you	you
re	re	re
a	a	a
hypocrite	hypocrit	hypocrite
.	.	.
And	and	And
if	if	if
Hillary	hillari	Hillary
is	is	is
the	the	the
nominee	nomine	nominee
this	this	this
November	novemb	November
and	and	and
you	you	you
refuse	refus	refuse
to	to	to
vote	vote	vote
for	for	for
a	a	a
Democrat	democrat	Democrat
or	or	or
you	you	you
refuse	refus	refuse
to	to	to
vote	vote	vote
,	,	,
you	you	you
might	might	might
as	as	a
well	well	well
be	be	be
voting	vote	voting
for	for	for
a	a	a
Republican	republican	Republican
.	.	.
As	as	As
far	far	far
as	as	a
experience	experi	experience
,	,	,
don	don	don
t	t	t
even	even	even
go	go	go
there	there	there
.	.	.
She	she	She
s	s	s
clearly	clear	clearly
the	the	the
most	most	most
qualified	qualifi	qualified
person	person	person
for	for	for
the	the	the
