What	what	What
s	s	s
more	more	more
important	import	important
,	,	,
protecting	protect	protecting
the	the	the
dignity	digniti	dignity
of	of	of
customers	custom	customer
who	who	who
shop	shop	shop
in	in	in
local	local	local
liquor	liquor	liquor
stores	store	store
,	,	,
or	or	or
the	the	the
innocent	innoc	innocent
employees	employe	employee
and	and	and
store	store	store
owners	owner	owner
who	who	who
come	come	come
in	in	in
every	everi	every
day	day	day
,	,	,
knowing	know	knowing
that	that	that
the	the	the
only	onli	only
thing	thing	thing
that	that	that
ensures	ensur	ensures
they	they	they
will	will	will
go	go	go
home	home	home
alive	aliv	alive
,	,	,
is	is	is
the	the	the
bullet	bullet	bullet
-proof	-proof	-proof
glass	glass	glass
between	between	between
them	them	them
and	and	and
the	the	the
criminal	crimin	criminal
element	element	element
who	who	who
enters	enter	enters
their	their	their
store	store	store
?	?	?

Well	well	Well
,	,	,
according	accord	according
to	to	to
one	one	one
Philadelphia	philadelphia	Philadelphia
councilwoman	councilwoman	councilwoman
,	,	,
it	it	it
s	s	s
the	the	the
dignity	digniti	dignity
of	of	of
the	the	the
customers	custom	customer
.	.	.

Philadelphia	philadelphia	Philadelphia
s	s	s
Public	public	Public
Health	health	Health
and	and	and
Human	human	Human
Services	servic	Services
Committee	committe	Committee
passed	pass	passed
a	a	a
bill	bill	bill
Monday	monday	Monday
to	to	to
ban	ban	ban
shop	shop	shop
owners	owner	owner
from	from	from
protecting	protect	protecting
themselves	themselv	themselves
with	with	with
bulletproof	bulletproof	bulletproof
plexiglass	plexiglass	plexiglas
.	.	.
Philadelphia	philadelphia	Philadelphia
8th	8th	8th
District	district	District
Councilwoman	councilwoman	Councilwoman
Cindy	cindi	Cindy
Bass	bass	Bass
,	,	,
who	who	who
is	is	is
behind	behind	behind
the	the	the
bill	bill	bill
,	,	,
said	said	said
previously	previous	previously
that	that	that
having	have	having
to	to	to
see	see	see
plexiglass	plexiglass	plexiglas
represents	repres	represents
an	an	an
indignity	indign	indignity
to	to	to
her	her	her
constituents	constitu	constituent
and	and	and
should	should	should
,	,	,
therefore	therefor	therefore
,	,	,
be	be	be
banned	ban	banned
.	.	.

Information	inform	Information
LiberationFOX	liberationfox	LiberationFOX
News	news	News
Philadelphia	philadelphia	Philadelphia
is	is	is
one	one	one
step	step	step
closer	closer	closer
to	to	to
getting	get	getting
rid	rid	rid
of	of	of
bulletproof	bulletproof	bulletproof
