KINSHASA	kinshasa	KINSHASA
Reuters	reuter	Reuters
-	-	-
The	the	The
United	unit	United
States	state	States
strongly	strong	strongly
supports	support	support
an	an	an
African	african	African
military	militari	military
force	forc	force
to	to	to
combat	combat	combat
extremist	extremist	extremist
militants	milit	militant
in	in	in
the	the	the
Sahel	sahel	Sahel
region	region	region
,	,	,
but	but	but
needs	need	need
to	to	to
see	see	see
a	a	a
strategy	strategi	strategy
for	for	for
the	the	the
operation	oper	operation
before	befor	before
it	it	it
considers	consid	considers
funding	fund	funding
,	,	,
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
envoy	envoy	envoy
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
and	and	and
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Africa	africa	Africa
commander	command	commander
said	said	said
.	.	.
Washington	washington	Washington
is	is	is
wary	wari	wary
,	,	,
however	howev	however
,	,	,
of	of	of
the	the	the
193	193	193
-member	-member	-member
United	unit	United
Nations	nation	Nations
funding	fund	funding
the	the	the
force	forc	force
-	-	-
to	to	to
be	be	be
made	made	made
up	up	up
of	of	of
troops	troop	troop
from	from	from
Mali	mali	Mali
,	,	,
Burkina	burkina	Burkina
Faso	faso	Faso
,	,	,
Niger	niger	Niger
,	,	,
Chad	chad	Chad
and	and	and
Mauritania	mauritania	Mauritania
-	-	-
according	accord	according
to	to	to
Ambassador	ambassador	Ambassador
Nikki	nikki	Nikki
Haley	haley	Haley
and	and	and
General	general	General
Thomas	thoma	Thomas
Waldhauser	waldhaus	Waldhauser
.	.	.
The	the	The
United	unit	United
States	state	States
currently	current	currently
funds	fund	fund
more	more	more
than	than	than
a	a	a
quarter	quarter	quarter
of	of	of
the	the	the
7	7	7
.	.	.
3	3	3
billion	billion	billion
U	u	U
.	.	.
N	n	N
.	.	.
peacekeeping	peacekeep	peacekeeping
budget	budget	budget
.	.	.
Haley	haley	Haley
said	said	said
Washington	washington	Washington
wanted	want	wanted
to	to	to
know	know	know
what	what	what
the	the	the
strategy	strategi	strategy
would	would	would
be	be	be
,	,	,
how	how	how
they	they	they
see	see	see
this	this	this
playing	play	playing
out	out	out
,	,	,
what	what	what
s	s	s
involved	involv	involved
in	in	in
it	it	it
before	befor	before
we	we	we
ever	ever	ever
commit	commit	commit
to	to	to
U	u	U
.	.	.
N	n	N
.	.	.
-assessed	-assess	-assessed
funding	fund	funding
.	.	.
Show	show	Show
us	us	u
something	someth	something
,	,	,
we	we	we
re	re	re
open	open	open
to	to	to
it	it	it
,	,	,
we	we	we
re	re	re
not	not	not
saying	say	saying
no	no	no
,	,	,
but	but	but
what	what	what
we	we	we
re	re	re
saying	say	saying
right	right	right
now	now	now
is	is	is
there	there	there
literally	liter	literally
has	has	ha
been	been	been
no	no	no
information	inform	information
that	that	that
has	has	ha
been	been	been
given	given	given
that	that	that
gives	give	give
us	us	u
comfort	comfort	comfort
that	that	that
they	they	they
know	know	know
exactly	exact	exactly
how	how	how
this	this	this
is	is	is
going	go	going
to	to	to
play	play	play
out	out	out
,	,	,
Haley	haley	Haley
told	told	told
reporters	report	reporter
on	on	on
Friday	friday	Friday
.	.	.
The	the	The
rise	rise	rise
of	of	of
jihadist	jihadist	jihadist
groups	group	group
-	-	-
some	some	some
linked	link	linked
to	to	to
al	al	al
Qaeda	qaeda	Qaeda
and	and	and
Islamic	islam	Islamic
State	state	State
-	-	-
in	in	in
the	the	the
arid	arid	arid
Sahel	sahel	Sahel
has	has	ha
alarmed	alarm	alarmed
Western	western	Western
powers	power	power
like	like	like
France	franc	France
,	,	,
which	which	which
has	has	ha
deployed	deploy	deployed
thousands	thousand	thousand
of	of	of
troops	troop	troop
to	to	to
the	the	the
region	region	region
in	in	in
response	respons	response
.	.	.
The	the	The
United	unit	United
States	state	States
has	has	ha
also	also	also
been	been	been
targeting	target	targeting
Islamic	islam	Islamic
State	state	State
in	in	in
Libya	libya	Libya
and	and	and
al	al	al
-Shabaab	-shabaab	-Shabaab
in	in	in
Somalia	somalia	Somalia
.	.	.
But	but	But
U	u	U
.	.	.
S	s	S
.	.	.
involvement	involv	involvement
in	in	in
counter	counter	counter
-terrorism	-terror	-terrorism
operations	oper	operation
in	in	in
Africa	africa	Africa
has	has	ha
been	been	been
under	under	under
the	the	the
spotlight	spotlight	spotlight
since	sinc	since
four	four	four
U	u	U
.	.	.
S	s	S
.	.	.
Special	special	Special
Forces	forc	Forces
troops	troop	troop
were	were	were
killed	kill	killed
in	in	in
an	an	an
Oct	oct	Oct
.	.	.
4	4	4
ambush	ambush	ambush
in	in	in
Niger	niger	Niger
.	.	.
In	in	In
Africa	africa	Africa
with	with	with
all	all	all
the	the	the
challenges	challeng	challenge
of	of	of
the	the	the
youth	youth	youth
bulge	bulg	bulge
,	,	,
poverty	poverti	poverty
,	,	,
the	the	the
lack	lack	lack
of	of	of
governance	govern	governance
,	,	,
wide	wide	wide
open	open	open
spaces	space	space
,	,	,
these	these	these
are	are	are
areas	area	area
where	where	where
violent	violent	violent
extremist	extremist	extremist
organizations	organ	organization
,	,	,
like	like	like
ISIS	isi	ISIS
or	or	or
like	like	like
al	al	al
Qaeda	qaeda	Qaeda
,	,	,
thrive	thrive	thrive
,	,	,
said	said	said
Waldhauser	waldhaus	Waldhauser
,	,	,
who	who	who
oversees	overse	oversees
U	u	U
.	.	.
S	s	S
.	.	.
troops	troop	troop
deployed	deploy	deployed
in	in	in
Africa	africa	Africa
.	.	.
He	he	He
was	was	wa
speaking	speak	speaking
to	to	to
a	a	a
small	small	small
group	group	group
of	of	of
reporters	report	reporter
traveling	travel	traveling
with	with	with
Haley	haley	Haley
on	on	on
her	her	her
first	first	first
African	african	African
tour	tour	tour
as	as	a
U	u	U
.	.	.
S	s	S
.	.	.
envoy	envoy	envoy
to	to	to
the	the	the
United	unit	United
Nations	nation	Nations
,	,	,
visiting	visit	visiting
Ethiopia	ethiopia	Ethiopia
,	,	,
South	south	South
Sudan	sudan	Sudan
and	and	and
the	the	the
Democratic	democrat	Democratic
Republic	republ	Republic
of	of	of
Congo	congo	Congo
.	.	.
United	unit	United
Nations	nation	Nations
forces	forc	force
don	don	don
t	t	t
do	do	do
counterterrorism	counterterror	counterterrorism
,	,	,
they	they	they
do	do	do
peacekeeping	peacekeep	peacekeeping
operations	oper	operation
,	,	,
Waldhauser	waldhaus	Waldhauser
added	ad	added
,	,	,
reflecting	reflect	reflecting
U	u	U
.	.	.
S	s	S
.	.	.
unease	uneas	unease
at	at	at
the	the	the
United	unit	United
Nations	nation	Nations
funding	fund	funding
the	the	the
prospective	prospect	prospective
force	forc	force
.	.	.
The	the	The
African	african	African
counter	counter	counter
-terrorism	-terror	-terrorism
force	forc	force
,	,	,
known	known	known
as	as	a
the	the	the
G5	g5	G5
Sahel	sahel	Sahel
,	,	,
plans	plan	plan
to	to	to
launch	launch	launch
its	it	it
first	first	first
joint	joint	joint
operations	oper	operation
in	in	in
the	the	the
coming	come	coming
days	day	day
.	.	.
One	one	One
of	of	of
the	the	the
hardest	hardest	hardest
things	thing	thing
to	to	to
do	do	do
in	in	in
an	an	an
organization	organ	organization
like	like	like
that	that	that
is	is	is
to	to	to
try	tri	try
to	to	to
synchronize	synchron	synchronize
the	the	the
efforts	effort	effort
of	of	of
those	those	those
five	five	five
countries	countri	country
and	and	and
have	have	have
a	a	a
coherent	coher	coherent
strategy	strategi	strategy
as	as	a
opposed	oppos	opposed
to	to	to
just	just	just
a	a	a
series	seri	series
of	of	of
engagements	engag	engagement
in	in	in
different	differ	different
locations	locat	location
,	,	,
Waldhauser	waldhaus	Waldhauser
said	said	said
.	.	.
The	the	The
United	unit	United
States	state	States
supported	support	supported
a	a	a
French	french	French
-drafted	-draft	-drafted
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
resolution	resolut	resolution
in	in	in
June	june	June
to	to	to
give	give	give
political	polit	political
backing	back	backing
to	to	to
the	the	the
G5	g5	G5
Sahel	sahel	Sahel
force	forc	force
,	,	,
but	but	but
refused	refus	refused
to	to	to
back	back	back
a	a	a
formal	formal	formal
U	u	U
.	.	.
N	n	N
.	.	.
mandate	mandat	mandate
.	.	.
The	the	The
15	15	15
-member	-member	-member
council	council	council
is	is	is
due	due	due
to	to	to
discuss	discuss	discus
the	the	the
force	forc	force
on	on	on
Monday	monday	Monday
.	.	.
Haley	haley	Haley
said	said	said
the	the	the
United	unit	United
States	state	States
would	would	would
continue	continu	continue
its	it	it
bilateral	bilater	bilateral
support	support	support
for	for	for
the	the	the
G5	g5	G5
countries	countri	country
,	,	,
but	but	but
when	when	when
asked	ask	asked
how	how	how
much	much	much
Washington	washington	Washington
was	was	wa
prepared	prepar	prepared
to	to	to
contribute	contribut	contribute
to	to	to
the	the	the
G5	g5	G5
Sahel	sahel	Sahel
force	forc	force
,	,	,
she	she	she
said	said	said
You	you	You
will	will	will
hear	hear	hear
about	about	about
that	that	that
,	,	,
coming	come	coming
soon	soon	soon
.	.	.
Waldhauser	waldhaus	Waldhauser
said	said	said
the	the	the
United	unit	United
States	state	States
currently	current	currently
makes	make	make
a	a	a
total	total	total
of	of	of
51	51	51
million	million	million
in	in	in
bilateral	bilater	bilateral
defense	defens	defense
contributions	contribut	contribution
to	to	to
the	the	the
G5	g5	G5
countries	countri	country
.	.	.
French	french	French
Defense	defens	Defense
Minister	minist	Minister
Florence	florenc	Florence
Parly	par	Parly
said	said	said
last	last	last
week	week	week
that	that	that
the	the	the
United	unit	United
States	state	States
must	must	must
step	step	step
up	up	up
support	support	support
for	for	for
the	the	the
planned	plan	planned
Sahel	sahel	Sahel
force	forc	force
or	or	or
it	it	it
could	could	could
fail	fail	fail
,	,	,
leaving	leav	leaving
French	french	French
troops	troop	troop
to	to	to
carry	carri	carry
the	the	the
burden	burden	burden
.	.	.
nL8N1MV58Z	nl8n1mv58z	nL8N1MV58Z
A	a	A
report	report	report
to	to	to
the	the	the
Security	secur	Security
Council	council	Council
by	by	by
U	u	U
.	.	.
N	n	N
.	.	.
Secretary	secretari	Secretary
-General	-gener	-General
Antonio	antonio	Antonio
Guterres	guterr	Guterres
earlier	earlier	earlier
this	this	this
month	month	month
said	said	said
that	that	that
the	the	the
planned	plan	planned
force	forc	force
budget	budget	budget
of	of	of
490	490	490
million	million	million
for	for	for
the	the	the
first	first	first
year	year	year
was	was	wa
only	onli	only
25	25	25
percent	percent	percent
funded	fund	funded
.	.	.
Waldhauser	waldhaus	Waldhauser
said	said	said
the	the	the
G5	g5	G5
countries	countri	country
had	had	had
discussed	discuss	discussed
their	their	their
planned	plan	planned
counter	counter	counter
-terrorism	-terror	-terrorism
force	forc	force
with	with	with
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
officials	offici	official
in	in	in
May	may	May
at	at	at
a	a	a
U	u	U
.	.	.
S	s	S
.	.	.
organized	organ	organized
defense	defens	defense
conference	confer	conference
in	in	in
Germany	germani	Germany
.	.	.
This	this	This
is	is	is
exactly	exact	exactly
what	what	what
we	we	we
want	want	want
to	to	to
have	have	have
happen	happen	happen
,	,	,
we	we	we
want	want	want
partner	partner	partner
nations	nation	nation
who	who	who
share	share	share
the	the	the
same	same	same
overall	overal	overall
strategic	strateg	strategic
objectives	object	objective
that	that	that
we	we	we
do	do	do
.	.	.
We	we	We
want	want	want
to	to	to
try	tri	try
to	to	to
foster	foster	foster
that	that	that
type	type	type
of	of	of
behavior	behavior	behavior
,	,	,
he	he	he
said	said	said
.	.	.
