MILWAUKEE	milwauke	MILWAUKEE
Reuters	reuter	Reuters
-	-	-
Green	green	Green
Party	parti	Party
presidential	presidenti	presidential
candidate	candid	candidate
Jill	jill	Jill
Stein	stein	Stein
said	said	said
on	on	on
Thursday	thursday	Thursday
she	she	she
has	has	ha
raised	rais	raised
3	3	3
.	.	.
5	5	5
million	million	million
to	to	to
force	forc	force
recounts	recount	recount
of	of	of
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
election	elect	election
results	result	result
in	in	in
Wisconsin	wisconsin	Wisconsin
,	,	,
Michigan	michigan	Michigan
and	and	and
Pennsylvania	pennsylvania	Pennsylvania
,	,	,
three	three	three
states	state	state
where	where	where
Donald	donald	Donald
Trump	trump	Trump
scored	score	scored
narrow	narrow	narrow
wins	win	win
.	.	.
The	the	The
campaign	campaign	campaign
said	said	said
it	it	it
exceeded	exceed	exceeded
its	it	it
initial	initi	initial
goal	goal	goal
for	for	for
raising	rais	raising
2	2	2
.	.	.
5	5	5
million	million	million
and	and	and
has	has	ha
enough	enough	enough
money	money	money
to	to	to
pay	pay	pay
Wisconsin	wisconsin	Wisconsin
s	s	s
1	1	1
.	.	.
1	1	1
million	million	million
filing	file	filing
fee	fee	fee
due	due	due
on	on	on
Friday	friday	Friday
.	.	.
At	at	At
the	the	the
same	same	same
time	time	time
,	,	,
the	the	the
party	parti	party
said	said	said
it	it	it
raised	rais	raised
its	it	it
target	target	target
to	to	to
4	4	4
.	.	.
5	5	5
million	million	million
,	,	,
with	with	with
filing	file	filing
deadlines	deadlin	deadline
approaching	approach	approaching
in	in	in
Pennsylvania	pennsylvania	Pennsylvania
on	on	on
Monday	monday	Monday
and	and	and
Michigan	michigan	Michigan
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Stein	stein	Stein
is	is	is
pushing	push	pushing
for	for	for
recounts	recount	recount
because	becaus	because
experts	expert	expert
pointed	point	pointed
to	to	to
statistical	statist	statistical
anomalies	anomali	anomaly
in	in	in
the	the	the
tallies	talli	tally
in	in	in
all	all	all
three	three	three
battleground	battleground	battleground
states	state	state
,	,	,
according	accord	according
to	to	to
the	the	the
party	parti	party
s	s	s
website	websit	website
.	.	.
Trump	trump	Trump
,	,	,
a	a	a
Republican	republican	Republican
who	who	who
ran	ran	ran
as	as	a
an	an	an
anti	anti	anti
-establishment	-establish	-establishment
maverick	maverick	maverick
,	,	,
carried	carri	carried
all	all	all
three	three	three
states	state	state
by	by	by
narrow	narrow	narrow
margins	margin	margin
despite	despit	despite
public	public	public
opinion	opinion	opinion
polls	poll	poll
pointing	point	pointing
to	to	to
victories	victori	victory
by	by	by
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
the	the	the
Democratic	democrat	Democratic
standard	standard	standard
-bearer	-bearer	-bearer
.	.	.
We	we	We
deserve	deserv	deserve
elections	elect	election
we	we	we
can	can	can
trust	trust	trust
,	,	,
the	the	the
campaign	campaign	campaign
said	said	said
,	,	,
adding	ad	adding
that	that	that
the	the	the
effort	effort	effort
was	was	wa
not	not	not
intended	intend	intended
to	to	to
help	help	help
Clinton	clinton	Clinton
.	.	.
A	a	A
representative	repres	representative
of	of	of
the	the	the
president	presid	president
-elect	-elect	-elect
s	s	s
transition	transit	transition
team	team	team
could	could	could
not	not	not
be	be	be
reached	reach	reached
for	for	for
comment	comment	comment
.	.	.
But	but	But
Kellyanne	kellyann	Kellyanne
Conway	conway	Conway
,	,	,
a	a	a
senior	senior	senior
Trump	trump	Trump
adviser	advis	adviser
,	,	,
suggested	suggest	suggested
that	that	that
efforts	effort	effort
to	to	to
force	forc	force
recounts	recount	recount
were	were	were
ironic	iron	ironic
,	,	,
given	given	given
harsh	harsh	harsh
criticism	critic	criticism
of	of	of
Trump	trump	Trump
before	befor	before
the	the	the
election	elect	election
when	when	when
he	he	he
would	would	would
not	not	not
say	say	say
whether	whether	whether
he	he	he
would	would	would
accept	accept	accept
the	the	the
result	result	result
of	of	of
what	what	what
he	he	he
called	call	called
a	a	a
rigged	rig	rigged
political	polit	political
system	system	system
.	.	.
Look	look	Look
who	who	who
can	can	can
t	t	t
accept	accept	accept
the	the	the
election	elect	election
results	result	result
,	,	,
Conway	conway	Conway
said	said	said
in	in	in
a	a	a
Twitter	twitter	Twitter
message	messag	message
,	,	,
pointing	point	pointing
to	to	to
a	a	a
headline	headlin	headline
in	in	in
the	the	the
New	new	New
York	york	York
Times	time	Times
that	that	that
read	read	read
Hillary	hillari	Hillary
Clinton	clinton	Clinton
Supporters	support	Supporters
Call	call	Call
for	for	for
Vote	vote	Vote
Recount	recount	Recount
in	in	in
Battleground	battleground	Battleground
States	state	States
.	.	.
Although	although	Although
Clinton	clinton	Clinton
won	won	won
more	more	more
votes	vote	vote
than	than	than
Trump	trump	Trump
on	on	on
a	a	a
nationwide	nationwid	nationwide
basis	basi	basis
,	,	,
the	the	the
real	real	real
estate	estat	estate
developer	develop	developer
exceeded	exceed	exceeded
the	the	the
number	number	number
of	of	of
votes	vote	vote
in	in	in
the	the	the
Electoral	elector	Electoral
College	colleg	College
needed	need	needed
to	to	to
take	take	take
the	the	the
presidency	presid	presidency
.	.	.
Electoral	elector	Electoral
votes	vote	vote
are	are	are
apportioned	apport	apportioned
state	state	state
by	by	by
state	state	state
,	,	,
mostly	most	mostly
on	on	on
a	a	a
winner	winner	winner
-take-all	-take-al	-take-all
basis	basi	basis
.	.	.
Stein	stein	Stein
took	took	took
a	a	a
little	littl	little
more	more	more
than	than	than
1	1	1
percent	percent	percent
of	of	of
the	the	the
popular	popular	popular
vote	vote	vote
,	,	,
while	while	while
Libertarian	libertarian	Libertarian
Party	parti	Party
candidate	candid	candidate
Gary	gari	Gary
Johnson	johnson	Johnson
came	came	came
in	in	in
third	third	third
place	place	place
behind	behind	behind
Trump	trump	Trump
and	and	and
Clinton	clinton	Clinton
.	.	.
Stein	stein	Stein
s	s	s
website	websit	website
said	said	said
that	that	that
the	the	the
total	total	total
cost	cost	cost
of	of	of
recounts	recount	recount
in	in	in
the	the	the
three	three	three
states	state	state
was	was	wa
6	6	6
million	million	million
to	to	to
7	7	7
million	million	million
,	,	,
but	but	but
it	it	it
did	did	did
not	not	not
explain	explain	explain
why	whi	why
the	the	the
campaign	campaign	campaign
s	s	s
new	new	new
target	target	target
was	was	wa
only	onli	only
4	4	4
.	.	.
5	5	5
million	million	million
.	.	.
