DUBAI	dubai	DUBAI
Reuters	reuter	Reuters
-	-	-
The	the	The
Israeli	isra	Israeli
army	armi	army
s	s	s
chief	chief	chief
of	of	of
staff	staff	staff
told	told	told
an	an	an
Arabic	arab	Arabic
language	languag	language
online	onlin	online
newspaper	newspap	newspaper
that	that	that
Israel	israel	Israel
was	was	wa
ready	readi	ready
to	to	to
share	share	share
intelligence	intellig	intelligence
information	inform	information
with	with	with
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
saying	say	saying
their	their	their
countries	countri	country
had	had	had
a	a	a
common	common	common
interest	interest	interest
in	in	in
standing	stand	standing
up	up	up
to	to	to
Iran	iran	Iran
.	.	.
Lieutenant	lieuten	Lieutenant
General	general	General
Gadi	gadi	Gadi
Eizenkot	eizenkot	Eizenkot
told	told	told
the	the	the
privately	privat	privately
Saudi	saudi	Saudi
-owned	-own	-owned
Elaph	elaph	Elaph
in	in	in
what	what	what
it	it	it
said	said	said
was	was	wa
his	his	his
first	first	first
interview	interview	interview
with	with	with
an	an	an
Arabic	arab	Arabic
newspaper	newspap	newspaper
that	that	that
Israel	israel	Israel
had	had	had
no	no	no
plans	plan	plan
to	to	to
attack	attack	attack
Lebanon	lebanon	Lebanon
s	s	s
Hezbollah	hezbollah	Hezbollah
group	group	group
.	.	.
Saudi	saudi	Saudi
Arabia	arabia	Arabia
has	has	ha
ratcheted	ratchet	ratcheted
up	up	up
pressure	pressur	pressure
on	on	on
arch	arch	arch
-foe	-foe	-foe
Iran	iran	Iran
,	,	,
accusing	accus	accusing
Tehran	tehran	Tehran
of	of	of
trying	tri	trying
to	to	to
expand	expand	expand
its	it	it
influence	influenc	influence
in	in	in
Arab	arab	Arab
countries	countri	country
,	,	,
often	often	often
through	through	through
proxies	proxi	proxy
including	includ	including
the	the	the
Lebanese	lebanes	Lebanese
Shi	shi	Shi
ite	ite	ite
Hezbollah	hezbollah	Hezbollah
group	group	group
.	.	.
Increased	increas	Increased
tension	tension	tension
between	between	between
Tehran	tehran	Tehran
and	and	and
Riyadh	riyadh	Riyadh
has	has	ha
fueled	fuel	fueled
speculation	specul	speculation
that	that	that
shared	share	shared
interests	interest	interest
may	may	may
push	push	push
Saudi	saudi	Saudi
Arabia	arabia	Arabia
and	and	and
Israel	israel	Israel
to	to	to
working	work	working
together	togeth	together
against	against	against
what	what	what
they	they	they
see	see	see
as	as	a
a	a	a
common	common	common
Iranian	iranian	Iranian
threat	threat	threat
.	.	.
Saudi	saudi	Saudi
Arabia	arabia	Arabia
maintains	maintain	maintains
that	that	that
any	ani	any
relations	relat	relation
with	with	with
Israel	israel	Israel
hinge	hing	hinge
on	on	on
Israeli	isra	Israeli
withdrawal	withdraw	withdrawal
from	from	from
Arab	arab	Arab
lands	land	land
occupied	occupi	occupied
in	in	in
the	the	the
1967	1967	1967
Middle	middl	Middle
East	east	East
war	war	war
.	.	.
Asked	ask	Asked
if	if	if
Israel	israel	Israel
had	had	had
shared	share	shared
any	ani	any
information	inform	information
with	with	with
Saudi	saudi	Saudi
Arabia	arabia	Arabia
,	,	,
Eizenkot	eizenkot	Eizenkot
said	said	said
We	we	We
are	are	are
ready	readi	ready
to	to	to
share	share	share
information	inform	information
if	if	if
necessary	necessari	necessary
.	.	.
There	there	There
are	are	are
many	mani	many
shared	share	shared
interests	interest	interest
between	between	between
us	us	u
.	.	.
He	he	He
said	said	said
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
election	elect	election
on	on	on
a	a	a
platform	platform	platform
that	that	that
calls	call	call
for	for	for
increasing	increas	increasing
pressure	pressur	pressure
on	on	on
Iran	iran	Iran
has	has	ha
provided	provid	provided
an	an	an
opportunity	opportun	opportunity
for	for	for
new	new	new
alliances	allianc	alliance
in	in	in
the	the	the
Middle	middl	Middle
East	east	East
.	.	.
Both	both	Both
Saudi	saudi	Saudi
Arabia	arabia	Arabia
and	and	and
Israel	israel	Israel
view	view	view
Iran	iran	Iran
as	as	a
a	a	a
main	main	main
threat	threat	threat
to	to	to
the	the	the
Middle	middl	Middle
East	east	East
.	.	.
A	a	A
major	major	major
and	and	and
general	general	general
strategic	strateg	strategic
plan	plan	plan
must	must	must
be	be	be
prepared	prepar	prepared
to	to	to
stop	stop	stop
the	the	the
Iranian	iranian	Iranian
danger	danger	danger
,	,	,
and	and	and
we	we	we
are	are	are
ready	readi	ready
to	to	to
exchange	exchang	exchange
expertise	expertis	expertise
with	with	with
moderate	moder	moderate
Arab	arab	Arab
states	state	state
and	and	and
exchange	exchang	exchange
intelligence	intellig	intelligence
information	inform	information
to	to	to
face	face	face
Iran	iran	Iran
,	,	,
he	he	he
said	said	said
,	,	,
according	accord	according
to	to	to
Elaph	elaph	Elaph
,	,	,
which	which	which
said	said	said
the	the	the
interview	interview	interview
was	was	wa
conducted	conduct	conducted
at	at	at
Eizenkot	eizenkot	Eizenkot
s	s	s
office	offic	office
in	in	in
Tel	tel	Tel
Aviv	aviv	Aviv
by	by	by
an	an	an
Israeli	isra	Israeli
Arab	arab	Arab
journalist	journalist	journalist
.	.	.
Earlier	earlier	Earlier
this	this	this
month	month	month
,	,	,
Lebanese	lebanes	Lebanese
Prime	prime	Prime
Minister	minist	Minister
Saad	saad	Saad
al	al	al
-Hariri	-hariri	-Hariri
announced	announc	announced
his	his	his
resignation	resign	resignation
in	in	in
a	a	a
surprise	surpris	surprise
move	move	move
that	that	that
had	had	had
plunged	plung	plunged
Lebanon	lebanon	Lebanon
into	into	into
a	a	a
new	new	new
political	polit	political
crisis	crisi	crisis
.	.	.
Hariri	hariri	Hariri
s	s	s
resignation	resign	resignation
thrust	thrust	thrust
Lebanon	lebanon	Lebanon
into	into	into
the	the	the
front	front	front
line	line	line
of	of	of
a	a	a
regional	region	regional
struggle	struggl	struggle
between	between	between
Sunni	sunni	Sunni
Saudi	saudi	Saudi
Arabia	arabia	Arabia
and	and	and
Shi	shi	Shi
ite	ite	ite
Iran	iran	Iran
that	that	that
has	has	ha
also	also	also
buffeted	buffet	buffeted
Syria	syria	Syria
,	,	,
Iraq	iraq	Iraq
,	,	,
Yemen	yemen	Yemen
and	and	and
Bahrain	bahrain	Bahrain
.	.	.
It	it	It
also	also	also
raised	rais	raised
speculation	specul	speculation
about	about	about
possible	possibl	possible
military	militari	military
action	action	action
against	against	against
Lebanon	lebanon	Lebanon
by	by	by
Israel	israel	Israel
,	,	,
which	which	which
sees	see	see
Hezbollah	hezbollah	Hezbollah
as	as	a
a	a	a
strategic	strateg	strategic
threat	threat	threat
.	.	.
Responding	respond	Responding
to	to	to
a	a	a
question	question	question
on	on	on
speculation	specul	speculation
that	that	that
Israel	israel	Israel
may	may	may
launch	launch	launch
a	a	a
military	militari	military
operation	oper	operation
against	against	against
Hezbollah	hezbollah	Hezbollah
,	,	,
Eizenkot	eizenkot	Eizenkot
said	said	said
We	we	We
do	do	do
not	not	not
have	have	have
any	ani	any
intention	intent	intention
initiating	initi	initiating
any	ani	any
offensive	offens	offensive
against	against	against
Hezbollah	hezbollah	Hezbollah
in	in	in
Lebanon	lebanon	Lebanon
and	and	and
reaching	reach	reaching
a	a	a
state	state	state
of	of	of
war	war	war
.	.	.
But	but	But
we	we	we
will	will	will
not	not	not
accept	accept	accept
a	a	a
strategic	strateg	strategic
threat	threat	threat
against	against	against
Israel	israel	Israel
.	.	.
