BEIJING	beij	BEIJING
Reuters	reuter	Reuters
-	-	-
Fixing	fix	Fixing
the	the	the
corruption	corrupt	corruption
problem	problem	problem
in	in	in
China	china	China
s	s	s
ruling	rule	ruling
Communist	communist	Communist
Party	parti	Party
is	is	is
world	world	world
class	class	class
hard	hard	hard
and	and	and
the	the	the
battle	battl	battle
will	will	will
never	never	never
end	end	end
,	,	,
the	the	the
country	countri	country
s	s	s
top	top	top
graft	graft	graft
-buster	-buster	-buster
told	told	told
Singapore	singapor	Singapore
s	s	s
prime	prime	prime
minister	minist	minister
in	in	in
a	a	a
rare	rare	rare
meeting	meet	meeting
with	with	with
a	a	a
visiting	visit	visiting
foreign	foreign	foreign
leader	leader	leader
.	.	.
Wang	wang	Wang
Qishan	qishan	Qishan
,	,	,
who	who	who
heads	head	head
the	the	the
party	parti	party
s	s	s
Central	central	Central
Commission	commiss	Commission
for	for	for
Discipline	disciplin	Discipline
Inspection	inspect	Inspection
,	,	,
has	has	ha
been	been	been
at	at	at
the	the	the
forefront	forefront	forefront
of	of	of
President	presid	President
Xi	xi	Xi
Jinping	jinp	Jinping
s	s	s
fight	fight	fight
against	against	against
deep	deep	deep
-seated	-seat	-seated
corruption	corrupt	corruption
,	,	,
and	and	and
speculation	specul	speculation
has	has	ha
swirled	swirl	swirled
about	about	about
whether	whether	whether
he	he	he
will	will	will
retire	retir	retire
or	or	or
stay	stay	stay
on	on	on
at	at	at
next	next	next
month	month	month
s	s	s
key	key	key
party	parti	party
Congress	congress	Congress
.	.	.
Meeting	meet	Meeting
Singapore	singapor	Singapore
Prime	prime	Prime
Minister	minist	Minister
Lee	lee	Lee
Hsien	hsien	Hsien
Loong	loong	Loong
at	at	at
the	the	the
central	central	central
leadership	leadership	leadership
s	s	s
Zhongnanhai	zhongnanhai	Zhongnanhai
compound	compound	compound
in	in	in
Beijing	beij	Beijing
,	,	,
Wang	wang	Wang
said	said	said
the	the	the
party	parti	party
s	s	s
anti	anti	anti
-corruption	-corrupt	-corruption
campaign	campaign	campaign
and	and	and
efforts	effort	effort
to	to	to
supervise	supervis	supervise
itself	itself	itself
had	had	had
been	been	been
highly	high	highly
effective	effect	effective
.	.	.
Carrying	carri	Carrying
out	out	out
an	an	an
operation	oper	operation
on	on	on
yourself	yourself	yourself
to	to	to
cure	cure	cure
an	an	an
illness	ill	illness
is	is	is
world	world	world
class	class	class
hard	hard	hard
,	,	,
the	the	the
commission	commiss	commission
cited	cite	cited
Wang	wang	Wang
as	as	a
saying	say	saying
,	,	,
in	in	in
a	a	a
statement	statement	statement
late	late	late
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
The	the	The
party	parti	party
has	has	ha
long	long	long
insisted	insist	insisted
it	it	it
has	has	ha
no	no	no
need	need	need
for	for	for
an	an	an
independent	independ	independent
anti	anti	anti
-corruption	-corrupt	-corruption
mechanism	mechan	mechanism
,	,	,
in	in	in
a	a	a
country	countri	country
where	where	where
the	the	the
party	parti	party
also	also	also
controls	control	control
the	the	the
legal	legal	legal
system	system	system
.	.	.
Wang	wang	Wang
said	said	said
that	that	that
the	the	the
final	final	final
aim	aim	aim
in	in	in
the	the	the
graft	graft	graft
fight	fight	fight
was	was	wa
to	to	to
find	find	find
an	an	an
effective	effect	effective
route	rout	route
to	to	to
self	self	self
-supervision	-supervis	-supervision
for	for	for
a	a	a
party	parti	party
that	that	that
has	has	ha
been	been	been
in	in	in
power	power	power
for	for	for
a	a	a
long	long	long
time	time	time
,	,	,
and	and	and
to	to	to
always	alway	always
maintain	maintain	maintain
the	the	the
party	parti	party
s	s	s
progressiveness	progress	progressiveness
and	and	and
cleanliness	cleanli	cleanliness
.	.	.
The	the	The
party	parti	party
s	s	s
efforts	effort	effort
have	have	have
won	won	won
the	the	the
trust	trust	trust
of	of	of
the	the	the
people	peopl	people
and	and	and
demonstrates	demonstr	demonstrates
the	the	the
party	parti	party
s	s	s
confidence	confid	confidence
in	in	in
its	it	it
system	system	system
,	,	,
he	he	he
added	ad	added
.	.	.
The	the	The
anti	anti	anti
-corruption	-corrupt	-corruption
effort	effort	effort
is	is	is
always	alway	always
on	on	on
the	the	the
road	road	road
,	,	,
Wang	wang	Wang
said	said	said
,	,	,
using	use	using
a	a	a
frequently	frequent	frequently
used	use	used
party	parti	party
expression	express	expression
to	to	to
refer	refer	refer
to	to	to
how	how	how
the	the	the
campaign	campaign	campaign
will	will	will
not	not	not
end	end	end
.	.	.
Singapore	singapor	Singapore
s	s	s
Straits	strait	Straits
Times	time	Times
said	said	said
that	that	that
the	the	the
meeting	meet	meeting
with	with	with
Wang	wang	Wang
had	had	had
been	been	been
requested	request	requested
by	by	by
Lee	lee	Lee
,	,	,
and	and	and
that	that	that
Wang	wang	Wang
told	told	told
Lee	lee	Lee
he	he	he
was	was	wa
surprised	surpris	surprised
but	but	but
happy	happi	happy
the	the	the
request	request	request
had	had	had
been	been	been
made	made	made
.	.	.
So	so	So
I	i	I
sought	sought	sought
permission	permiss	permission
and	and	and
I	i	I
am	am	am
here	here	here
meeting	meet	meeting
you	you	you
and	and	and
your	your	your
delegation	deleg	delegation
today	today	today
,	,	,
Wang	wang	Wang
told	told	told
Lee	lee	Lee
,	,	,
the	the	the
newspaper	newspap	newspaper
reported	report	reported
.	.	.
Wang	wang	Wang
,	,	,
who	who	who
is	is	is
69	69	69
and	and	and
sits	sit	sits
on	on	on
the	the	the
party	parti	party
s	s	s
elite	elit	elite
ruling	rule	ruling
Standing	stand	Standing
Committee	committe	Committee
,	,	,
should	should	should
retire	retir	retire
at	at	at
next	next	next
month	month	month
s	s	s
party	parti	party
Congress	congress	Congress
according	accord	according
to	to	to
unwritten	unwritten	unwritten
party	parti	party
rules	rule	rule
on	on	on
age	age	age
limits	limit	limit
,	,	,
but	but	but
he	he	he
is	is	is
close	close	close
to	to	to
Xi	xi	Xi
and	and	and
could	could	could
stay	stay	stay
on	on	on
in	in	in
some	some	some
capacity	capac	capacity
,	,	,
sources	sourc	source
with	with	with
ties	tie	tie
to	to	to
the	the	the
leadership	leadership	leadership
have	have	have
said	said	said
.	.	.
