Reuters	reuter	Reuters
-	-	-
Lawyers	lawyer	Lawyers
for	for	for
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
are	are	are
not	not	not
likely	like	likely
to	to	to
file	file	file
their	their	their
planned	plan	planned
complaint	complaint	complaint
this	this	this
week	week	week
against	against	against
former	former	former
FBI	fbi	FBI
Director	director	Director
James	jame	James
Comey	comey	Comey
over	over	over
disclosing	disclos	disclosing
details	detail	detail
about	about	about
conversations	convers	conversation
with	with	with
the	the	the
president	presid	president
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
Trump	trump	Trump
s	s	s
legal	legal	legal
team	team	team
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
A	a	A
person	person	person
close	close	close
to	to	to
the	the	the
legal	legal	legal
team	team	team
said	said	said
on	on	on
Friday	friday	Friday
Trump	trump	Trump
s	s	s
chief	chief	chief
personal	person	personal
lawyer	lawyer	lawyer
,	,	,
Marc	marc	Marc
Kasowitz	kasowitz	Kasowitz
,	,	,
expected	expect	expected
to	to	to
file	file	file
a	a	a
complaint	complaint	complaint
against	against	against
Comey	comey	Comey
early	earli	early
this	this	this
week	week	week
to	to	to
the	the	the
Justice	justic	Justice
Department	depart	Department
s	s	s
inspector	inspector	inspector
general	general	general
s	s	s
office	offic	office
.	.	.
I	i	I
think	think	think
it	it	it
s	s	s
going	go	going
to	to	to
take	take	take
a	a	a
little	littl	little
longer	longer	longer
,	,	,
Mark	mark	Mark
Corallo	corallo	Corallo
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
the	the	the
legal	legal	legal
team	team	team
,	,	,
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
It	it	It
may	may	may
well	well	well
slip	slip	slip
to	to	to
next	next	next
week	week	week
.	.	.
Corallo	corallo	Corallo
also	also	also
said	said	said
the	the	the
complaint	complaint	complaint
may	may	may
be	be	be
filed	file	filed
to	to	to
the	the	the
Justice	justic	Justice
Department	depart	Department
s	s	s
Office	offic	Office
of	of	of
Professional	profession	Professional
Responsibility	respons	Responsibility
rather	rather	rather
than	than	than
its	it	it
Office	offic	Office
of	of	of
Inspector	inspector	Inspector
General	general	General
.	.	.
Trump	trump	Trump
s	s	s
lawyers	lawyer	lawyer
are	are	are
sifting	sift	sifting
through	through	through
additional	addit	additional
information	inform	information
and	and	and
preparing	prepar	preparing
at	at	at
least	least	least
one	one	one
submission	submiss	submission
,	,	,
and	and	and
a	a	a
meeting	meet	meeting
scheduled	schedul	scheduled
for	for	for
Wednesday	wednesday	Wednesday
may	may	may
clarify	clarifi	clarify
the	the	the
proper	proper	proper
avenue	avenu	avenue
for	for	for
the	the	the
complaint	complaint	complaint
,	,	,
he	he	he
said	said	said
.	.	.
The	the	The
president	presid	president
has	has	ha
responded	respond	responded
to	to	to
Comey	comey	Comey
s	s	s
testimony	testimoni	testimony
on	on	on
Thursday	thursday	Thursday
to	to	to
the	the	the
Senate	senat	Senate
Intelligence	intellig	Intelligence
Committee	committe	Committee
by	by	by
denying	deni	denying
that	that	that
he	he	he
tried	tri	tried
to	to	to
interfere	interfer	interfere
with	with	with
an	an	an
FBI	fbi	FBI
investigation	investig	investigation
,	,	,
and	and	and
calling	call	calling
the	the	the
former	former	former
FBI	fbi	FBI
chief	chief	chief
a	a	a
leaker	leaker	leaker
.	.	.
In	in	In
his	his	his
testimony	testimoni	testimony
,	,	,
Comey	comey	Comey
said	said	said
that	that	that
after	after	after
Trump	trump	Trump
fired	fire	fired
him	him	him
last	last	last
month	month	month
he	he	he
gave	gave	gave
a	a	a
memo	memo	memo
he	he	he
wrote	wrote	wrote
about	about	about
a	a	a
meeting	meet	meeting
with	with	with
the	the	the
president	presid	president
to	to	to
a	a	a
friend	friend	friend
in	in	in
order	order	order
to	to	to
have	have	have
its	it	it
contents	content	content
disclosed	disclos	disclosed
to	to	to
the	the	the
media	media	medium
.	.	.
In	in	In
a	a	a
statement	statement	statement
following	follow	following
the	the	the
testimony	testimoni	testimony
,	,	,
Kasowitz	kasowitz	Kasowitz
accused	accus	accused
Comey	comey	Comey
of	of	of
leaking	leak	leaking
privileged	privileg	privileged
information	inform	information
.	.	.
Some	some	Some
legal	legal	legal
experts	expert	expert
have	have	have
said	said	said
the	the	the
information	inform	information
disclosed	disclos	disclosed
was	was	wa
not	not	not
privileged	privileg	privileged
because	becaus	because
Trump	trump	Trump
himself	himself	himself
had	had	had
already	alreadi	already
publicly	public	publicly
discussed	discuss	discussed
their	their	their
conversations	convers	conversation
.	.	.
A	a	A
former	former	former
high	high	high
-ranking	-rank	-ranking
Justice	justic	Justice
Department	depart	Department
official	offici	official
familiar	familiar	familiar
with	with	with
how	how	how
the	the	the
inspector	inspector	inspector
general	general	general
handles	handl	handle
complaints	complaint	complaint
said	said	said
any	ani	any
filing	file	filing
by	by	by
Kasowitz	kasowitz	Kasowitz
would	would	would
most	most	most
likely	like	likely
be	be	be
treated	treat	treated
as	as	a
part	part	part
of	of	of
an	an	an
existing	exist	existing
investigation	investig	investigation
into	into	into
Comey	comey	Comey
s	s	s
handling	handl	handling
of	of	of
the	the	the
Hillary	hillari	Hillary
Clinton	clinton	Clinton
email	email	email
investigation	investig	investigation
.	.	.
This	this	This
could	could	could
end	end	end
up	up	up
as	as	a
a	a	a
footnote	footnot	footnote
in	in	in
a	a	a
longer	longer	longer
report	report	report
,	,	,
the	the	the
former	former	former
official	offici	official
said	said	said
.	.	.
Jonathan	jonathan	Jonathan
Turley	turley	Turley
,	,	,
a	a	a
law	law	law
professor	professor	professor
at	at	at
George	georg	George
Washington	washington	Washington
University	univers	University
,	,	,
said	said	said
he	he	he
believes	believ	belief
the	the	the
Comey	comey	Comey
disclosure	disclosur	disclosure
violated	violat	violated
FBI	fbi	FBI
regulations	regul	regulation
but	but	but
said	said	said
the	the	the
Office	offic	Office
of	of	of
Professional	profession	Professional
Responsibility	respons	Responsibility
may	may	may
be	be	be
reluctant	reluct	reluctant
to	to	to
look	look	look
into	into	into
an	an	an
disciplinary	disciplinari	disciplinary
allegation	alleg	allegation
against	against	against
a	a	a
former	former	former
rather	rather	rather
than	than	than
current	current	current
employee	employe	employee
.	.	.
The	the	The
challenge	challeng	challenge
for	for	for
the	the	the
Trump	trump	Trump
team	team	team
is	is	is
to	to	to
find	find	find
an	an	an
office	offic	office
that	that	that
will	will	will
get	get	get
to	to	to
the	the	the
merits	merit	merit
,	,	,
said	said	said
Turley	turley	Turley
.	.	.
John	john	John
Lavinsky	lavinski	Lavinsky
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
the	the	the
Inspector	inspector	Inspector
General	general	General
,	,	,
declined	declin	declined
to	to	to
comment	comment	comment
.	.	.
