Reuters	reuter	Reuters
-	-	-
The	the	The
Republican	republican	Republican
tax	tax	tax
overhaul	overhaul	overhaul
framework	framework	framework
being	be	being
promoted	promot	promoted
by	by	by
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
calls	call	call
for	for	for
slashing	slash	slashing
taxes	tax	tax
on	on	on
corporations	corpor	corporation
,	,	,
repealing	repeal	repealing
some	some	some
taxes	tax	tax
paid	paid	paid
primarily	primarili	primarily
by	by	by
the	the	the
wealthy	wealthi	wealthy
and	and	and
lowering	lower	lowering
some	some	some
taxes	tax	tax
on	on	on
families	famili	family
and	and	and
individuals	individu	individual
.	.	.

nL2N1MZ0SH	nl2n1mz0sh	nL2N1MZ0SH
The	the	The
plan	plan	plan
is	is	is
intended	intend	intended
as	as	a
a	a	a
guideline	guidelin	guideline
for	for	for
the	the	the
House	hous	House
of	of	of
Representatives	repres	Representatives
Ways	way	Ways
and	and	and
Means	mean	Means
Committee	committe	Committee
and	and	and
the	the	the
Senate	senat	Senate
Finance	financ	Finance
Committee	committe	Committee
,	,	,
the	the	the
two	two	two
tax	tax	tax
-writing	-write	-writing
panels	panel	panel
in	in	in
Congress	congress	Congress
that	that	that
are	are	are
already	alreadi	already
at	at	at
work	work	work
drafting	draft	drafting
detailed	detail	detailed
tax	tax	tax
legislation	legisl	legislation
based	base	based
on	on	on
the	the	the
framework	framework	framework
.	.	.

Questions	question	Questions
about	about	about
the	the	the
final	final	final
shape	shape	shape
of	of	of
Republican	republican	Republican
tax	tax	tax
legislation	legisl	legislation
are	are	are
swirling	swirl	swirling
in	in	in
Washington	washington	Washington
,	,	,
with	with	with
Trump	trump	Trump
himself	himself	himself
raising	rais	raising
doubts	doubt	doubt
about	about	about
certain	certain	certain
provisions	provis	provision
.	.	.

Here	here	Here
is	is	is
a	a	a
look	look	look
at	at	at
key	key	key
provisions	provis	provision
in	in	in
the	the	the
existing	exist	existing
framework	framework	framework
.	.	.

Reduce	reduc	Reduce
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
corporate	corpor	corporate
income	incom	income
tax	tax	tax
rate	rate	rate
to	to	to
20	20	20
percent	percent	percent
from	from	from
a	a	a
current	current	current
statutory	statutori	statutory
35	35	35
percent	percent	percent
Eliminate	elimin	Eliminate
the	the	the
corporate	corpor	corporate
alternative	altern	alternative
minimum	minimum	minimum
tax	tax	tax
Move	move	Move
to	to	to
a	a	a
territorial	territori	territorial
tax	tax	tax
system	system	system
that	that	that
no	no	no
longer	longer	longer
taxes	tax	tax
U	u	U
.	.	.
S	s	S
.	.	.
corporate	corpor	corporate
profits	profit	profit
overseas	oversea	overseas
at	at	at
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
corporate	corpor	corporate
income	incom	income
tax	tax	tax
rate	rate	rate
Require	requir	Require
U	u	U
.	.	.
S	s	S
.	.	.
corporations	corpor	corporation
to	to	to
return	return	return
assets	asset	asset
held	held	held
overseas	oversea	overseas
at	at	at
separate	separ	separate
,	,	,
unspecified	unspecifi	unspecified
and	and	and
lower	lower	lower
one	one	one
-time	-time	-time
tax	tax	tax
rates	rate	rate
for	for	for
invested	invest	invested
assets	asset	asset
and	and	and
cash	cash	cash
or	or	or
cash	cash	cash
equivalents	equival	equivalent
Establish	establish	Establish
a	a	a
minimum	minimum	minimum
global	global	global
tax	tax	tax
aimed	aim	aimed
at	at	at
the	the	the
overseas	oversea	overseas
profits	profit	profit
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
corporations	corpor	corporation
operating	oper	operating
in	in	in
tax	tax	tax
haven	haven	haven
countries	countri	country
PASS	pass	PASS
-THROUGH	-through	-THROUGH
BUSINESSES	busi	BUSINESSES
Limit	limit	Limit
the	the	the
maximum	maximum	maximum
tax	tax	tax
rate	rate	rate
applied	appli	applied
to	to	to
small	small	small
businesses	busi	business
to	to	to
25	25	25
percent	percent	percent
,	,	,
compared	compar	compared
to	to	to
current	current	current
policy	polici	policy
that	that	that
taxes	tax	tax
so	so	so
-called	-call	-called
pass	pass	pas
-through	-through	-through
income	incom	income
at	at	at
an	an	an
individual	individu	individual
tax	tax	tax
rate	rate	rate
of	of	of
up	up	up
to	to	to
39	39	39
.	.	.
6	6	6
percent	percent	percent
Allow	allow	Allow
immediate	immedi	immediate
and	and	and
full	full	full
expensing	expens	expensing
of	of	of
capital	capit	capital
investments	invest	investment
for	for	for
at	at	at
least	least	least
five	five	five
years	year	year
Partially	partial	Partially
limit	limit	limit
the	the	the
business	busi	business
tax	tax	tax
deduction	deduct	deduction
for	for	for
debt	debt	debt
interest	interest	interest
payments	payment	payment
Lower	lower	Lower
the	the	the
top	top	top
individual	individu	individual
rate	rate	rate
from	from	from
to	to	to
35	35	35
percent	percent	percent
from	from	from
39	39	39
.	.	.
6	6	6
percent	percent	percent
Increase	increas	Increase
the	the	the
standard	standard	standard
deduction	deduct	deduction
for	for	for
taxpayers	taxpay	taxpayer
to	to	to
12	12	12
,	,	,
000	000	000
from	from	from
6	6	6
,	,	,
300	300	300
for	for	for
individuals	individu	individual
and	and	and
to	to	to
24	24	24
,	,	,
000	000	000
from	from	from
12	12	12
,	,	,
600	600	600
for	for	for
married	marri	married
couples	coupl	couple
Reduce	reduc	Reduce
the	the	the
current	current	current
seven	seven	seven
individual	individu	individual
income	incom	income
tax	tax	tax
brackets	bracket	bracket
to	to	to
three	three	three
brackets	bracket	bracket
of	of	of
12	12	12
percent	percent	percent
,	,	,
25	25	25
percent	percent	percent
and	and	and
35	35	35
percent	percent	percent
Give	give	Give
the	the	the
two	two	two
congressional	congression	congressional
tax	tax	tax
-writing	-write	-writing
committees	committe	committee
the	the	the
flexibility	flexibl	flexibility
to	to	to
set	set	set
a	a	a
fourth	fourth	fourth
bracket	bracket	bracket
at	at	at
a	a	a
rate	rate	rate
higher	higher	higher
than	than	than
35	35	35
percent	percent	percent
for	for	for
the	the	the
wealthiest	wealthiest	wealthiest
Americans	american	Americans
,	,	,
to	to	to
ensure	ensur	ensure
that	that	that
the	the	the
overhaul	overhaul	overhaul
plan	plan	plan
does	doe	doe
not	not	not
shift	shift	shift
the	the	the
tax	tax	tax
burden	burden	burden
from	from	from
higher	higher	higher
to	to	to
lower	lower	lower
income	incom	income
households	household	household
Repeal	repeal	Repeal
the	the	the
deduction	deduct	deduction
for	for	for
state	state	state
and	and	and
local	local	local
tax	tax	tax
payments	payment	payment
Eliminate	elimin	Eliminate
the	the	the
4	4	4
,	,	,
050	050	050
personal	person	personal
exemption	exempt	exemption
for	for	for
taxpayers	taxpay	taxpayer
and	and	and
their	their	their
family	famili	family
members	member	member
Create	creat	Create
an	an	an
unspecified	unspecifi	unspecified
but	but	but
substantial	substanti	substantial
increase	increas	increase
in	in	in
child	child	child
tax	tax	tax
credit	credit	credit
,	,	,
which	which	which
currently	current	currently
stands	stand	stand
at	at	at
1	1	1
,	,	,
000	000	000
,	,	,
raise	rais	raise
the	the	the
income	incom	income
limit	limit	limit
to	to	to
qualify	qualifi	qualify
for	for	for
the	the	the
credit	credit	credit
,	,	,
and	and	and
eliminate	elimin	eliminate
the	the	the
higher	higher	higher
qualifying	qualifi	qualifying
income	incom	income
rate	rate	rate
for	for	for
married	marri	married
couples	coupl	couple
Create	creat	Create
a	a	a
500	500	500
tax	tax	tax
credit	credit	credit
for	for	for
taxpayers	taxpay	taxpayer
with	with	with
non	non	non
-child	-child	-child
dependents	depend	dependent
Repeal	repeal	Repeal
the	the	the
individual	individu	individual
alternative	altern	alternative
minimum	minimum	minimum
tax	tax	tax
on	on	on
high	high	high
-income	-incom	-income
taxpayers	taxpay	taxpayer
Eliminate	elimin	Eliminate
unspecified	unspecifi	unspecified
itemized	item	itemized
deductions	deduct	deduction
that	that	that
would	would	would
impact	impact	impact
30	30	30
percent	percent	percent
of	of	of
taxpayers	taxpay	taxpayer
and	and	and
25	25	25
percent	percent	percent
of	of	of
families	famili	family
Repeal	repeal	Repeal
the	the	the
estate	estat	estate
tax	tax	tax
paid	paid	paid
chiefly	chiefli	chiefly
by	by	by
the	the	the
richest	richest	richest
Americans	american	Americans

