LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
Controversies	controversi	Controversies
over	over	over
fake	fake	fake
news	news	news
have	have	have
damaged	damag	damaged
trust	trust	trust
in	in	in
media	media	medium
in	in	in
the	the	the
United	unit	United
States	state	States
and	and	and
elsewhere	elsewher	elsewhere
,	,	,
but	but	but
the	the	the
impact	impact	impact
is	is	is
far	far	far
worse	wors	worse
for	for	for
social	social	social
media	media	medium
and	and	and
online	onlin	online
-only	-on	-only
outlets	outlet	outlet
than	than	than
it	it	it
is	is	is
for	for	for
traditional	tradit	traditional
print	print	print
and	and	and
TV	tv	TV
outlets	outlet	outlet
,	,	,
a	a	a
survey	survey	survey
has	has	ha
found	found	found
.	.	.

The	the	The
research	research	research
and	and	and
data	data	data
company	compani	company
Kantar	kantar	Kantar
,	,	,
in	in	in
a	a	a
survey	survey	survey
of	of	of
8	8	8
,	,	,
000	000	000
people	peopl	people
in	in	in
the	the	the
United	unit	United
States	state	States
,	,	,
Brazil	brazil	Brazil
,	,	,
Britain	britain	Britain
and	and	and
France	franc	France
,	,	,
found	found	found
that	that	that
newspapers	newspap	newspaper
,	,	,
magazines	magazin	magazine
and	and	and
TV	tv	TV
news	news	news
outlets	outlet	outlet
had	had	had
retained	retain	retained
a	a	a
greater	greater	greater
measure	measur	measure
of	of	of
public	public	public
trust	trust	trust
than	than	than
digital	digit	digital
specialists	specialist	specialist
had	had	had
.	.	.

In	in	In
the	the	the
United	unit	United
States	state	States
,	,	,
mainstream	mainstream	mainstream
media	media	medium
have	have	have
reported	report	reported
on	on	on
the	the	the
online	onlin	online
spread	spread	spread
of	of	of
fabricated	fabric	fabricated
stories	stori	story
aimed	aim	aimed
at	at	at
helping	help	helping
Donald	donald	Donald
Trump	trump	Trump
win	win	win
the	the	the
presidency	presid	presidency
last	last	last
year	year	year
.	.	.

Meanwhile	meanwhil	Meanwhile
,	,	,
Trump	trump	Trump
has	has	ha
accused	accus	accused
the	the	the
mainstream	mainstream	mainstream
media	media	medium
itself	itself	itself
of	of	of
producing	produc	producing
fake	fake	fake
news	news	news
.	.	.

Overall	overal	Overall
,	,	,
58	58	58
percent	percent	percent
of	of	of
those	those	those
surveyed	survey	surveyed
said	said	said
that	that	that
as	as	a
a	a	a
result	result	result
of	of	of
becoming	becom	becoming
aware	awar	aware
of	of	of
fake	fake	fake
news	news	news
they	they	they
had	had	had
less	less	le
trust	trust	trust
in	in	in
social	social	social
media	media	medium
news	news	news
stories	stori	story
about	about	about
politics	polit	politics
or	or	or
elections	elect	election
.	.	.

For	for	For
mainstream	mainstream	mainstream
media	media	medium
,	,	,
the	the	the
figure	figur	figure
was	was	wa
24	24	24
percent	percent	percent
.	.	.

The	the	The
efforts	effort	effort
to	to	to
brand	brand	brand
mainstream	mainstream	mainstream
news	news	news
media	media	medium
as	as	a
fake	fake	fake
news	news	news
have	have	have
largely	larg	largely
failed	fail	failed
,	,	,
Kantar	kantar	Kantar
said	said	said
.	.	.

The	the	The
survey	survey	survey
drew	drew	drew
a	a	a
link	link	link
between	between	between
depth	depth	depth
of	of	of
coverage	coverag	coverage
and	and	and
trust	trust	trust
levels	level	level
.	.	.

The	the	The
findings	find	finding
showed	show	showed
that	that	that
a	a	a
much	much	much
higher	higher	higher
proportion	proport	proportion
of	of	of
people	peopl	people
rated	rate	rated
magazines	magazin	magazine
,	,	,
TV	tv	TV
news	news	news
channels	channel	channel
,	,	,
radio	radio	radio
and	and	and
newspapers	newspap	newspaper
highly	high	highly
for	for	for
in	in	in
-depth	-depth	-depth
commentary	commentari	commentary
and	and	and
analysis	analysi	analysis
,	,	,
than	than	than
did	did	did
so	so	so
for	for	for
social	social	social
media	media	medium
news	news	news
.	.	.

News	news	News
audiences	audienc	audience
are	are	are
far	far	far
from	from	from
dumbing	dumb	dumbing
down	down	down
.	.	.

They	they	They
demand	demand	demand
serious	serious	serious
content	content	content
and	and	and
the	the	the
provision	provis	provision
of	of	of
this	this	this
type	type	type
of	of	of
content	content	content
will	will	will
help	help	help
deepen	deepen	deepen
the	the	the
nature	natur	nature
of	of	of
consumer	consum	consumer
relationships	relationship	relationship
with	with	with
news	news	news
organizations	organ	organization
offline	offlin	offline
and	and	and
online	onlin	online
,	,	,
the	the	the
survey	survey	survey
said	said	said
.	.	.

Kantar	kantar	Kantar
said	said	said
its	it	it
analysis	analysi	analysis
showed	show	showed
usage	usag	usage
of	of	of
the	the	the
expression	express	expression
fake	fake	fake
news	news	news
had	had	had
surged	surg	surged
in	in	in
mainstream	mainstream	mainstream
news	news	news
around	around	around
the	the	the
time	time	time
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
election	elect	election
in	in	in
November	novemb	November
2016	2016	2016
,	,	,
and	and	and
had	had	had
peaked	peak	peaked
on	on	on
Trump	trump	Trump
s	s	s
first	first	first
day	day	day
in	in	in
office	offic	office
in	in	in
January	januari	January
this	this	this
year	year	year
.	.	.

However	howev	However
,	,	,
there	there	there
was	was	wa
a	a	a
lack	lack	lack
of	of	of
consensus	consensus	consensus
and	and	and
clarity	clariti	clarity
on	on	on
the	the	the
definition	definit	definition
and	and	and
origin	origin	origin
of	of	of
fake	fake	fake
news	news	news
.	.	.

Asked	ask	Asked
what	what	what
that	that	that
expression	express	expression
meant	meant	meant
,	,	,
58	58	58
percent	percent	percent
of	of	of
respondents	respond	respondent
said	said	said
it	it	it
referred	refer	referred
to	to	to
stories	stori	story
deliberately	deliber	deliberately
fabricated	fabric	fabricated
by	by	by
a	a	a
mainstream	mainstream	mainstream
news	news	news
organization	organ	organization
.	.	.

Forty	forti	Forty
-two	-two	-two
percent	percent	percent
said	said	said
it	it	it
described	describ	described
stories	stori	story
put	put	put
out	out	out
by	by	by
someone	someon	someone
pretending	pretend	pretending
to	to	to
be	be	be
a	a	a
news	news	news
organization	organ	organization
.	.	.

Of	of	Of
the	the	the
four	four	four
countries	countri	country
surveyed	survey	surveyed
,	,	,
Brazil	brazil	Brazil
had	had	had
the	the	the
highest	highest	highest
proportion	proport	proportion
of	of	of
people	peopl	people
who	who	who
believed	believ	believed
fake	fake	fake
news	news	news
had	had	had
influenced	influenc	influenced
the	the	the
outcome	outcom	outcome
of	of	of
elections	elect	election
in	in	in
their	their	their
country	countri	country
,	,	,
at	at	at
69	69	69
percent	percent	percent
.	.	.

In	in	In
the	the	the
United	unit	United
States	state	States
,	,	,
the	the	the
figure	figur	figure
was	was	wa
47	47	47
percent	percent	percent
.	.	.

The	the	The
term	term	term
fake	fake	fake
news	news	news
has	has	ha
been	been	been
used	use	used
by	by	by
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
president	presid	president
so	so	so
frequently	frequent	frequently
that	that	that
it	it	it
comes	come	come
as	as	a
no	no	no
surprise	surpris	surprise
that	that	that
U	u	U
.	.	.
S	s	S
.	.	.
audiences	audienc	audience
are	are	are
more	more	more
aware	awar	aware
of	of	of
its	it	it
impact	impact	impact
,	,	,
the	the	the
survey	survey	survey
said	said	said
.	.	.

In	in	In
Brazil	brazil	Brazil
,	,	,
however	howev	however
,	,	,
although	although	although
a	a	a
national	nation	national
election	elect	election
has	has	ha
not	not	not
been	been	been
held	held	held
since	sinc	since
2014	2014	2014
,	,	,
a	a	a
series	seri	series
of	of	of
corruption	corrupt	corruption
scandals	scandal	scandal
have	have	have
likely	like	likely
raised	rais	raised
news	news	news
audience	audienc	audience
sensitivity	sensit	sensitivity
to	to	to
political	polit	political
news	news	news
.	.	.

