YANGON	yangon	YANGON
Reuters	reuter	Reuters
-	-	-
Myanmar	myanmar	Myanmar
warned	warn	warned
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
a	a	a
scolding	scold	scolding
delivered	deliv	delivered
by	by	by
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
could	could	could
seriously	serious	seriously
harm	harm	harm
its	it	it
talks	talk	talk
with	with	with
Bangladesh	bangladesh	Bangladesh
over	over	over
returning	return	returning
home	home	home
more	more	more
than	than	than
600	600	600
,	,	,
000	000	000
people	peopl	people
who	who	who
fled	fled	fled
to	to	to
escape	escap	escape
a	a	a
Myanmar	myanmar	Myanmar
military	militari	military
crackdown	crackdown	crackdown
.	.	.
In	in	In
a	a	a
statement	statement	statement
on	on	on
Monday	monday	Monday
,	,	,
the	the	the
Security	secur	Security
Council	council	Council
had	had	had
urged	urg	urged
Myanmar	myanmar	Myanmar
to	to	to
ensure	ensur	ensure
no	no	no
further	further	further
excessive	excess	excessive
use	use	use
of	of	of
military	militari	military
force	forc	force
and	and	and
expressed	express	expressed
grave	grave	grave
concern	concern	concern
over	over	over
reports	report	report
of	of	of
human	human	human
rights	right	right
violations	violat	violation
and	and	and
abuses	abus	abuse
in	in	in
Rakhine	rakhin	Rakhine
State	state	State
.	.	.
Responding	respond	Responding
,	,	,
Myanmar	myanmar	Myanmar
s	s	s
de	de	de
facto	facto	facto
leader	leader	leader
Aung	aung	Aung
Sang	sang	Sang
Suu	suu	Suu
Kyi	kyi	Kyi
,	,	,
whose	whose	whose
less	less	le
than	than	than
two	two	two
-year-old	-year-old	-year-old
civilian	civilian	civilian
administration	administr	administration
shares	share	share
power	power	power
with	with	with
the	the	the
military	militari	military
,	,	,
said	said	said
the	the	the
issues	issu	issue
facing	face	facing
Myanmar	myanmar	Myanmar
and	and	and
Bangladesh	bangladesh	Bangladesh
could	could	could
only	onli	only
be	be	be
resolved	resolv	resolved
bilaterally	bilater	bilaterally
,	,	,
a	a	a
point	point	point
she	she	she
says	say	say
was	was	wa
ignored	ignor	ignored
in	in	in
the	the	the
Security	secur	Security
Council	council	Council
statement	statement	statement
.	.	.
Furthermore	furthermor	Furthermore
,	,	,
the	the	the
Security	secur	Security
Council	council	Council
Presidential	presidenti	Presidential
Statement	statement	Statement
could	could	could
potentially	potenti	potentially
and	and	and
seriously	serious	seriously
harm	harm	harm
the	the	the
bilateral	bilater	bilateral
negotiations	negoti	negotiation
between	between	between
the	the	the
two	two	two
countries	countri	country
which	which	which
have	have	have
been	been	been
proceeding	proceed	proceeding
smoothly	smooth	smoothly
and	and	and
expeditiously	expediti	expeditiously
,	,	,
Suu	suu	Suu
Kyi	kyi	Kyi
s	s	s
office	offic	office
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
In	in	In
contrast	contrast	contrast
,	,	,
Bangladesh	bangladesh	Bangladesh
issued	issu	issued
a	a	a
statement	statement	statement
saying	say	saying
Foreign	foreign	Foreign
Minister	minist	Minister
Abul	abul	Abul
Hassan	hassan	Hassan
Mahmood	mahmood	Mahmood
Ali	ali	Ali
appreciated	appreci	appreciated
the	the	the
recent	recent	recent
statement	statement	statement
of	of	of
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
Security	secur	Security
Council	council	Council
during	dure	during
a	a	a
meeting	meet	meeting
with	with	with
a	a	a
new	new	new
resident	resid	resident
coordinator	coordin	coordinator
of	of	of
the	the	the
United	unit	United
Nations	nation	Nations
in	in	in
Bangladesh	bangladesh	Bangladesh
.	.	.
The	the	The
Myanmar	myanmar	Myanmar
statement	statement	statement
said	said	said
Ali	ali	Ali
had	had	had
been	been	been
invited	invit	invited
to	to	to
Myanmar	myanmar	Myanmar
on	on	on
Nov	nov	Nov
.	.	.
16	16	16
and	and	and
Nov	nov	Nov
.	.	.
17	17	17
,	,	,
but	but	but
Bangladeshi	bangladeshi	Bangladeshi
officials	offici	official
told	told	told
Reuters	reuter	Reuters
that	that	that
the	the	the
earliest	earliest	earliest
the	the	the
talks	talk	talk
were	were	were
likely	like	likely
to	to	to
take	take	take
place	place	place
was	was	wa
during	dure	during
the	the	the
minister	minist	minister
s	s	s
visit	visit	visit
for	for	for
a	a	a
regional	region	regional
meeting	meet	meeting
in	in	in
the	the	the
Myanmar	myanmar	Myanmar
capital	capit	capital
of	of	of
Naypyidaw	naypyidaw	Naypyidaw
on	on	on
Nov	nov	Nov
.	.	.
20	20	20
and	and	and
Nov	nov	Nov
.	.	.
21	21	21
.	.	.
The	the	The
two	two	two
sides	side	side
have	have	have
to	to	to
agree	agre	agree
a	a	a
process	process	process
for	for	for
repatriation	repatri	repatriation
of	of	of
Rohingya	rohingya	Rohingya
,	,	,
with	with	with
Bangladesh	bangladesh	Bangladesh
reluctant	reluct	reluctant
to	to	to
fall	fall	fall
back	back	back
on	on	on
the	the	the
drill	drill	drill
used	use	used
for	for	for
the	the	the
return	return	return
of	of	of
Rohingya	rohingya	Rohingya
refugees	refuge	refugee
to	to	to
Myanmar	myanmar	Myanmar
in	in	in
the	the	the
1990s	1990s	1990s
,	,	,
as	as	a
it	it	it
wants	want	want
a	a	a
more	more	more
lasting	last	lasting
solution	solut	solution
.	.	.
A	a	A
senior	senior	senior
Bangladesh	bangladesh	Bangladesh
foreign	foreign	foreign
ministry	ministri	ministry
official	offici	official
said	said	said
the	the	the
United	unit	United
Nations	nation	Nations
should	should	should
be	be	be
involved	involv	involved
in	in	in
the	the	the
process	process	process
this	this	this
time	time	time
.	.	.
For	for	For
years	year	year
,	,	,
we	we	we
tried	tri	tried
to	to	to
resolve	resolv	resolve
this	this	this
issue	issu	issue
bilaterally	bilater	bilaterally
with	with	with
Myanmar	myanmar	Myanmar
,	,	,
but	but	but
it	it	it
was	was	wa
in	in	in
vain	vain	vain
,	,	,
the	the	the
official	offici	official
told	told	told
Reuters	reuter	Reuters
.	.	.
This	this	This
problem	problem	problem
is	is	is
not	not	not
going	go	going
to	to	to
be	be	be
resolved	resolv	resolved
anytime	anytim	anytime
soon	soon	soon
.	.	.
The	the	The
UN	un	UN
s	s	s
involvement	involv	involvement
in	in	in
the	the	the
process	process	process
is	is	is
a	a	a
must	must	must
.	.	.
A	a	A
sour	sour	sour
note	note	note
was	was	wa
struck	struck	struck
over	over	over
the	the	the
talks	talk	talk
last	last	last
week	week	week
,	,	,
as	as	a
Bangladesh	bangladesh	Bangladesh
officials	offici	official
voiced	voic	voiced
outrage	outrag	outrage
over	over	over
Suu	suu	Suu
Kyi	kyi	Kyi
s	s	s
spokesman	spokesman	spokesman
casting	cast	casting
suspicion	suspicion	suspicion
that	that	that
Bangladesh	bangladesh	Bangladesh
might	might	might
drag	drag	drag
its	it	it
feet	feet	foot
over	over	over
the	the	the
repatriation	repatri	repatriation
process	process	process
in	in	in
order	order	order
to	to	to
first	first	first
secure	secur	secure
hundreds	hundr	hundred
of	of	of
millions	million	million
of	of	of
dollars	dollar	dollar
in	in	in
international	intern	international
aid	aid	aid
money	money	money
.	.	.
Speaking	speak	Speaking
at	at	at
a	a	a
conference	confer	conference
for	for	for
Commonwealth	commonwealth	Commonwealth
countries	countri	country
parliamentarians	parliamentarian	parliamentarian
in	in	in
Dhaka	dhaka	Dhaka
on	on	on
Sunday	sunday	Sunday
,	,	,
Bangladesh	bangladesh	Bangladesh
Prime	prime	Prime
Minister	minist	Minister
Sheikh	sheikh	Sheikh
Hasina	hasina	Hasina
called	call	called
for	for	for
more	more	more
international	intern	international
pressure	pressur	pressure
on	on	on
Myanmar	myanmar	Myanmar
.	.	.
I	i	I
would	would	would
request	request	request
all	all	all
of	of	of
you	you	you
to	to	to
discuss	discuss	discus
Rohingya	rohingya	Rohingya
issue	issu	issue
with	with	with
utmost	utmost	utmost
priority	prioriti	priority
and	and	and
exert	exert	exert
pressure	pressur	pressure
on	on	on
the	the	the
Myanmar	myanmar	Myanmar
government	govern	government
to	to	to
stop	stop	stop
the	the	the
persecution	persecut	persecution
of	of	of
its	it	it
citizens	citizen	citizen
and	and	and
take	take	take
them	them	them
back	back	back
at	at	at
the	the	the
earliest	earliest	earliest
,	,	,
she	she	she
said	said	said
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Secretary	secretari	Secretary
of	of	of
State	state	State
Rex	rex	Rex
Tillerson	tillerson	Tillerson
is	is	is
due	due	due
to	to	to
visit	visit	visit
Myanmar	myanmar	Myanmar
on	on	on
Nov	nov	Nov
.	.	.
15	15	15
,	,	,
with	with	with
moves	move	move
afoot	afoot	afoot
in	in	in
Washington	washington	Washington
to	to	to
table	tabl	table
a	a	a
bill	bill	bill
calling	call	calling
for	for	for
sanctions	sanction	sanction
on	on	on
Myanmar	myanmar	Myanmar
that	that	that
specifically	specif	specifically
target	target	target
the	the	the
military	militari	military
and	and	and
related	relat	related
business	busi	business
interests	interest	interest
.	.	.
In	in	In
a	a	a
nod	nod	nod
to	to	to
China	china	China
,	,	,
the	the	the
Myanmar	myanmar	Myanmar
statement	statement	statement
said	said	said
it	it	it
appreciated	appreci	appreciated
the	the	the
stand	stand	stand
taken	taken	taken
by	by	by
some	some	some
members	member	member
of	of	of
the	the	the
Security	secur	Security
Council	council	Council
who	who	who
upheld	upheld	upheld
the	the	the
principle	principl	principle
of	of	of
non	non	non
-interference	-interfer	-interference
in	in	in
the	the	the
internal	intern	internal
affairs	affair	affair
of	of	of
sovereign	sovereign	sovereign
countries	countri	country
.	.	.
To	to	To
appease	appeas	appease
council	council	council
veto	veto	veto
powers	power	power
Russia	russia	Russia
and	and	and
China	china	China
,	,	,
Britain	britain	Britain
and	and	and
France	franc	France
dropped	drop	dropped
a	a	a
push	push	push
for	for	for
the	the	the
Security	secur	Security
Council	council	Council
to	to	to
adopt	adopt	adopt
a	a	a
resolution	resolut	resolution
on	on	on
the	the	the
situation	situat	situation
and	and	and
the	the	the
15	15	15
-member	-member	-member
body	bodi	body
instead	instead	instead
unanimously	unanim	unanimously
agreed	agre	agreed
on	on	on
a	a	a
formal	formal	formal
statement	statement	statement
.	.	.
The	the	The
United	unit	United
Nations	nation	Nations
has	has	ha
denounced	denounc	denounced
the	the	the
violence	violenc	violence
during	dure	during
the	the	the
past	past	past
10	10	10
weeks	week	week
as	as	a
a	a	a
classic	classic	classic
example	exampl	example
of	of	of
ethnic	ethnic	ethnic
cleansing	cleans	cleansing
to	to	to
drive	drive	drive
the	the	the
Rohingya	rohingya	Rohingya
Muslims	muslim	Muslims
out	out	out
of	of	of
Buddhist	buddhist	Buddhist
majority	major	majority
Myanmar	myanmar	Myanmar
.	.	.
Rejecting	reject	Rejecting
that	that	that
accusation	accus	accusation
,	,	,
the	the	the
military	militari	military
says	say	say
its	it	it
counter	counter	counter
-insurgency	-insurg	-insurgency
clearance	clearanc	clearance
operation	oper	operation
was	was	wa
provoked	provok	provoked
by	by	by
Rohingya	rohingya	Rohingya
militants	milit	militant
synchronized	synchron	synchronized
attacks	attack	attack
on	on	on
30	30	30
security	secur	security
posts	post	post
in	in	in
the	the	the
northern	northern	northern
part	part	part
of	of	of
Rakhine	rakhin	Rakhine
State	state	State
on	on	on
Aug	aug	Aug
.	.	.
25	25	25
.	.	.
Rohingya	rohingya	Rohingya
refugees	refuge	refugee
say	say	say
the	the	the
military	militari	military
torched	torch	torched
their	their	their
villages	villag	village
,	,	,
but	but	but
the	the	the
military	militari	military
say	say	say
the	the	the
arsonists	arsonist	arsonist
were	were	were
Rohingya	rohingya	Rohingya
militants	milit	militant
.	.	.
The	the	The
refugees	refuge	refugee
have	have	have
given	given	given
harrowing	harrow	harrowing
accounts	account	account
of	of	of
rape	rape	rape
and	and	and
murder	murder	murder
.	.	.
Myanmar	myanmar	Myanmar
says	say	say
those	those	those
accusations	accus	accusation
will	will	will
have	have	have
to	to	to
be	be	be
investigated	investig	investigated
.	.	.
Meantime	meantim	Meantime
,	,	,
the	the	the
exodus	exodus	exodus
from	from	from
Rakhine	rakhin	Rakhine
continues	continu	continues
.	.	.
Several	sever	Several
thousand	thousand	thousand
Rohingya	rohingya	Rohingya
reached	reach	reached
Bangladesh	bangladesh	Bangladesh
last	last	last
week	week	week
,	,	,
many	mani	many
wading	wade	wading
through	through	through
shallows	shallow	shallow
on	on	on
the	the	the
Naf	naf	Naf
river	river	river
on	on	on
the	the	the
boundary	boundari	boundary
between	between	between
the	the	the
two	two	two
countries	countri	country
,	,	,
and	and	and
some	some	some
making	make	making
a	a	a
short	short	short
,	,	,
but	but	but
perilous	peril	perilous
sea	sea	sea
crossing	cross	crossing
in	in	in
small	small	small
boats	boat	boat
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
52	52	52
Rohingya	rohingya	Rohingya
came	came	came
ashore	ashor	ashore
in	in	in
Bangladesh	bangladesh	Bangladesh
on	on	on
a	a	a
raft	raft	raft
lashed	lash	lashed
together	togeth	together
from	from	from
bamboo	bamboo	bamboo
and	and	and
plastic	plastic	plastic
jerrycans	jerrycan	jerrycans
,	,	,
having	have	having
been	been	been
unable	unabl	unable
to	to	to
find	find	find
a	a	a
boat	boat	boat
to	to	to
take	take	take
them	them	them
,	,	,
Shariful	shari	Shariful
Islam	islam	Islam
,	,	,
a	a	a
Bangladesh	bangladesh	Bangladesh
border	border	border
guard	guard	guard
official	offici	official
,	,	,
told	told	told
Reuters	reuter	Reuters
.	.	.
On	on	On
Tuesday	tuesday	Tuesday
,	,	,
border	border	border
guards	guard	guard
told	told	told
Reuters	reuter	Reuters
of	of	of
at	at	at
least	least	least
two	two	two
other	other	other
boats	boat	boat
with	with	with
68	68	68
Rohingya	rohingya	Rohingya
reaching	reach	reaching
Cox	cox	Cox
s	s	s
Bazar	bazar	Bazar
,	,	,
where	where	where
they	they	they
would	would	would
join	join	join
the	the	the
multitude	multitud	multitude
sheltering	shelter	sheltering
in	in	in
refugee	refuge	refugee
camps	camp	camp
.	.	.
Suu	suu	Suu
Kyi	kyi	Kyi
,	,	,
a	a	a
Nobel	nobel	Nobel
Peace	peac	Peace
Prize	prize	Prize
winner	winner	winner
