Reuters	reuter	Reuters
-	-	-
Republican	republican	Republican
Donald	donald	Donald
Trump	trump	Trump
may	may	may
have	have	have
gotten	gotten	gotten
it	it	it
wrong	wrong	wrong
when	when	when
he	he	he
said	said	said
the	the	the
moderator	moder	moderator
of	of	of
the	the	the
first	first	first
U	u	U
.	.	.
S	s	S
.	.	.
presidential	presidenti	presidential
debate	debat	debate
next	next	next
week	week	week
between	between	between
him	him	him
and	and	and
his	his	his
Democratic	democrat	Democratic
rival	rival	rival
,	,	,
Hillary	hillari	Hillary
Clinton	clinton	Clinton
,	,	,
is	is	is
a	a	a
Democrat	democrat	Democrat
.	.	.
NBC	nbc	NBC
s	s	s
Lester	lester	Lester
Holt	holt	Holt
,	,	,
who	who	who
will	will	will
moderate	moder	moderate
the	the	the
debate	debat	debate
on	on	on
Monday	monday	Monday
,	,	,
is	is	is
registered	regist	registered
as	as	a
a	a	a
Republican	republican	Republican
,	,	,
according	accord	according
to	to	to
voter	voter	voter
information	inform	information
on	on	on
the	the	the
New	new	New
York	york	York
State	state	State
Board	board	Board
of	of	of
Elections	elect	Elections
website	websit	website
.	.	.
NBC	nbc	NBC
did	did	did
not	not	not
respond	respond	respond
to	to	to
requests	request	request
for	for	for
comment	comment	comment
on	on	on
Tuesday	tuesday	Tuesday
about	about	about
Holt	holt	Holt
s	s	s
party	parti	party
affiliation	affili	affiliation
.	.	.
Trump	trump	Trump
has	has	ha
said	said	said
repeatedly	repeat	repeatedly
the	the	the
presidential	presidenti	presidential
debates	debat	debate
will	will	will
be	be	be
stacked	stack	stacked
against	against	against
him	him	him
.	.	.
He	he	He
said	said	said
on	on	on
Fox	fox	Fox
News	news	News
on	on	on
Monday	monday	Monday
that	that	that
Holt	holt	Holt
was	was	wa
a	a	a
professional	profession	professional
but	but	but
that	that	that
he	he	he
was	was	wa
a	a	a
Democrat	democrat	Democrat
,	,	,
adding	ad	adding
that	that	that
the	the	the
NBC	nbc	NBC
News	news	News
anchor	anchor	anchor
may	may	may
be	be	be
under	under	under
pressure	pressur	pressure
after	after	after
critics	critic	critic
accused	accus	accused
fellow	fellow	fellow
NBC	nbc	NBC
journalist	journalist	journalist
Matt	matt	Matt
Lauer	lauer	Lauer
of	of	of
giving	give	giving
Clinton	clinton	Clinton
tougher	tougher	tougher
treatment	treatment	treatment
than	than	than
Trump	trump	Trump
during	dure	during
a	a	a
recent	recent	recent
forum	forum	forum
on	on	on
defense	defens	defense
issues	issu	issue
.	.	.
Look	look	Look
,	,	,
it	it	it
s	s	s
a	a	a
phony	phoni	phony
system	system	system
.	.	.
Lester	lester	Lester
is	is	is
a	a	a
Democrat	democrat	Democrat
.	.	.
I	i	I
mean	mean	mean
,	,	,
they	they	they
are	are	are
all	all	all
Democrats	democrat	Democrats
.	.	.
OK	ok	OK
?	?	?
It	it	It
s	s	s
a	a	a
very	veri	very
unfair	unfair	unfair
system	system	system
,	,	,
Trump	trump	Trump
said	said	said
on	on	on
the	the	the
show	show	show
.	.	.
Bill	bill	Bill
O	o	O
Reilly	reilli	Reilly
,	,	,
the	the	the
Fox	fox	Fox
News	news	News
host	host	host
conducting	conduct	conducting
the	the	the
interview	interview	interview
,	,	,
said	said	said
two	two	two
other	other	other
debate	debat	debate
moderators	moder	moderator
,	,	,
ABC	abc	ABC
s	s	s
Martha	martha	Martha
Raddatz	raddatz	Raddatz
and	and	and
CNN	cnn	CNN
s	s	s
Anderson	anderson	Anderson
Cooper	cooper	Cooper
,	,	,
were	were	were
also	also	also
Democrats	democrat	Democrats
.	.	.
Cooper	cooper	Cooper
is	is	is
registered	regist	registered
in	in	in
New	new	New
York	york	York
with	with	with
no	no	no
party	parti	party
affiliation	affili	affiliation
,	,	,
according	accord	according
to	to	to
the	the	the
state	state	state
elections	elect	election
site	site	site
,	,	,
which	which	which
CNN	cnn	CNN
confirmed	confirm	confirmed
.	.	.
ABC	abc	ABC
did	did	did
not	not	not
respond	respond	respond
to	to	to
a	a	a
request	request	request
for	for	for
comment	comment	comment
about	about	about
Raddatz	raddatz	Raddatz
s	s	s
registration	registr	registration
.	.	.
The	the	The
fourth	fourth	fourth
presidential	presidenti	presidential
debate	debat	debate
moderator	moder	moderator
,	,	,
Chris	chris	Chris
Wallace	wallac	Wallace
of	of	of
Fox	fox	Fox
News	news	News
,	,	,
is	is	is
a	a	a
registered	regist	registered
Democrat	democrat	Democrat
in	in	in
Washington	washington	Washington
,	,	,
D	d	D
.	.	.
C	c	C
.	.	.
,	,	,
according	accord	according
to	to	to
the	the	the
District	district	District
s	s	s
elections	elect	election
website	websit	website
.	.	.
Wallace	wallac	Wallace
has	has	ha
said	said	said
in	in	in
interviews	interview	interview
that	that	that
he	he	he
registered	regist	registered
with	with	with
the	the	the
party	parti	party
so	so	so
he	he	he
could	could	could
vote	vote	vote
in	in	in
primaries	primari	primary
in	in	in
the	the	the
heavily	heavili	heavily
Democratic	democrat	Democratic
District	district	District
of	of	of
Columbia	columbia	Columbia
.	.	.
