DETROIT	detroit	DETROIT
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
Republican	republican	Republican
presidential	presidenti	presidential
front	front	front
-runner	-runner	-runner
Donald	donald	Donald
Trump	trump	Trump
said	said	said
the	the	the
move	move	move
by	by	by
Ford	ford	Ford
Motor	motor	Motor
Co	co	Co
F	f	F
.	.	.
N	n	N
to	to	to
build	build	build
a	a	a
manufacturing	manufactur	manufacturing
plant	plant	plant
in	in	in
Mexico	mexico	Mexico
is	is	is
an	an	an
absolute	absolut	absolute
disgrace	disgrac	disgrace
and	and	and
shows	show	show
the	the	the
need	need	need
to	to	to
renegotiate	renegoti	renegotiate
the	the	the
North	north	North
American	american	American
Free	free	Free
Trade	trade	Trade
Agreement	agreement	Agreement
NAFTA	nafta	NAFTA
.	.	.
Earlier	earlier	Earlier
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
Ford	ford	Ford
confirmed	confirm	confirmed
plans	plan	plan
to	to	to
build	build	build
a	a	a
plant	plant	plant
in	in	in
San	san	San
Luis	lui	Luis
Potosi	potosi	Potosi
and	and	and
an	an	an
investment	invest	investment
of	of	of
1	1	1
.	.	.
6	6	6
billion	billion	billion
.	.	.
This	this	This
transaction	transact	transaction
is	is	is
an	an	an
absolute	absolut	absolute
disgrace	disgrac	disgrace
,	,	,
said	said	said
Trump	trump	Trump
s	s	s
statement	statement	statement
,	,	,
sent	sent	sent
to	to	to
Reuters	reuter	Reuters
by	by	by
email	email	email
.	.	.
Our	our	Our
dishonest	dishonest	dishonest
politicians	politician	politician
and	and	and
the	the	the
special	special	special
interests	interest	interest
that	that	that
control	control	control
them	them	them
are	are	are
laughing	laugh	laughing
in	in	in
the	the	the
face	face	face
of	of	of
all	all	all
American	american	American
citizens	citizen	citizen
.	.	.
Trump	trump	Trump
said	said	said
deals	deal	deal
like	like	like
the	the	the
one	one	one
Michigan	michigan	Michigan
-based	-base	-based
Ford	ford	Ford
made	made	made
to	to	to
build	build	build
a	a	a
plant	plant	plant
in	in	in
Mexico	mexico	Mexico
will	will	will
continue	continu	continue
until	until	until
we	we	we
can	can	can
renegotiate	renegoti	renegotiate
NAFTA	nafta	NAFTA
to	to	to
create	creat	create
a	a	a
fair	fair	fair
deal	deal	deal
for	for	for
American	american	American
workers	worker	worker
.	.	.
Ford	ford	Ford
did	did	did
not	not	not
have	have	have
an	an	an
immediate	immedi	immediate
comment	comment	comment
on	on	on
Trump	trump	Trump
s	s	s
statement	statement	statement
,	,	,
but	but	but
two	two	two
weeks	week	week
ago	ago	ago
its	it	it
chief	chief	chief
executive	execut	executive
,	,	,
Mark	mark	Mark
Fields	field	Fields
,	,	,
said	said	said
Ford	ford	Ford
would	would	would
not	not	not
back	back	back
away	away	away
from	from	from
foreign	foreign	foreign
investments	invest	investment
if	if	if
they	they	they
made	made	made
sense	sens	sense
.	.	.
We	we	We
are	are	are
a	a	a
global	global	global
,	,	,
multinational	multin	multinational
company	compani	company
and	and	and
we	we	we
will	will	will
invest	invest	invest
to	to	to
keep	keep	keep
us	us	u
competitive	competit	competitive
and	and	and
we	we	we
will	will	will
do	do	do
what	what	what
makes	make	make
sense	sens	sense
for	for	for
the	the	the
business	busi	business
,	,	,
Fields	field	Fields
said	said	said
.	.	.
Ford	ford	Ford
currently	current	currently
has	has	ha
more	more	more
workers	worker	worker
and	and	and
makes	make	make
more	more	more
vehicles	vehicl	vehicle
at	at	at
its	it	it
U	u	U
.	.	.
S	s	S
.	.	.
plants	plant	plant
than	than	than
do	do	do
Detroit	detroit	Detroit
rivals	rival	rival
General	general	General
Motors	motor	Motors
Co	co	Co
GM	gm	GM
.	.	.
N	n	N
or	or	or
Fiat	fiat	Fiat
Chrysler	chrysler	Chrysler
Automobiles	automobil	Automobiles
FCAU	fcau	FCAU
.	.	.
N	n	N
FCHA	fcha	FCHA
.	.	.
MI	mi	MI
,	,	,
and	and	and
has	has	ha
fewer	fewer	fewer
workers	worker	worker
and	and	and
makes	make	make
fewer	fewer	fewer
vehicles	vehicl	vehicle
in	in	in
Mexico	mexico	Mexico
than	than	than
the	the	the
other	other	other
automakers	automak	automaker
.	.	.
GM	gm	GM
has	has	ha
about	about	about
12	12	12
,	,	,
000	000	000
hourly	hour	hourly
paid	paid	paid
workers	worker	worker
in	in	in
Mexico	mexico	Mexico
,	,	,
while	while	while
FCA	fca	FCA
has	has	ha
9	9	9
,	,	,
547	547	547
and	and	and
Ford	ford	Ford
has	has	ha
6	6	6
,	,	,
191	191	191
,	,	,
the	the	the
companies	compani	company
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
In	in	In
the	the	the
United	unit	United
States	state	States
,	,	,
Ford	ford	Ford
has	has	ha
55	55	55
,	,	,
300	300	300
hourly	hour	hourly
paid	paid	paid
plant	plant	plant
workers	worker	worker
,	,	,
GM	gm	GM
has	has	ha
54	54	54
,	,	,
000	000	000
and	and	and
FCA	fca	FCA
has	has	ha
36	36	36
,	,	,
600	600	600
,	,	,
the	the	the
companies	compani	company
said	said	said
.	.	.
In	in	In
2015	2015	2015
,	,	,
80	80	80
percent	percent	percent
of	of	of
Ford	ford	Ford
s	s	s
North	north	North
American	american	American
production	product	production
came	came	came
from	from	from
its	it	it
U	u	U
.	.	.
S	s	S
.	.	.
plants	plant	plant
while	while	while
63	63	63
percent	percent	percent
of	of	of
GM	gm	GM
s	s	s
North	north	North
American	american	American
production	product	production
came	came	came
from	from	from
its	it	it
U	u	U
.	.	.
S	s	S
.	.	.
plants	plant	plant
and	and	and
for	for	for
FCA	fca	FCA
64	64	64
percent	percent	percent
of	of	of
its	it	it
North	north	North
American	american	American
production	product	production
came	came	came
from	from	from
its	it	it
U	u	U
.	.	.
S	s	S
.	.	.
plants	plant	plant
.	.	.
