KABUL	kabul	KABUL
Reuters	reuter	Reuters
-	-	-
Spreading	spread	Spreading
violence	violenc	violence
in	in	in
Afghanistan	afghanistan	Afghanistan
is	is	is
forcing	forc	forcing
many	mani	many
schools	school	school
to	to	to
close	close	close
,	,	,
undermining	undermin	undermining
fragile	fragil	fragile
gains	gain	gain
in	in	in
education	educ	education
for	for	for
young	young	young
girls	girl	girl
in	in	in
a	a	a
war	war	war
-ravaged	-ravag	-ravaged
country	countri	country
where	where	where
millions	million	million
of	of	of
girls	girl	girl
have	have	have
never	never	never
been	been	been
to	to	to
school	school	school
,	,	,
said	said	said
a	a	a
Human	human	Human
Rights	right	Rights
Watch	watch	Watch
report	report	report
released	releas	released
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
After	after	After
more	more	more
than	than	than
a	a	a
decade	decad	decade
and	and	and
a	a	a
half	half	half
of	of	of
international	intern	international
intervention	intervent	intervention
in	in	in
Afghanistan	afghanistan	Afghanistan
,	,	,
corruption	corrupt	corruption
,	,	,
insecurity	insecur	insecurity
,	,	,
waste	wast	waste
,	,	,
and	and	and
other	other	other
problems	problem	problem
mean	mean	mean
around	around	around
two	two	two
-thirds	-third	-thirds
of	of	of
Afghan	afghan	Afghan
girls	girl	girl
still	still	still
do	do	do
not	not	not
go	go	go
to	to	to
school	school	school
,	,	,
the	the	the
rights	right	right
group	group	group
said	said	said
.	.	.
Despite	despit	Despite
the	the	the
challenges	challeng	challenge
,	,	,
millions	million	million
of	of	of
children	children	child
have	have	have
received	receiv	received
education	educ	education
,	,	,
but	but	but
those	those	those
gains	gain	gain
are	are	are
now	now	now
threatened	threaten	threatened
by	by	by
spreading	spread	spreading
violence	violenc	violence
and	and	and
declining	declin	declining
international	intern	international
funding	fund	funding
,	,	,
the	the	the
report	report	report
found	found	found
.	.	.
As	as	As
security	secur	security
in	in	in
the	the	the
country	countri	country
has	has	ha
worsened	worsen	worsened
,	,	,
the	the	the
progress	progress	progress
made	made	made
toward	toward	toward
the	the	the
goal	goal	goal
of	of	of
getting	get	getting
all	all	all
girls	girl	girl
into	into	into
school	school	school
may	may	may
be	be	be
heading	head	heading
in	in	in
reverse	revers	reverse
a	a	a
decline	declin	decline
in	in	in
girls	girl	girl
education	educ	education
in	in	in
Afghanistan	afghanistan	Afghanistan
,	,	,
the	the	the
authors	author	author
wrote	wrote	wrote
.	.	.
In	in	In
the	the	the
most	most	most
insecure	insecur	insecure
areas	area	area
of	of	of
the	the	the
country	countri	country
,	,	,
schools	school	school
are	are	are
closing	close	closing
at	at	at
an	an	an
alarming	alarm	alarming
rate	rate	rate
due	due	due
to	to	to
insecurity	insecur	insecurity
.	.	.
While	while	While
the	the	the
war	war	war
has	has	ha
affected	affect	affected
schools	school	school
since	sinc	since
at	at	at
least	least	least
2005	2005	2005
,	,	,
as	as	a
the	the	the
fighting	fight	fighting
has	has	ha
escalated	escal	escalated
and	and	and
spread	spread	spread
to	to	to
previously	previous	previously
secure	secur	secure
areas	area	area
,	,	,
more	more	more
schools	school	school
have	have	have
closed	close	closed
.	.	.
In	in	In
Kandahar	kandahar	Kandahar
,	,	,
for	for	for
example	exampl	example
,	,	,
at	at	at
least	least	least
130	130	130
of	of	of
435	435	435
schools	school	school
were	were	were
closed	close	closed
over	over	over
the	the	the
summer	summer	summer
,	,	,
a	a	a
local	local	local
government	govern	government
official	offici	official
told	told	told
HRW	hrw	HRW
.	.	.
Threats	threat	Threats
from	from	from
Islamic	islam	Islamic
State	state	State
militants	milit	militant
forced	forc	forced
the	the	the
closure	closur	closure
of	of	of
at	at	at
least	least	least
61	61	61
schools	school	school
in	in	in
the	the	the
northern	northern	northern
province	provinc	province
of	of	of
Jawzjan	jawzjan	Jawzjan
,	,	,
education	educ	education
ministry	ministri	ministry
spokesman	spokesman	spokesman
Kabir	kabir	Kabir
Haqmal	haqmal	Haqmal
told	told	told
Reuters	reuter	Reuters
.	.	.
He	he	He
said	said	said
he	he	he
could	could	could
not	not	not
yet	yet	yet
comment	comment	comment
on	on	on
the	the	the
report	report	report
s	s	s
findings	find	finding
,	,	,
but	but	but
acknowledged	acknowledg	acknowledged
that	that	that
Security	secur	Security
has	has	ha
a	a	a
great	great	great
impact	impact	impact
on	on	on
education	educ	education
,	,	,
and	and	and
when	when	when
there	there	there
are	are	are
challenges	challeng	challenge
,	,	,
fewer	fewer	fewer
girls	girl	girl
attend	attend	attend
.	.	.
Access	access	Access
to	to	to
education	educ	education
can	can	can
be	be	be
undermined	undermin	undermined
by	by	by
factors	factor	factor
ranging	rang	ranging
from	from	from
limited	limit	limited
numbers	number	number
of	of	of
qualified	qualifi	qualified
teachers	teacher	teacher
and	and	and
community	communiti	community
opposition	opposit	opposition
to	to	to
a	a	a
lack	lack	lack
of	of	of
sanitary	sanitari	sanitary
facilities	facil	facility
.	.	.
One	one	One
of	of	of
the	the	the
more	more	more
successful	success	successful
education	educ	education
programs	program	program
is	is	is
also	also	also
one	one	one
of	of	of
the	the	the
most	most	most
threatened	threaten	threatened
by	by	by
a	a	a
drop	drop	drop
in	in	in
international	intern	international
funds	fund	fund
,	,	,
the	the	the
HRW	hrw	HRW
report	report	report
found	found	found
.	.	.
So	so	So
-called	-call	-called
community	communiti	community
-based	-base	-based
education	educ	education
CBE	cbe	CBE
programs	program	program
have	have	have
helped	help	helped
expand	expand	expand
access	access	access
to	to	to
schools	school	school
in	in	in
many	mani	many
areas	area	area
,	,	,
the	the	the
researchers	research	researcher
said	said	said
.	.	.
But	but	But
such	such	such
programs	program	program
were	were	were
only	onli	only
a	a	a
temporary	temporari	temporary
solution	solut	solution
,	,	,
as	as	a
they	they	they
were	were	were
all	all	all
run	run	run
by	by	by
non	non	non
-profit	-profit	-profit
groups	group	group
out	out	out
a	a	a
shrinking	shrink	shrinking
pool	pool	pool
of	of	of
international	intern	international
donations	donat	donation
,	,	,
they	they	they
said	said	said
.	.	.
The	the	The
absence	absenc	absence
of	of	of
long	long	long
-term	-term	-term
strategic	strateg	strategic
thinking	think	thinking
by	by	by
government	govern	government
and	and	and
donors	donor	donor
exposes	expos	expose
CBE	cbe	CBE
programs	program	program
,	,	,
and	and	and
students	student	student
,	,	,
to	to	to
unpredictable	unpredict	unpredictable
closures	closur	closure
,	,	,
they	they	they
added	ad	added
.	.	.
International	intern	International
aid	aid	aid
has	has	ha
been	been	been
essential	essenti	essential
to	to	to
the	the	the
progress	progress	progress
in	in	in
expanding	expand	expanding
access	access	access
to	to	to
education	educ	education
since	sinc	since
2001	2001	2001
,	,	,
they	they	they
concluded	conclud	concluded
,	,	,
but	but	but
ranked	rank	ranked
bureaucratic	bureaucrat	bureaucratic
hurdles	hurdl	hurdle
,	,	,
corruption	corrupt	corruption
,	,	,
and	and	and
insecurity	insecur	insecurity
among	among	among
the	the	the
reasons	reason	reason
why	whi	why
the	the	the
government	govern	government
often	often	often
left	left	left
the	the	the
funds	fund	fund
unspent	unspent	unspent
.	.	.
