KUALA	kuala	KUALA
LUMPUR	lumpur	LUMPUR
Reuters	reuter	Reuters
-	-	-
Dissent	dissent	Dissent
surfaced	surfac	surfaced
again	again	again
in	in	in
the	the	the
Association	associ	Association
of	of	of
Southeast	southeast	Southeast
Asian	asian	Asian
Nations	nation	Nations
ASEAN	asean	ASEAN
after	after	after
Malaysia	malaysia	Malaysia
disavowed	disavow	disavowed
a	a	a
statement	statement	statement
issued	issu	issued
by	by	by
the	the	the
bloc	bloc	bloc
s	s	s
chairman	chairman	chairman
,	,	,
the	the	the
Philippines	philippin	Philippines
,	,	,
as	as	a
misrepresenting	misrepres	misrepresenting
the	the	the
reality	realiti	reality
of	of	of
an	an	an
exodus	exodus	exodus
of	of	of
430	430	430
,	,	,
000	000	000
ethnic	ethnic	ethnic
Rohingya	rohingya	Rohingya
from	from	from
Myanmar	myanmar	Myanmar
.	.	.

The	the	The
grouping	group	grouping
of	of	of
10	10	10
nations	nation	nation
in	in	in
one	one	one
of	of	of
the	the	the
world	world	world
s	s	s
fastest	fastest	fastest
growing	grow	growing
regions	region	region
has	has	ha
long	long	long
struggled	struggl	struggled
to	to	to
reconcile	reconcil	reconcile
conflicting	conflict	conflicting
interests	interest	interest
in	in	in
tackling	tackl	tackling
issues	issu	issue
such	such	such
as	as	a
China	china	China
s	s	s
claims	claim	claim
over	over	over
the	the	the
South	south	South
China	china	China
Sea	sea	Sea
and	and	and
the	the	the
crisis	crisi	crisis
facing	face	facing
the	the	the
Muslim	muslim	Muslim
Rohingya	rohingya	Rohingya
.	.	.

The	the	The
Philippines	philippin	Philippines
,	,	,
as	as	a
chair	chair	chair
,	,	,
tolerates	toler	tolerates
the	the	the
public	public	public
manifestation	manifest	manifestation
of	of	of
dissenting	dissent	dissenting
voices	voic	voice
,	,	,
the	the	the
Philippine	philippin	Philippine
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
in	in	in
a	a	a
statement	statement	statement
on	on	on
Monday	monday	Monday
.	.	.

The	the	The
move	move	move
showed	show	showed
a	a	a
new	new	new
level	level	level
of	of	of
maturity	matur	maturity
in	in	in
pushing	push	pushing
ASEAN	asean	ASEAN
s	s	s
principle	principl	principle
of	of	of
consensus	consensus	consensus
when	when	when
dealing	deal	dealing
with	with	with
issues	issu	issue
affecting	affect	affecting
national	nation	national
interests	interest	interest
,	,	,
it	it	it
added	ad	added
.	.	.

Malaysia	malaysia	Malaysia
had	had	had
made	made	made
its	it	it
position	posit	position
clear	clear	clear
in	in	in
several	sever	several
ASEAN	asean	ASEAN
meetings	meet	meeting
in	in	in
New	new	New
York	york	York
,	,	,
the	the	the
ministry	ministri	ministry
said	said	said
,	,	,
adding	ad	adding
that	that	that
it	it	it
had	had	had
to	to	to
also	also	also
take	take	take
into	into	into
account	account	account
the	the	the
views	view	view
of	of	of
other	other	other
members	member	member
,	,	,
however	howev	however
.	.	.

On	on	On
Sunday	sunday	Sunday
,	,	,
Malaysia	malaysia	Malaysia
disassociated	disassoci	disassociated
itself	itself	itself
from	from	from
the	the	the
ASEAN	asean	ASEAN
chairman	chairman	chairman
s	s	s
statement	statement	statement
on	on	on
the	the	the
grounds	ground	ground
that	that	that
it	it	it
misrepresented	misrepres	misrepresented
the	the	the
reality	realiti	reality
of	of	of
the	the	the
situation	situat	situation
and	and	and
did	did	did
not	not	not
identify	identifi	identify
the	the	the
Rohingya	rohingya	Rohingya
as	as	a
one	one	one
of	of	of
the	the	the
affected	affect	affected
communities	communiti	community
.	.	.

Myanmar	myanmar	Myanmar
objects	object	object
to	to	to
the	the	the
term	term	term
Rohingya	rohingya	Rohingya
,	,	,
saying	say	saying
the	the	the
Muslims	muslim	Muslims
of	of	of
its	it	it
western	western	western
state	state	state
of	of	of
Rakhine	rakhin	Rakhine
state	state	state
are	are	are
not	not	not
a	a	a
distinct	distinct	distinct
ethnic	ethnic	ethnic
group	group	group
,	,	,
but	but	but
illegal	illeg	illegal
immigrants	immigr	immigrant
from	from	from
Bangladesh	bangladesh	Bangladesh
.	.	.

Senior	senior	Senior
diplomats	diplomat	diplomat
and	and	and
foreign	foreign	foreign
ministers	minist	minister
of	of	of
ASEAN	asean	ASEAN
nations	nation	nation
discussed	discuss	discussed
the	the	the
contents	content	content
of	of	of
the	the	the
statement	statement	statement
on	on	on
the	the	the
sidelines	sidelin	sideline
of	of	of
the	the	the
United	unit	United
Nations	nation	Nations
General	general	General
Assembly	assembl	Assembly
in	in	in
New	new	New
York	york	York
before	befor	before
it	it	it
was	was	wa
published	publish	published
,	,	,
the	the	the
Philippine	philippin	Philippine
Department	depart	Department
of	of	of
Foreign	foreign	Foreign
Affairs	affair	Affairs
DFA	dfa	DFA
and	and	and
Malaysian	malaysian	Malaysian
government	govern	government
sources	sourc	source
said	said	said
.	.	.

No	no	No
consensus	consensus	consensus
was	was	wa
reached	reach	reached
by	by	by
the	the	the
ASEAN	asean	ASEAN
foreign	foreign	foreign
ministers	minist	minister
,	,	,
however	howev	however
,	,	,
said	said	said
two	two	two
Malaysian	malaysian	Malaysian
government	govern	government
officials	offici	official
aware	awar	aware
of	of	of
the	the	the
discussions	discuss	discussion
.	.	.

The	the	The
chairman	chairman	chairman
s	s	s
statement	statement	statement
released	releas	released
by	by	by
the	the	the
Philippines	philippin	Philippines
did	did	did
not	not	not
reflect	reflect	reflect
Malaysia	malaysia	Malaysia
s	s	s
concerns	concern	concern
,	,	,
said	said	said
