AUSTIN	austin	AUSTIN
,	,	,
Texas	texa	Texas
Reuters	reuter	Reuters
-	-	-
A	a	A
U	u	U
.	.	.
S	s	S
.	.	.
court	court	court
struck	struck	struck
down	down	down
two	two	two
Republican	republican	Republican
-drawn	-drawn	-drawn
U	u	U
.	.	.
S	s	S
.	.	.
congressional	congression	congressional
districts	district	district
in	in	in
Texas	texa	Texas
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
saying	say	saying
they	they	they
were	were	were
discriminatory	discriminatori	discriminatory
and	and	and
ordering	order	ordering
a	a	a
remedy	remedi	remedy
ahead	ahead	ahead
of	of	of
elections	elect	election
in	in	in
2018	2018	2018
,	,	,
court	court	court
papers	paper	paper
showed	show	showed
.	.	.
In	in	In
the	the	the
case	case	case
that	that	that
has	has	ha
been	been	been
contested	contest	contested
in	in	in
federal	feder	federal
courts	court	court
for	for	for
about	about	about
six	six	six
years	year	year
,	,	,
a	a	a
three	three	three
-judge	-judg	-judge
panel	panel	panel
at	at	at
U	u	U
.	.	.
S	s	S
.	.	.
District	district	District
Court	court	Court
in	in	in
San	san	San
Antonio	antonio	Antonio
ruled	rule	ruled
lawmakers	lawmak	lawmaker
drew	drew	drew
up	up	up
the	the	the
districts	district	district
to	to	to
undermine	undermin	undermine
the	the	the
influence	influenc	influence
of	of	of
racial	racial	racial
minority	minor	minority
voters	voter	voter
,	,	,
who	who	who
plaintiffs	plaintiff	plaintiff
argued	argu	argued
typically	typic	typically
show	show	show
more	more	more
support	support	support
for	for	for
Democrats	democrat	Democrats
than	than	than
Republicans	republican	Republicans
.	.	.
The	the	The
court	court	court
also	also	also
said	said	said
that	that	that
the	the	the
maps	map	map
laying	lay	laying
them	them	them
out	out	out
must	must	must
either	either	either
be	be	be
fixed	fix	fixed
by	by	by
the	the	the
state	state	state
or	or	or
the	the	the
courts	court	court
.	.	.
The	the	The
court	court	court
said	said	said
the	the	the
27th	27th	27th
and	and	and
35th	35th	35th
congressional	congression	congressional
districts	district	district
were	were	were
drawn	drawn	drawn
in	in	in
violation	violat	violation
of	of	of
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Voting	vote	Voting
Rights	right	Rights
Act	act	Act
.	.	.
Texas	texa	Texas
has	has	ha
36	36	36
districts	district	district
,	,	,
with	with	with
Republicans	republican	Republicans
holding	hold	holding
25	25	25
seats	seat	seat
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
and	and	and
Democrats	democrat	Democrats
11	11	11
.	.	.
The	the	The
court	court	court
also	also	also
faulted	fault	faulted
the	the	the
state	state	state
s	s	s
legislature	legislatur	legislature
for	for	for
not	not	not
heeding	heed	heeding
previous	previous	previous
judicial	judici	judicial
plans	plan	plan
and	and	and
for	for	for
making	make	making
inadequate	inadequ	inadequate
fixes	fix	fix
to	to	to
the	the	the
maps	map	map
drawn	drawn	drawn
in	in	in
2011	2011	2011
.	.	.
The	the	The
discriminatory	discriminatori	discriminatory
taint	taint	taint
was	was	wa
not	not	not
removed	remov	removed
by	by	by
the	the	the
Legislature	legislatur	Legislature
s	s	s
enactment	enact	enactment
of	of	of
the	the	the
Court	court	Court
s	s	s
interim	interim	interim
plans	plan	plan
,	,	,
the	the	the
judges	judg	judge
said	said	said
in	in	in
their	their	their
decision	decis	decision
.	.	.
Texas	texa	Texas
Democrats	democrat	Democrats
saw	saw	saw
the	the	the
decision	decis	decision
as	as	a
a	a	a
victory	victori	victory
.	.	.
Republicans	republican	Republicans
initiated	initi	initiated
a	a	a
deceitful	deceit	deceitful
legal	legal	legal
strategy	strategi	strategy
to	to	to
deliberately	deliber	deliberately
silence	silenc	silence
Texans	texan	Texans
from	from	from
having	have	having
a	a	a
voice	voic	voice
in	in	in
their	their	their
own	own	own
government	govern	government
.	.	.
Today	today	Today
,	,	,
the	the	the
Court	court	Court
unanimously	unanim	unanimously
agreed	agre	agreed
,	,	,
Texas	texa	Texas
Democratic	democrat	Democratic
Party	parti	Party
Chair	chair	Chair
Gilberto	gilberto	Gilberto
Hinojosa	hinojosa	Hinojosa
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
Republican	republican	Republican
Texas	texa	Texas
Attorney	attorney	Attorney
General	general	General
Ken	ken	Ken
Paxton	paxton	Paxton
said	said	said
the	the	the
court	court	court
did	did	did
rule	rule	rule
in	in	in
Texas	texa	Texas
favor	favor	favor
in	in	in
finding	find	finding
that	that	that
one	one	one
contested	contest	contested
district	district	district
,	,	,
District	district	District
23	23	23
,	,	,
was	was	wa
lawful	law	lawful
.	.	.
However	howev	However
,	,	,
Paxton	paxton	Paxton
said	said	said
in	in	in
a	a	a
statement	statement	statement
the	the	the
state	state	state
has	has	ha
been	been	been
abiding	abid	abiding
by	by	by
the	the	the
law	law	law
and	and	and
prior	prior	prior
court	court	court
guidance	guidanc	guidance
and	and	and
he	he	he
intended	intend	intended
to	to	to
ask	ask	ask
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Supreme	suprem	Supreme
Court	court	Court
whether	whether	whether
Texas	texa	Texas
had	had	had
discriminatory	discriminatori	discriminatory
intent	intent	intent
when	when	when
relying	reli	relying
on	on	on
the	the	the
district	district	district
court	court	court
.	.	.
In	in	In
court	court	court
,	,	,
lawyers	lawyer	lawyer
for	for	for
Texas	texa	Texas
argued	argu	argued
that	that	that
the	the	the
boundaries	boundari	boundary
were	were	were
drawn	drawn	drawn
for	for	for
Republican	republican	Republican
partisan	partisan	partisan
advantage	advantag	advantage
,	,	,
which	which	which
they	they	they
said	said	said
is	is	is
legal	legal	legal
.	.	.
They	they	They
dismissed	dismiss	dismissed
claims	claim	claim
the	the	the
districts	district	district
were	were	were
drawn	drawn	drawn
illegally	illeg	illegally
with	with	with
the	the	the
intention	intent	intention
to	to	to
disenfranchise	disenfranchis	disenfranchise
racial	racial	racial
and	and	and
ethnic	ethnic	ethnic
groups	group	group
.	.	.
