BERLIN	berlin	BERLIN
Reuters	reuter	Reuters
-	-	-
Half	half	Half
of	of	of
Germans	german	Germans
are	are	are
in	in	in
favor	favor	favor
of	of	of
calling	call	calling
a	a	a
new	new	new
election	elect	election
after	after	after
Chancellor	chancellor	Chancellor
Angela	angela	Angela
Merkel	merkel	Merkel
failed	fail	failed
to	to	to
reach	reach	reach
a	a	a
deal	deal	deal
to	to	to
form	form	form
a	a	a
new	new	new
coalition	coalit	coalition
with	with	with
two	two	two
other	other	other
parties	parti	party
,	,	,
while	while	while
a	a	a
fifth	fifth	fifth
back	back	back
forming	form	forming
a	a	a
minority	minor	minority
government	govern	government
,	,	,
an	an	an
opinion	opinion	opinion
poll	poll	poll
showed	show	showed
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

The	the	The
poll	poll	poll
,	,	,
conducted	conduct	conducted
by	by	by
INSA	insa	INSA
for	for	for
the	the	the
Bild	bild	Bild
daily	daili	daily
,	,	,
showed	show	showed
49	49	49
.	.	.
9	9	9
percent	percent	percent
favoring	favor	favoring
another	anoth	another
election	elect	election
.	.	.

It	it	It
also	also	also
showed	show	showed
48	48	48
.	.	.
5	5	5
percent	percent	percent
think	think	think
the	the	the
center	center	center
-left	-left	-left
Social	social	Social
Democrats	democrat	Democrats
SPD	spd	SPD
are	are	are
right	right	right
to	to	to
rule	rule	rule
out	out	out
joining	join	joining
a	a	a
new	new	new
grand	grand	grand
coalition	coalit	coalition
with	with	with
Merkel	merkel	Merkel
s	s	s
conservatives	conserv	conservative
,	,	,
which	which	which
only	onli	only
18	18	18
percent	percent	percent
would	would	would
favor	favor	favor
.	.	.

The	the	The
SPD	spd	SPD
lost	lost	lost
ground	ground	ground
in	in	in
the	the	the
September	septemb	September
election	elect	election
after	after	after
sharing	share	sharing
power	power	power
with	with	with
Merkel	merkel	Merkel
for	for	for
the	the	the
last	last	last
four	four	four
years	year	year
.	.	.

The	the	The
collapse	collaps	collapse
of	of	of
talks	talk	talk
between	between	between
Merkel	merkel	Merkel
s	s	s
conservative	conserv	conservative
bloc	bloc	bloc
,	,	,
the	the	the
pro	pro	pro
-business	-busi	-business
Free	free	Free
Democrats	democrat	Democrats
FDP	fdp	FDP
and	and	and
environmentalist	environmentalist	environmentalist
Greens	green	Greens
has	has	ha
thrown	thrown	thrown
Germany	germani	Germany
into	into	into
political	polit	political
uncertainty	uncertainti	uncertainty
and	and	and
raised	rais	raised
the	the	the
prospect	prospect	prospect
of	of	of
new	new	new
elections	elect	election
.	.	.

The	the	The
poll	poll	poll
showed	show	showed
that	that	that
28	28	28
percent	percent	percent
blame	blame	blame
FDP	fdp	FDP
leader	leader	leader
Christian	christian	Christian
Lindner	lindner	Lindner
for	for	for
the	the	the
failure	failur	failure
of	of	of
the	the	the
talks	talk	talk
,	,	,
followed	follow	followed
by	by	by
27	27	27
percent	percent	percent
,	,	,
who	who	who
blame	blame	blame
Merkel	merkel	Merkel
,	,	,
while	while	while
only	onli	only
13	13	13
percent	percent	percent
blame	blame	blame
Greens	green	Greens
leader	leader	leader
Cem	cem	Cem
Ozdemir	ozdemir	Ozdemir
.	.	.

Four	four	Four
out	out	out
of	of	of
10	10	10
people	peopl	people
polled	poll	polled
say	say	say
Merkel	merkel	Merkel
should	should	should
run	run	run
again	again	again
as	as	a
chancellor	chancellor	chancellor
if	if	if
new	new	new
elections	elect	election
are	are	are
called	call	called
,	,	,
while	while	while
24	24	24
percent	percent	percent
would	would	would
prefer	prefer	prefer
another	anoth	another
candidate	candid	candidate
for	for	for
her	her	her
Christian	christian	Christian
Democrats	democrat	Democrats
CDU	cdu	CDU
,	,	,
although	although	although
there	there	there
is	is	is
little	littl	little
consensus	consensus	consensus
on	on	on
who	who	who
that	that	that
should	should	should
be	be	be
.	.	.

The	the	The
poll	poll	poll
showed	show	showed
that	that	that
most	most	most
voters	voter	voter
would	would	would
prefer	prefer	prefer
a	a	a
coalition	coalit	coalition
between	between	between
the	the	the
CDU	cdu	CDU
and	and	and
FDP	fdp	FDP
after	after	after
new	new	new
elections	elect	election
,	,	,
followed	follow	followed
by	by	by
a	a	a
coalition	coalit	coalition
between	between	between
SPD	spd	SPD
,	,	,
Greens	green	Greens
and	and	and
the	the	the
left	left	left
-wing	-wing	-wing
Linke	link	Linke
.	.	.

However	howev	However
,	,	,
the	the	the
poll	poll	poll
showed	show	showed
that	that	that
a	a	a
new	new	new
election	elect	election
would	would	would
bring	bring	bring
little	littl	little
change	chang	change
to	to	to
the	the	the
results	result	result
of	of	of
the	the	the
September	septemb	September
vote	vote	vote
,	,	,
with	with	with
the	the	the
CDU	cdu	CDU
down	down	down
slightly	slight	slightly
on	on	on
30	30	30
percent	percent	percent
,	,	,
the	the	the
SPD	spd	SPD
steady	steadi	steady
on	on	on
21	21	21
percent	percent	percent
,	,	,
the	the	the
Greens	green	Greens
on	on	on
10	10	10
percent	percent	percent
and	and	and
the	the	the
FDP	fdp	FDP
on	on	on
11	11	11
percent	percent	percent
.	.	.

That	that	That
would	would	would
still	still	still
mean	mean	mean
that	that	that
the	the	the
only	onli	only
possible	possibl	possible
coalitions	coalit	coalition
with	with	with
a	a	a
majority	major	majority
would	would	would
be	be	be
between	between	between
the	the	the
CDU	cdu	CDU
and	and	and
the	the	the
SPD	spd	SPD
or	or	or
between	between	between
the	the	the
CDU	cdu	CDU
,	,	,
FDP	fdp	FDP
and	and	and
Greens	green	Greens
.	.	.

