TAPA	tapa	TAPA
,	,	,
Estonia	estonia	Estonia
Reuters	reuter	Reuters
-	-	-
British	british	British
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
urged	urg	urged
the	the	the
European	european	European
Union	union	Union
on	on	on
Friday	friday	Friday
to	to	to
respond	respond	respond
in	in	in
kind	kind	kind
to	to	to
proposals	propos	proposal
she	she	she
set	set	set
out	out	out
in	in	in
Italy	itali	Italy
last	last	last
week	week	week
that	that	that
sought	sought	sought
to	to	to
unlock	unlock	unlock
Brexit	brexit	Brexit
talks	talk	talk
,	,	,
saying	say	saying
forming	form	forming
a	a	a
new	new	new
partnership	partnership	partnership
was	was	wa
in	in	in
the	the	the
bloc	bloc	bloc
s	s	s
interest	interest	interest
as	as	a
well	well	well
.	.	.
Speaking	speak	Speaking
to	to	to
Reuters	reuter	Reuters
in	in	in
Estonia	estonia	Estonia
after	after	after
meeting	meet	meeting
British	british	British
troops	troop	troop
,	,	,
May	may	May
said	said	said
she	she	she
believed	believ	believed
the	the	the
speech	speech	speech
in	in	in
Florence	florenc	Florence
a	a	a
week	week	week
ago	ago	ago
had	had	had
given	given	given
new	new	new
momentum	momentum	momentum
to	to	to
the	the	the
troubled	troubl	troubled
divorce	divorc	divorce
negotiations	negoti	negotiation
and	and	and
had	had	had
seen	seen	seen
signs	sign	sign
to	to	to
suggest	suggest	suggest
it	it	it
had	had	had
broken	broken	broken
the	the	the
deadlock	deadlock	deadlock
.	.	.
But	but	But
she	she	she
did	did	did
not	not	not
say	say	say
whether	whether	whether
she	she	she
thought	thought	thought
it	it	it
was	was	wa
enough	enough	enough
to	to	to
move	move	move
the	the	the
talks	talk	talk
on	on	on
to	to	to
a	a	a
discussion	discuss	discussion
of	of	of
the	the	the
future	futur	future
relationship	relationship	relationship
by	by	by
an	an	an
October	octob	October
summit	summit	summit
after	after	after
EU	eu	EU
negotiators	negoti	negotiator
said	said	said
again	again	again
this	this	this
week	week	week
that	that	that
not	not	not
enough	enough	enough
progress	progress	progress
had	had	had
been	been	been
made	made	made
.	.	.
A	a	A
week	week	week
ago	ago	ago
I	i	I
gave	gave	gave
a	a	a
speech	speech	speech
in	in	in
Florence	florenc	Florence
which	which	which
set	set	set
out	out	out
how	how	how
we	we	we
have	have	have
made	made	made
good	good	good
progress	progress	progress
so	so	so
far	far	far
,	,	,
I	i	I
thought	thought	thought
we	we	we
could	could	could
make	make	make
further	further	further
progress	progress	progress
and	and	and
moving	move	moving
on	on	on
to	to	to
looking	look	looking
at	at	at
the	the	the
future	futur	future
deep	deep	deep
and	and	and
special	special	special
relationship	relationship	relationship
and	and	and
partnership	partnership	partnership
that	that	that
we	we	we
want	want	want
to	to	to
build	build	build
with	with	with
the	the	the
European	european	European
Union	union	Union
when	when	when
the	the	the
UK	uk	UK
has	has	ha
left	left	left
the	the	the
EU	eu	EU
,	,	,
she	she	she
said	said	said
.	.	.
I	i	I
made	made	made
that	that	that
speech	speech	speech
to	to	to
give	give	give
momentum	momentum	momentum
to	to	to
the	the	the
talks	talk	talk
and	and	and
I	i	I
think	think	think
we	we	we
have	have	have
seen	seen	seen
that	that	that
being	be	being
shown	shown	shown
in	in	in
the	the	the
talks	talk	talk
that	that	that
have	have	have
taken	taken	taken
place	place	place
this	this	this
week	week	week
and	and	and
further	further	further
progress	progress	progress
has	has	ha
been	been	been
made	made	made
.	.	.
Following	follow	Following
the	the	the
latest	latest	latest
round	round	round
of	of	of
talks	talk	talk
this	this	this
week	week	week
,	,	,
the	the	the
EU	eu	EU
s	s	s
top	top	top
negotiator	negoti	negotiator
said	said	said
May	may	May
s	s	s
speech	speech	speech
had	had	had
created	creat	created
a	a	a
new	new	new
dynamic	dynam	dynamic
,	,	,
but	but	but
more	more	more
progress	progress	progress
was	was	wa
needed	need	needed
to	to	to
move	move	move
to	to	to
the	the	the
next	next	next
phase	phase	phase
of	of	of
discussions	discuss	discussion
.	.	.
May	may	May
,	,	,
weakened	weaken	weakened
by	by	by
a	a	a
June	june	June
election	elect	election
when	when	when
she	she	she
lost	lost	lost
her	her	her
Conservative	conserv	Conservative
Party	parti	Party
s	s	s
majority	major	majority
,	,	,
hopes	hope	hope
to	to	to
use	use	use
the	the	the
informal	inform	informal
summit	summit	summit
in	in	in
Estonia	estonia	Estonia
to	to	to
talk	talk	talk
to	to	to
EU	eu	EU
leaders	leader	leader
about	about	about
Brexit	brexit	Brexit
,	,	,
and	and	and
to	to	to
underline	underlin	underline
Britain	britain	Britain
s	s	s
role	role	role
in	in	in
European	european	European
security	secur	security
to	to	to
try	tri	try
to	to	to
win	win	win
goodwill	goodwil	goodwill
.	.	.
Standing	stand	Standing
beside	besid	beside
French	french	French
President	presid	President
Emmanuel	emmanuel	Emmanuel
Macron	macron	Macron
and	and	and
Estonia	estonia	Estonia
s	s	s
Juri	juri	Juri
Ratas	rata	Ratas
,	,	,
she	she	she
chatted	chat	chatted
to	to	to
some	some	some
of	of	of
the	the	the
800	800	800
troops	troop	troop
Britain	britain	Britain
has	has	ha
deployed	deploy	deployed
at	at	at
a	a	a
military	militari	military
base	base	base
in	in	in
Tapa	tapa	Tapa
,	,	,
northern	northern	northern
Estonia	estonia	Estonia
,	,	,
as	as	a
part	part	part
of	of	of
NATO	nato	NATO
s	s	s
moves	move	move
to	to	to
defend	defend	defend
against	against	against
a	a	a
newly	newli	newly
assertive	assert	assertive
Russia	russia	Russia
on	on	on
the	the	the
EU	eu	EU
s	s	s
border	border	border
.	.	.
By	by	By
focusing	focus	focusing
on	on	on
defense	defens	defense
in	in	in
Tallinn	tallinn	Tallinn
,	,	,
May	may	May
will	will	will
want	want	want
to	to	to
show	show	show
that	that	that
Britain	britain	Britain
has	has	ha
something	someth	something
to	to	to
offer	offer	offer
its	it	it
European	european	European
neighbors	neighbor	neighbor
and	and	and
will	will	will
say	say	say
she	she	she
is	is	is
ready	readi	ready
to	to	to
share	share	share
British	british	British
expertise	expertis	expertise
-	-	-
including	includ	including
through	through	through
the	the	the
National	nation	National
Cyber	cyber	Cyber
Security	secur	Security
Center	center	Center
NCSC	ncsc	NCSC
-	-	-
to	to	to
help	help	help
EU	eu	EU
nations	nation	nation
build	build	build
up	up	up
their	their	their
own	own	own
cyber	cyber	cyber
-security	-secur	-security
capability	capabl	capability
.	.	.
That	that	That
,	,	,
she	she	she
hopes	hope	hope
,	,	,
could	could	could
bolster	bolster	bolster
her	her	her
argument	argument	argument
for	for	for
pushing	push	pushing
the	the	the
Brexit	brexit	Brexit
talks	talk	talk
forward	forward	forward
.	.	.
I	i	I
set	set	set
out	out	out
what	what	what
I	i	I
thought	thought	thought
was	was	wa
the	the	the
future	futur	future
deep	deep	deep
and	and	and
special	special	special
partnership	partnership	partnership
we	we	we
can	can	can
build	build	build
with	with	with
the	the	the
EU	eu	EU
and	and	and
I	i	I
look	look	look
for	for	for
the	the	the
speech	speech	speech
that	that	that
I	i	I
set	set	set
out	out	out
for	for	for
that	that	that
being	be	being
reciprocated	reciproc	reciprocated
in	in	in
proposals	propos	proposal
that	that	that
the	the	the
EU	eu	EU
will	will	will
come	come	come
forward	forward	forward
with	with	with
,	,	,
she	she	she
said	said	said
.	.	.
