BELFAST	belfast	BELFAST
Reuters	reuter	Reuters
-	-	-
Sinn	sinn	Sinn
Fein	fein	Fein
on	on	on
Monday	monday	Monday
dismissed	dismiss	dismissed
as	as	a
unacceptable	unaccept	unacceptable
a	a	a
bill	bill	bill
proposed	propos	proposed
by	by	by
a	a	a
British	british	British
Conservative	conserv	Conservative
Party	parti	Party
lawmaker	lawmak	lawmaker
to	to	to
set	set	set
a	a	a
10	10	10
-year	-year	-year
limit	limit	limit
on	on	on
prosecuting	prosecut	prosecuting
soldiers	soldier	soldier
,	,	,
saying	say	saying
it	it	it
breached	breach	breached
a	a	a
2014	2014	2014
deal	deal	deal
intended	intend	intended
to	to	to
rescue	rescu	rescue
the	the	the
province	provinc	province
s	s	s
power	power	power
-sharing	-share	-sharing
arrangements	arrang	arrangement
.	.	.
If	if	If
the	the	the
bill	bill	bill
wins	win	win
the	the	the
backing	back	backing
of	of	of
the	the	the
British	british	British
government	govern	government
,	,	,
it	it	it
could	could	could
seriously	serious	seriously
complicate	complic	complicate
efforts	effort	effort
to	to	to
resolve	resolv	resolve
a	a	a
political	polit	political
crisis	crisi	crisis
in	in	in
Northern	northern	Northern
Ireland	ireland	Ireland
,	,	,
which	which	which
is	is	is
facing	face	facing
a	a	a
return	return	return
to	to	to
direct	direct	direct
rule	rule	rule
from	from	from
London	london	London
for	for	for
the	the	the
first	first	first
time	time	time
in	in	in
a	a	a
decade	decad	decade
.	.	.
The	the	The
bill	bill	bill
was	was	wa
sponsored	sponsor	sponsored
by	by	by
a	a	a
member	member	member
of	of	of
Sinn	sinn	Sinn
Fein	fein	Fein
s	s	s
main	main	main
rival	rival	rival
the	the	the
Democratic	democrat	Democratic
Unionist	unionist	Unionist
Party	parti	Party
DUP	dup	DUP
,	,	,
which	which	which
did	did	did
a	a	a
deal	deal	deal
this	this	this
year	year	year
to	to	to
support	support	support
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
s	s	s
government	govern	government
.	.	.
Sinn	sinn	Sinn
Fein	fein	Fein
,	,	,
the	the	the
largest	largest	largest
Irish	irish	Irish
nationalist	nationalist	nationalist
party	parti	party
in	in	in
Northern	northern	Northern
Ireland	ireland	Ireland
,	,	,
has	has	ha
repeatedly	repeat	repeatedly
warned	warn	warned
that	that	that
the	the	the
deal	deal	deal
would	would	would
undermine	undermin	undermine
power	power	power
-sharing	-share	-sharing
in	in	in
Northern	northern	Northern
Ireland	ireland	Ireland
.	.	.
Conservative	conserv	Conservative
Party	parti	Party
member	member	member
of	of	of
parliament	parliament	parliament
Richard	richard	Richard
Benyon	benyon	Benyon
on	on	on
Wednesday	wednesday	Wednesday
proposed	propos	proposed
the	the	the
bill	bill	bill
,	,	,
which	which	which
would	would	would
set	set	set
a	a	a
10	10	10
year	year	year
-statute	-statut	-statute
of	of	of
limitations	limit	limitation
beyond	beyond	beyond
which	which	which
it	it	it
would	would	would
be	be	be
impossible	imposs	impossible
to	to	to
bring	bring	bring
a	a	a
case	case	case
against	against	against
any	ani	any
individual	individu	individual
about	about	about
whom	whom	whom
an	an	an
allegation	alleg	allegation
was	was	wa
made	made	made
regarding	regard	regarding
actions	action	action
he	he	he
or	or	or
she	she	she
took	took	took
while	while	while
serving	serv	serving
.	.	.
While	while	While
presenting	present	presenting
the	the	the
bill	bill	bill
,	,	,
sponsored	sponsor	sponsored
by	by	by
DUP	dup	DUP
lawmaker	lawmak	lawmaker
Emma	emma	Emma
Little	littl	Little
Pengelly	pengelli	Pengelly
,	,	,
Benyon	benyon	Benyon
cited	cite	cited
the	the	the
case	case	case
of	of	of
a	a	a
78	78	78
-year-old	-year-old	-year-old
former	former	former
British	british	British
soldier	soldier	soldier
facing	face	facing
prosecution	prosecut	prosecution
for	for	for
the	the	the
shooting	shoot	shooting
of	of	of
an	an	an
unarmed	unarm	unarmed
27	27	27
-year-old	-year-old	-year-old
Catholic	cathol	Catholic
in	in	in
1974	1974	1974
.	.	.
Sinn	sinn	Sinn
Fein	fein	Fein
says	say	say
the	the	the
commitment	commit	commitment
to	to	to
prosecute	prosecut	prosecute
crimes	crime	crime
committed	commit	committed
by	by	by
British	british	British
soldiers	soldier	soldier
during	dure	during
the	the	the
three	three	three
decade	decad	decade
conflict	conflict	conflict
in	in	in
Northern	northern	Northern
Ireland	ireland	Ireland
is	is	is
a	a	a
key	key	key
foundation	foundat	foundation
of	of	of
the	the	the
peace	peac	peace
process	process	process
in	in	in
the	the	the
British	british	British
region	region	region
.	.	.
About	about	About
3	3	3
,	,	,
600	600	600
people	peopl	people
died	die	died
before	befor	before
a	a	a
1998	1998	1998
peace	peac	peace
deal	deal	deal
,	,	,
approximately	approxim	approximately
half	half	half
of	of	of
them	them	them
killed	kill	killed
by	by	by
Sinn	sinn	Sinn
Fein	fein	Fein
s	s	s
former	former	former
armed	arm	armed
wing	wing	wing
,	,	,
the	the	the
Irish	irish	Irish
Republican	republican	Republican
Army	armi	Army
.	.	.
Under	under	Under
the	the	the
terms	term	term
of	of	of
the	the	the
1998	1998	1998
peace	peac	peace
agreement	agreement	agreement
,	,	,
Sinn	sinn	Sinn
Fein	fein	Fein
and	and	and
the	the	the
DUP	dup	DUP
have	have	have
shared	share	shared
power	power	power
in	in	in
Northern	northern	Northern
Ireland	ireland	Ireland
for	for	for
a	a	a
decade	decad	decade
.	.	.
The	the	The
proposed	propos	proposed
bill	bill	bill
is	is	is
simply	simpli	simply
unacceptable	unaccept	unacceptable
,	,	,
said	said	said
Linda	linda	Linda
Dillon	dillon	Dillon
,	,	,
a	a	a
Sinn	sinn	Sinn
Fein	fein	Fein
member	member	member
of	of	of
the	the	the
Northern	northern	Northern
Ireland	ireland	Ireland
assembly	assembl	assembly
,	,	,
who	who	who
accused	accus	accused
British	british	British
forces	forc	force
of	of	of
being	be	being
directly	direct	directly
involved	involv	involved
in	in	in
state	state	state
sponsored	sponsor	sponsored
killings	kill	killing
.	.	.
The	the	The
decision	decis	decision
of	of	of
the	the	the
DUP	dup	DUP
to	to	to
support	support	support
it	it	it
is	is	is
in	in	in
direct	direct	direct
contravention	contravent	contravention
of	of	of
the	the	the
2014	2014	2014
Stormont	stormont	Stormont
House	hous	House
Agreement	agreement	Agreement
which	which	which
ruled	rule	ruled
out	out	out
any	ani	any
amnesties	amnesti	amnesty
and	and	and
instead	instead	instead
provided	provid	provided
a	a	a
range	rang	range
of	of	of
mechanisms	mechan	mechanism
to	to	to
deal	deal	deal
with	with	with
the	the	the
past	past	past
,	,	,
she	she	she
said	said	said
.	.	.
The	the	The
bill	bill	bill
,	,	,
whose	whose	whose
second	second	second
reading	read	reading
is	is	is
not	not	not
due	due	due
until	until	until
June	june	June
next	next	next
year	year	year
,	,	,
was	was	wa
brought	brought	brought
to	to	to
parliament	parliament	parliament
within	within	within
hours	hour	hour
of	of	of
the	the	the
collapse	collaps	collapse
of	of	of
talks	talk	talk
between	between	between
the	the	the
DUP	dup	DUP
and	and	and
Sinn	sinn	Sinn
Fein	fein	Fein
to	to	to
re	re	re
-establish	-establish	-establish
a	a	a
Northern	northern	Northern
Ireland	ireland	Ireland
devolved	devolv	devolved
executive	execut	executive
following	follow	following
its	it	it
collapse	collaps	collapse
in	in	in
January	januari	January
.	.	.
Failure	failur	Failure
to	to	to
reach	reach	reach
agreement	agreement	agreement
is	is	is
expected	expect	expected
to	to	to
force	forc	force
the	the	the
British	british	British
government	govern	government
to	to	to
impose	impos	impose
direct	direct	direct
rule	rule	rule
of	of	of
Northern	northern	Northern
Ireland	ireland	Ireland
,	,	,
in	in	in
effect	effect	effect
cutting	cut	cutting
Irish	irish	Irish
nationalist	nationalist	nationalist
parties	parti	party
out	out	out
of	of	of
the	the	the
governance	govern	governance
of	of	of
the	the	the
region	region	region
during	dure	during
a	a	a
key	key	key
stage	stage	stage
of	of	of
Britain	britain	Britain
s	s	s
negotiations	negoti	negotiation
to	to	to
leave	leav	leave
the	the	the
European	european	European
Union	union	Union
.	.	.
