TOKYO	tokyo	TOKYO
Reuters	reuter	Reuters
-	-	-
A	a	A
Korean	korean	Korean
woman	woman	woman
who	who	who
was	was	wa
forced	forc	forced
to	to	to
work	work	work
at	at	at
a	a	a
Japanese	japanes	Japanese
wartime	wartim	wartime
military	militari	military
brothel	brothel	brothel
and	and	and
later	later	later
lost	lost	lost
a	a	a
Supreme	suprem	Supreme
Court	court	Court
case	case	case
seeking	seek	seeking
compensation	compens	compensation
from	from	from
the	the	the
Japanese	japanes	Japanese
government	govern	government
has	has	ha
died	die	died
in	in	in
Japan	japan	Japan
at	at	at
the	the	the
age	age	age
of	of	of
95	95	95
,	,	,
a	a	a
civic	civic	civic
group	group	group
said	said	said
on	on	on
Tuesday	tuesday	Tuesday
.	.	.
The	the	The
death	death	death
of	of	of
Song	song	Song
Shin	shin	Shin
-do	-do	-do
leaves	leav	leaf
32	32	32
women	women	woman
registered	regist	registered
with	with	with
the	the	the
South	south	South
Korean	korean	Korean
government	govern	government
as	as	a
surviving	surviv	surviving
comfort	comfort	comfort
women	women	woman
,	,	,
as	as	a
those	those	those
forced	forc	forced
to	to	to
work	work	work
in	in	in
wartime	wartim	wartime
brothels	brothel	brothel
are	are	are
euphemistically	euphemist	euphemistically
known	known	known
in	in	in
Japan	japan	Japan
.	.	.
Japan	japan	Japan
s	s	s
1910	1910	1910
-1945	-1945	-1945
colonization	colon	colonization
of	of	of
the	the	the
Korean	korean	Korean
peninsula	peninsula	peninsula
and	and	and
the	the	the
legacy	legaci	legacy
of	of	of
World	world	World
War	war	War
Two	two	Two
remain	remain	remain
highly	high	highly
sensitive	sensit	sensitive
in	in	in
South	south	South
Korea	korea	Korea
.	.	.
The	the	The
issue	issu	issue
of	of	of
comfort	comfort	comfort
women	women	woman
,	,	,
is	is	is
especially	especi	especially
contentious	contenti	contentious
.	.	.
Song	song	Song
was	was	wa
born	born	born
in	in	in
Korea	korea	Korea
and	and	and
said	said	said
she	she	she
was	was	wa
forced	forc	forced
into	into	into
sexual	sexual	sexual
slavery	slaveri	slavery
by	by	by
the	the	the
Japanese	japanes	Japanese
military	militari	military
for	for	for
seven	seven	seven
years	year	year
in	in	in
China	china	China
,	,	,
according	accord	according
to	to	to
the	the	the
Korean	korean	Korean
Council	council	Council
for	for	for
Women	women	Women
Drafted	draft	Drafted
for	for	for
Military	militari	Military
Sexual	sexual	Sexual
Slavery	slaveri	Slavery
by	by	by
Japan	japan	Japan
,	,	,
a	a	a
Seoul	seoul	Seoul
-based	-base	-based
civic	civic	civic
group	group	group
that	that	that
supports	support	support
the	the	the
women	women	woman
,	,	,
which	which	which
confirmed	confirm	confirmed
her	her	her
death	death	death
.	.	.
After	after	After
the	the	the
war	war	war
,	,	,
Song	song	Song
moved	move	moved
to	to	to
Japan	japan	Japan
with	with	with
a	a	a
Japanese	japanes	Japanese
soldier	soldier	soldier
who	who	who
later	later	later
left	left	left
her	her	her
.	.	.
After	after	After
that	that	that
,	,	,
she	she	she
lived	live	lived
with	with	with
an	an	an
ethnic	ethnic	ethnic
Korean	korean	Korean
man	man	man
in	in	in
Japan	japan	Japan
,	,	,
the	the	the
group	group	group
said	said	said
.	.	.
In	in	In
1993	1993	1993
,	,	,
Song	song	Song
filed	file	filed
a	a	a
lawsuit	lawsuit	lawsuit
with	with	with
the	the	the
Tokyo	tokyo	Tokyo
District	district	District
Court	court	Court
seeking	seek	seeking
an	an	an
official	offici	official
apology	apolog	apology
and	and	and
compensation	compens	compensation
from	from	from
the	the	the
Japanese	japanes	Japanese
government	govern	government
.	.	.
The	the	The
case	case	case
eventually	eventu	eventually
went	went	went
to	to	to
Japan	japan	Japan
s	s	s
Supreme	suprem	Supreme
Court	court	Court
,	,	,
which	which	which
dismissed	dismiss	dismissed
her	her	her
appeal	appeal	appeal
in	in	in
2003	2003	2003
on	on	on
the	the	the
grounds	ground	ground
that	that	that
Japan	japan	Japan
had	had	had
no	no	no
legal	legal	legal
obligation	oblig	obligation
to	to	to
pay	pay	pay
for	for	for
her	her	her
suffering	suffer	suffering
because	becaus	because
a	a	a
20	20	20
-year	-year	-year
stature	statur	stature
of	of	of
limitations	limit	limitation
had	had	had
expired	expir	expired
,	,	,
according	accord	according
to	to	to
a	a	a
summary	summari	summary
by	by	by
the	the	the
Columbia	columbia	Columbia
Law	law	Law
School	school	School
s	s	s
Center	center	Center
for	for	for
Korean	korean	Korean
Legal	legal	Legal
Studies	studi	Studies
.	.	.
The	the	The
South	south	South
Korean	korean	Korean
civic	civic	civic
group	group	group
said	said	said
Song	song	Song
had	had	had
suffered	suffer	suffered
for	for	for
seven	seven	seven
years	year	year
as	as	a
a	a	a
sex	sex	sex
slave	slave	slave
for	for	for
the	the	the
Japanese	japanes	Japanese
military	militari	military
.	.	.
Some	some	Some
Japanese	japanes	Japanese
ultra	ultra	ultra
-conservatives	-conserv	-conservatives
deny	deni	deny
that	that	that
the	the	the
women	women	woman
were	were	were
forced	forc	forced
to	to	to
work	work	work
in	in	in
the	the	the
brothels	brothel	brothel
.	.	.
Japan	japan	Japan
says	say	say
the	the	the
matter	matter	matter
of	of	of
compensation	compens	compensation
for	for	for
the	the	the
women	women	woman
was	was	wa
settled	settl	settled
under	under	under
a	a	a
1965	1965	1965
treaty	treati	treaty
with	with	with
South	south	South
Korea	korea	Korea
.	.	.
In	in	In
addition	addit	addition
,	,	,
Japan	japan	Japan
s	s	s
then	then	then
-chief	-chief	-chief
cabinet	cabinet	cabinet
secretary	secretari	secretary
,	,	,
Yohei	yohei	Yohei
Kono	kono	Kono
,	,	,
apologized	apolog	apologized
in	in	in
a	a	a
1993	1993	1993
statement	statement	statement
acknowledging	acknowledg	acknowledging
authorities	author	authority
involvement	involv	involvement
in	in	in
coercing	coerc	coercing
the	the	the
women	women	woman
.	.	.
Two	two	Two
years	year	year
later	later	later
,	,	,
Japan	japan	Japan
created	creat	created
a	a	a
fund	fund	fund
to	to	to
make	make	make
payments	payment	payment
to	to	to
the	the	the
women	women	woman
from	from	from
donations	donat	donation
,	,	,
budgeted	budget	budgeted
money	money	money
for	for	for
their	their	their
welfare	welfar	welfare
support	support	support
and	and	and
sent	sent	sent
letters	letter	letter
of	of	of
apology	apolog	apology
from	from	from
successive	success	successive
premiers	premier	premier
.	.	.
Under	under	Under
a	a	a
pact	pact	pact
endorsed	endors	endorsed
by	by	by
Japanese	japanes	Japanese
Prime	prime	Prime
Minister	minist	Minister
Shinzo	shinzo	Shinzo
Abe	abe	Abe
and	and	and
South	south	South
Korean	korean	Korean
President	presid	President
Moon	moon	Moon
Jae	jae	Jae
-in	-in	-in
s	s	s
predecessor	predecessor	predecessor
,	,	,
in	in	in
2015	2015	2015
,	,	,
Japan	japan	Japan
apologized	apolog	apologized
again	again	again
to	to	to
the	the	the
women	women	woman
and	and	and
promised	promis	promised
1	1	1
billion	billion	billion
yen	yen	yen
9	9	9
million	million	million
for	for	for
a	a	a
fund	fund	fund
to	to	to
help	help	help
them	them	them
.	.	.
The	the	The
two	two	two
governments	govern	government
agreed	agre	agreed
the	the	the
issue	issu	issue
would	would	would
be	be	be
irreversibly	irrevers	irreversibly
resolved	resolv	resolved
if	if	if
both	both	both
fulfilled	fulfil	fulfilled
their	their	their
obligations	oblig	obligation
.	.	.
But	but	But
Moon	moon	Moon
has	has	ha
said	said	said
the	the	the
South	south	South
Korean	korean	Korean
people	peopl	people
did	did	did
not	not	not
accept	accept	accept
the	the	the
deal	deal	deal
.	.	.
Reminders	remind	Reminders
of	of	of
Japan	japan	Japan
s	s	s
brutal	brutal	brutal
rule	rule	rule
are	are	are
inflammatory	inflammatori	inflammatory
for	for	for
both	both	both
sides	side	side
.	.	.
Japan	japan	Japan
wants	want	want
South	south	South
Korea	korea	Korea
to	to	to
remove	remov	remove
a	a	a
statue	statu	statue
near	near	near
the	the	the
Japanese	japanes	Japanese
consulate	consul	consulate
in	in	in
Busan	busan	Busan
city	citi	city
commemorating	commemor	commemorating
Korean	korean	Korean
comfort	comfort	comfort
women	women	woman
,	,	,
as	as	a
well	well	well
as	as	a
another	anoth	another
near	near	near
the	the	the
Japanese	japanes	Japanese
embassy	embassi	embassy
in	in	in
Seoul	seoul	Seoul
.	.	.
