Reuters	reuter	Reuters
-	-	-
Republicans	republican	Republicans
in	in	in
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Senate	senat	Senate
passed	pass	passed
a	a	a
measure	measur	measure
to	to	to
eliminate	elimin	eliminate
an	an	an
Obama	obama	Obama
administration	administr	administration
rule	rule	rule
that	that	that
would	would	would
require	requir	require
prospective	prospect	prospective
federal	feder	federal
contractors	contractor	contractor
to	to	to
report	report	report
violations	violat	violation
of	of	of
more	more	more
than	than	than
a	a	a
dozen	dozen	dozen
U	u	U
.	.	.
S	s	S
.	.	.
labor	labor	labor
and	and	and
employment	employ	employment
laws	law	law
.	.	.
On	on	On
a	a	a
49	49	49
-48	-48	-48
vote	vote	vote
,	,	,
the	the	the
Senate	senat	Senate
endorsed	endors	endorsed
a	a	a
joint	joint	joint
resolution	resolut	resolution
under	under	under
the	the	the
Congressional	congression	Congressional
Review	review	Review
Act	act	Act
CRA	cra	CRA
to	to	to
overturn	overturn	overturn
the	the	the
contractor	contractor	contractor
disclosure	disclosur	disclosure
rule	rule	rule
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
House	hous	House
of	of	of
Representatives	repres	Representatives
approved	approv	approved
it	it	it
last	last	last
month	month	month
,	,	,
so	so	so
all	all	all
that	that	that
is	is	is
left	left	left
to	to	to
kill	kill	kill
the	the	the
regulation	regul	regulation
is	is	is
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
signature	signatur	signature
on	on	on
the	the	the
resolution	resolut	resolution
.	.	.
The	the	The
resolution	resolut	resolution
targeting	target	targeting
the	the	the
contractor	contractor	contractor
regulation	regul	regulation
,	,	,
dubbed	dub	dubbed
the	the	the
blacklisting	blacklist	blacklisting
rule	rule	rule
by	by	by
critics	critic	critic
,	,	,
is	is	is
a	a	a
part	part	part
of	of	of
a	a	a
larger	larger	larger
Republican	republican	Republican
effort	effort	effort
to	to	to
use	use	use
the	the	the
CRA	cra	CRA
to	to	to
rollback	rollback	rollback
a	a	a
swath	swath	swath
of	of	of
federal	feder	federal
regulations	regul	regulation
finalized	final	finalized
in	in	in
the	the	the
last	last	last
seven	seven	seven
months	month	month
of	of	of
the	the	the
Obama	obama	Obama
administration	administr	administration
.	.	.
Trump	trump	Trump
has	has	ha
signed	sign	signed
three	three	three
CRA	cra	CRA
resolutions	resolut	resolution
thus	thus	thus
far	far	far
,	,	,
which	which	which
eliminated	elimin	eliminated
an	an	an
environmental	environment	environmental
rule	rule	rule
for	for	for
streams	stream	stream
and	and	and
wetlands	wetland	wetland
,	,	,
a	a	a
measure	measur	measure
enhancing	enhanc	enhancing
background	background	background
checks	check	check
for	for	for
mentally	mental	mentally
ill	ill	ill
gun	gun	gun
purchasers	purchas	purchaser
and	and	and
a	a	a
requirement	requir	requirement
that	that	that
oil	oil	oil
,	,	,
gas	gas	gas
and	and	and
mining	mine	mining
companies	compani	company
report	report	report
payments	payment	payment
to	to	to
foreign	foreign	foreign
governments	govern	government
.	.	.
Republican	republican	Republican
lawmakers	lawmak	lawmaker
have	have	have
introduced	introduc	introduced
measures	measur	measure
targeting	target	targeting
more	more	more
than	than	than
30	30	30
rules	rule	rule
.	.	.
The	the	The
CRA	cra	CRA
is	is	is
an	an	an
efficient	effici	efficient
method	method	method
to	to	to
eliminate	elimin	eliminate
recently	recent	recently
passed	pass	passed
rules	rule	rule
,	,	,
as	as	a
it	it	it
is	is	is
much	much	much
faster	faster	faster
than	than	than
going	go	going
through	through	through
the	the	the
full	full	full
regulatory	regulatori	regulatory
process	process	process
and	and	and
cannot	cannot	cannot
be	be	be
filibustered	filibust	filibustered
in	in	in
the	the	the
Senate	senat	Senate
.	.	.
A	a	A
CRA	cra	CRA
resolution	resolut	resolution
also	also	also
bars	bar	bar
agencies	agenc	agency
from	from	from
issuing	issu	issuing
substantially	substanti	substantially
similar	similar	similar
regulations	regul	regulation
in	in	in
the	the	the
future	futur	future
.	.	.
The	the	The
Senate	senat	Senate
voted	vote	voted
on	on	on
Monday	monday	Monday
to	to	to
eliminate	elimin	eliminate
the	the	the
Obama	obama	Obama
administration	administr	administration
s	s	s
regulation	regul	regulation
issued	issu	issued
last	last	last
year	year	year
calling	call	calling
for	for	for
companies	compani	company
bidding	bid	bidding
on	on	on
federal	feder	federal
contracts	contract	contract
valued	valu	valued
at	at	at
more	more	more
than	than	than
500	500	500
,	,	,
000	000	000
to	to	to
disclose	disclos	disclose
violations	violat	violation
of	of	of
14	14	14
U	u	U
.	.	.
S	s	S
.	.	.
labor	labor	labor
and	and	and
employment	employ	employment
laws	law	law
and	and	and
their	their	their
state	state	state
equivalents	equival	equivalent
,	,	,
including	includ	including
those	those	those
governing	govern	governing
wage	wage	wage
and	and	and
hour	hour	hour
,	,	,
collective	collect	collective
bargaining	bargain	bargaining
,	,	,
discrimination	discrimin	discrimination
,	,	,
and	and	and
safety	safeti	safety
and	and	and
health	health	health
.	.	.
Associated	associ	Associated
Builders	builder	Builders
and	and	and
Contractors	contractor	Contractors
and	and	and
other	other	other
trade	trade	trade
groups	group	group
sued	su	sued
to	to	to
stop	stop	stop
the	the	the
contractor	contractor	contractor
rule	rule	rule
and	and	and
a	a	a
federal	feder	federal
judge	judg	judge
in	in	in
Texas	texa	Texas
in	in	in
October	octob	October
blocked	block	blocked
most	most	most
of	of	of
it	it	it
from	from	from
taking	take	taking
effect	effect	effect
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
Labor	labor	Labor
Department	depart	Department
is	is	is
appealing	appeal	appealing
that	that	that
ruling	rule	ruling
at	at	at
the	the	the
5th	5th	5th
U	u	U
.	.	.
S	s	S
.	.	.
Circuit	circuit	Circuit
Court	court	Court
of	of	of
Appeals	appeal	Appeals
,	,	,
but	but	but
the	the	the
legal	legal	legal
challenge	challeng	challenge
will	will	will
be	be	be
unnecessary	unnecessari	unnecessary
once	onc	once
Trump	trump	Trump
signs	sign	sign
the	the	the
CRA	cra	CRA
resolution	resolut	resolution
as	as	a
expected	expect	expected
.	.	.
