ANKARA	ankara	ANKARA
Reuters	reuter	Reuters
-	-	-
Turkey	turkey	Turkey
summoned	summon	summoned
the	the	the
U	u	U
.	.	.
S	s	S
ambassador	ambassador	ambassador
on	on	on
Monday	monday	Monday
to	to	to
protest	protest	protest
the	the	the
treatment	treatment	treatment
of	of	of
Turkish	turkish	Turkish
security	secur	security
officials	offici	official
in	in	in
the	the	the
United	unit	United
States	state	States
during	dure	during
a	a	a
visit	visit	visit
by	by	by
President	presid	President
Tayyip	tayyip	Tayyip
Erdogan	erdogan	Erdogan
last	last	last
week	week	week
,	,	,
the	the	the
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
.	.	.
A	a	A
brawl	brawl	brawl
erupted	erupt	erupted
between	between	between
protesters	protest	protester
and	and	and
Turkish	turkish	Turkish
security	secur	security
personnel	personnel	personnel
outside	outsid	outside
the	the	the
Turkish	turkish	Turkish
ambassador	ambassador	ambassador
s	s	s
residence	resid	residence
during	dure	during
Erdogan	erdogan	Erdogan
s	s	s
visit	visit	visit
to	to	to
Washington	washington	Washington
to	to	to
meet	meet	meet
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
.	.	.
Turkey	turkey	Turkey
blamed	blame	blamed
the	the	the
violence	violenc	violence
on	on	on
demonstrators	demonstr	demonstrator
linked	link	linked
to	to	to
the	the	the
militant	milit	militant
Kurdistan	kurdistan	Kurdistan
Workers	worker	Workers
Party	parti	Party
while	while	while
Washington	washington	Washington
s	s	s
police	polic	police
chief	chief	chief
described	describ	described
the	the	the
incident	incid	incident
as	as	a
a	a	a
brutal	brutal	brutal
attack	attack	attack
on	on	on
peaceful	peac	peaceful
protesters	protest	protester
.	.	.
The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
State	state	State
Department	depart	Department
said	said	said
in	in	in
a	a	a
statement	statement	statement
the	the	the
conduct	conduct	conduct
of	of	of
Turkish	turkish	Turkish
security	secur	security
personnel	personnel	personnel
during	dure	during
the	the	the
incident	incid	incident
was	was	wa
deeply	deepli	deeply
disturbing	disturb	disturbing
.	.	.
It	it	It
confirmed	confirm	confirmed
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
ambassador	ambassador	ambassador
in	in	in
Ankara	ankara	Ankara
had	had	had
been	been	been
summoned	summon	summoned
by	by	by
the	the	the
Turkish	turkish	Turkish
government	govern	government
to	to	to
discuss	discuss	discus
the	the	the
violent	violent	violent
incidents	incid	incident
.	.	.
The	the	The
Turkish	turkish	Turkish
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
it	it	it
summoned	summon	summoned
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
ambassador	ambassador	ambassador
to	to	to
protest	protest	protest
aggressive	aggress	aggressive
and	and	and
unprofessional	unprofession	unprofessional
actions	action	action
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
security	secur	security
personnel	personnel	personnel
to	to	to
the	the	the
security	secur	security
team	team	team
of	of	of
Turkish	turkish	Turkish
Foreign	foreign	Foreign
Minister	minist	Minister
Mevlut	mevlut	Mevlut
Cavusoglu	cavusoglu	Cavusoglu
.	.	.
It	it	It
has	has	ha
been	been	been
formally	formal	formally
requested	request	requested
that	that	that
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
authorities	author	authority
conduct	conduct	conduct
a	a	a
full	full	full
investigation	investig	investigation
of	of	of
this	this	this
diplomatic	diplomat	diplomatic
incident	incid	incident
and	and	and
provide	provid	provide
the	the	the
necessary	necessari	necessary
explanation	explan	explanation
,	,	,
the	the	the
foreign	foreign	foreign
ministry	ministri	ministry
said	said	said
in	in	in
a	a	a
statement	statement	statement
.	.	.
It	it	It
said	said	said
that	that	that
lapses	laps	lapse
of	of	of
security	secur	security
experienced	experienc	experienced
during	dure	during
Erdogan	erdogan	Erdogan
s	s	s
stay	stay	stay
in	in	in
Washington	washington	Washington
were	were	were
caused	caus	caused
by	by	by
the	the	the
inability	inabl	inability
of	of	of
U	u	U
.	.	.
S	s	S
.	.	.
authorities	author	authority
to	to	to
take	take	take
sufficient	suffici	sufficient
precautions	precaut	precaution
at	at	at
every	everi	every
stage	stage	stage
of	of	of
the	the	the
official	offici	official
program	program	program
,	,	,
adding	ad	adding
that	that	that
incidents	incid	incident
would	would	would
not	not	not
overshadow	overshadow	overshadow
what	what	what
was	was	wa
otherwise	otherwis	otherwise
a	a	a
very	veri	very
successful	success	successful
visit	visit	visit
.	.	.
Police	polic	Police
have	have	have
said	said	said
11	11	11
people	peopl	people
were	were	were
injured	injur	injured
,	,	,
including	includ	including
a	a	a
Washington	washington	Washington
police	polic	police
officer	offic	officer
,	,	,
and	and	and
two	two	two
people	peopl	people
were	were	were
arrested	arrest	arrested
for	for	for
assault	assault	assault
.	.	.
At	at	At
least	least	least
one	one	one
of	of	of
those	those	those
arrested	arrest	arrested
was	was	wa
a	a	a
protester	protest	protester
.	.	.
Washington	washington	Washington
said	said	said
last	last	last
week	week	week
it	it	it
was	was	wa
voicing	voic	voicing
its	it	it
strongest	strongest	strongest
possible	possibl	possible
concern	concern	concern
to	to	to
Turkey	turkey	Turkey
over	over	over
the	the	the
brawl	brawl	brawl
.	.	.
U	u	U
.	.	.
S	s	S
.	.	.
Senator	senat	Senator
John	john	John
McCain	mccain	McCain
,	,	,
one	one	one
of	of	of
the	the	the
leading	lead	leading
foreign	foreign	foreign
policy	polici	policy
voices	voic	voice
in	in	in
Congress	congress	Congress
,	,	,
on	on	on
Thursday	thursday	Thursday
called	call	called
for	for	for
the	the	the
expulsion	expuls	expulsion
of	of	of
Turkey	turkey	Turkey
s	s	s
U	u	U
.	.	.
S	s	S
.	.	.
ambassador	ambassador	ambassador
.	.	.
