NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
An	an	An
election	elect	election
analysis	analysi	analysis
conducted	conduct	conducted
in	in	in
the	the	the
Reuters	reuter	Reuters
Ipsos	ipso	Ipsos
States	state	States
of	of	of
the	the	the
Nation	nation	Nation
project	project	project
shows	show	show
that	that	that
the	the	the
race	race	race
has	has	ha
tightened	tighten	tightened
considerably	consider	considerably
over	over	over
the	the	the
past	past	past
few	few	few
weeks	week	week
,	,	,
with	with	with
Republican	republican	Republican
presidential	presidenti	presidential
nominee	nomine	nominee
Donald	donald	Donald
Trump	trump	Trump
projected	project	projected
to	to	to
win	win	win
Florida	florida	Florida
,	,	,
an	an	an
essential	essenti	essential
battleground	battleground	battleground
state	state	state
,	,	,
if	if	if
the	the	the
election	elect	election
were	were	were
held	held	held
today	today	today
.	.	.

The	the	The
project	project	project
,	,	,
which	which	which
is	is	is
based	base	based
on	on	on
a	a	a
weekly	week	weekly
tracking	track	tracking
poll	poll	poll
of	of	of
more	more	more
than	than	than
15	15	15
,	,	,
000	000	000
Americans	american	Americans
,	,	,
shows	show	show
that	that	that
the	the	the
2016	2016	2016
presidential	presidenti	presidential
race	race	race
could	could	could
end	end	end
in	in	in
a	a	a
photo	photo	photo
finish	finish	finish
on	on	on
Nov	nov	Nov
.	.	.

8	8	8
,	,	,
with	with	with
the	the	the
major	major	major
-party	-parti	-party
candidates	candid	candidate
running	run	running
nearly	near	nearly
even	even	even
in	in	in
the	the	the
Electoral	elector	Electoral
College	colleg	College
,	,	,
the	the	the
body	bodi	body
that	that	that
ultimately	ultim	ultimately
selects	select	selects
the	the	the
president	presid	president
.	.	.

The	the	The
States	state	States
of	of	of
the	the	the
Nation	nation	Nation
project	project	project
,	,	,
which	which	which
delivers	deliv	delivers
a	a	a
weekly	week	weekly
tally	talli	tally
of	of	of
support	support	support
for	for	for
the	the	the
candidates	candid	candidate
in	in	in
every	everi	every
state	state	state
,	,	,
shows	show	show
that	that	that
the	the	the
race	race	race
has	has	ha
tightened	tighten	tightened
in	in	in
several	sever	several
traditional	tradit	traditional
battlegrounds	battleground	battleground
.	.	.

Pennsylvania	pennsylvania	Pennsylvania
has	has	ha
been	been	been
moved	move	moved
from	from	from
a	a	a
likely	like	likely
win	win	win
for	for	for
Democratic	democrat	Democratic
presidential	presidenti	presidential
nominee	nomine	nominee
Hillary	hillari	Hillary
Clinton	clinton	Clinton
to	to	to
a	a	a
tossup	tossup	tossup
;	;	;
Ohio	ohio	Ohio
has	has	ha
been	been	been
moved	move	moved
from	from	from
a	a	a
tossup	tossup	tossup
to	to	to
a	a	a
likely	like	likely
win	win	win
for	for	for
Clinton	clinton	Clinton
.	.	.

And	and	And
Florida	florida	Florida
is	is	is
now	now	now
considered	consid	considered
a	a	a
likely	like	likely
win	win	win
for	for	for
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
,	,	,
with	with	with
50	50	50
percent	percent	percent
support	support	support
for	for	for
Trump	trump	Trump
to	to	to
46	46	46
percent	percent	percent
support	support	support
for	for	for
Clinton	clinton	Clinton
.	.	.

If	if	If
the	the	the
election	elect	election
were	were	were
held	held	held
today	today	today
,	,	,
the	the	the
project	project	project
estimates	estim	estimate
that	that	that
Clinton	clinton	Clinton
has	has	ha
a	a	a
60	60	60
percent	percent	percent
chance	chanc	chance
of	of	of
winning	win	winning
by	by	by
18	18	18
electoral	elector	electoral
votes	vote	vote
.	.	.

Last	last	Last
week	week	week
,	,	,
the	the	the
project	project	project
estimated	estim	estimated
that	that	that
Clinton	clinton	Clinton
had	had	had
a	a	a
83	83	83
percent	percent	percent
chance	chanc	chance
of	of	of
winning	win	winning
the	the	the
election	elect	election
.	.	.

In	in	In
a	a	a
separate	separ	separate
national	nation	national
Reuters	reuter	Reuters
Ipsos	ipso	Ipsos
tracking	track	tracking
poll	poll	poll
,	,	,
Clinton	clinton	Clinton
continues	continu	continues
to	to	to
lead	lead	lead
Trump	trump	Trump
by	by	by
4	4	4
percentage	percentag	percentage
points	point	point
,	,	,
and	and	and
her	her	her
recent	recent	recent
bout	bout	bout
with	with	with
pneumonia	pneumonia	pneumonia
doesn	doesn	doesn
t	t	t
appear	appear	appear
to	to	to
have	have	have
scared	scare	scared
away	away	away
her	her	her
supporters	support	supporter
.	.	.

The	the	The
national	nation	national
Sept	sept	Sept
.	.	.

9	9	9
-15	-15	-15
tracking	track	tracking
poll	poll	poll
showed	show	showed
that	that	that
42	42	42
percent	percent	percent
of	of	of
likely	like	likely
voters	voter	voter
supported	support	supported
Clinton	clinton	Clinton
while	while	while
38	38	38
percent	percent	percent
backed	back	backed
Trump	trump	Trump
.	.	.

Clinton	clinton	Clinton
,	,	,
who	who	who
has	has	ha
mostly	most	mostly
led	led	led
Trump	trump	Trump
in	in	in
the	the	the
poll	poll	poll
since	sinc	since
the	the	the
Democratic	democrat	Democratic
and	and	and
Republican	republican	Republican
national	nation	national
conventions	convent	convention
ended	end	ended
in	in	in
July	juli	July
,	,	,
regained	regain	regained
the	the	the
advantage	advantag	advantage
this	this	this
week	week	week
after	after	after
her	her	her
lead	lead	lead
briefly	briefli	briefly
faded	fade	faded
in	in	in
late	late	late
August	august	August
.	.	.

Clinton	clinton	Clinton
has	has	ha
an	an	an
advantage	advantag	advantage
among	among	among
minorities	minor	minority
,	,	,
women	women	woman
,	,	,
people	peopl	people
who	who	who
make	make	make
more	more	more
than	than	than
75	75	75
,	,	,
000	000	000
a	a	a
year	year	year
,	,	,
and	and	and
those	those	those
with	with	with
moderate	moder	moderate
political	polit	political
leanings	lean	leaning
.	.	.

Trump	trump	Trump
has	has	ha
an	an	an
advantage	advantag	advantage
with	with	with
whites	white	white
,	,	,
men	men	men
,	,	,
avid	avid	avid
churchgoers	churchgoer	churchgoer
,	,	,
and	and	and
people	peopl	people
who	who	who
are	are	are
nearing	near	nearing
retirement	retir	retirement
age	age	age
.	.	.

Overall	overal	Overall
,	,	,
Americans	american	Americans
appear	appear	appear
to	to	to
be	be	be
relatively	relat	relatively
uninspired	uninspir	uninspired
by	by	by
their	their	their
choices	choic	choice
for	for	for
president	presid	president
with	with	with
less	less	le
than	than	than
eight	eight	eight
weeks	week	week
to	to	to
go	go	go
before	befor	before
the	the	the
election	elect	election
.	.	.

One	one	One
out	out	out
of	of	of
every	everi	every
five	five	five
likely	like	likely
voters	voter	voter
said	said	said
they	they	they
do	do	do
not	not	not
support	support	support
Clinton	clinton	Clinton
or	or	or
Trump	trump	Trump
for	for	for
president	presid	president
.	.	.

In	in	In
comparison	comparison	comparison
,	,	,
about	about	about
one	one	one
out	out	out
of	of	of
every	everi	every
10	10	10
likely	like	likely
voters	voter	voter
wouldn	wouldn	wouldn
t	t	t
support	support	support
Obama	obama	Obama
or	or	or
Republican	republican	Republican
challenger	challeng	challenger
Mitt	mitt	Mitt
Romney	romney	Romney
at	at	at
a	a	a
similar	similar	similar
point	point	point
in	in	in
the	the	the
2012	2012	2012
presidential	presidenti	presidential
campaign	campaign	campaign
.	.	.

Respondents	respond	Respondents
took	took	took
the	the	the
survey	survey	survey
after	after	after
video	video	video
surfaced	surfac	surfaced
of	of	of
Clinton	clinton	Clinton
nearly	near	nearly
collapsing	collaps	collapsing
at	at	at
a	a	a
Sept	sept	Sept
.	.	.

11	11	11
memorial	memori	memorial
in	in	in
New	new	New
York	york	York
on	on	on
Sunday	sunday	Sunday
.	.	.

Her	her	Her
campaign	campaign	campaign
later	later	later
said	said	said
she	she	she
had	had	had
a	a	a
non	non	non
-contagious	-contagi	-contagious
,	,	,
bacterial	bacteri	bacterial
form	form	form
of	of	of
pneumonia	pneumonia	pneumonia
.	.	.

The	the	The
video	video	video
sparked	spark	sparked
a	a	a
renewed	renew	renewed
discussion	discuss	discussion
about	about	about
the	the	the
health	health	health
of	of	of
both	both	both
candidates	candid	candidate
.	.	.

Trump	trump	Trump
,	,	,
70	70	70
,	,	,
would	would	would
be	be	be
the	the	the
oldest	oldest	oldest
president	presid	president
to	to	to
take	take	take
office	offic	office
,	,	,
while	while	while
Clinton	clinton	Clinton
,	,	,
68	68	68
,	,	,
would	would	would
be	be	be
the	the	the
second	second	second
oldest	oldest	oldest
.	.	.

Clinton	clinton	Clinton
and	and	and
Trump	trump	Trump
candidates	candid	candidate
have	have	have
since	sinc	since
released	releas	released
details	detail	detail
of	of	of
their	their	their
personal	person	personal
health	health	health
.	.	.

Clinton	clinton	Clinton
s	s	s
doctors	doctor	doctor
said	said	said
her	her	her
physical	physic	physical
exam	exam	exam
was	was	wa
normal	normal	normal
,	,	,
apart	apart	apart
from	from	from
the	the	the
pneumonia	pneumonia	pneumonia
,	,	,
and	and	and
