PRISTINA	pristina	PRISTINA
Reuters	reuter	Reuters
-	-	-
Kosovo	kosovo	Kosovo
s	s	s
government	govern	government
considers	consid	considers
the	the	the
possibility	possibl	possibility
of	of	of
attacks	attack	attack
by	by	by
Islamic	islam	Islamic
State	state	State
fighters	fighter	fighter
returning	return	returning
from	from	from
Iraq	iraq	Iraq
and	and	and
Syria	syria	Syria
one	one	one
of	of	of
the	the	the
main	main	main
threats	threat	threat
to	to	to
national	nation	national
security	secur	security
,	,	,
according	accord	according
to	to	to
a	a	a
new	new	new
strategy	strategi	strategy
document	document	document
.	.	.

Around	around	Around
300	300	300
Kosovars	kosovar	Kosovars
have	have	have
gone	gone	gone
to	to	to
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
since	sinc	since
2012	2012	2012
to	to	to
fight	fight	fight
with	with	with
the	the	the
Islamic	islam	Islamic
State	state	State
group	group	group
for	for	for
the	the	the
establishment	establish	establishment
of	of	of
a	a	a
caliphate	caliph	caliphate
ruled	rule	ruled
by	by	by
Islamic	islam	Islamic
law	law	law
.	.	.

Some	some	Some
70	70	70
have	have	have
been	been	been
killed	kill	killed
but	but	but
many	mani	many
,	,	,
including	includ	including
women	women	woman
and	and	and
children	children	child
,	,	,
are	are	are
still	still	still
believed	believ	believed
to	to	to
be	be	be
in	in	in
the	the	the
conflict	conflict	conflict
zone	zone	zone
,	,	,
despite	despit	despite
the	the	the
group	group	group
s	s	s
expulsion	expuls	expulsion
from	from	from
almost	almost	almost
all	all	all
the	the	the
population	popul	population
centers	center	center
it	it	it
had	had	had
held	held	held
.	.	.

The	the	The
document	document	document
,	,	,
State	state	State
Strategy	strategi	Strategy
Against	against	Against
Terrorism	terror	Terrorism
and	and	and
Action	action	Action
Plan	plan	Plan
2018	2018	2018
-2022	-2022	-2022
,	,	,
was	was	wa
posted	post	posted
on	on	on
a	a	a
government	govern	government
website	websit	website
on	on	on
Friday	friday	Friday
.	.	.

It	it	It
said	said	said
potential	potenti	potential
threats	threat	threat
included	includ	included
attacks	attack	attack
by	by	by
members	member	member
of	of	of
terrorist	terrorist	terrorist
organizations	organ	organization
through	through	through
foreign	foreign	foreign
terrorist	terrorist	terrorist
fighters	fighter	fighter
,	,	,
inactive	inact	inactive
cells	cell	cell
,	,	,
but	but	but
also	also	also
by	by	by
sympathizers	sympath	sympathizer
and	and	and
supporters	support	supporter
who	who	who
may	may	may
be	be	be
inspired	inspir	inspired
to	to	to
commit	commit	commit
violent	violent	violent
acts	act	act
.	.	.

International	intern	International
and	and	and
local	local	local
security	secur	security
agencies	agenc	agency
have	have	have
previously	previous	previously
warned	warn	warned
of	of	of
the	the	the
risk	risk	risk
posed	pose	posed
by	by	by
returning	return	returning
fighters	fighter	fighter
,	,	,
and	and	and
in	in	in
2015	2015	2015
,	,	,
Kosovo	kosovo	Kosovo
adopted	adopt	adopted
a	a	a
law	law	law
making	make	making
fighting	fight	fighting
in	in	in
foreign	foreign	foreign
conflicts	conflict	conflict
punishable	punish	punishable
by	by	by
up	up	up
to	to	to
15	15	15
years	year	year
in	in	in
jail	jail	jail
.	.	.

The	the	The
report	report	report
said	said	said
there	there	there
had	had	had
been	been	been
public	public	public
calls	call	call
for	for	for
terrorist	terrorist	terrorist
attacks	attack	attack
in	in	in
Kosovo	kosovo	Kosovo
and	and	and
the	the	the
region	region	region
and	and	and
called	call	called
terrorism	terror	terrorism
one	one	one
of	of	of
the	the	the
biggest	biggest	biggest
threats	threat	threat
to	to	to
national	nation	national
security	secur	security
.	.	.

Kosovo	kosovo	Kosovo
s	s	s
population	popul	population
is	is	is
nominally	nomin	nominally
90	90	90
percent	percent	percent
Muslim	muslim	Muslim
,	,	,
but	but	but
largely	larg	largely
secular	secular	secular
in	in	in
outlook	outlook	outlook
.	.	.

There	there	There
have	have	have
been	been	been
no	no	no
Islamist	islamist	Islamist
attacks	attack	attack
on	on	on
its	it	it
soil	soil	soil
,	,	,
although	although	although
in	in	in
June	june	June
,	,	,
nine	nine	nine
Kosovar	kosovar	Kosovar
men	men	men
were	were	were
charged	charg	charged
with	with	with
planning	plan	planning
attacks	attack	attack
at	at	at
a	a	a
soccer	soccer	soccer
match	match	match
in	in	in
Albania	albania	Albania
against	against	against
the	the	the
visiting	visit	visiting
Israeli	isra	Israeli
national	nation	national
team	team	team
and	and	and
its	it	it
fans	fan	fan
the	the	the
previous	previous	previous
November	novemb	November
.	.	.

The	the	The
state	state	state
prosecutor	prosecutor	prosecutor
said	said	said
some	some	some
of	of	of
the	the	the
men	men	men
had	had	had
been	been	been
in	in	in
contact	contact	contact
with	with	with
Lavdrim	lavdrim	Lavdrim
Muhaxheri	muhaxheri	Muhaxheri
,	,	,
a	a	a
prominent	promin	prominent
Islamic	islam	Islamic
State	state	State
member	member	member
and	and	and
the	the	the
self	self	self
-declared	-declar	-declared
commander	command	commander
of	of	of
Albanians	albanian	Albanians
in	in	in
Syria	syria	Syria
and	and	and
Iraq	iraq	Iraq
,	,	,
from	from	from
whom	whom	whom
they	they	they
had	had	had
received	receiv	received
orders	order	order
to	to	to
attack	attack	attack
.	.	.

Muhaxheri	muhaxheri	Muhaxheri
was	was	wa
reported	report	reported
to	to	to
have	have	have
been	been	been
killed	kill	killed
in	in	in
the	the	the
Syria	syria	Syria
the	the	the
same	same	same
month	month	month
.	.	.

The	the	The
government	govern	government
strategy	strategi	strategy
,	,	,
compiled	compil	compiled
by	by	by
the	the	the
Interior	interior	Interior
Ministry	ministri	Ministry
,	,	,
said	said	said
that	that	that
a	a	a
form	form	form
of	of	of
radical	radic	radical
Islam	islam	Islam
had	had	had
been	been	been
imported	import	imported
to	to	to
Kosovo	kosovo	Kosovo
by	by	by
non	non	non
-governmental	-government	-governmental
organizations	organ	organization
from	from	from
the	the	the
Middle	middl	Middle
East	east	East
after	after	after
the	the	the
end	end	end
of	of	of
its	it	it
1998	1998	1998
-99	-99	-99
war	war	war
of	of	of
secession	secess	secession
from	from	from
Serbia	serbia	Serbia
.	.	.

