LONDON	london	LONDON
Reuters	reuter	Reuters
-	-	-
British	british	British
Prime	prime	Prime
Minister	minist	Minister
Theresa	theresa	Theresa
May	may	May
withstood	withstood	withstood
new	new	new
attempts	attempt	attempt
to	to	to
force	forc	force
concessions	concess	concession
on	on	on
her	her	her
blueprint	blueprint	blueprint
for	for	for
leaving	leav	leaving
the	the	the
European	european	European
Union	union	Union
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
the	the	the
second	second	second
day	day	day
of	of	of
a	a	a
parliamentary	parliamentari	parliamentary
debate	debat	debate
that	that	that
is	is	is
deepening	deepen	deepening
divisions	divis	division
over	over	over
Brexit	brexit	Brexit
.	.	.
May	may	May
has	has	ha
been	been	been
weakened	weaken	weakened
by	by	by
losing	lose	losing
the	the	the
Conservative	conserv	Conservative
Party	parti	Party
s	s	s
majority	major	majority
in	in	in
a	a	a
June	june	June
election	elect	election
and	and	and
faces	face	face
hostility	hostil	hostility
from	from	from
many	mani	many
lawmakers	lawmak	lawmaker
,	,	,
including	includ	including
some	some	some
Conservatives	conserv	Conservatives
,	,	,
to	to	to
various	various	various
parts	part	part
of	of	of
the	the	the
EU	eu	EU
withdrawal	withdraw	withdrawal
bill	bill	bill
which	which	which
requires	requir	requires
parliamentary	parliamentari	parliamentary
approval	approv	approval
.	.	.
All	all	All
attempts	attempt	attempt
to	to	to
amend	amend	amend
the	the	the
bill	bill	bill
,	,	,
on	on	on
severing	sever	severing
ties	tie	tie
with	with	with
the	the	the
EU	eu	EU
,	,	,
have	have	have
been	been	been
voted	vote	voted
down	down	down
so	so	so
far	far	far
,	,	,
but	but	but
a	a	a
debate	debat	debate
next	next	next
month	month	month
on	on	on
precisely	precis	precisely
when	when	when
Britain	britain	Britain
should	should	should
leave	leav	leave
,	,	,
and	and	and
whether	whether	whether
a	a	a
time	time	time
should	should	should
be	be	be
set	set	set
at	at	at
all	all	all
,	,	,
is	is	is
be	be	be
to	to	to
test	test	test
her	her	her
authority	author	authority
.	.	.
May	may	May
urged	urg	urged
lawmakers	lawmak	lawmaker
to	to	to
work	work	work
together	togeth	together
ahead	ahead	ahead
of	of	of
a	a	a
debate	debat	debate
on	on	on
several	sever	several
amendments	amend	amendment
aimed	aim	aimed
at	at	at
entrenching	entrench	entrenching
EU	eu	EU
protections	protect	protection
on	on	on
a	a	a
wide	wide	wide
range	rang	range
of	of	of
issues	issu	issue
from	from	from
the	the	the
environment	environ	environment
to	to	to
workers	worker	worker
rights	right	right
.	.	.
We	we	We
will	will	will
be	be	be
leaving	leav	leaving
the	the	the
European	european	European
Union	union	Union
on	on	on
the	the	the
19th	19th	19th
of	of	of
March	march	March
,	,	,
2019	2019	2019
,	,	,
and	and	and
of	of	of
course	cours	course
there	there	there
is	is	is
a	a	a
lively	live	lively
debate	debat	debate
going	go	going
on	on	on
in	in	in
this	this	this
place	place	place
and	and	and
that	that	that
s	s	s
right	right	right
and	and	and
proper	proper	proper
,	,	,
and	and	and
that	that	that
s	s	s
important	import	important
,	,	,
May	may	May
said	said	said
during	dure	during
the	the	the
weekly	week	weekly
prime	prime	prime
minister	minist	minister
s	s	s
question	question	question
time	time	time
.	.	.
We	we	We
are	are	are
listening	listen	listening
carefully	care	carefully
to	to	to
those	those	those
who	who	who
wish	wish	wish
to	to	to
improve	improv	improve
the	the	the
bill	bill	bill
and	and	and
I	i	I
hope	hope	hope
that	that	that
we	we	we
can	can	can
all	all	all
come	come	come
together	togeth	together
to	to	to
deliver	deliv	deliver
on	on	on
the	the	the
decision	decis	decision
that	that	that
the	the	the
country	countri	country
took	took	took
that	that	that
we	we	we
should	should	should
leave	leav	leave
the	the	the
European	european	European
Union	union	Union
.	.	.
The	the	The
debates	debat	debate
are	are	are
likely	like	likely
to	to	to
last	last	last
for	for	for
weeks	week	week
on	on	on
a	a	a
bill	bill	bill
seen	seen	seen
by	by	by
May	may	May
as	as	a
crucial	crucial	crucial
to	to	to
give	give	give
companies	compani	company
confidence	confid	confidence
that	that	that
there	there	there
will	will	will
be	be	be
no	no	no
major	major	major
legal	legal	legal
changes	chang	change
that	that	that
affect	affect	affect
business	busi	business
when	when	when
Britain	britain	Britain
leaves	leav	leaf
the	the	the
EU	eu	EU
in	in	in
March	march	March
2019	2019	2019
.	.	.
On	on	On
the	the	the
first	first	first
day	day	day
of	of	of
debate	debat	debate
on	on	on
Tuesday	tuesday	Tuesday
,	,	,
lawmakers	lawmak	lawmaker
broke	broke	broke
down	down	down
party	parti	party
lines	line	line
in	in	in
turning	turn	turning
on	on	on
each	each	each
other	other	other
with	with	with
catcalls	catcal	catcall
,	,	,
jeers	jeer	jeer
and	and	and
accusations	accus	accusation
of	of	of
treachery	treacheri	treachery
.	.	.
Behind	behind	Behind
the	the	the
debates	debat	debate
is	is	is
the	the	the
fear	fear	fear
of	of	of
pro	pro	pro
-Brexit	-brexit	-Brexit
lawmakers	lawmak	lawmaker
that	that	that
Britain	britain	Britain
may	may	may
never	never	never
leave	leav	leave
the	the	the
EU	eu	EU
,	,	,
and	and	and
of	of	of
pro	pro	pro
-EU	-eu	-EU
politicians	politician	politician
who	who	who
are	are	are
worried	worri	worried
Britain	britain	Britain
might	might	might
crash	crash	crash
out	out	out
of	of	of
the	the	the
EU	eu	EU
without	without	without
a	a	a
deal	deal	deal
.	.	.
Exit	exit	Exit
day	day	day
has	has	ha
become	becom	become
the	the	the
focus	focus	focus
for	for	for
most	most	most
in	in	in
parliament	parliament	parliament
with	with	with
some	some	some
lawmakers	lawmak	lawmaker
saying	say	saying
pro	pro	pro
-Brexit	-brexit	-Brexit
politicians	politician	politician
want	want	want
a	a	a
firm	firm	firm
date	date	date
on	on	on
the	the	the
bill	bill	bill
-	-	-
11	11	11
00	00	00
p	p	p
.	.	.
m	m	m
.	.	.
on	on	on
March	march	March
29	29	29
,	,	,
2019	2019	2019
-	-	-
to	to	to
limit	limit	limit
flexibility	flexibl	flexibility
in	in	in
talks	talk	talk
with	with	with
the	the	the
EU	eu	EU
that	that	that
are	are	are
deadlocked	deadlock	deadlocked
largely	larg	largely
over	over	over
money	money	money
.	.	.
May	may	May
and	and	and
her	her	her
ministers	minist	minister
are	are	are
stepping	step	stepping
up	up	up
contacts	contact	contact
with	with	with
EU	eu	EU
officials	offici	official
,	,	,
trying	tri	trying
to	to	to
find	find	find
ways	way	way
to	to	to
put	put	put
pressure	pressur	pressure
on	on	on
negotiators	negoti	negotiator
in	in	in
Brussels	brussel	Brussels
to	to	to
try	tri	try
to	to	to
push	push	push
the	the	the
talks	talk	talk
forward	forward	forward
by	by	by
December	decemb	December
,	,	,
movement	movement	movement
businesses	busi	business
say	say	say
they	they	they
need	need	need
to	to	to
make	make	make
investment	invest	investment
decisions	decis	decision
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
May	may	May
met	met	met
Manfred	manfr	Manfred
Weber	weber	Weber
,	,	,
a	a	a
leading	lead	leading
lawmaker	lawmak	lawmaker
in	in	in
the	the	the
European	european	European
Parliament	parliament	Parliament
and	and	and
an	an	an
ally	alli	ally
of	of	of
German	german	German
Chancellor	chancellor	Chancellor
Angela	angela	Angela
Merkel	merkel	Merkel
,	,	,
in	in	in
London	london	London
,	,	,
where	where	where
he	he	he
expressed	express	expressed
confidence	confid	confidence
that	that	that
the	the	the
difficulties	difficulti	difficulty
in	in	in
the	the	the
talks	talk	talk
could	could	could
be	be	be
overcome	overcom	overcome
.	.	.
The	the	The
parliamentary	parliamentari	parliamentary
debate	debat	debate
is	is	is
yet	yet	yet
another	anoth	another
headache	headach	headache
for	for	for
a	a	a
prime	prime	prime
minister	minist	minister
,	,	,
who	who	who
has	has	ha
lost	lost	lost
two	two	two
ministers	minist	minister
to	to	to
scandals	scandal	scandal
and	and	and
faces	face	face
calls	call	call
to	to	to
fire	fire	fire
her	her	her
foreign	foreign	foreign
minister	minist	minister
,	,	,
Boris	bori	Boris
Johnson	johnson	Johnson
,	,	,
over	over	over
remarks	remark	remark
he	he	he
made	made	made
about	about	about
a	a	a
jailed	jail	jailed
Iranian	iranian	Iranian
-British	-british	-British
aid	aid	aid
worker	worker	worker
in	in	in
Iran	iran	Iran
.	.	.
She	she	She
has	has	ha
tried	tri	tried
to	to	to
ease	eas	ease
tensions	tension	tension
by	by	by
offering	offer	offering
lawmakers	lawmak	lawmaker
some	some	some
concessions	concess	concession
on	on	on
the	the	the
bill	bill	bill
,	,	,
but	but	but
has	has	ha
yet	yet	yet
to	to	to
convince	convinc	convince
all	all	all
her	her	her
lawmakers	lawmak	lawmaker
,	,	,
many	mani	many
of	of	of
whom	whom	whom
have	have	have
said	said	said
they	they	they
will	will	will
not	not	not
vote	vote	vote
with	with	with
the	the	the
government	govern	government
on	on	on
at	at	at
least	least	least
one	one	one
of	of	of
the	the	the
debates	debat	debate
,	,	,
namely	name	namely
on	on	on
exit	exit	exit
day	day	day
.	.	.
