LOS	los	LOS
ANGELES	angel	ANGELES
Reuters	reuter	Reuters
-	-	-
Democrat	democrat	Democrat
Hillary	hillari	Hillary
Clinton	clinton	Clinton
on	on	on
Tuesday	tuesday	Tuesday
vowed	vow	vowed
to	to	to
make	make	make
starting	start	starting
a	a	a
small	small	small
business	busi	business
in	in	in
the	the	the
United	unit	United
States	state	States
as	as	a
easy	easi	easy
as	as	a
opening	open	opening
a	a	a
lemonade	lemonad	lemonade
stand	stand	stand
if	if	if
elected	elect	elected
president	presid	president
,	,	,
targeting	target	targeting
a	a	a
large	larg	large
economic	econom	economic
sector	sector	sector
and	and	and
a	a	a
significant	signific	significant
voting	vote	voting
bloc	bloc	bloc
.	.	.
Her	her	Her
flagship	flagship	flagship
proposal	propos	proposal
is	is	is
to	to	to
establish	establish	establish
a	a	a
standard	standard	standard
tax	tax	tax
deduction	deduct	deduction
for	for	for
small	small	small
businesses	busi	business
,	,	,
previously	previous	previously
only	onli	only
available	avail	available
to	to	to
individuals	individu	individual
,	,	,
allowing	allow	allowing
owners	owner	owner
to	to	to
get	get	get
tax	tax	tax
relief	relief	relief
without	without	without
filing	file	filing
additional	addit	additional
forms	form	form
.	.	.
Clinton	clinton	Clinton
would	would	would
also	also	also
expand	expand	expand
healthcare	healthcar	healthcare
tax	tax	tax
credits	credit	credit
in	in	in
the	the	the
Affordable	afford	Affordable
Care	care	Care
Act	act	Act
for	for	for
small	small	small
businesses	busi	business
that	that	that
employ	employ	employ
up	up	up
to	to	to
50	50	50
workers	worker	worker
and	and	and
create	creat	create
new	new	new
federal	feder	federal
incentives	incent	incentive
for	for	for
local	local	local
and	and	and
state	state	state
governments	govern	government
to	to	to
streamline	streamlin	streamline
the	the	the
business	busi	business
licensing	licens	licensing
process	process	process
,	,	,
according	accord	according
to	to	to
background	background	background
provided	provid	provided
by	by	by
her	her	her
campaign	campaign	campaign
.	.	.
Since	sinc	Since
launching	launch	launching
her	her	her
campaign	campaign	campaign
in	in	in
April	april	April
2015	2015	2015
,	,	,
Clinton	clinton	Clinton
has	has	ha
said	said	said
she	she	she
wants	want	want
to	to	to
be	be	be
the	the	the
small	small	small
business	busi	business
president	presid	president
if	if	if
she	she	she
wins	win	win
the	the	the
Nov	nov	Nov
.	.	.
8	8	8
election	elect	election
against	against	against
businessman	businessman	businessman
Donald	donald	Donald
Trump	trump	Trump
,	,	,
the	the	the
Republican	republican	Republican
nominee	nomine	nominee
.	.	.
Trump	trump	Trump
has	has	ha
offered	offer	offered
lower	lower	lower
tax	tax	tax
rates	rate	rate
for	for	for
small	small	small
businesses	busi	business
and	and	and
cuts	cut	cut
to	to	to
federal	feder	federal
regulations	regul	regulation
to	to	to
help	help	help
jump	jump	jump
-start	-start	-start
America	america	America
.	.	.
Clinton	clinton	Clinton
s	s	s
campaign	campaign	campaign
held	held	held
a	a	a
conference	confer	conference
call	call	call
with	with	with
small	small	small
business	busi	business
owners	owner	owner
on	on	on
Tuesday	tuesday	Tuesday
to	to	to
discuss	discuss	discus
her	her	her
proposals	propos	proposal
and	and	and
offer	offer	offer
ways	way	way
they	they	they
could	could	could
help	help	help
with	with	with
the	the	the
former	former	former
secretary	secretari	secretary
of	of	of
state	state	state
s	s	s
campaign	campaign	campaign
.	.	.
You	you	You
will	will	will
always	alway	always
have	have	have
a	a	a
seat	seat	seat
at	at	at
the	the	the
table	tabl	table
,	,	,
