SYDNEY	sydney	SYDNEY
Reuters	reuter	Reuters
-	-	-
The	the	The
United	unit	United
States	state	States
will	will	will
apply	appli	apply
extreme	extrem	extreme
vetting	vet	vetting
to	to	to
up	up	up
to	to	to
1	1	1
,	,	,
250	250	250
asylum	asylum	asylum
seekers	seeker	seeker
it	it	it
has	has	ha
agreed	agre	agreed
to	to	to
resettle	resettl	resettle
as	as	a
part	part	part
of	of	of
a	a	a
deal	deal	deal
with	with	with
Australia	australia	Australia
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
President	presid	President
Trump	trump	Trump
said	said	said
in	in	in
the	the	the
United	unit	United
States	state	States
on	on	on
Tuesday	tuesday	Tuesday
.	.	.

Washington	washington	Washington
agreed	agre	agreed
on	on	on
a	a	a
deal	deal	deal
late	late	late
last	last	last
year	year	year
to	to	to
resettle	resettl	resettle
asylum	asylum	asylum
seekers	seeker	seeker
,	,	,
mainly	main	mainly
from	from	from
Afghanistan	afghanistan	Afghanistan
,	,	,
Iran	iran	Iran
and	and	and
Iraq	iraq	Iraq
,	,	,
held	held	held
in	in	in
Australia	australia	Australia
s	s	s
processing	process	processing
centers	center	center
on	on	on
remote	remot	remote
Pacific	pacif	Pacific
islands	island	island
in	in	in
Papua	papua	Papua
New	new	New
Guinea	guinea	Guinea
and	and	and
Nauru	nauru	Nauru
.	.	.

Under	under	Under
the	the	the
deal	deal	deal
,	,	,
Australia	australia	Australia
would	would	would
in	in	in
return	return	return
resettle	resettl	resettle
refugees	refuge	refugee
from	from	from
El	el	El
Salvador	salvador	Salvador
,	,	,
Guatemala	guatemala	Guatemala
and	and	and
Honduras	hondura	Honduras
.	.	.

Providing	provid	Providing
details	detail	detail
of	of	of
the	the	the
plan	plan	plan
for	for	for
the	the	the
first	first	first
time	time	time
,	,	,
White	white	White
House	hous	House
Press	press	Press
Secretary	secretari	Secretary
Sean	sean	Sean
Spicer	spicer	Spicer
said	said	said
the	the	the
deal	deal	deal
covered	cover	covered
many	mani	many
of	of	of
the	the	the
refugees	refuge	refugee
held	held	held
in	in	in
the	the	the
two	two	two
offshore	offshor	offshore
processing	process	processing
centers	center	center
,	,	,
although	although	although
they	they	they
must	must	must
satisfy	satisfi	satisfy
recently	recent	recently
tightened	tighten	tightened
immigration	immigr	immigration
policies	polici	policy
.	.	.

The	the	The
deal	deal	deal
specifically	specif	specifically
deals	deal	deal
with	with	with
1	1	1
,	,	,
250	250	250
people	peopl	people
that	that	that
are	are	are
mostly	most	mostly
in	in	in
Papua	papua	Papua
New	new	New
Guinea	guinea	Guinea
being	be	being
held	held	held
,	,	,
Spicer	spicer	Spicer
told	told	told
reporters	report	reporter
in	in	in
Washington	washington	Washington
.	.	.

Part	part	Part
of	of	of
the	the	the
deal	deal	deal
is	is	is
that	that	that
they	they	they
have	have	have
to	to	to
be	be	be
vetted	vet	vetted
in	in	in
the	the	the
same	same	same
manner	manner	manner
that	that	that
we	we	we
re	re	re
doing	do	doing
now	now	now
.	.	.

There	there	There
will	will	will
be	be	be
extreme	extrem	extreme
vetting	vet	vetting
applied	appli	applied
to	to	to
all	all	all
of	of	of
them	them	them
,	,	,
he	he	he
said	said	said
.	.	.

Trump	trump	Trump
s	s	s
executive	execut	executive
order	order	order
last	last	last
week	week	week
suspended	suspend	suspended
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
refugee	refuge	refugee
program	program	program
and	and	and
restricted	restrict	restricted
entry	entri	entry
to	to	to
the	the	the
United	unit	United
States	state	States
from	from	from
majority	major	majority
-Muslim	-muslim	-Muslim
countries	countri	country
Iran	iran	Iran
,	,	,
Iraq	iraq	Iraq
,	,	,
Libya	libya	Libya
,	,	,
Somalia	somalia	Somalia
,	,	,
Sudan	sudan	Sudan
,	,	,
Syria	syria	Syria
and	and	and
Yemen	yemen	Yemen
,	,	,
casting	cast	casting
doubt	doubt	doubt
over	over	over
the	the	the
deal	deal	deal
with	with	with
Australia	australia	Australia
.	.	.

Despite	despit	Despite
the	the	the
restrictions	restrict	restriction
,	,	,
Trump	trump	Trump
assured	assur	assured
Australia	australia	Australia
on	on	on
Sunday	sunday	Sunday
the	the	the
United	unit	United
States	state	States
would	would	would
honor	honor	honor
its	it	it
agreement	agreement	agreement
to	to	to
resettle	resettl	resettle
the	the	the
asylum	asylum	asylum
seekers	seeker	seeker
.	.	.

Australian	australian	Australian
Prime	prime	Prime
Minister	minist	Minister
Malcolm	malcolm	Malcolm
Turnbull	turnbul	Turnbull
dismissed	dismiss	dismissed
speculation	specul	speculation
in	in	in
domestic	domest	domestic
media	media	medium
that	that	that
Trump	trump	Trump
had	had	had
not	not	not
yet	yet	yet
committed	commit	committed
fully	fulli	fully
to	to	to
the	the	the
deal	deal	deal
.	.	.

The	the	The
Trump	trump	Trump
administration	administr	administration
has	has	ha
committed	commit	committed
to	to	to
progress	progress	progress
with	with	with
the	the	the
arrangements	arrang	arrangement
to	to	to
honor	honor	honor
the	the	the
deal	deal	deal
,	,	,
Turnbull	turnbul	Turnbull
told	told	told
reporters	report	reporter
in	in	in
Canberra	canberra	Canberra
on	on	on
Wednesday	wednesday	Wednesday
.	.	.

That	that	That
was	was	wa
the	the	the
assurance	assur	assurance
the	the	the
president	presid	president
gave	gave	gave
me	me	me
when	when	when
we	we	we
spoke	spoke	spoke
on	on	on
the	the	the
weekend	weekend	weekend
,	,	,
he	he	he
said	said	said
.	.	.

Australia	australia	Australia
s	s	s
hardline	hardlin	hardline
immigration	immigr	immigration
policy	polici	policy
is	is	is
a	a	a
contentious	contenti	contentious
issue	issu	issue
that	that	that
has	has	ha
drawn	drawn	drawn
international	intern	international
condemnation	condemn	condemnation
from	from	from
the	the	the
United	unit	United
Nations	nation	Nations
and	and	and
other	other	other
rights	right	right
groups	group	group
,	,	,
but	but	but
which	which	which
remains	remain	remains
popular	popular	popular
at	at	at
home	home	home
and	and	and
has	has	ha
bipartisan	bipartisan	bipartisan
political	polit	political
support	support	support
.	.	.

Some	some	Some
1	1	1
,	,	,
161	161	161
men	men	men
,	,	,
women	women	woman
and	and	and
children	children	child
remain	remain	remain
in	in	in
indefinite	indefinit	indefinite
detention	detent	detention
in	in	in
Manus	manus	Manus
Island	island	Island
and	and	and
Nauru	nauru	Nauru
as	as	a
of	of	of
Nov	nov	Nov
.	.	.

30	30	30
,	,	,
the	the	the
most	most	most
recent	recent	recent
data	data	data
from	from	from
Australia	australia	Australia
s	s	s
Department	depart	Department
of	of	of
Immigration	immigr	Immigration
shows	show	show
.	.	.

Another	anoth	Another
1	1	1
,	,	,
000	000	000
or	or	or
so	so	so
people	peopl	people
are	are	are
in	in	in
detention	detent	detention
in	in	in
Australia	australia	Australia
,	,	,
some	some	some
of	of	of
them	them	them
asylum	asylum	asylum
seekers	seeker	seeker
transported	transport	transported
from	from	from
Manus	manus	Manus
Island	island	Island
and	and	and
Nauru	nauru	Nauru
for	for	for
medical	medic	medical
treatment	treatment	treatment
.	.	.

It	it	It
was	was	wa
not	not	not
clear	clear	clear
how	how	how
many	mani	many
of	of	of
these	these	these
would	would	would
be	be	be
eligible	elig	eligible
under	under	under
the	the	the
deal	deal	deal
with	with	with
the	the	the
United	unit	United
States	state	States
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
Department	depart	Department
of	of	of
Homeland	homeland	Homeland
Security	secur	Security
officials	offici	official
have	have	have
begun	begun	begun
assessing	assess	assessing
the	the	the
asylum	asylum	asylum
seekers	seeker	seeker
,	,	,
although	although	although
there	there	there
is	is	is
no	no	no
timeline	timelin	timeline
for	for	for
resettlement	resettl	resettlement
.	.	.

