KABUL	kabul	KABUL
Reuters	reuter	Reuters
-	-	-
Civilian	civilian	Civilian
casualties	casualti	casualty
from	from	from
Afghan	afghan	Afghan
and	and	and
American	american	American
air	air	air
strikes	strike	strike
have	have	have
risen	risen	risen
more	more	more
than	than	than
50	50	50
percent	percent	percent
since	sinc	since
last	last	last
year	year	year
,	,	,
the	the	the
United	unit	United
Nations	nation	Nations
said	said	said
on	on	on
Thursday	thursday	Thursday
,	,	,
as	as	a
troops	troop	troop
increase	increas	increase
attacks	attack	attack
on	on	on
militants	milit	militant
under	under	under
a	a	a
new	new	new
strategy	strategi	strategy
announced	announc	announced
by	by	by
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
in	in	in
August	august	August
.	.	.
As	as	As
of	of	of
the	the	the
end	end	end
of	of	of
September	septemb	September
,	,	,
at	at	at
least	least	least
205	205	205
civilians	civilian	civilian
had	had	had
been	been	been
killed	kill	killed
and	and	and
261	261	261
wounded	wound	wounded
this	this	this
year	year	year
in	in	in
air	air	air
strikes	strike	strike
in	in	in
Afghanistan	afghanistan	Afghanistan
,	,	,
U	u	U
.	.	.
N	n	N
.	.	.
investigators	investig	investigator
said	said	said
in	in	in
a	a	a
quarterly	quarter	quarterly
report	report	report
.	.	.
At	at	At
least	least	least
38	38	38
percent	percent	percent
of	of	of
those	those	those
casualties	casualti	casualty
were	were	were
caused	caus	caused
by	by	by
international	intern	international
military	militari	military
forces	forc	force
,	,	,
while	while	while
the	the	the
majority	major	majority
were	were	were
attributed	attribut	attributed
to	to	to
the	the	the
Afghan	afghan	Afghan
Air	air	Air
Force	forc	Force
,	,	,
which	which	which
has	has	ha
begun	begun	begun
to	to	to
conduct	conduct	conduct
more	more	more
attacks	attack	attack
on	on	on
its	it	it
own	own	own
.	.	.
More	more	More
than	than	than
two	two	two
thirds	third	third
of	of	of
the	the	the
civilian	civilian	civilian
victims	victim	victim
were	were	were
women	women	woman
and	and	and
children	children	child
,	,	,
the	the	the
report	report	report
said	said	said
.	.	.
In	in	In
September	septemb	September
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
warplanes	warplan	warplane
dropped	drop	dropped
more	more	more
bombs	bomb	bomb
than	than	than
in	in	in
any	ani	any
single	singl	single
month	month	month
since	sinc	since
2010	2010	2010
,	,	,
driven	driven	driven
largely	larg	largely
by	by	by
Trump	trump	Trump
s	s	s
strategy	strategi	strategy
of	of	of
trying	tri	trying
to	to	to
reassert	reassert	reassert
pressure	pressur	pressure
on	on	on
militants	milit	militant
after	after	after
several	sever	several
years	year	year
of	of	of
drawdown	drawdown	drawdown
by	by	by
foreign	foreign	foreign
troops	troop	troop
.	.	.
A	a	A
spokesman	spokesman	spokesman
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
command	command	command
did	did	did
not	not	not
immediately	immedi	immediately
comment	comment	comment
on	on	on
the	the	the
report	report	report
.	.	.
General	general	General
Dawlat	dawlat	Dawlat
Waziri	waziri	Waziri
,	,	,
spokesman	spokesman	spokesman
for	for	for
the	the	the
Afghan	afghan	Afghan
Ministry	ministri	Ministry
of	of	of
Defence	defenc	Defence
,	,	,
rejected	reject	rejected
the	the	the
findings	find	finding
and	and	and
said	said	said
the	the	the
government	govern	government
took	took	took
civilian	civilian	civilian
casualties	casualti	casualty
seriously	serious	seriously
.	.	.
It	it	It
is	is	is
quite	quit	quite
obvious	obvious	obvious
that	that	that
Taliban	taliban	Taliban
and	and	and
other	other	other
insurgent	insurg	insurgent
groups	group	group
cause	caus	cause
more	more	more
civilian	civilian	civilian
casualties	casualti	casualty
,	,	,
he	he	he
said	said	said
,	,	,
adding	ad	adding
that	that	that
insurgents	insurg	insurgent
also	also	also
use	use	use
civilians	civilian	civilian
as	as	a
human	human	human
shields	shield	shield
and	and	and
hide	hide	hide
in	in	in
residential	residenti	residential
areas	area	area
.	.	.
Overall	overal	Overall
civilian	civilian	civilian
casualties	casualti	casualty
decreased	decreas	decreased
slightly	slight	slightly
compared	compar	compared
to	to	to
the	the	the
same	same	same
period	period	period
last	last	last
year	year	year
,	,	,
the	the	the
report	report	report
said	said	said
.	.	.
At	at	At
least	least	least
2	2	2
,	,	,
640	640	640
civilians	civilian	civilian
were	were	were
killed	kill	killed
and	and	and
5	5	5
,	,	,
379	379	379
injured	injur	injured
this	this	this
year	year	year
,	,	,
compared	compar	compared
to	to	to
2	2	2
,	,	,
616	616	616
killed	kill	killed
and	and	and
5	5	5
,	,	,
915	915	915
injured	injur	injured
in	in	in
the	the	the
same	same	same
period	period	period
of	of	of
2016	2016	2016
.	.	.
The	the	The
drop	drop	drop
reflected	reflect	reflected
fewer	fewer	fewer
casualties	casualti	casualty
from	from	from
fighting	fight	fighting
in	in	in
populated	popul	populated
areas	area	area
,	,	,
the	the	the
report	report	report
noted	note	noted
,	,	,
as	as	a
militants	milit	militant
failed	fail	failed
to	to	to
capture	captur	capture
any	ani	any
major	major	major
cities	citi	city
.	.	.
The	the	The
head	head	head
of	of	of
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
mission	mission	mission
in	in	in
Afghanistan	afghanistan	Afghanistan
,	,	,
Tadamichi	tadamichi	Tadamichi
Yamamoto	yamamoto	Yamamoto
,	,	,
praised	prais	praised
the	the	the
Afghan	afghan	Afghan
government	govern	government
for	for	for
formally	formal	formally
endorsing	endors	endorsing
a	a	a
national	nation	national
policy	polici	policy
designed	design	designed
to	to	to
reduce	reduc	reduce
civilian	civilian	civilian
casualties	casualti	casualty
.	.	.
The	the	The
government	govern	government
owes	owe	owes
it	it	it
to	to	to
its	it	it
citizens	citizen	citizen
,	,	,
particularly	particular	particularly
the	the	the
victims	victim	victim
of	of	of
the	the	the
armed	arm	armed
conflict	conflict	conflict
,	,	,
to	to	to
ensure	ensur	ensure
full	full	full
implementation	implement	implementation
of	of	of
the	the	the
policy	polici	policy
through	through	through
a	a	a
concrete	concret	concrete
action	action	action
plan	plan	plan
,	,	,
he	he	he
said	said	said
.	.	.
Overall	overal	Overall
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
attributed	attribut	attributed
64	64	64
percent	percent	percent
of	of	of
civilian	civilian	civilian
casualties	casualti	casualty
to	to	to
anti	anti	anti
-government	-govern	-government
militants	milit	militant
like	like	like
the	the	the
Taliban	taliban	Taliban
and	and	and
Islamic	islam	Islamic
State	state	State
.	.	.
Pro	pro	Pro
-government	-govern	-government
forces	forc	force
were	were	were
responsible	respons	responsible
for	for	for
20	20	20
percent	percent	percent
overall	overal	overall
,	,	,
while	while	while
the	the	the
remainder	remaind	remainder
was	was	wa
attributed	attribut	attributed
to	to	to
joint	joint	joint
fighting	fight	fighting
or	or	or
unidentified	unidentifi	unidentified
groups	group	group
,	,	,
according	accord	according
to	to	to
the	the	the
U	u	U
.	.	.
N	n	N
.	.	.
