WASHINGTON	washington	WASHINGTON
Reuters	reuter	Reuters
-	-	-
Senator	senat	Senator
John	john	John
McCain	mccain	McCain
,	,	,
chairman	chairman	chairman
of	of	of
the	the	the
Senate	senat	Senate
Armed	arm	Armed
Services	servic	Services
Committee	committe	Committee
,	,	,
said	said	said
on	on	on
Thursday	thursday	Thursday
he	he	he
may	may	may
consider	consid	consider
issuing	issu	issuing
a	a	a
subpoena	subpoena	subpoena
because	becaus	because
the	the	the
White	white	White
House	hous	House
has	has	ha
not	not	not
been	been	been
forthcoming	forthcom	forthcoming
with	with	with
details	detail	detail
of	of	of
an	an	an
ambush	ambush	ambush
in	in	in
Niger	niger	Niger
that	that	that
left	left	left
four	four	four
U	u	U
.	.	.
S	s	S
.	.	.
soldiers	soldier	soldier
dead	dead	dead
.	.	.

The	the	The
attack	attack	attack
earlier	earlier	earlier
this	this	this
month	month	month
,	,	,
which	which	which
U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
suspect	suspect	suspect
was	was	wa
carried	carri	carried
out	out	out
by	by	by
a	a	a
local	local	local
Islamic	islam	Islamic
State	state	State
affiliate	affili	affiliate
,	,	,
has	has	ha
thrown	thrown	thrown
a	a	a
spotlight	spotlight	spotlight
on	on	on
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
counter	counter	counter
-terrorism	-terror	-terrorism
mission	mission	mission
in	in	in
the	the	the
West	west	West
African	african	African
country	countri	country
,	,	,
which	which	which
has	has	ha
about	about	about
800	800	800
U	u	U
.	.	.
S	s	S
.	.	.
troops	troop	troop
.	.	.

It	it	It
may	may	may
require	requir	require
a	a	a
subpoena	subpoena	subpoena
,	,	,
McCain	mccain	McCain
said	said	said
when	when	when
asked	ask	asked
what	what	what
steps	step	step
his	his	his
committee	committe	committee
might	might	might
need	need	need
to	to	to
take	take	take
to	to	to
determine	determin	determine
what	what	what
happened	happen	happened
to	to	to
the	the	the
four	four	four
troops	troop	troop
.	.	.

Questioned	question	Questioned
what	what	what
information	inform	information
the	the	the
committee	committe	committee
still	still	still
needed	need	needed
,	,	,
McCain	mccain	McCain
said	said	said
Everything	everyth	Everything
.	.	.
Asked	ask	Asked
whether	whether	whether
the	the	the
White	white	White
House	hous	House
had	had	had
been	been	been
forthcoming	forthcom	forthcoming
with	with	with
the	the	the
information	inform	information
needed	need	needed
by	by	by
the	the	the
committee	committe	committee
,	,	,
he	he	he
added	ad	added
,	,	,
of	of	of
course	cours	course
not	not	not
.	.	.
White	white	White
House	hous	House
Chief	chief	Chief
of	of	of
Staff	staff	Staff
John	john	John
Kelly	kelli	Kelly
said	said	said
a	a	a
Pentagon	pentagon	Pentagon
investigation	investig	investigation
is	is	is
aimed	aim	aimed
at	at	at
finding	find	finding
out	out	out
what	what	what
happened	happen	happened
in	in	in
Niger	niger	Niger
.	.	.

An	an	An
investigation	investig	investigation
doesn	doesn	doesn
t	t	t
mean	mean	mean
anything	anyth	anything
was	was	wa
wrong	wrong	wrong
.	.	.

An	an	An
investigation	investig	investigation
doesn	doesn	doesn
t	t	t
mean	mean	mean
people	peopl	people
s	s	s
heads	head	head
are	are	are
going	go	going
to	to	to
roll	roll	roll
.	.	.

The	the	The
fact	fact	fact
is	is	is
,	,	,
they	they	they
need	need	need
to	to	to
find	find	find
out	out	out
what	what	what
happened	happen	happened
and	and	and
why	whi	why
it	it	it
happened	happen	happened
,	,	,
he	he	he
said	said	said
during	dure	during
an	an	an
appearance	appear	appearance
in	in	in
the	the	the
White	white	White
House	hous	House
briefing	brief	briefing
room	room	room
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
Defense	defens	Defense
Secretary	secretari	Secretary
Jim	jim	Jim
Mattis	matti	Mattis
told	told	told
reporters	report	reporter
on	on	on
Thursday	thursday	Thursday
that	that	that
the	the	the
incident	incid	incident
was	was	wa
under	under	under
investigation	investig	investigation
and	and	and
defended	defend	defended
the	the	the
military	militari	military
s	s	s
response	respons	response
,	,	,
even	even	even
as	as	a
he	he	he
acknowledged	acknowledg	acknowledged
that	that	that
it	it	it
did	did	did
not	not	not
yet	yet	yet
have	have	have
all	all	all
the	the	the
accurate	accur	accurate
information	inform	information
on	on	on
the	the	the
incident	incid	incident
.	.	.

Initially	initi	Initially
,	,	,
the	the	the
Pentagon	pentagon	Pentagon
announced	announc	announced
that	that	that
three	three	three
soldiers	soldier	soldier
had	had	had
been	been	been
killed	kill	killed
in	in	in
the	the	the
ambush	ambush	ambush
.	.	.

The	the	The
body	bodi	body
of	of	of
a	a	a
fourth	fourth	fourth
soldier	soldier	soldier
,	,	,
Sergeant	sergeant	Sergeant
La	la	La
David	david	David
T	t	T
.	.	.

Johnson	johnson	Johnson
,	,	,
was	was	wa
recovered	recov	recovered
more	more	more
than	than	than
a	a	a
day	day	day
later	later	later
and	and	and
questions	question	question
have	have	have
been	been	been
raised	rais	raised
about	about	about
why	whi	why
it	it	it
took	took	took
as	as	a
long	long	long
as	as	a
it	it	it
did	did	did
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
does	doe	doe
not	not	not
leave	leav	leave
its	it	it
troops	troop	troop
behind	behind	behind
and	and	and
I	i	I
would	would	would
just	just	just
ask	ask	ask
that	that	that
you	you	you
not	not	not
question	question	question
the	the	the
actions	action	action
of	of	of
the	the	the
troops	troop	troop
who	who	who
were	were	were
caught	caught	caught
in	in	in
the	the	the
firefight	firefight	firefight
and	and	and
question	question	question
whether	whether	whether
or	or	or
not	not	not
they	they	they
did	did	did
everything	everyth	everything
they	they	they
could	could	could
in	in	in
order	order	order
to	to	to
bring	bring	bring
everyone	everyon	everyone
out	out	out
at	at	at
once	onc	once
,	,	,
Mattis	matti	Mattis
said	said	said
before	befor	before
the	the	the
start	start	start
of	of	of
a	a	a
meeting	meet	meeting
with	with	with
his	his	his
Israeli	isra	Israeli
counterpart	counterpart	counterpart
.	.	.

McCain	mccain	McCain
said	said	said
he	he	he
had	had	had
had	had	had
a	a	a
good	good	good
conversation	convers	conversation
with	with	with
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
national	nation	national
security	secur	security
adviser	advis	adviser
,	,	,
H	h	H
.	.	.
R	r	R
.	.	.
McMaster	mcmaster	McMaster
,	,	,
and	and	and
hoped	hope	hoped
the	the	the
White	white	White
House	hous	House
would	would	would
eventually	eventu	eventually
provide	provid	provide
the	the	the
information	inform	information
needed	need	needed
by	by	by
the	the	the
committee	committe	committee
.	.	.

From	from	From
initial	initi	initial
accounts	account	account
,	,	,
the	the	the
40	40	40
-member	-member	-member
patrol	patrol	patrol
,	,	,
which	which	which
included	includ	included
a	a	a
dozen	dozen	dozen
U	u	U
.	.	.
S	s	S
.	.	.
troops	troop	troop
,	,	,
came	came	came
under	under	under
swift	swift	swift
attack	attack	attack
by	by	by
militants	milit	militant
riding	ride	riding
in	in	in
a	a	a
dozen	dozen	dozen
vehicles	vehicl	vehicle
and	and	and
on	on	on
about	about	about
20	20	20
motorcycles	motorcycl	motorcycle
.	.	.

The	the	The
mission	mission	mission
had	had	had
been	been	been
seen	seen	seen
as	as	a
a	a	a
relatively	relat	relatively
lower	lower	lower
-risk	-risk	-risk
endeavor	endeavor	endeavor
for	for	for
America	america	America
s	s	s
elite	elit	elite
commandos	commando	commando
and	and	and
there	there	there
was	was	wa
no	no	no
armed	arm	armed
air	air	air
cover	cover	cover
at	at	at
the	the	the
time	time	time
that	that	that
could	could	could
carry	carri	carry
out	out	out
air	air	air
strikes	strike	strike
if	if	if
necessary	necessari	necessary
.	.	.

Mattis	matti	Mattis
said	said	said
contact	contact	contact
was	was	wa
considered	consid	considered
unlikely	unlik	unlikely
but	but	but
did	did	did
not	not	not
provide	provid	provide
further	further	further
details	detail	detail
.	.	.

There	there	There
s	s	s
a	a	a
reason	reason	reason
we	we	we
have	have	have
U	u	U
.	.	.
S	s	S
.	.	.
Army	armi	Army
soldiers	soldier	soldier
there	there	there
and	and	and
not	not	not
the	the	the
Peace	peac	Peace
Corps	corp	Corps
,	,	,
because	becaus	because
we	we	we
carry	carri	carry
guns	gun	gun
.	.	.

And	and	And
so	so	so
it	it	it
s	s	s
a	a	a
reality	realiti	reality
,	,	,
it	it	it
s	s	s
part	part	part
of	of	of
the	the	the
danger	danger	danger
that	that	that
our	our	our
troops	troop	troop
face	face	face
,	,	,
he	he	he
said	said	said
.	.	.

Under	under	Under
heavy	heavi	heavy
fire	fire	fire
,	,	,
U	u	U
.	.	.
S	s	S
.	.	.
troops	troop	troop
called	call	called
in	in	in
French	french	French
fighter	fighter	fighter
jets	jet	jet
for	for	for
air	air	air
support	support	support
,	,	,
but	but	but
the	the	the
firefight	firefight	firefight
was	was	wa
at	at	at
such	such	such
close	close	close
quarters	quarter	quarter
that	that	that
the	the	the
planes	plane	plane
could	could	could
not	not	not
engage	engag	engage
and	and	and
were	were	were
instead	instead	instead
left	left	left
circling	circl	circling
overhead	overhead	overhead
.	.	.

U	u	U
.	.	.
S	s	S
.	.	.
officials	offici	official
have	have	have
said	said	said
French	french	French
aircraft	aircraft	aircraft
were	were	were
overhead	overhead	overhead
within	within	within
30	30	30
minutes	minut	minute
.	.	.

Mattis	matti	Mattis
said	said	said
a	a	a
contract	contract	contract
aircraft	aircraft	aircraft
evacuated	evacu	evacuated
the	the	the
dead	dead	dead
U	u	U
.	.	.
S	s	S
.	.	.
soldiers	soldier	soldier
and	and	and
Johnson	johnson	Johnson
s	s	s
body	bodi	body
was	was	wa
found	found	found
later	later	later
by	by	by
local	local	local
nationals	nation	national
.	.	.

The	the	The
U	u	U
.	.	.
S	s	S
.	.	.
military	militari	military
s	s	s
Africa	africa	Africa
Command	command	Command
said	said	said
the	the	the
soldiers	soldier	soldier
were	were	were
in	in	in
the	the	the
area	area	area
to	to	to
establish	establish	establish
relations	relat	relation
with	with	with
local	local	local
leaders	leader	leader
and	and	and
deemed	deem	deemed
it	it	it
unlikely	unlik	unlikely
that	that	that
they	they	they
would	would	would
meet	meet	meet
resistance	resist	resistance
.	.	.

