BRUSSELS	brussel	BRUSSELS
Reuters	reuter	Reuters
-	-	-
Ride	ride	Ride
-hailing	-hail	-hailing
app	app	app
Uber	uber	Uber
UBER	uber	UBER
.	.	.
UL	ul	UL
said	said	said
on	on	on
Monday	monday	Monday
it	it	it
was	was	wa
joining	join	joining
a	a	a
global	global	global
public	public	public
transport	transport	transport
association	associ	association
to	to	to
improve	improv	improve
mobility	mobil	mobility
in	in	in
the	the	the
cities	citi	city
it	it	it
operates	oper	operates
in	in	in
,	,	,
although	although	although
North	north	North
America	america	America
s	s	s
largest	largest	largest
public	public	public
transit	transit	transit
union	union	union
said	said	said
there	there	there
was	was	wa
no	no	no
place	place	place
for	for	for
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
company	compani	company
.	.	.

Uber	uber	Uber
s	s	s
move	move	move
to	to	to
join	join	join
the	the	the
International	intern	International
Association	associ	Association
of	of	of
Public	public	Public
Transportation	transport	Transportation
UITP	uitp	UITP
is	is	is
part	part	part
of	of	of
a	a	a
drive	drive	drive
by	by	by
Uber	uber	Uber
to	to	to
improve	improv	improve
its	it	it
relationships	relationship	relationship
with	with	with
local	local	local
authorities	author	authority
after	after	after
a	a	a
series	seri	series
of	of	of
regulatory	regulatori	regulatory
and	and	and
legal	legal	legal
setbacks	setback	setback
.	.	.

UITP	uitp	UITP
represents	repres	represents
public	public	public
transport	transport	transport
providers	provid	provider
around	around	around
the	the	the
world	world	world
,	,	,
including	includ	including
Transport	transport	Transport
for	for	for
London	london	London
TfL	tfl	TfL
-	-	-
which	which	which
in	in	in
September	septemb	September
stripped	strip	stripped
Uber	uber	Uber
of	of	of
its	it	it
operating	oper	operating
license	licens	license
.	.	.

Scandal	scandal	Scandal
-hit	-hit	-hit
Uber	uber	Uber
has	has	ha
just	just	just
had	had	had
to	to	to
reassure	reassur	reassure
authorities	author	authority
it	it	it
is	is	is
changing	chang	changing
the	the	the
way	way	way
it	it	it
does	doe	doe
business	busi	business
after	after	after
the	the	the
disclosure	disclosur	disclosure
of	of	of
a	a	a
massive	massiv	massive
data	data	data
breach	breach	breach
cover	cover	cover
-up	-up	-up
that	that	that
has	has	ha
prompted	prompt	prompted
investigations	investig	investigation
from	from	from
regulators	regul	regulator
around	around	around
the	the	the
world	world	world
.	.	.

Andrew	andrew	Andrew
Salzberg	salzberg	Salzberg
,	,	,
Uber	uber	Uber
s	s	s
head	head	head
of	of	of
transportation	transport	transportation
policy	polici	policy
and	and	and
research	research	research
,	,	,
said	said	said
aligning	align	aligning
the	the	the
company	compani	company
with	with	with
public	public	public
transport	transport	transport
authorities	author	authority
was	was	wa
a	a	a
good	good	good
way	way	way
to	to	to
make	make	make
Uber	uber	Uber
a	a	a
better	better	better
partner	partner	partner
for	for	for
cities	citi	city
.	.	.

Uber	uber	Uber
,	,	,
currently	current	currently
valued	valu	valued
at	at	at
69	69	69
billion	billion	billion
,	,	,
has	has	ha
been	been	been
testing	test	testing
a	a	a
more	more	more
collaborative	collabor	collaborative
approach	approach	approach
to	to	to
regulators	regul	regulator
under	under	under
its	it	it
new	new	new
CEO	ceo	CEO
Dara	dara	Dara
Khosrowshahi	khosrowshahi	Khosrowshahi
in	in	in
a	a	a
shift	shift	shift
away	away	away
from	from	from
a	a	a
more	more	more
aggressive	aggress	aggressive
culture	cultur	culture
under	under	under
former	former	former
CEO	ceo	CEO
Travis	travi	Travis
Kalanick	kalanick	Kalanick
.	.	.

One	one	One
of	of	of
the	the	the
big	big	big
emphases	emphas	emphasis
that	that	that
Dara	dara	Dara
has	has	ha
made	made	made
.	.	.
.	.	.
.	.	.

is	is	is
that	that	that
we	we	we
want	want	want
to	to	to
be	be	be
better	better	better
partners	partner	partner
for	for	for
the	the	the
cities	citi	city
we	we	we
operate	oper	operate
in	in	in
,	,	,
Salzberg	salzberg	Salzberg
said	said	said
.	.	.

Uber	uber	Uber
said	said	said
it	it	it
would	would	would
work	work	work
on	on	on
a	a	a
series	seri	series
of	of	of
training	train	training
sessions	session	session
with	with	with
UITP	uitp	UITP
aimed	aim	aimed
at	at	at
connecting	connect	connecting
people	peopl	people
better	better	better
with	with	with
public	public	public
transport	transport	transport
.	.	.

Salzberg	salzberg	Salzberg
said	said	said
the	the	the
company	compani	company
also	also	also
wanted	want	wanted
to	to	to
help	help	help
reduce	reduc	reduce
congestion	congest	congestion
on	on	on
roads	road	road
by	by	by
encouraging	encourag	encouraging
people	peopl	people
to	to	to
move	move	move
to	to	to
shared	share	shared
modes	mode	mode
of	of	of
transport	transport	transport
.	.	.

Alain	alain	Alain
Flausch	flausch	Flausch
,	,	,
secretary	secretari	secretary
general	general	general
of	of	of
UITP	uitp	UITP
,	,	,
said	said	said
Uber	uber	Uber
s	s	s
decision	decis	decision
to	to	to
join	join	join
the	the	the
association	associ	association
was	was	wa
a	a	a
sign	sign	sign
that	that	that
the	the	the
company	compani	company
wanted	want	wanted
a	a	a
better	better	better
relationship	relationship	relationship
with	with	with
regulators	regul	regulator
.	.	.

Flausch	flausch	Flausch
said	said	said
he	he	he
had	had	had
told	told	told
members	member	member
of	of	of
UITP	uitp	UITP
that	that	that
he	he	he
would	would	would
check	check	check
the	the	the
company	compani	company
stuck	stuck	stuck
to	to	to
its	it	it
promises	promis	promise
.	.	.

It	it	It
s	s	s
a	a	a
work	work	work
in	in	in
progress	progress	progress
and	and	and
having	have	having
Uber	uber	Uber
join	join	join
is	is	is
a	a	a
good	good	good
sign	sign	sign
.	.	.

Of	of	Of
course	cours	course
they	they	they
keep	keep	keep
their	their	their
business	busi	business
model	model	model
but	but	but
.	.	.
.	.	.
.	.	.

they	they	they
need	need	need
to	to	to
be	be	be
a	a	a
bit	bit	bit
more	more	more
flexible	flexibl	flexible
and	and	and
open	open	open
to	to	to
talking	talk	talking
,	,	,
he	he	he
told	told	told
Reuters	reuter	Reuters
.	.	.

However	howev	However
,	,	,
Larry	larri	Larry
Hanley	hanley	Hanley
,	,	,
president	presid	president
of	of	of
the	the	the
Amalgamated	amalgam	Amalgamated
Transit	transit	Transit
Union	union	Union
ATU	atu	ATU
,	,	,
which	which	which
represents	repres	represents
public	public	public
transit	transit	transit
employees	employe	employee
in	in	in
the	the	the
United	unit	United
States	state	States
and	and	and
Canada	canada	Canada
,	,	,
said	said	said
Uber	uber	Uber
should	should	should
start	start	start
being	be	being
a	a	a
better	better	better
partner	partner	partner
to	to	to
the	the	the
cities	citi	city
it	it	it
operates	oper	operates
in	in	in
by	by	by
paying	pay	paying
a	a	a
living	live	living
wage	wage	wage
to	to	to
their	their	their
drivers	driver	driver
who	who	who
call	call	call
those	those	those
cities	citi	city
home	home	home
.	.	.

Public	public	Public
transportation	transport	transportation
should	should	should
serve	serv	serve
the	the	the
public	public	public
good	good	good
,	,	,
and	and	and
until	until	until
Uber	uber	Uber
demonstrates	demonstr	demonstrates
that	that	that
they	they	they
meet	meet	meet
that	that	that
standard	standard	standard
they	they	they
have	have	have
no	no	no
business	busi	business
being	be	being
a	a	a
part	part	part
of	of	of
the	the	the
International	intern	International
Association	associ	Association
of	of	of
Public	public	Public
Transport	transport	Transport
,	,	,
Hanley	hanley	Hanley
said	said	said
.	.	.

