NAIROBI	nairobi	NAIROBI
Reuters	reuter	Reuters
-	-	-
A	a	A
French	french	French
IT	it	IT
company	compani	company
that	that	that
supplied	suppli	supplied
the	the	the
electronic	electron	electronic
system	system	system
used	use	used
in	in	in
Kenya	kenya	Kenya
s	s	s
nullified	nullifi	nullified
election	elect	election
last	last	last
month	month	month
has	has	ha
told	told	told
the	the	the
election	elect	election
commission	commiss	commission
its	it	it
technology	technolog	technology
will	will	will
not	not	not
be	be	be
ready	readi	ready
to	to	to
use	use	use
again	again	again
by	by	by
the	the	the
Oct	oct	Oct
.	.	.

17	17	17
date	date	date
set	set	set
for	for	for
a	a	a
re	re	re
-run	-run	-run
of	of	of
the	the	the
vote	vote	vote
.	.	.

The	the	The
statement	statement	statement
presents	present	present
a	a	a
hurdle	hurdl	hurdle
for	for	for
the	the	the
commission	commiss	commission
.	.	.

It	it	It
could	could	could
threaten	threaten	threaten
the	the	the
timing	time	timing
of	of	of
the	the	the
election	elect	election
that	that	that
President	presid	President
Uhuru	uhuru	Uhuru
Kenyatta	kenyatta	Kenyatta
,	,	,
whose	whose	whose
win	win	win
on	on	on
Aug	aug	Aug
.	.	.

8	8	8
win	win	win
was	was	wa
canceled	cancel	canceled
by	by	by
the	the	the
Supreme	suprem	Supreme
Court	court	Court
,	,	,
will	will	will
contest	contest	contest
against	against	against
opposition	opposit	opposition
leader	leader	leader
Raila	raila	Raila
Odinga	odinga	Odinga
.	.	.

When	when	When
the	the	the
Supreme	suprem	Supreme
Court	court	Court
nullified	nullifi	nullified
the	the	the
results	result	result
of	of	of
the	the	the
presidential	presidenti	presidential
election	elect	election
citing	cite	citing
irregularities	irregular	irregularity
,	,	,
it	it	it
ordered	order	ordered
a	a	a
new	new	new
poll	poll	poll
within	within	within
60	60	60
days	day	day
.	.	.

The	the	The
commission	commiss	commission
then	then	then
declared	declar	declared
Oct	oct	Oct
.	.	.

17	17	17
as	as	a
the	the	the
date	date	date
for	for	for
the	the	the
re	re	re
-run	-run	-run
.	.	.

In	in	In
a	a	a
letter	letter	letter
from	from	from
Paris	pari	Paris
-based	-base	-based
OT	ot	OT
-Morpho	-morpho	-Morpho
to	to	to
the	the	the
election	elect	election
commission	commiss	commission
,	,	,
the	the	the
company	compani	company
said	said	said
the	the	the
two	two	two
electronic	electron	electronic
systems	system	system
it	it	it
supplied	suppli	supplied
for	for	for
the	the	the
vote	vote	vote
would	would	would
have	have	have
to	to	to
be	be	be
reinstalled	reinstal	reinstalled
for	for	for
the	the	the
re	re	re
-run	-run	-run
.	.	.

This	this	This
represents	repres	represents
a	a	a
very	veri	very
significant	signific	significant
amount	amount	amount
of	of	of
work	work	work
,	,	,
which	which	which
cannot	cannot	cannot
be	be	be
secured	secur	secured
by	by	by
October	octob	October
17	17	17
,	,	,
said	said	said
the	the	the
letter	letter	letter
dated	date	dated
Sept	sept	Sept
.	.	.

18	18	18
and	and	and
seen	seen	seen
by	by	by
Reuters	reuter	Reuters
.	.	.

OT	ot	OT
-Morpho	-morpho	-Morpho
provided	provid	provided
45	45	45
,	,	,
000	000	000
tablets	tablet	tablet
for	for	for
identifying	identifi	identifying
voters	voter	voter
using	use	using
biometric	biometr	biometric
technology	technolog	technology
and	and	and
the	the	the
system	system	system
used	use	used
to	to	to
transmit	transmit	transmit
results	result	result
counted	count	counted
at	at	at
polling	poll	polling
stations	station	station
as	as	a
well	well	well
as	as	a
a	a	a
photograph	photograph	photograph
of	of	of
the	the	the
paper	paper	paper
sheet	sheet	sheet
from	from	from
each	each	each
station	station	station
.	.	.

Delays	delay	Delays
in	in	in
transmission	transmiss	transmission
of	of	of
the	the	the
tally	talli	tally
sheets	sheet	sheet
was	was	wa
an	an	an
irregularity	irregular	irregularity
raised	rais	raised
by	by	by
the	the	the
opposition	opposit	opposition
in	in	in
its	it	it
petition	petit	petition
to	to	to
the	the	the
Supreme	suprem	Supreme
Court	court	Court
.	.	.

The	the	The
court	court	court
has	has	ha
not	not	not
released	releas	released
its	it	it
full	full	full
verdict	verdict	verdict
but	but	but
has	has	ha
said	said	said
it	it	it
will	will	will
do	do	do
so	so	so
by	by	by
Thursday	thursday	Thursday
.	.	.

A	a	A
spokesman	spokesman	spokesman
for	for	for
the	the	the
company	compani	company
confirmed	confirm	confirmed
the	the	the
letter	letter	letter
was	was	wa
accurate	accur	accurate
.	.	.

Andrew	andrew	Andrew
Limo	limo	Limo
,	,	,
a	a	a
spokesman	spokesman	spokesman
for	for	for
the	the	the
election	elect	election
board	board	board
,	,	,
said	said	said
he	he	he
was	was	wa
aware	awar	aware
of	of	of
the	the	the
letter	letter	letter
and	and	and
the	the	the
board	board	board
met	met	met
on	on	on
Monday	monday	Monday
to	to	to
discuss	discuss	discus
it	it	it
.	.	.

Earlier	earlier	Earlier
in	in	in
the	the	the
day	day	day
,	,	,
he	he	he
told	told	told
Reuters	reuter	Reuters
that	that	that
changing	chang	changing
the	the	the
date	date	date
of	of	of
the	the	the
election	elect	election
re	re	re
-run	-run	-run
is	is	is
a	a	a
last	last	last
resort	resort	resort
strategy	strategi	strategy
.	.	.

The	the	The
date	date	date
of	of	of
the	the	the
new	new	new
poll	poll	poll
has	has	ha
been	been	been
a	a	a
source	sourc	source
of	of	of
tension	tension	tension
between	between	between
Kenyatta	kenyatta	Kenyatta
and	and	and
Odinga	odinga	Odinga
.	.	.

Kenyatta	kenyatta	Kenyatta
and	and	and
his	his	his
ruling	rule	ruling
Jubilee	jubile	Jubilee
party	parti	party
have	have	have
said	said	said
the	the	the
re	re	re
-run	-run	-run
should	should	should
be	be	be
held	held	held
on	on	on
Oct	oct	Oct
.	.	.

17	17	17
as	as	a
scheduled	schedul	scheduled
by	by	by
the	the	the
commission	commiss	commission
,	,	,
while	while	while
the	the	the
opposition	opposit	opposition
is	is	is
threatening	threaten	threatening
to	to	to
boycott	boycott	boycott
the	the	the
new	new	new
poll	poll	poll
if	if	if
its	it	it
demands	demand	demand
for	for	for
the	the	the
sacking	sack	sacking
of	of	of
key	key	key
election	elect	election
officials	offici	official
are	are	are
not	not	not
met	met	met
.	.	.

