Token	Stem	Lemma
MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
U	u	U
N	n	N
special	special	special
envoy	envoy	envoy
on	on	on
Syria	syria	Syria
Staffan	staffan	Staffan
de	de	de
Mistura	mistura	Mistura
will	will	will
visit	visit	visit
Moscow	moscow	Moscow
on	on	on
Friday	friday	Friday
RIA	ria	RIA
news	news	news
agency	agenc	agency
reported	report	reported
on	on	on
Thursday	thursday	Thursday
citing	cite	citing
Russian	russian	Russian
Deputy	deputi	Deputy
Foreign	foreign	Foreign
Minister	minist	Minister
Gennady	gennadi	Gennady
Gatilov	gatilov	Gatilov
Previously	previous	Previously
RIA	ria	RIA
news	news	news
agency	agenc	agency
reported	report	reported
that	that	that
de	de	de
Mistura	mistura	Mistura
was	was	wa
due	due	due
in	in	in
Moscow	moscow	Moscow
on	on	on
Thursday	thursday	Thursday
to	to	to
discuss	discuss	discus
the	the	the
situation	situat	situation
in	in	in
Syria	syria	Syria
