BEIJING	beij	BEIJING
HONG	hong	HONG
KONG	kong	KONG
Reuters	reuter	Reuters
-	-	-
China	china	China
s	s	s
parliament	parliament	parliament
on	on	on
Wednesday	wednesday	Wednesday
said	said	said
part	part	part
of	of	of
a	a	a
high	high	high
-speed	-speed	-speed
railway	railway	railway
station	station	station
being	be	being
built	built	built
in	in	in
Hong	hong	Hong
Kong	kong	Kong
would	would	would
be	be	be
regarded	regard	regarded
as	as	a
mainland	mainland	mainland
territory	territori	territory
governed	govern	governed
by	by	by
mainland	mainland	mainland
laws	law	law
,	,	,
an	an	an
unprecedented	unpreced	unprecedented
move	move	move
that	that	that
critics	critic	critic
say	say	say
further	further	further
erodes	erod	erodes
the	the	the
city	citi	city
s	s	s
autonomy	autonomi	autonomy
.	.	.
Hong	hong	Hong
Kong	kong	Kong
reverted	revert	reverted
from	from	from
British	british	British
to	to	to
Chinese	chines	Chinese
rule	rule	rule
in	in	in
1997	1997	1997
,	,	,
when	when	when
it	it	it
was	was	wa
granted	grant	granted
a	a	a
high	high	high
degree	degre	degree
of	of	of
autonomy	autonomi	autonomy
under	under	under
a	a	a
one	one	one
country	countri	country
,	,	,
two	two	two
systems	system	system
arrangement	arrang	arrangement
,	,	,
giving	give	giving
it	it	it
a	a	a
separate	separ	separate
police	polic	police
force	forc	force
,	,	,
immigration	immigr	immigration
controls	control	control
,	,	,
an	an	an
independent	independ	independent
judiciary	judiciari	judiciary
and	and	and
freedoms	freedom	freedom
not	not	not
enjoyed	enjoy	enjoyed
in	in	in
mainland	mainland	mainland
China	china	China
.	.	.
China	china	China
s	s	s
largely	larg	largely
rubber	rubber	rubber
stamp	stamp	stamp
parliament	parliament	parliament
,	,	,
the	the	the
National	nation	National
People	peopl	People
s	s	s
Congress	congress	Congress
,	,	,
voted	vote	voted
to	to	to
allow	allow	allow
Chinese	chines	Chinese
immigration	immigr	immigration
checks	check	check
and	and	and
the	the	the
enforcement	enforc	enforcement
of	of	of
mainland	mainland	mainland
Chinese	chines	Chinese
laws	law	law
within	within	within
part	part	part
of	of	of
the	the	the
station	station	station
,	,	,
so	so	so
that	that	that
after	after	after
boarding	board	boarding
the	the	the
train	train	train
in	in	in
Hong	hong	Hong
Kong	kong	Kong
passengers	passeng	passenger
would	would	would
not	not	not
need	need	need
to	to	to
get	get	get
off	off	off
the	the	the
train	train	train
for	for	for
immigration	immigr	immigration
checks	check	check
at	at	at
the	the	the
Hong	hong	Hong
Kong	kong	Kong
-mainland	-mainland	-mainland
border	border	border
.	.	.
It	it	It
is	is	is
