NEW	new	NEW
YORK	york	YORK
Reuters	reuter	Reuters
-	-	-
U	u	U
.	.	.
S	s	S
.	.	.
President	presid	President
Donald	donald	Donald
Trump	trump	Trump
s	s	s
lawyers	lawyer	lawyer
told	told	told
a	a	a
New	new	New
York	york	York
state	state	state
judge	judg	judge
on	on	on
Tuesday	tuesday	Tuesday
that	that	that
under	under	under
the	the	the
U	u	U
.	.	.
S	s	S
.	.	.
Constitution	constitut	Constitution
she	she	she
had	had	had
no	no	no
jurisdiction	jurisdict	jurisdiction
over	over	over
the	the	the
president	presid	president
and	and	and
therefore	therefor	therefore
urged	urg	urged
her	her	her
to	to	to
dismiss	dismiss	dismiss
a	a	a
defamation	defam	defamation
lawsuit	lawsuit	lawsuit
by	by	by
a	a	a
woman	woman	woman
who	who	who
has	has	ha
accused	accus	accused
Trump	trump	Trump
of	of	of
sexual	sexual	sexual
harassment	harass	harassment
.	.	.
The	the	The
lawsuit	lawsuit	lawsuit
by	by	by
Summer	summer	Summer
Zervos	zervo	Zervos
,	,	,
a	a	a
former	former	former
contestant	contest	contestant
on	on	on
Trump	trump	Trump
s	s	s
reality	realiti	reality
show	show	show
The	the	The
Apprentice	apprentic	Apprentice
,	,	,
contends	contend	contends
that	that	that
Trump	trump	Trump
s	s	s
denials	denial	denial
of	of	of
her	her	her
accusations	accus	accusation
amounted	amount	amounted
to	to	to
false	fals	false
and	and	and
defamatory	defamatori	defamatory
statements	statement	statement
.	.	.
Being	be	Being
branded	brand	branded
a	a	a
liar	liar	liar
by	by	by
Trump	trump	Trump
,	,	,
the	the	the
lawsuit	lawsuit	lawsuit
said	said	said
,	,	,
has	has	ha
harmed	harm	harmed
her	her	her
and	and	and
her	her	her
business	busi	business
.	.	.
Trump	trump	Trump
s	s	s
lawyers	lawyer	lawyer
,	,	,
led	led	led
by	by	by
Marc	marc	Marc
Kasowitz	kasowitz	Kasowitz
,	,	,
said	said	said
the	the	the
Constitution	constitut	Constitution
s	s	s
Supremacy	supremaci	Supremacy
Clause	claus	Clause
prevented	prevent	prevented
the	the	the
judge	judg	judge
from	from	from
letting	let	letting
Zervos	zervo	Zervos
s	s	s
lawsuit	lawsuit	lawsuit
proceed	proceed	proceed
in	in	in
a	a	a
state	state	state
court	court	court
.	.	.
The	the	The
hour	hour	hour
-long	-long	-long
hearing	hear	hearing
was	was	wa
held	held	held
in	in	in
New	new	New
York	york	York
State	state	State
Supreme	suprem	Supreme
Court	court	Court
in	in	in
Manhattan	manhattan	Manhattan
,	,	,
where	where	where
Zervos	zervo	Zervos
s	s	s
lawyers	lawyer	lawyer
responded	respond	responded
that	that	that
there	there	there
was	was	wa
no	no	no
legal	legal	legal
precedent	preced	precedent
preventing	prevent	preventing
a	a	a
state	state	state
court	court	court
from	from	from
ruling	rule	ruling
on	on	on
the	the	the
conduct	conduct	conduct
of	of	of
a	a	a
president	presid	president
outside	outsid	outside
his	his	his
official	offici	official
duties	duti	duty
.	.	.
The	the	The
motion	motion	motion
today	today	today
has	has	ha
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
putting	put	putting
anyone	anyon	anyone
above	abov	above
the	the	the
law	law	law
,	,	,
Kasowitz	kasowitz	Kasowitz
told	told	told
Justice	justic	Justice
Jennifer	jennif	Jennifer
Schecter	schecter	Schecter
.	.	.
Under	under	Under
the	the	the
Supremacy	supremaci	Supremacy
Clause	claus	Clause
,	,	,
he	he	he
said	said	said
,	,	,
a	a	a
state	state	state
court	court	court
may	may	may
not	not	not
exercise	exercis	exercise
jurisdiction	jurisdict	jurisdiction
over	over	over
the	the	the
president	presid	president
of	of	of
the	the	the
United	unit	United
States	state	States
while	while	while
he	he	he
or	or	or
she	she	she
is	is	is
in	in	in
office	offic	office
.	.	.
Schecter	schecter	Schecter
occasionally	occasion	occasionally
stopped	stop	stopped
Kasowitz	kasowitz	Kasowitz
to	to	to
ask	ask	ask
him	him	him
to	to	to
clarify	clarifi	clarify
his	his	his
views	view	view
on	on	on
her	her	her
jurisdiction	jurisdict	jurisdiction
.	.	.
She	she	She
asked	ask	asked
him	him	him
if	if	if
it	it	it
mattered	matter	mattered
that	that	that
she	she	she
would	would	would
not	not	not
be	be	be
directing	direct	directing
the	the	the
president	presid	president
in	in	in
his	his	his
official	offici	official
duties	duti	duty
,	,	,
only	onli	only
potentially	potenti	potentially
ruling	rule	ruling
on	on	on
whether	whether	whether
his	his	his
comments	comment	comment
as	as	a
a	a	a
candidate	candid	candidate
defamed	defam	defamed
Zervos	zervo	Zervos
.	.	.
Kasowitz	kasowitz	Kasowitz
said	said	said
it	it	it
made	made	made
no	no	no
difference	differ	difference
.	.	.
What	what	What
that	that	that
means	mean	mean
is	is	is
the	the	the
president	presid	president
being	be	being
haled	hale	haled
into	into	into
court	court	court
,	,	,
and	and	and
once	onc	once
the	the	the
president	presid	president
is	is	is
haled	hale	haled
into	into	into
court	court	court
there	there	there
are	are	are
innumerable	innumer	innumerable
obligations	oblig	obligation
that	that	that
flow	flow	flow
from	from	from
that	that	that
,	,	,
he	he	he
said	said	said
,	,	,
saying	say	saying
this	this	this
would	would	would
amount	amount	amount
to	to	to
inappropriate	inappropri	inappropriate
control	control	control
over	over	over
the	the	the
president	presid	president
.	.	.
Mariann	mariann	Mariann
Wang	wang	Wang
,	,	,
the	the	the
lead	lead	lead
lawyer	lawyer	lawyer
for	for	for
Zervos	zervo	Zervos
,	,	,
argued	argu	argued
,	,	,
There	there	There
is	is	is
no	no	no
case	case	case
that	that	that
holds	hold	hold
that	that	that
a	a	a
federal	feder	federal
official	offici	official
cannot	cannot	cannot
be	be	be
held	held	held
to	to	to
account	account	account
in	in	in
a	a	a
state	state	state
court	court	court
.	.	.
Trump	trump	Trump
s	s	s
lawyers	lawyer	lawyer
did	did	did
not	not	not
dispute	disput	dispute
this	this	this
.	.	.
Wang	wang	Wang
acknowledged	acknowledg	acknowledged
that	that	that
the	the	the
president	presid	president
holds	hold	hold
a	a	a
unique	uniqu	unique
position	posit	position
but	but	but
noted	note	noted
that	that	that
even	even	even
the	the	the
president	presid	president
has	has	ha
downtime	downtim	downtime
.	.	.
They	they	They
could	could	could
,	,	,
for	for	for
example	exampl	example
,	,	,
meet	meet	meet
Trump	trump	Trump
during	dure	during
one	one	one
of	of	of
his	his	his
weekend	weekend	weekend
visits	visit	visit
to	to	to
his	his	his
Mar	mar	Mar
-A-Lago	-a-lago	-A-Lago
resort	resort	resort
in	in	in
Florida	florida	Florida
to	to	to
record	record	record
a	a	a
video	video	video
deposition	deposit	deposition
,	,	,
she	she	she
suggested	suggest	suggested
.	.	.
The	the	The
judge	judg	judge
said	said	said
she	she	she
would	would	would
rule	rule	rule
later	later	later
.	.	.
Trump	trump	Trump
s	s	s
lawyers	lawyer	lawyer
have	have	have
said	said	said
in	in	in
court	court	court
filings	file	filing
that	that	that
Zervos	zervo	Zervos
is	is	is
making	make	making
false	fals	false
,	,	,
self	self	self
-contradictory	-contradictori	-contradictory
and	and	and
politically	polit	politically
motivated	motiv	motivated
accusations	accus	accusation
and	and	and
that	that	that
the	the	the
president	presid	president
s	s	s
remarks	remark	remark
were	were	were
non	non	non
-actionable	-action	-actionable
fiery	fieri	fiery
rhetoric	rhetor	rhetoric
.	.	.
Zervos	zervo	Zervos
has	has	ha
accused	accus	accused
Trump	trump	Trump
of	of	of
groping	grope	groping
her	her	her
during	dure	during
meetings	meet	meeting
in	in	in
2007	2007	2007
.	.	.
She	she	She
filed	file	filed
her	her	her
lawsuit	lawsuit	lawsuit
in	in	in
January	januari	January
,	,	,
three	three	three
days	day	day
before	befor	before
Trump	trump	Trump
s	s	s
inauguration	inaugur	inauguration
.	.	.
In	in	In
March	march	March
,	,	,
she	she	she
subpoenaed	subpoena	subpoenaed
Trump	trump	Trump
s	s	s
presidential	presidenti	presidential
campaign	campaign	campaign
for	for	for
any	ani	any
documents	document	document
concerning	concern	concerning
similar	similar	similar
allegations	alleg	allegation
against	against	against
him	him	him
.	.	.
Trump	trump	Trump
has	has	ha
said	said	said
accusations	accus	accusation
by	by	by
Zervos	zervo	Zervos
and	and	and
other	other	other
women	women	woman
who	who	who
last	last	last
year	year	year
accused	accus	accused
him	him	him
of	of	of
sexual	sexual	sexual
harassment	harass	harassment
are	are	are
false	fals	false
.	.	.
If	if	If
the	the	the
case	case	case
went	went	went
ahead	ahead	ahead
,	,	,
it	it	it
could	could	could
lead	lead	lead
to	to	to
Trump	trump	Trump
being	be	being
compelled	compel	compelled
to	to	to
hand	hand	hand
over	over	over
any	ani	any
documents	document	document
from	from	from
his	his	his
campaign	campaign	campaign
related	relat	related
to	to	to
any	ani	any
accusations	accus	accusation
of	of	of
sexual	sexual	sexual
