MOSCOW	moscow	MOSCOW
Reuters	reuter	Reuters
-	-	-
Rosneft	rosneft	Rosneft
Chief	chief	Chief
Executive	execut	Executive
Igor	igor	Igor
Sechin	sechin	Sechin
again	again	again
failed	fail	failed
to	to	to
show	show	show
up	up	up
as	as	a
a	a	a
witness	wit	witness
at	at	at
the	the	the
bribery	briberi	bribery
trial	trial	trial
of	of	of
a	a	a
former	former	former
Russian	russian	Russian
economy	economi	economy
minister	minist	minister
on	on	on
Wednesday	wednesday	Wednesday
,	,	,
prompting	prompt	prompting
the	the	the
judge	judg	judge
to	to	to
order	order	order
him	him	him
to	to	to
appear	appear	appear
next	next	next
week	week	week
.	.	.
Sechin	sechin	Sechin
,	,	,
boss	boss	bos
of	of	of
Russia	russia	Russia
s	s	s
biggest	biggest	biggest
oil	oil	oil
company	compani	company
and	and	and
a	a	a
close	close	close
ally	alli	ally
of	of	of
President	presid	President
Vladimir	vladimir	Vladimir
Putin	putin	Putin
,	,	,
had	had	had
told	told	told
the	the	the
court	court	court
he	he	he
would	would	would
be	be	be
unavailable	unavail	unavailable
for	for	for
the	the	the
rest	rest	rest
of	of	of
the	the	the
year	year	year
.	.	.
He	he	He
is	is	is
a	a	a
key	key	key
witness	wit	witness
in	in	in
the	the	the
trial	trial	trial
of	of	of
Alexei	alexei	Alexei
Ulyukayev	ulyukayev	Ulyukayev
,	,	,
who	who	who
was	was	wa
arrested	arrest	arrested
last	last	last
year	year	year
after	after	after
a	a	a
late	late	late
night	night	night
meeting	meet	meeting
in	in	in
Sechin	sechin	Sechin
s	s	s
office	offic	office
.	.	.
Ulyukayev	ulyukayev	Ulyukayev
faces	face	face
up	up	up
to	to	to
15	15	15
years	year	year
in	in	in
prison	prison	prison
,	,	,
accused	accus	accused
of	of	of
accepting	accept	accepting
2	2	2
million	million	million
from	from	from
Sechin	sechin	Sechin
in	in	in
return	return	return
for	for	for
approving	approv	approving
the	the	the
sale	sale	sale
of	of	of
a	a	a
state	state	state
-controlled	-control	-controlled
oil	oil	oil
company	compani	company
to	to	to
Rosneft	rosneft	Rosneft
.	.	.
Police	polic	Police
detained	detain	detained
him	him	him
inside	insid	inside
Rosneft	rosneft	Rosneft
headquarters	headquart	headquarters
shortly	short	shortly
after	after	after
Sechin	sechin	Sechin
handed	hand	handed
him	him	him
the	the	the
cash	cash	cash
.	.	.
Ulyukayev	ulyukayev	Ulyukayev
denies	deni	denies
the	the	the
accusations	accus	accusation
and	and	and
says	say	say
he	he	he
was	was	wa
framed	frame	framed
by	by	by
Sechin	sechin	Sechin
.	.	.
His	his	His
lawyers	lawyer	lawyer
say	say	say
their	their	their
client	client	client
cannot	cannot	cannot
testify	testifi	testify
in	in	in
court	court	court
prior	prior	prior
to	to	to
Sechin	sechin	Sechin
s	s	s
testimony	testimoni	testimony
as	as	a
a	a	a
witness	wit	witness
.	.	.
All	all	All
of	of	of
us	us	u
are	are	are
here	here	here
thanks	thank	thanks
to	to	to
witness	wit	witness
Sechin	sechin	Sechin
,	,	,
Ulyukayev	ulyukayev	Ulyukayev
s	s	s
lawyer	lawyer	lawyer
Timofei	timofei	Timofei
Gridnev	gridnev	Gridnev
told	told	told
the	the	the
court	court	court
after	after	after
Sechin	sechin	Sechin
failed	fail	failed
to	to	to
appear	appear	appear
on	on	on
Wednesday	wednesday	Wednesday
.	.	.
Gridnev	gridnev	Gridnev
said	said	said
it	it	it
was	was	wa
the	the	the
third	third	third
time	time	time
Sechin	sechin	Sechin
had	had	had
ignored	ignor	ignored
a	a	a
summons	summon	summons
to	to	to
appear	appear	appear
.	.	.
Judge	judg	Judge
Larisa	larisa	Larisa
Semyonova	semyonova	Semyonova
read	read	read
out	out	out
a	a	a
letter	letter	letter
from	from	from
Sechin	sechin	Sechin
s	s	s
lawyers	lawyer	lawyer
saying	say	saying
he	he	he
would	would	would
be	be	be
unable	unabl	unable
to	to	to
attend	attend	attend
for	for	for
the	the	the
rest	rest	rest
of	of	of
the	the	the
year	year	year
due	due	due
to	to	to
his	his	his
tight	tight	tight
schedule	schedul	schedule
,	,	,
but	but	but
she	she	she
nevertheless	nevertheless	nevertheless
summoned	summon	summoned
him	him	him
for	for	for
next	next	next
Monday	monday	Monday
.	.	.
Rosneft	rosneft	Rosneft
made	made	made
clear	clear	clear
later	later	later
on	on	on
Wednesday	wednesday	Wednesday
that	that	that
chances	chanc	chance
its	it	it
boss	boss	bos
would	would	would
appear	appear	appear
in	in	in
court	court	court
on	on	on
Monday	monday	Monday
were	were	were
rather	rather	rather
slim	slim	slim
.	.	.
This	this	This
hunt	hunt	hunt
for	for	for
Sechin	sechin	Sechin
discredits	discredit	discredit
the	the	the
court	court	court
.	.	.
Sechin	sechin	Sechin
is	is	is
not	not	not
the	the	the
accused	accus	accused
one	one	one
,	,	,
Rosneft	rosneft	Rosneft
spokesman	spokesman	spokesman
Mikhail	mikhail	Mikhail
Leontyev	leontyev	Leontyev
told	told	told
Reuters	reuter	Reuters
.	.	.
All	all	All
this	this	this
shouting	shout	shouting
of	of	of
Sechin	sechin	Sechin
s	s	s
name	name	name
in	in	in
court	court	court
and	and	and
these	these	these
dates	date	date
are	are	are
trash	trash	trash
.	.	.
Before	befor	Before
his	his	his
arrest	arrest	arrest
,	,	,
Ulyukayev	ulyukayev	Ulyukayev
was	was	wa
one	one	one
of	of	of
the	the	the
leading	lead	leading
figures	figur	figure
in	in	in
a	a	a
faction	faction	faction
of	of	of
economic	econom	economic
liberals	liber	liberal
who	who	who
argued	argu	argued
for	for	for
less	less	le
state	state	state
control	control	control
over	over	over
the	the	the
economy	economi	economy
.	.	.
Sechin	sechin	Sechin
is	is	is
widely	wide	widely
seen	seen	seen
as	as	a
the	the	the
main	main	main
champion	champion	champion
of	of	of
the	the	the
opposite	opposit	opposite
view	view	view
,	,	,
that	that	that
the	the	the
state	state	state
should	should	should
consolidate	consolid	consolidate
its	it	it
grip	grip	grip
,	,	,
particularly	particular	particularly
over	over	over
the	the	the
energy	energi	energy
sector	sector	sector
that	that	that
provides	provid	provides
a	a	a
large	larg	large
share	share	share
of	of	of
Russia	russia	Russia
s	s	s
state	state	state
revenue	revenu	revenue
through	through	through
its	it	it
two	two	two
biggest	biggest	biggest
companies	compani	company
,	,	,
Rosneft	rosneft	Rosneft
and	and	and
Gazprom	gazprom	Gazprom
.	.	.
Ulyukayev	ulyukayev	Ulyukayev
had	had	had
opposed	oppos	opposed
last	last	last
year	year	year
s	s	s
sale	sale	sale
of	of	of
the	the	the
medium	medium	medium
-sized	-size	-sized
oil	oil	oil
company	compani	company
Bashneft	bashneft	Bashneft
to	to	to
Rosneft	rosneft	Rosneft
.	.	.
But	but	But
prosecutors	prosecutor	prosecutor
say	say	say
he	he	he
signed	sign	signed
off	off	off
on	on	on
the	the	the
deal	deal	deal
and	and	and
then	then	then
took	took	took
the	the	the
cash	cash	cash
from	from	from
Sechin	sechin	Sechin
.	.	.
Sechin	sechin	Sechin
missed	miss	missed
Wednesday	wednesday	Wednesday
s	s	s
hearings	hear	hearing
because	becaus	because
he	he	he
is	is	is
on	on	on
a	a	a
business	busi	business
trip	trip	trip
to	to	to
western	western	western
Siberia	siberia	Siberia
,	,	,
where	where	where
on	on	on
Tuesday	tuesday	Tuesday
he	he	he
attended	attend	attended
the	the	the
opening	open	opening
of	of	of
a	a	a
new	new	new
Rosneft	rosneft	Rosneft
oil	oil	oil
field	field	field
.	.	.
On	on	On
Wednesday	wednesday	Wednesday
,	,	,
he	he	he
met	met	met
a	a	a
regional	region	regional
governor	governor	governor
and	and	and
chaired	chair	chaired
a	a	a
meeting	meet	meeting
with	with	with
Rosneft	rosneft	Rosneft
s	s	s
management	manag	management
in	in	in
the	the	the
Siberian	siberian	Siberian
city	citi	city
of	of	of
Khanty	khanti	Khanty
-Mansiisk	-mansiisk	-Mansiisk
,	,	,
Rosneft	rosneft	Rosneft
said	said	said
.	.	.
