AMMAN	amman	AMMAN
Reuters	reuter	Reuters
-	-	-
The	the	The
Syrian	syrian	Syrian
army	armi	army
and	and	and
Iranian	iranian	Iranian
-backed	-back	-backed
militias	militia	militia
backed	back	backed
by	by	by
Russian	russian	Russian
air	air	air
power	power	power
stepped	step	stepped
up	up	up
a	a	a
military	militari	military
campaign	campaign	campaign
against	against	against
rebels	rebel	rebel
in	in	in
eastern	eastern	eastern
Hama	hama	Hama
province	provinc	province
in	in	in
a	a	a
push	push	push
towards	toward	towards
the	the	the
rebel	rebel	rebel
stronghold	stronghold	stronghold
of	of	of
Idlib	idlib	Idlib
province	provinc	province
in	in	in
northwestern	northwestern	northwestern
Syria	syria	Syria
,	,	,
rebels	rebel	rebel
and	and	and
witnesses	wit	witness
said	said	said
.	.	.

They	they	They
said	said	said
dozens	dozen	dozen
of	of	of
aerial	aerial	aerial
strikes	strike	strike
believed	believ	believed
to	to	to
be	be	be
conducted	conduct	conducted
mainly	main	mainly
by	by	by
Russian	russian	Russian
jets	jet	jet
in	in	in
the	the	the
last	last	last
48	48	48
hours	hour	hour
hit	hit	hit
opposition	opposit	opposition
held	held	held
villages	villag	village
and	and	and
towns	town	town
in	in	in
the	the	the
northeastern	northeastern	northeastern
Hama	hama	Hama
countryside	countrysid	countryside
and	and	and
the	the	the
southern	southern	southern
part	part	part
of	of	of
Idlib	idlib	Idlib
province	provinc	province
.	.	.

The	the	The
Islamist	islamist	Islamist
Hayat	hayat	Hayat
Tahrir	tahrir	Tahrir
al	al	al
Sham	sham	Sham
and	and	and
some	some	some
Free	free	Free
Syrian	syrian	Syrian
Army	armi	Army
FSA	fsa	FSA
rebel	rebel	rebel
faction	faction	faction
in	in	in
control	control	control
of	of	of
these	these	these
areas	area	area
said	said	said
they	they	they
were	were	were
sending	send	sending
reinforcements	reinforc	reinforcement
to	to	to
seize	seiz	seize
back	back	back
a	a	a
string	string	string
of	of	of
villages	villag	village
in	in	in
the	the	the
northeastern	northeastern	northeastern
Hama	hama	Hama
countryside	countrysid	countryside
,	,	,
near	near	near
the	the	the
town	town	town
of	of	of
Rihjan	rihjan	Rihjan
,	,	,
that	that	that
the	the	the
army	armi	army
had	had	had
earlier	earlier	earlier
announced	announc	announced
were	were	were
captured	captur	captured
in	in	in
heavy	heavi	heavy
fighting	fight	fighting
.	.	.

The	the	The
army	armi	army
said	said	said
the	the	the
villages	villag	village
of	of	of
Um	um	Um
Turayka	turayka	Turayka
,	,	,
Bilil	bilil	Bilil
,	,	,
and	and	and
Rujum	rujum	Rujum
al	al	al
Ahmar	ahmar	Ahmar
were	were	were
seized	seiz	seized
,	,	,
forcing	forc	forcing
the	the	the
rebels	rebel	rebel
to	to	to
flee	flee	flee
to	to	to
areas	area	area
close	close	close
to	to	to
the	the	the
administrative	administr	administrative
boundaries	boundari	boundary
of	of	of
Idlib	idlib	Idlib
province	provinc	province
.	.	.

The	the	The
Syrian	syrian	Syrian
army	armi	army
had	had	had
lost	lost	lost
the	the	the
strategically	strateg	strategically
located	locat	located
Idlib	idlib	Idlib
province	provinc	province
to	to	to
insurgents	insurg	insurgent
when	when	when
the	the	the
provincial	provinci	provincial
capital	capit	capital
fell	fell	fell
to	to	to
rebels	rebel	rebel
in	in	in
2015	2015	2015
.	.	.

It	it	It
has	has	ha
since	sinc	since
become	becom	become
the	the	the
only	onli	only
province	provinc	province
that	that	that
is	is	is
fully	fulli	fully
under	under	under
opposition	opposit	opposition
control	control	control
.	.	.

The	the	The
Syrian	syrian	Syrian
army	armi	army
s	s	s
first	first	first
goal	goal	goal
was	was	wa
to	to	to
retake	retak	retake
strategic	strateg	strategic
Abu	abu	Abu
al	al	al
Dhour	dhour	Dhour
military	militari	military
airport	airport	airport
,	,	,
one	one	one
of	of	of
the	the	the
largest	largest	largest
airports	airport	airport
in	in	in
the	the	the
north	north	north
of	of	of
the	the	the
country	countri	country
that	that	that
fell	fell	fell
to	to	to
rebels	rebel	rebel
in	in	in
2015	2015	2015
.	.	.

It	it	It
was	was	wa
heavily	heavili	heavily
bombed	bomb	bombed
on	on	on
Sunday	sunday	Sunday
,	,	,
a	a	a
rebel	rebel	rebel
source	sourc	source
said	said	said
.	.	.

The	the	The
regime	regim	regime
movements	movement	movement
seek	seek	seek
to	to	to
besiege	besieg	besiege
Idlib	idlib	Idlib
province	provinc	province
with	with	with
the	the	the
help	help	help
of	of	of
Shi	shi	Shi
ite	ite	ite
militias	militia	militia
fighting	fight	fighting
with	with	with
them	them	them
,	,	,
said	said	said
Colonel	colonel	Colonel
Mustafa	mustafa	Mustafa
Bakour	bakour	Bakour
,	,	,
a	a	a
commander	command	commander
in	in	in
the	the	the
Jaish	jaish	Jaish
al	al	al
Izza	izza	Izza
rebel	rebel	rebel
faction	faction	faction
.	.	.

Tahrir	tahrir	Tahrir
al	al	al
Sham	sham	Sham
,	,	,
which	which	which
is	is	is
spearheaded	spearhead	spearheaded
by	by	by
the	the	the
former	former	former
al	al	al
Qaeda	qaeda	Qaeda
branch	branch	branch
in	in	in
Syria	syria	Syria
,	,	,
is	is	is
the	the	the
main	main	main
rebel	rebel	rebel
force	forc	force
in	in	in
the	the	the
province	provinc	province
,	,	,
raising	rais	raising
fears	fear	fear
among	among	among
civilians	civilian	civilian
and	and	and
rebels	rebel	rebel
alike	alik	alike
that	that	that
Moscow	moscow	Moscow
and	and	and
the	the	the
Syrian	syrian	Syrian
army	armi	army
and	and	and
its	it	it
allies	alli	ally
would	would	would
soon	soon	soon
turn	turn	turn
it	it	it
into	into	into
a	a	a
major	major	major
battlefield	battlefield	battlefield
.	.	.

The	the	The
strategically	strateg	strategically
located	locat	located
province	provinc	province
that	that	that
borders	border	border
Turkey	turkey	Turkey
is	is	is
part	part	part
of	of	of
the	the	the
Russian	russian	Russian
-led	-led	-led
de	de	de
-escalation	-escal	-escalation
zones	zone	zone
that	that	that
seek	seek	seek
to	to	to
shore	shore	shore
up	up	up
ceasefires	ceasefir	ceasefires
in	in	in
western	western	western
Syria	syria	Syria
.	.	.

Idlib	idlib	Idlib
has	has	ha
been	been	been
a	a	a
haven	haven	haven
for	for	for
tens	ten	ten
of	of	of
thousands	thousand	thousand
of	of	of
rebels	rebel	rebel
and	and	and
civilians	civilian	civilian
who	who	who
were	were	were
forced	forc	forced
to	to	to
abandon	abandon	abandon
their	their	their
homes	home	home
in	in	in
other	other	other
parts	part	part
of	of	of
western	western	western
Syria	syria	Syria
that	that	that
the	the	the
government	govern	government
and	and	and
its	it	it
foreign	foreign	foreign
military	militari	military
allies	alli	ally
have	have	have
recaptured	recaptur	recaptured
from	from	from
rebels	rebel	rebel
.	.	.

It	it	It
has	has	ha
already	alreadi	already
been	been	been
the	the	the
target	target	target
of	of	of
intensive	intens	intensive
strikes	strike	strike
by	by	by
the	the	the
Russia	russia	Russia
and	and	and
Syrian	syrian	Syrian
air	air	air
forces	forc	force
in	in	in
the	the	the
past	past	past
year	year	year
that	that	that
have	have	have
killed	kill	killed
thousands	thousand	thousand
of	of	of
civilians	civilian	civilian
and	and	and
destroyed	destroy	destroyed
hospitals	hospit	hospital
and	and	and
civil	civil	civil
defense	defens	defense
centers	center	center
.	.	.

Tahrir	tahrir	Tahrir
al	al	al
Sham	sham	Sham
also	also	also
repelled	repel	repelled
simultaneously	simultan	simultaneously
an	an	an
offensive	offens	offensive
by	by	by
Islamic	islam	Islamic
State	state	State
militants	milit	militant
who	who	who
have	have	have
been	been	been
for	for	for
the	the	the
last	last	last
few	few	few
weeks	week	week
pushing	push	pushing
into	into	into
the	the	the
opposition	opposit	opposition
-controlled	-control	-controlled
territory	territori	territory
to	to	to
extend	extend	extend
a	a	a
small	small	small
enclave	enclav	enclave
they	they	they
have	have	have
in	in	in
that	that	that
area	area	area
,	,	,
among	among	among
the	the	the
few	few	few
they	they	they
retain	retain	retain
across	across	across
Syria	syria	Syria
.	.	.

The	the	The
ultra	ultra	ultra
hardline	hardlin	hardline
militants	milit	militant
also	also	also
seized	seiz	seized
a	a	a
string	string	string
of	of	of
villages	villag	village
that	that	that
brought	brought	brought
them	them	them
within	within	within
kilometers	kilomet	kilometer
of	of	of
Idlib	idlib	Idlib
province	provinc	province
.	.	.

The	the	The
Russian	russian	Russian
and	and	and
Syrian	syrian	Syrian
army	armi	army
advance	advanc	advance
towards	toward	towards
Idlib	idlib	Idlib
is	is	is
also	also	also
piling	pile	piling
pressure	pressur	pressure
on	on	on
Turkey	turkey	Turkey
which	which	which
had	had	had
since	sinc	since
October	octob	October
begun	begun	begun
a	a	a
major	major	major
military	militari	military
deployment	deploy	deployment
in	in	in
the	the	the
province	provinc	province
it	it	it
considers	consid	considers
within	within	within
its	it	it
sphere	sphere	sphere
of	of	of
influence	influenc	influence
.	.	.

Ankara	ankara	Ankara
s	s	s
intervention	intervent	intervention
seeks	seek	seek
to	to	to
rein	rein	rein
in	in	in
Russian	russian	Russian
strikes	strike	strike
and	and	and
prevent	prevent	prevent
Idlib	idlib	Idlib
from	from	from
facing	face	facing
a	a	a
similar	similar	similar
fate	fate	fate
to	to	to
Mosul	mosul	Mosul
or	or	or
Aleppo	aleppo	Aleppo
,	,	,
according	accord	according
to	to	to
a	a	a
senior	senior	senior
rebel	rebel	rebel
commander	command	commander
briefed	brief	briefed
on	on	on
Turkish	turkish	Turkish
policy	polici	policy
.	.	.

